train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.5230748295783996,1,4,303,400,0.001,0.09301472508348524,-121.99360599999999,,
300,,1.707185127735138,,,,500,0.001,0.04283425722271204,,-62.467195450000006,100.0
600,100.0,2.0591441082954405,5,8,146,800,0.001,0.01957775584887713,-89.38897075,,
800,,2.323392424583435,,,,1000,0.001,0.005419899981934578,,-60.26200825000001,100.0
1000,100.0,2.624801344871521,9,12,124,1200,0.001,0.006568182115443051,-79.40432866666667,,
1300,,3.0805090284347534,,,,1500,0.001,0.010733791613020002,,-64.80199929999999,100.0
1400,100.0,3.228446044921875,13,16,118,1600,0.001,0.010644362028688192,-75.6456245625,,
1800,,3.8859422779083252,,,,2000,0.001,0.011749363504350185,,-63.33378055000001,100.0
,100.0,,17,20,113,2000,,,-73.1441897,,
2200,100.0,4.511198663711548,20,24,119,2400,0.001,0.014927351549267769,-71.80365395833333,,
2300,,4.6717124271392825,,,,2500,0.001,0.015259282691404223,,-66.55347025,100.0
2600,100.0,5.192165126800537,23,28,116,2800,0.001,0.01790371110662818,-71.00002167857143,,
2800,,5.4583934307098385,,,,3000,0.001,0.019914437299594284,,-63.77938385,100.0
3000,100.0,5.760344095230103,28,32,113,3200,0.001,0.02004483294673264,-69.62603025,,
3300,,6.241101160049438,,,,3500,0.001,0.02216431323438883,,-61.57528505000001,100.0
3400,100.0,6.3731928730010985,32,36,111,3600,0.001,0.026000047400593758,-68.45450277777779,,
3800,,7.01870267868042,,,,4000,0.001,0.022679244335740804,,-62.1044261,100.0
,100.0,,36,40,110,4000,,,-67.66752715,,
4200,100.0,7.603991613388062,38,44,113,4400,0.001,0.02116557164117694,-66.87738243181819,,
4300,,7.774143009185791,,,,4500,0.001,0.02582581078633666,,-61.149888999999995,100.0
4600,100.0,8.244566917419434,42,48,112,4800,0.001,0.028412438947707414,-66.46487752083333,,
4800,,8.562067985534668,,,,5000,0.001,0.022651996072381733,,-64.73491609999999,100.0
5000,100.0,8.879991989135743,46,52,111,5200,0.001,0.02342845045030117,-66.06201871153847,,
5300,,9.37651710510254,,,,5500,0.001,0.02654275357723236,,-66.92675514999999,100.0
5400,100.0,9.534339904785156,50,56,110,5600,0.001,0.03437061699107289,-65.95174228571429,,
5800,,10.167344608306884,,,,6000,0.001,0.02327519138343632,,-62.42546444999999,100.0
,100.0,,55,60,109,6000,,,-65.64020188333333,,
6200,100.0,10.725657157897949,57,64,110,6400,0.001,0.028187659662216903,-64.80225475,,
6300,,10.91103136062622,,,,6500,0.001,0.031051202695816755,,-55.607215399999994,100.0
6600,100.0,11.288859539031982,62,68,108,6800,0.001,0.028327851686626673,-64.05448695588237,,
6800,,11.624025325775147,,,,7000,0.001,0.029274367690086366,,-57.551432899999995,100.0
7000,100.0,11.842469863891601,66,72,107,7200,0.001,0.02499928042292595,-63.57263631944444,,
7300,,12.288361473083496,,,,7500,0.001,0.028722794959321618,,-49.575767899999995,100.0
7400,100.0,12.40109848022461,70,76,107,7600,0.001,0.029872211012989282,-62.68582506578947,,
7800,,12.871690921783447,,,,8000,0.001,0.026968549024313688,,-52.9417096,100.0
,100.0,,74,80,106,8000,,,-61.9427115125,,
8200,100.0,13.421753673553466,77,84,108,8400,0.001,0.03209914542734623,-61.37940239285714,,
8300,,13.513833866119384,,,,8500,0.001,0.03451274426653981,,-48.4339351,100.0
8600,100.0,13.94952693939209,81,88,108,8800,0.001,0.033496405500918626,-60.83469605681818,,
8800,,14.200350379943847,,,,9000,0.001,0.03498868530616164,,-50.051303049999994,100.0
9000,100.0,14.460556812286377,85,92,107,9200,0.001,0.034961217921227215,-60.44606032608694,,
9300,,14.838616828918457,,,,9500,0.001,0.03265401406213641,,-49.6536244,100.0
9400,100.0,15.038100090026855,89,96,106,9600,0.001,0.040213368684053424,-59.873079656250006,,
9800,,15.499085884094239,,,,10000,0.001,0.036900315657258036,,-48.04312405,100.0
,100.0,,93,100,106,10000,,,-59.40506133000001,,
10200,100.0,15.965907344818115,96,104,108,10400,0.001,0.0409556888602674,-56.33888068,,
10300,,16.107863464355468,,,,10500,0.001,0.04105160787701607,,-49.603880149999995,100.0
10600,100.0,16.395924072265625,99,108,108,10800,0.001,0.03851683117449284,-55.67431833,,
10800,,16.676945304870607,,,,11000,0.001,0.03780109073966741,,-48.19412265,100.0
11000,100.0,16.89457489013672,103,112,107,11200,0.001,0.046244149878621105,-55.30895759,,
11300,,17.29208427429199,,,,11500,0.001,0.047744802813977,,-52.0715677,100.0
11400,100.0,17.369214210510254,108,116,107,11600,0.001,0.04298987254500389,-54.76690155,,
11800,,17.897592506408692,,,,12000,0.001,0.0661359279230237,,-48.6803158,100.0
,100.0,,112,120,106,12000,,,-54.05597717,,
12200,100.0,18.349683685302736,114,124,108,12400,0.001,0.059412471149116755,-53.533758259999985,,
12300,,18.467707023620605,,,,12500,0.001,0.04711609970778227,,-62.34919759999999,100.0
12600,100.0,18.78073226928711,118,128,107,12800,0.001,0.04200228255242109,-52.964637220000014,,
12800,,19.02572597503662,,,,13000,0.001,0.049577401112765075,,-47.25269705000001,100.0
13000,100.0,19.235170631408693,122,132,107,13200,0.001,0.05080033078789711,-52.68835477999999,,
13300,,19.603085403442382,,,,13500,0.001,0.06913545547053218,,-53.2931781,100.0
13400,100.0,19.676821517944337,126,136,107,13600,0.001,0.05907640501856804,-52.29585763,,
13800,,20.15927345275879,,,,14000,0.001,0.0559602608717978,,-51.3486151,100.0
,100.0,,130,140,107,14000,,,-51.81414715000001,,
14200,100.0,20.517787055969237,132,144,108,14400,0.001,0.05873592022806406,-51.476069160000016,,
14300,,20.610339012145996,,,,14500,0.001,0.05737965725362301,,-52.2596677,100.0
14600,100.0,20.968865242004394,136,148,108,14800,0.001,0.05768566273152828,-51.27737162,,
14800,,21.164793548583983,,,,15000,0.001,0.060819487012922765,,-64.71669990000001,100.0
15000,100.0,21.3567667388916,141,152,107,15200,0.001,0.060359208174049855,-51.52947874999999,,
15300,,21.709664764404298,,,,15500,0.001,0.06169259402900934,,-54.56292095,100.0
15400,100.0,21.884521408081056,145,156,107,15600,0.001,0.06599320124834776,-51.11143799000001,,
15800,,22.281742286682128,,,,16000,0.001,0.07052188228815794,,-48.841015399999996,100.0
,100.0,,149,160,107,16000,,,-50.41166678000001,,
16200,100.0,22.63930019378662,151,164,108,16400,0.001,0.06983616285026073,-50.382417319999995,,
16300,,22.79983860015869,,,,16500,0.001,0.07146144699305296,,-51.8952714,100.0
16600,100.0,23.087189712524413,155,168,108,16800,0.001,0.07691276915371419,-50.34487943,,
16800,,23.269065017700196,,,,17000,0.001,0.08682584114372731,,-60.9220193,100.0
17000,100.0,23.518820343017577,158,172,108,17200,0.001,0.08790533918887376,-49.887515050000005,,
17300,,23.802826805114748,,,,17500,0.001,0.07841103803366423,,-47.00223945,100.0
17400,100.0,23.904373207092284,162,176,108,17600,0.001,0.08115711774677038,-49.81200407,,
17800,,24.368659133911134,,,,18000,0.001,0.08674537006765604,,-48.5132233,100.0
,100.0,,166,180,108,18000,,,-49.81383599000001,,
18200,100.0,24.708353729248046,169,184,108,18400,0.001,0.09191410459578037,-49.61979255,,
18300,,24.814056510925294,,,,18500,0.001,0.08414597846567631,,-49.209328049999996,100.0
18600,100.0,25.046805458068846,173,188,108,18800,0.001,0.0851662266999483,-49.427205210000004,,
18800,,25.210206565856932,,,,19000,0.001,0.09845023907721043,,-48.66298005,100.0
19000,100.0,25.485222206115722,178,192,107,19200,0.001,0.10496154274791479,-49.267787320000004,,
19300,,25.764440231323242,,,,19500,0.001,0.08807589743286372,,-48.43617745,100.0
19400,100.0,25.875066833496092,182,196,107,19600,0.001,0.10584387589246035,-49.51069257000001,,
19800,,26.18300609588623,,,,20000,0.001,0.11421706411987544,,-52.0233612,100.0
,100.0,,185,200,107,20000,,,-49.3729845,,
20200,100.0,26.647237968444824,188,204,108,20400,0.001,0.11196547228842973,-49.44743629,,
20300,,26.77905433654785,,,,20500,0.001,0.09891751274466515,,-49.305772950000005,100.0
20600,100.0,26.993932838439942,192,208,108,20800,0.001,0.10327188894152642,-49.71579997,,
20800,,27.171398048400878,,,,21000,0.001,0.11672862753272056,,-52.09228835000001,100.0
21000,100.0,27.37014518737793,196,212,108,21200,0.001,0.10779895134270191,-49.56701899000001,,
21300,,27.625578269958496,,,,21500,0.001,0.10915426515042782,,-53.971047399999996,100.0
21400,100.0,27.79387813568115,200,216,107,21600,0.001,0.110368427708745,-49.28426962,,
21800,,28.074995460510255,,,,22000,0.001,0.09858298860490322,,-50.983533300000005,100.0
,100.0,,203,220,107,22000,,,-49.19679623,,
22200,100.0,28.458708076477052,206,224,108,22400,0.001,0.12142718940973282,-48.96429525000001,,
22300,,28.584075660705565,,,,22500,0.001,0.10992875587195158,,-62.981406400000004,100.0
22600,100.0,28.842419662475585,210,228,108,22800,0.001,0.12851073123514653,-49.461619039999995,,
22800,,28.982084350585936,,,,23000,0.001,0.09767384465783835,,-56.11870845,100.0
23000,100.0,29.19059200286865,215,232,107,23200,0.001,0.1005695379897952,-49.78561594,,
23300,,29.491828956604003,,,,23500,0.001,0.1014650285243988,,-54.1767521,100.0
23400,100.0,29.612381553649904,219,236,107,23600,0.001,0.09937621146440506,-49.8536308,,
23800,,29.98322578430176,,,,24000,0.001,0.10080862745642662,,-50.0062237,100.0
,100.0,,223,240,107,24000,,,-50.001570199999996,,
24200,100.0,30.377552604675294,225,244,108,24400,0.001,0.10900609813630581,-50.10756091999999,,
24300,,30.420430374145507,,,,24500,0.001,0.11006063356995582,,-51.35284885,100.0
24600,100.0,30.79806022644043,229,248,108,24800,0.001,0.11480292074382305,-49.65695091,,
24800,,30.890486488342287,,,,25000,0.001,0.11235293317586184,,-47.73383775,100.0
25000,100.0,31.08155620574951,233,252,108,25200,0.001,0.10560263819992542,-48.80046478,,
25300,,31.380581245422363,,,,25500,0.001,0.11601972632110119,,-50.251653999999995,100.0
