rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
-139.25222075,0.001,400,1.7785256266593934,219,1,0.0681788935791701,100.0,200,4,,
,0.001,500,2.143019289970398,,,0.060857551861554386,,300,,-121.02687424999999,100.0
-122.57594999999999,0.001,800,2.811309847831726,140,5,0.03709826581180096,100.0,600,8,,
,0.001,1000,3.1117079877853393,,,0.03494449255988002,,800,,-87.55606110000001,100.0
-108.74787333333335,0.001,1200,3.456136064529419,124,9,0.02890672461129725,100.0,1000,12,,
,0.001,1500,3.9023928356170656,,,0.026306742765009404,,1300,,-88.33843015,100.0
-100.853657,0.001,1600,4.071089091300965,117,13,0.031048547737300397,100.0,1400,16,,
,0.001,2000,4.754360971450805,,,0.04415848875418305,,1800,,-65.56440940000002,100.0
-95.38029185,,2000,,114,17,,100.0,,20,,
-91.47279033333332,0.001,2400,5.302577219009399,122,19,0.039309668038040396,100.0,2200,24,,
,0.001,2500,5.415601978302002,,,0.03546770239248872,,2300,,-77.02573775,100.0
-89.67482314285714,0.001,2800,5.949344244003296,119,23,0.03931397283449769,100.0,2600,28,,
,0.001,3000,6.311116132736206,,,0.04150126777589321,,2800,,-74.21530055000001,100.0
-87.67388381250001,0.001,3200,6.651677350997925,117,27,0.043423832934349774,100.0,3000,32,,
,0.001,3500,7.133124732971192,,,0.03952279837802052,,3300,,-69.1289733,100.0
-84.62133741666668,0.001,3600,7.2819345188140865,115,31,0.041233754213899375,100.0,3400,36,,
,0.001,4000,7.897469263076783,,,0.04256326593458652,,3800,,-58.4743148,100.0
-82.192584,,4000,,114,34,,100.0,,40,,
-80.36426009090908,0.001,4400,8.612205963134766,118,37,0.06220114715397358,100.0,4200,44,,
,0.001,4500,8.726494522094727,,,0.049027402214705945,,4300,,-64.2391577,100.0
-78.9356916875,0.001,4800,9.245776405334473,117,40,0.04957163022831082,100.0,4600,48,,
,0.001,5000,9.556290607452393,,,0.04353715332224965,,4800,,-65.26780765000001,100.0
-77.7248233076923,0.001,5200,9.86278642654419,116,44,0.05178969528526068,100.0,5000,52,,
,0.001,5500,10.30559928894043,,,0.04914770249277353,,5300,,-62.606283549999986,100.0
-76.35009826785713,0.001,5600,10.499920272827149,115,48,0.05473275221884251,100.0,5400,56,,
,0.001,6000,11.092213592529298,,,0.051264495626091956,,5800,,-61.43574110000001,100.0
-75.50391025,,6000,,115,51,,100.0,,60,,
-74.386729453125,0.001,6400,11.731852626800537,118,54,0.05164134604856372,100.0,6200,64,,
,0.001,6500,11.882850284576415,,,0.04826060798019171,,6300,,-63.901415899999996,100.0
-73.32534607352942,0.001,6800,12.300626525878906,117,57,0.05184683255851269,100.0,6600,68,,
,0.001,7000,12.603603744506836,,,0.05135561298578978,,6800,,-52.93600719999999,100.0
-72.21389129166667,0.001,7200,12.901420459747314,117,61,0.047433756105601785,100.0,7000,72,,
,0.001,7500,13.331734943389893,,,0.051962945964187386,,7300,,-55.982920050000004,100.0
-71.39167817105262,0.001,7600,13.449428024291992,116,65,0.055465440154075625,100.0,7400,76,,
,0.001,8000,14.068333492279052,,,0.053477193173021076,,7800,,-52.991118199999995,100.0
-70.62833406249999,,8000,,115,69,,100.0,,80,,
-69.84919197619047,0.001,8400,14.59130615234375,117,71,0.05413127163425088,100.0,8200,84,,
,0.001,8500,14.729124374389649,,,0.05820901464670897,,8300,,-55.36259299999999,100.0
-69.20335036363636,0.001,8800,15.158801250457763,116,75,0.04828480012714863,100.0,8600,88,,
,0.001,9000,15.426183700561523,,,0.055753440000116825,,8800,,-54.86801594999999,100.0
-68.58728042391306,0.001,9200,15.73542392730713,116,78,0.055402176044881346,100.0,9000,92,,
,0.001,9500,16.123553352355955,,,0.05717010591179132,,9300,,-53.8758501,100.0
-67.83614489583333,0.001,9600,16.238790016174317,116,82,0.05476381380110979,100.0,9400,96,,
,0.001,10000,16.792369613647463,,,0.05835547089576721,,9800,,-54.38043345,100.0
-67.18449083999998,,10000,,115,86,,100.0,,100,,
-63.83690481000001,0.001,10400,17.323597564697266,117,88,0.04761467566713691,100.0,10200,104,,
,0.001,10500,17.48383014678955,,,0.05221198532730341,,10300,,-54.46192885000001,100.0
-61.777477229999995,0.001,10800,17.8623645401001,116,92,0.056075498517602684,100.0,10600,108,,
,0.001,11000,18.096086082458495,,,0.0522443769313395,,10800,,-51.903977,100.0
-60.56688721999999,0.001,11200,18.358857345581054,116,96,0.05840105958282948,100.0,11000,112,,
,0.001,11500,18.78877326965332,,,0.06211925711482763,,11300,,-55.0232256,100.0
-59.671550319999994,0.001,11600,18.866740379333496,115,100,0.06024027895182371,100.0,11400,116,,
,0.001,12000,19.343802642822265,,,0.06203505590558052,,11800,,-53.8634908,100.0
-58.80633425999999,,12000,,115,103,,100.0,,120,,
-57.813955379999996,0.001,12400,19.835922355651856,117,105,0.05984611421823502,100.0,12200,124,,
,0.001,12500,19.930880699157715,,,0.08063632406294347,,12300,,-50.864870249999996,100.0
-56.780601759999996,0.001,12800,20.316319580078126,116,109,0.06298859547823668,100.0,12600,128,,
,0.001,13000,20.506775283813475,,,0.060593947358429434,,12800,,-48.877792850000006,100.0
-56.004031600000005,0.001,13200,20.7420760345459,116,113,0.06598973464220763,100.0,13000,132,,
,0.001,13500,21.099685668945312,,,0.06475285973399877,,13300,,-50.34553695,100.0
-55.51311013,0.001,13600,21.18888584136963,116,117,0.06249134439975023,100.0,13400,136,,
,0.001,14000,21.6520463180542,,,0.06106109831482172,,13800,,-56.3063365,100.0
-55.27197029,,14000,,115,120,,100.0,,140,,
-54.88844348000001,0.001,14400,22.027464599609374,117,122,0.06227847203612327,100.0,14200,144,,
,0.001,14500,22.220716819763183,,,0.06395343173295259,,14300,,-48.69214365,100.0
-54.24180298000001,0.001,14800,22.51000347137451,117,126,0.07971929188817739,100.0,14600,148,,
,0.001,15000,22.66740768432617,,,0.06715493980795145,,14800,,-50.6495571,100.0
-53.67423119,0.001,15200,22.90324893951416,116,129,0.06424323353916407,100.0,15000,152,,
,0.001,15500,23.19072494506836,,,0.07110237017273903,,15300,,-53.5823317,100.0
-53.17819585,0.001,15600,23.33874008178711,116,133,0.06419095229357481,100.0,15400,156,,
,0.001,16000,23.69975757598877,,,0.06210360623896122,,15800,,-52.60918585,100.0
-52.55707153,,16000,,116,137,,100.0,,160,,
-52.25197298999999,0.001,16400,24.104591789245607,117,139,0.06522809743881225,100.0,16200,164,,
,0.001,16500,24.200219078063967,,,0.07236979197710752,,16300,,-52.37511365,100.0
-51.982997379999986,0.001,16800,24.50729850769043,117,142,0.0648472910374403,100.0,16600,168,,
,0.001,17000,24.76227828979492,,,0.06536512944847345,,16800,,-50.96497635,100.0
-51.660691729999996,0.001,17200,24.917746658325196,117,146,0.0840857308357954,100.0,17000,172,,
,0.001,17500,25.194083366394043,,,0.0866368218511343,,17300,,-51.83837105000001,100.0
-51.96249627000001,0.001,17600,25.35610591888428,117,150,0.06952151894569397,100.0,17400,176,,
,0.001,18000,25.676624374389647,,,0.07235096026211978,,17800,,-49.415327700000006,100.0
-51.72167752,,18000,,117,153,,100.0,,180,,
-51.567346689999994,0.001,18400,26.110200805664064,118,155,0.09284817725419998,100.0,18200,184,,
,0.001,18500,26.089399604797364,,,0.07136089358478785,,18300,,-56.061304299999996,100.0
-51.541384670000014,0.001,18800,26.35489860534668,118,159,0.09451164536178112,100.0,18600,188,,
,0.001,19000,26.537856674194337,,,0.07798691917210818,,18800,,-49.8793129,100.0
-51.59825003000001,0.001,19200,26.6926029586792,117,163,0.09172674249857664,100.0,19000,192,,
,0.001,19500,26.96514186859131,,,0.0786480936780572,,19300,,-53.48489550000001,100.0
-51.41642635000002,0.001,19600,27.120445556640625,117,167,0.08504225537180901,100.0,19400,196,,
,0.001,20000,27.450856704711914,,,0.07651170056313276,,19800,,-52.294627000000006,100.0
-51.515149969999996,,20000,,116,171,,100.0,,200,,
-51.01627222,0.001,20400,27.828652267456054,117,173,0.07501101817935706,100.0,20200,204,,
