time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
591,0,0.6769985187053681,4,200,50.0,50,0.47487374901771545,0.001,-50.042933500000004,,
260,1,2.64260178565979,8,400,50.0,250,0.3130206429958344,0.001,-70.261239875,,
,,2.278165717124939,,500,,350,0.1600364013016224,0.001,,50.0,-12.810467400000002
165,3,2.0869566583633423,12,600,50.0,450,0.06993166357278824,0.001,-50.42468099999999,,
165,4,1.9205863332748414,16,800,50.0,650,0.05210362538695335,0.001,-40.870971,,
,,1.8397594785690308,,1000,,850,0.05253062987700105,0.001,,50.0,-11.402900449999999
148,6,,20,1000,50.0,,,,-34.7260823,,
151,7,1.9763565063476562,24,1200,50.0,1050,0.034644575752317906,0.001,-30.838540374999997,,
152,9,2.107940397262573,28,1400,50.0,1250,0.07416000541299582,0.001,-28.573666607142854,,
,,2.1721105575561523,,1500,,1350,0.09905501149594784,0.001,,50.0,-12.280761749999998
144,11,2.179735598564148,32,1600,50.0,1450,0.03933856289833784,0.001,-26.257262124999997,,
146,12,2.269693765640259,36,1800,50.0,1650,0.037093855403363706,0.001,-24.757854888888886,,
,,2.4080432987213136,,2000,,1850,0.04870130009949207,0.001,,50.0,-12.627746950000002
140,14,,40,2000,50.0,,,,-23.25368955,,
143,15,2.5146290683746337,44,2200,50.0,2050,0.06435134105384349,0.001,-22.024891681818186,,
146,16,2.6109062671661376,48,2400,50.0,2250,0.059515431225299835,0.001,-21.173267916666667,,
,,2.7164278125762937,,2500,,2350,0.05630705870687962,0.001,,50.0,-13.031718899999998
142,18,2.8061903953552245,52,2600,50.0,2450,0.16418096490204334,0.001,-20.384910346153845,,
144,19,2.9259751987457276,56,2800,50.0,2650,0.07121860891580582,0.001,-19.601442107142855,,
,,3.036937675476074,,3000,,2850,0.046437437012791634,0.001,,50.0,-12.726073150000001
140,21,,60,3000,50.0,,,,-19.149464916666663,,
142,22,3.2357115364074707,64,3200,50.0,3050,0.06726407639682293,0.001,-18.786448765624996,,
142,23,3.4036458015441893,68,3400,50.0,3250,0.071194007396698,0.001,-18.485713705882347,,
,,3.576206169128418,,3500,,3350,0.11060465641319751,0.001,,50.0,-13.333696350000002
137,26,3.5410733222961426,72,3600,50.0,3450,0.08220601178705693,0.001,-18.18486422222222,,
139,27,3.791960525512695,76,3800,50.0,3650,0.05600409209728241,0.001,-17.991808526315793,,
,,3.918275833129883,,4000,,3850,0.04271882489323616,0.001,,50.0,-14.463868000000002
135,29,,80,4000,50.0,,,,-17.752787712499998,,
136,30,4.122449178695678,84,4200,50.0,4050,0.05413380816578865,0.001,-17.493364619047618,,
138,31,4.223191518783569,88,4400,50.0,4250,0.05041973851621151,0.001,-17.251491318181817,,
,,4.371514368057251,,4500,,4350,0.05857534129172563,0.001,,50.0,-14.14935985
136,33,4.484797573089599,92,4600,50.0,4450,0.1601606637239456,0.001,-17.1392184673913,,
137,34,4.6195335197448735,96,4800,50.0,4650,0.067433100938797,0.001,-16.88139876041667,,
,,4.716229572296142,,5000,,4850,0.049632916152477266,0.001,,50.0,-12.740046300000001
135,36,,100,5000,50.0,,,,-16.72409164,,
136,38,4.847371025085449,104,5200,50.0,5050,0.07708167023956776,0.001,-15.16929101,,
137,39,4.992035274505615,108,5400,50.0,5250,0.0427244883030653,0.001,-12.17774896,,
,,5.135591735839844,,5500,,5350,0.04517444893717766,0.001,,50.0,-12.827268100000001
