time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
2048,3,1,19.46,15.92153775,592,,,,,,,,,,,,,
2500,,,,,,-0.0044106245040893555,10,0.0003,-0.020488202254637145,0.19501953125,41.23690585196018,55.0,0.98981773853302,83.83455600738526,-4.241402107477188,0.017485708,0.2,9.666059494018555
4096,10,2,24.56,25.324554480000007,401,,,,,,,,,,,,,
5000,,,,,,0.27537763118743896,20,0.0003,-0.02022034092224203,0.14462890625,125.83458317518235,49.2,0.9827155470848083,83.54030858874322,-4.21630685031414,0.014401197,0.2,34.71422576904297
6144,17,3,35.75,47.99206353,358,,,,,,,,,,,,,
7500,,,,,,0.21584272384643555,30,0.0003,-0.014329108598758467,0.0734375,263.35000076293943,46.35,0.9822702407836914,79.10106200277805,-4.203400442004204,0.009182153,0.2,92.98323059082031
8192,22,4,46.11,68.44040904,362,,,,,,,,,,,,,
10000,,,,,,0.15412873029708862,40,0.0003,-0.015965889263316057,0.096533203125,266.8791349411011,58.7,0.9812862277030945,110.34070430994034,-4.201356376707554,0.010154871,0.2,77.67133331298828
10240,28,5,55.56,90.84214035000001,357,,,,,,,,,,,,,
12288,33,6,62.08,109.50808556,368,0.04872089624404907,50,0.0003,-0.012957977029145695,0.07734375,305.4872534275055,,0.9755061864852905,,-4.19078504294157,0.00799758,0.2,127.48452758789062
12500,,,,,,0.022971391677856445,60,0.0003,-0.010173646001203452,0.05302734375,439.8727011680603,91.65,0.974315881729126,207.97270992994308,-4.179805785417557,0.0060807397,0.2,189.57749938964844
14336,40,7,69.44,132.11975216000002,349,,,,,,,,,,,,,
15000,,,,,,0.024964213371276855,70,0.0003,-0.011504805870936252,0.07509765625,495.53139753341674,92.8,0.970160961151123,210.9748971760273,-4.172468422353267,0.0075242217,0.2,235.4741668701172
16384,47,8,75.58,152.45653392,343,,,,,,,,,,,,,
17500,,,,,,0.039547860622406006,80,0.0003,-0.01119821700558532,0.06826171875,443.93787870407107,92.3,0.9679687023162842,208.18318736553192,-4.162363250553608,0.0072188703,0.2,206.99549865722656
18432,54,9,82.44,172.33490987999997,341,,,,,,,,,,,,,
