train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,33.50756975,117,-1.3595588207244873,4,1,0.032059259180511744,83,29.25,108,,
0.001,18.629337,145,-1.3219594955444336,8,1,0.016112818914864744,111,18.125,115,,
0.001,13.636022833333334,173,-1.2938403685887654,12,1,0.01603009644895792,139,14.416666666666666,121,,
0.001,11.1166780625,201,-1.281222979227702,16,1,0.01734536207680191,167,12.5625,125,,
0.001,9.609382299999998,229,-1.2902758518854778,20,1,0.014447308810693877,195,11.45,126,,
0.001,8.603064458333334,257,-1.2349964380264282,24,2,0.013576758825885398,223,10.708333333333334,127,,
0.001,7.8958390000000005,285,-1.3437794049580891,28,2,0.013392488871301924,251,10.178571428571429,128,,
0.001,7.37248959375,313,-1.2504743337631226,32,2,0.012929985166660376,279,9.78125,130,,
0.001,6.949650972222222,341,-1.2952587604522705,36,2,0.015696908147739514,307,9.472222222222221,131,,
0.001,6.617612675000001,369,-1.226301113764445,40,2,0.019380779205156223,335,9.225,132,,
0.001,6.1262180909090915,419,-1.395593033896552,44,3,0.027484889866577253,374,9.522727272727273,136,,
0.001,5.473205041666667,491,-1.291439453760783,48,3,0.02590364993860324,446,10.229166666666666,138,,
0.001,7.988381384615385,732,-1.3585231701533,52,4,0.00813249139011734,518,14.076923076923077,171,,
0.001,10.168593892857144,819,-2.0416738986968994,56,5,0.17029021893228805,770,14.625,140,,
0.001,12.044431883333333,906,-2.591565804048018,60,6,0.32629096355627885,857,15.1,139,,
0.001,13.710316109375,994,-2.890860232439908,64,7,0.37822801213372836,945,15.53125,139,,
0.001,15.436658117647061,1093,-3.7241008381048837,68,7,0.4978311083589991,1058,16.073529411764707,139,,
0.001,14.927798805555556,1122,-3.9175445437431335,72,8,0.6751806735992432,1088,15.583333333333334,139,,
0.001,14.452988131578946,1150,-3.7448464035987854,76,8,0.4191214974437441,1116,15.131578947368421,139,,
0.001,14.10529765,1182,-3.9282034635543823,80,8,0.5220251902937889,1148,14.775,139,,
0.001,13.860678952380951,1218,-3.8226481914520263,84,8,0.3287748085955779,1182,14.5,140,,
