time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0,40.2772425,121,4,2417,30.25,,,,,,
0,23.110426,149,8,459,18.625,0.001,-1.5530434250831604,0.04385730358106749,52,,
0,17.37584325,177,12,369,14.75,0.001,-1.573898822069168,0.034786268536533625,80,,
0,14.497509125,205,16,310,12.8125,0.001,-1.6102610230445862,0.039955127984285355,108,,
0,12.77477005,233,20,286,11.65,0.001,-1.6153247654438019,0.041898246322359355,136,,
0,11.631054083333334,261,24,272,10.875,0.001,-1.6616676449775696,0.03765315083520753,164,,
1,14.328873000000002,334,28,256,11.928571428571429,0.001,-1.9520744979381561,0.057495074265676994,222,,
1,17.475951156249998,424,32,239,13.25,0.001,-2.421362356706099,0.06362395482542722,313,,
2,19.843875777777775,512,36,229,14.222222222222221,0.001,-2.8681482618505303,0.0909022418782115,400,,
2,21.7244293,600,40,225,15.0,0.001,-3.192696072838523,0.14523845436898145,488,,
3,23.200074295454545,686,44,219,15.590909090909092,0.001,-3.5478347648273814,0.1594351902604103,574,,
3,24.490948729166664,774,48,215,16.125,0.001,-3.9041581370613794,0.19024155356667258,662,,
4,25.56797071153846,861,52,209,16.557692307692307,0.001,-4.258835359053179,0.1713887986473062,749,,
4,26.453211071428573,947,56,205,16.910714285714285,0.001,-4.567570556293834,0.20821411738341505,835,,
5,27.291962316666666,1036,60,203,17.266666666666666,0.001,-4.880575266751376,0.1678374595940113,923,,
5,28.11836015625,1134,64,199,17.71875,0.001,-5.833309459686279,0.23145075935509898,1035,,
5,26.46260314705882,1197,68,199,17.602941176470587,0.001,-5.815051131778294,0.6120965894725587,1089,,
6,24.923941375000002,1268,72,198,17.61111111111111,0.001,-6.193449020385742,0.3929385584261682,1160,,
6,23.530921197368425,1340,76,197,17.63157894736842,0.001,-6.640356964535183,0.6730233314964507,1232,,
7,22.2889717625,1412,80,196,17.65,0.001,-6.6921874152289496,0.7407750731541051,1304,,
7,21.15921436904762,1484,84,194,17.666666666666668,0.001,-6.8839395840962725,0.6382078991995918,1376,,
8,20.139718647727275,1555,88,194,17.670454545454547,0.001,-7.278346008724636,0.7593922093510628,1447,,
8,19.21699422826087,1626,92,193,17.67391304347826,0.001,-7.448721249898274,1.0590804169575374,1518,,
8,18.353719302083334,1698,96,192,17.6875,0.001,-7.360104295942518,0.7963103809290462,1590,,
9,17.55819185,1770,100,191,17.7,0.001,-7.297834025488959,0.9449697815709643,1662,,
9,15.89333262,1841,104,191,17.2,0.001,-7.739942669868469,0.786152638056699,1733,,
9,15.600192139999999,1913,108,191,17.64,0.001,-7.614704291025798,0.974114254117012,1805,,
10,15.32180356,1983,112,190,18.06,0.001,-7.459698412153456,1.4605299374636482,1876,,
10,15.028366570000001,2054,116,190,18.49,0.001,-7.550210581885444,1.266887765791681,1946,,
11,14.73429615,2125,120,190,18.92,0.001,-7.711938977241516,1.5319129281184252,2017,,
11,14.436935099999998,2197,124,190,19.36,0.001,-7.65731143951416,1.159327314959632,2089,,
11,13.163373960000001,2268,128,190,19.34,0.001,-7.499558554755317,0.8334444090723991,2160,,
12,11.532509439999998,2339,132,189,19.15,0.001,-7.982853518591987,1.0731408248345058,2232,,
12,9.9214432,2410,136,190,18.98,0.001,-7.561278767055935,1.01640784740448,2302,,
12,8.311405270000002,2482,140,191,18.82,0.001,-7.869385189480251,1.5164581073655024,2374,,
,,2500,,,,0.001,-7.880645328097874,1.400826050175561,2392,17.85,-1.3849046763032675
13,6.74219563,2554,144,187,18.68,0.001,-7.325725078582764,1.5006933493746653,2446,,
14,5.14231071,2625,148,187,18.51,0.001,-7.850434422492981,1.1628408059477806,2517,,
14,3.54732535,2696,152,187,18.35,0.001,-7.397613737318251,1.3523988094594743,2588,,
14,1.9756351000000003,2768,156,187,18.21,0.001,-7.620944764879015,2.2595748785469265,2660,,
15,0.36176087999999995,2840,160,187,18.04,0.001,-7.823862340715197,1.0340078920125961,2732,,
15,-1.3149545300000003,2912,164,187,17.78,0.001,-7.341812557644314,1.5936731075247128,2804,,
15,-1.35330007,2985,168,187,17.88,0.001,-7.199855433570014,1.4844492579761304,2877,,
16,-0.54331617,3066,172,187,17.98,0.001,-7.010797765519884,0.9618987176153395,2953,,
16,0.30664617000000005,3150,176,188,18.1,0.001,-7.296690569983588,2.737401627831989,3037,,
17,0.7330359799999999,3229,180,187,18.17,0.001,-7.795897388458252,2.53474480509758,3116,,
17,1.94175925,3314,184,187,18.3,0.001,-7.497316577217796,1.977481717413122,3203,,
