rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
21.25,85,14.577585500000001,3581,0,4,,,,,,
16.125,129,12.18054775,136,0,8,-0.7569753328959147,37,0.001,0.03024118287222726,,
13.083333333333334,157,10.095588166666667,142,1,12,-0.7702506383260092,65,0.001,0.02985805193228381,,
11.5625,185,9.050376125,149,1,16,-0.765718400478363,93,0.001,0.019603249483874867,,
10.65,213,8.433431449999997,156,1,20,-0.8047011892000834,121,0.001,0.008150999168200153,,
10.041666666666666,241,8.011841291666666,163,1,24,-0.8846798340479533,149,0.001,0.003106496097253902,,
9.607142857142858,269,7.713457678571429,167,1,28,-0.8865848580996195,177,0.001,0.0017736555808889015,,
9.28125,297,7.49109415625,169,1,32,-0.9084779818852743,205,0.001,0.0019121413019352726,,
9.027777777777779,325,7.315978444444446,172,1,36,-0.9231699903806051,233,0.001,0.0020901095122098923,,
8.825,353,7.17740895,173,2,40,-1.0110559463500977,261,0.001,0.003408212647108095,,
8.659090909090908,381,7.064677181818182,174,2,44,-0.9964993000030518,289,0.001,0.0025082489009946585,,
8.520833333333334,409,6.968919729166667,175,2,48,-1.040174086888631,317,0.001,0.0034556140724037376,,
8.403846153846153,437,6.889305730769231,176,2,52,-1.0799400011698406,345,0.001,0.00715236591973475,,
9.160714285714286,513,8.669798089285715,182,2,56,-1.5268710093064741,406,0.001,0.03215048589151014,,
10.0,600,10.656411533333333,182,3,60,-2.0081806724721734,493,0.001,0.07642821561206471,,
10.734375,687,12.388328015625,179,3,64,-2.3841277252544057,581,0.001,0.11391305195336993,,
11.411764705882353,776,13.963556838235293,180,4,68,-2.6191497282548384,669,0.001,0.12054868618195708,,
11.972222222222221,862,15.294523000000002,179,4,72,-3.0321629264137964,755,0.001,0.14834043044935574,,
12.513157894736842,951,16.542883315789474,179,5,76,-3.425006801431829,844,0.001,0.16937625882300464,,
13.0,1040,17.671799175,179,5,80,-3.777655666524714,933,0.001,0.135239426554604,,
13.464285714285714,1131,18.73705767857143,180,6,84,-4.163561755960638,1023,0.001,0.16293412176045505,,
13.852272727272727,1219,19.646568625,179,6,88,-4.397331237792969,1112,0.001,0.1699545027857477,,
14.23913043478261,1310,20.53361219565218,180,7,92,-4.803015073140462,1202,0.001,0.16632166909782783,,
14.541666666666666,1396,21.252413791666665,180,7,96,-5.120781421661377,1289,0.001,0.21641310524534096,,
14.83,1483,21.939492849999997,180,8,100,-5.243307417089289,1376,0.001,0.18177391825751824,,
14.86,1571,22.89767215,180,8,104,-5.710435823960737,1464,0.001,0.1694547992876985,,
15.31,1660,24.075298189999998,180,9,108,-6.001212726939809,1552,0.001,0.16453539681705562,,
15.92,1749,25.401220540000004,181,9,112,-6.557059168815613,1642,0.001,0.12175584390111592,,
17.29,1914,28.28624736,185,10,116,-7.115525359199161,1749,0.001,0.17556508861127354,,
18.39,2052,30.140852650000003,179,11,120,-7.53411999615756,1943,0.001,0.2345360673286698,,
19.46,2187,32.177600139999996,182,11,124,-7.80833522011252,2047,0.001,0.48567050525120325,,
21.99,2468,36.47433925,185,13,128,-8.481226783049735,2318,0.001,0.6245733918746312,,
,2500,,,,,-8.829844623804092,2383,0.001,0.6915582104371144,84.9,156.0036296069622
24.7,2767,41.72211711,171,16,132,-9.46729085445404,2625,0.001,0.6914380859583616,,
27.07,3032,46.272466149999985,174,17,136,-10.14945446361195,2864,0.001,0.8438858795624513,,
29.21,3274,50.57829535,174,18,140,-11.13540778841291,3136,0.001,0.969315149567344,,
32.35,3616,56.904443660000005,178,20,144,-11.983892085940338,3444,0.001,1.2635217063567217,,
35.16,3925,62.49420155,179,21,148,-13.08909595580328,3754,0.001,1.3813080852290234,,
38.24,4261,68.66895546999999,180,23,152,-14.39571260851483,4097,0.001,1.703546855858592,,
39.86,4499,71.80743562,179,24,156,-15.442291906901769,4361,0.001,1.8531411066651344,,
42.21,4821,76.38766743,181,26,160,-16.49900988170079,4662,0.001,2.078229491969189,,
,5000,,,,,-17.29353292598281,4906,0.001,2.339944017487903,84.7,162.02484478652477
44.66,5153,81.1267654,173,29,164,-17.68176761893339,4993,0.001,2.3844581900656907,,
47.09,5485,85.86216911999998,174,31,168,-18.816396713256836,5319,0.001,2.6217012462161837,,
49.67,5829,90.92592667,174,33,172,-19.73360332222872,5658,0.001,3.3675752060357915,,
52.17,6168,95.82529229999999,175,35,176,-20.924747555754905,6001,0.001,2.8462264311724694,,
54.5,6490,100.27147323000003,175,37,180,-21.823448358580123,6322,0.001,2.923009893473457,,
56.26,6757,103.58702083,174,38,184,-22.431609834943497,6629,0.001,3.596094908458846,,
58.4,7059,107.69919367,175,40,188,-23.189083251953125,6890,0.001,4.277710870820648,,
60.19,7329,111.10004338000003,174,41,192,-23.878759454797816,7200,0.001,3.9481468752578452,,
,7500,,,,,-24.326468048095702,7376,0.001,4.194931948184967,46.85,82.45672822892666
61.14,7510,112.74527631000001,171,43,196,,,,,,
63.65,7848,117.66492597999999,173,45,200,-25.274317026138306,7677,0.001,4.333556598351326,,
65.6,8131,121.38608784999998,173,46,204,-26.061205122205948,7990,0.001,4.02741394881849,,
67.82,8442,125.69414436999998,174,48,208,-26.666806864184004,8271,0.001,4.940688729286194,,
70.35,8784,130.67237218,175,50,212,-27.292429015749978,8614,0.001,4.706299622853597,,
72.11,9125,134.09780236,175,51,216,-28.007891155424574,8955,0.001,4.721136457863308,,
72.67,9319,135.53557837,175,53,220,-28.49070649988511,9198,0.001,7.306271022016352,,
73.16,9503,135.94627185,175,54,224,-29.349185770208184,9398,0.001,13.943852878752208,,
71.09,9577,131.45679983000002,175,54,228,-29.0280234596946,9480,0.001,8.512468281246367,,
68.6,9627,126.19759483999998,176,54,232,-30.109588305155437,9530,0.001,8.48393871386846,,
