time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
91,3756,22.75,0,4,12.7314175,,,,,,
156,185,19.5,0,8,12.164606375,0.02370502632111311,0.001,-0.6571765661239624,55,,
196,187,16.333333333333332,1,12,9.92484225,0.003294856776483357,0.001,-0.7472144961357117,95,,
260,197,16.25,1,16,12.989530875,0.009590153984556144,0.001,-1.1155792691490867,147,,
350,200,17.5,1,20,18.290078049999998,0.027420258869163015,0.001,-1.6406957019459119,237,,
438,200,18.25,2,24,21.695840791666665,0.05541416862979531,0.001,-2.0802268331701104,325,,
527,201,18.821428571428573,2,28,24.201249107142853,0.07952015296640721,0.001,-2.539406191218983,414,,
616,203,19.25,3,32,24.8382750625,0.10040310973470862,0.001,-2.989047895778309,502,,
687,200,19.083333333333332,3,36,21.933309,0.09505047524968784,0.001,-3.0561459594302707,579,,
758,201,18.95,3,40,19.609959175,0.10467660953016843,0.001,-2.9735949635505676,649,,
829,201,18.84090909090909,4,44,17.714215636363637,0.15904100839462545,0.001,-2.8702246612972684,720,,
901,200,18.770833333333332,4,48,16.12959975,0.12536029455562434,0.001,-3.02825305196974,792,,
972,199,18.692307692307693,4,52,14.78979953846154,0.19179007493787342,0.001,-2.9825807677374945,864,,
1042,199,18.607142857142858,5,56,13.656471732142858,0.15617873892188072,0.001,-2.7593817114830017,933,,
1113,198,18.55,5,60,12.659931166666668,0.14325661067333487,0.001,-2.6988529364267984,1004,,
1184,196,18.5,6,64,11.795006734375,0.19114162565933335,0.001,-2.749618318345812,1075,,
1256,194,18.470588235294116,6,68,11.024747926470587,0.1887873336672783,0.001,-2.641748216417101,1147,,
1327,194,18.430555555555557,6,72,10.338738791666666,0.17070940399871154,0.001,-2.662479294670953,1218,,
1399,194,18.407894736842106,7,76,9.715958131578946,0.23689004530509314,0.001,-2.3830891450246177,1290,,
1471,193,18.3875,7,80,9.1593811125,0.2544209377633201,0.001,-2.497897254096137,1362,,
1543,192,18.36904761904762,7,84,8.655381261904763,0.18061371251112884,0.001,-2.3110089699427285,1434,,
1614,191,18.34090909090909,8,88,8.201198863636364,0.1976464767422941,0.001,-2.119800262980991,1505,,
1690,189,18.369565217391305,8,92,8.21443772826087,0.21367637109425333,0.001,-2.318564044104682,1577,,
1859,187,19.364583333333332,9,96,11.157870072916667,0.3664575167324232,0.001,-3.268762133338235,1741,,
1948,186,19.48,10,100,12.287951200000002,0.5884931550725646,0.001,-3.4682388088919898,1835,,
2044,187,19.53,10,104,13.448035270000002,0.45364461974664166,0.001,-3.873690735210072,1923,,
2280,188,21.24,12,108,17.2180881,0.5030399235096615,0.001,-4.595170681817191,2121,,
2500,,,,,,0.5342616009935041,0.001,-5.631732181266502,2358,266.35231225788596,121.3
2689,162,24.93,16,112,25.686903190000002,0.5872986566944,0.001,-5.935688840931859,2475,,
3108,160,28.48,19,116,33.92787711,0.930473320001413,0.001,-7.881703134442939,2950,,
3572,161,32.22,22,120,42.282318329999995,1.202953394385986,0.001,-9.854021146893501,3360,,
3940,161,35.02,24,124,48.36871978,1.6339968691269557,0.001,-11.767668081789601,3751,,
4334,161,38.07,26,128,55.190961699999995,2.1827548735671574,0.001,-13.671094046698677,4141,,
4721,161,41.05,29,132,62.23539043999999,3.1711706908381716,0.001,-15.321714109304,4536,,
5000,,,,,,2.6639647985448933,0.001,-16.39870536804199,4825,224.11534259021283,102.85
5124,152,44.37,33,136,71.09565454,3.3379633381253195,0.001,-16.855399077793336,4930,,
5537,152,47.79,36,140,80.30262518,3.632391365101704,0.001,-18.788721561431885,5342,,
5967,154,51.38,38,144,89.88290684999998,4.497042172025926,0.001,-20.577514685836494,5754,,
6392,155,54.91,41,148,99.26371649000001,4.62850923429836,0.001,-22.29261652628581,6199,,
6812,155,58.4,43,152,108.59366720999998,3.79547368735075,0.001,-24.01827467404879,6615,,
7295,156,62.53,46,156,119.18620923999997,4.681747780007831,0.001,-26.081809544967392,7081,,
7500,,,,,,4.091901377836863,0.001,-27.070054054260254,7324,262.3010337948799,119.9
7782,150,66.69,51,160,129.85926339000002,4.747522765590299,0.001,-28.144866328085623,7567,,
8269,151,70.85,54,164,140.55916252,4.158635296741454,0.001,-29.99304021415064,8055,,
8749,152,74.93,57,168,151.13576842,4.314330105020218,0.001,-31.765327072143556,8538,,
9247,153,79.2,60,172,162.07292095999998,5.310187586649197,0.001,-33.572317481040955,9028,,
9737,154,83.38,63,176,172.95412572999993,5.257079947379328,0.001,-35.50579071044922,9525,,
10000,,,,,,4.177319041821135,0.001,-36.68870305206816,9891,249.38602858781815,114.55
10221,150,87.5,68,180,183.64160274999998,4.123336356194293,0.001,-37.02238232972192,10013,,
10697,151,91.54,70,184,194.31322584999998,5.00125333404541,0.001,-38.12598056177939,10485,,
11198,151,95.84,73,188,205.42565383999997,4.386223441492902,0.001,-39.541303275288016,10970,,
11718,152,100.28,77,192,216.48876309,5.340898331254721,0.001,-40.840489745140076,11494,,
12202,152,103.43,80,196,224.07636882,5.341967441141605,0.001,-42.320462346076965,11985,,
12500,,,,,,5.500308322352033,0.001,-43.35080501849835,12346,281.6395785629749,128.25
12692,148,107.44,85,200,233.41173141000002,5.255476453087547,0.001,-43.61001471317176,12478,,
13176,149,111.32,88,204,242.60671833,5.854345202445984,0.001,-44.753655751546226,12964,,
13631,149,113.51,91,208,248.55988437,5.283612692678297,0.001,-45.96020201274327,13432,,
14079,150,113.9,93,212,249.87378151999997,5.912393576630922,0.001,-47.30565916817143,13879,,
14512,150,114.04,96,216,250.35594201,4.456069344723666,0.001,-48.03963526973018,14312,,
14944,151,113.72,98,220,250.19243920999997,4.7631564603911505,0.001,-48.97636816236708,14746,,
15000,,,,,,4.433779458019221,0.001,-48.770434613497756,14853,239.62449709773063,107.75
15378,148,114.38,103,224,252.40013571,4.542709071327139,0.001,-48.95304693999114,15178,,
15806,148,114.72,106,228,253.6139857,7.278285935239972,0.001,-50.427819665872825,15607,,
16234,149,115.13,108,232,254.86414624,6.958874984014602,0.001,-51.099257175739,16035,,
16671,149,115.47,111,236,256.00698481,4.413199237727244,0.001,-52.17078731678151,16469,,
17114,149,115.77,114,240,257.06896439,5.06302371540585,0.001,-52.765000291304155,16915,,
17500,,,,,,5.787572962266427,0.001,-53.308651253029154,17346,245.78101147413253,108.1
