time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
160,40.0,0,45.749433749999994,4,279,,,,,,
232,29.0,1,22.194041374999998,8,185,0.001,-1.1442716783947415,118,0.009967775265168812,,
304,25.333333333333332,1,14.362090583333332,12,187,0.001,-1.0063036746448941,190,0.007561586150485609,,
376,23.5,1,10.468486562499999,16,188,0.001,-0.9500791364245944,262,0.010695572037042843,,
446,22.3,2,8.130978549999998,20,188,0.001,-0.8621853457556831,332,0.017320638263805047,,
518,21.583333333333332,2,6.556847666666666,24,190,0.001,-0.8324293030632867,404,0.02883943822234869,,
590,21.071428571428573,3,5.397402857142857,28,191,0.001,-0.5539266897572411,476,0.031226739183896117,,
662,20.6875,3,4.539042,32,191,0.001,-0.47314708100424874,548,0.022537670149985287,,
734,20.38888888888889,3,3.8913823333333335,36,192,0.001,-0.44272245466709137,620,0.029883289606206946,,
806,20.15,4,3.3429220749999997,40,192,0.001,-0.30933969219525653,692,0.031585415152625904,,
878,19.954545454545453,4,2.9092092500000004,44,192,0.001,-0.22549172242482504,764,0.028260384117149644,,
1046,21.791666666666668,5,6.354414208333334,48,193,0.001,-0.9116050845810345,928,0.05169429696564164,,
1134,21.807692307692307,5,8.857441173076923,52,194,0.001,-1.4869267398660833,1016,0.2663276476616209,,
1221,21.803571428571427,6,10.977341607142858,56,194,0.001,-2.12519231709567,1103,0.2647606429051269,,
1309,21.816666666666666,6,12.836357249999999,60,195,0.001,-2.4478592655875464,1191,0.43671811846169556,,
1398,21.84375,7,14.480528218749999,64,195,0.001,-2.851148930462924,1280,0.46789654886180704,,
1485,21.83823529411765,7,15.883092544117645,68,195,0.001,-3.2877553593028677,1368,0.44853236458518286,,
1573,21.84722222222222,8,17.150750055555555,72,193,0.001,-3.878447099165483,1455,0.4381312277506698,,
1662,21.86842105263158,8,18.295742973684213,76,193,0.001,-4.502721179615367,1544,0.4824757061221383,,
1750,21.875,9,19.317350937500002,80,192,0.001,-4.91629729270935,1631,0.4731581892286028,,
1838,21.88095238095238,9,20.23847742857143,84,190,0.001,-5.307253187352961,1720,0.5130225121974945,,
1929,21.920454545454547,10,21.128329261363636,88,188,0.001,-5.960155129432678,1810,0.43880076252895855,,
2017,21.92391304347826,10,21.89392161956522,92,185,0.001,-6.624468066475608,1899,0.5060781904242255,,
2105,21.927083333333332,11,22.59750645833334,96,183,0.001,-6.814290696924383,1987,0.41461108963597904,,
2196,21.96,12,23.28842642,100,181,0.001,-7.3746936971491035,2077,0.452009124600369,,
2287,21.27,12,23.05058994,104,180,0.001,-7.916157046953837,2168,0.4098099314648172,,
2375,21.43,13,24.65436683,108,179,0.001,-8.517945506355979,2257,0.4100392088294029,,
2463,21.59,13,26.260013000000004,112,178,0.001,-8.843062660910867,2345,0.642576704648408,,
2500,,,,,,0.001,-9.138043316927822,2388,0.5484906867856071,22.05,38.899487036466596
2551,21.75,14,27.85941431,116,172,0.001,-9.238385980779475,2433,0.7106603189654972,,
2639,21.93,15,29.457369540000006,120,172,0.001,-9.570677497170188,2520,0.5076484842733904,,
2729,22.11,15,31.09361082,124,172,0.001,-10.197845379511515,2610,0.48148296838221344,,
2817,22.27,16,32.70400875,128,172,0.001,-10.08628225326538,2699,0.47134690767242793,,
2906,22.44,16,34.324363350000006,132,172,0.001,-10.612184091047807,2789,0.5922719415115274,,
2993,22.59,17,35.907033340000005,136,172,0.001,-11.203247833251954,2875,0.4475910024983542,,
3082,22.76,17,37.53374621,140,172,0.001,-11.668877775018865,2964,0.697815858504989,,
3171,22.93,18,39.15814571,144,172,0.001,-11.811944181268865,3053,0.7001111351925394,,
3260,22.14,18,38.95539261,148,173,0.001,-12.33334983478893,3142,0.5686034702441909,,
3348,22.14,19,38.94539143,152,174,0.001,-12.733719825744629,3230,0.5910189354961569,,
3435,22.14,19,38.941714960000006,156,174,0.001,-12.680884647369385,3317,0.5790066534564609,,
3526,22.17,20,38.98309141,160,174,0.001,-12.871428489685059,3407,0.8258601576089859,,
3614,22.16,20,38.969430630000005,164,174,0.001,-13.255811084400523,3497,0.7896815673871473,,
3702,22.17,21,38.98100172,168,175,0.001,-13.690742145885121,3584,0.7214398004791953,,
3792,22.19,21,39.014679560000005,172,175,0.001,-14.069413618607955,3673,0.6581966958262704,,
3881,22.19,22,39.0191843,176,175,0.001,-14.678981347517533,3763,0.7362375622210295,,
3970,22.2,22,39.03374315000001,180,174,0.001,-14.61326417055997,3852,0.7957007681781595,,
4058,22.2,23,39.03120750000001,184,174,0.001,-15.107315063476562,3940,0.640068416084562,,
4144,22.15,23,38.95509534,188,173,0.001,-15.329049968719483,4027,0.6227123339970907,,
4229,22.12,24,38.90546444,192,173,0.001,-15.457650704817338,4112,0.7703416673910051,,
4318,22.13,24,38.925030529999994,196,173,0.001,-15.603652780706232,4199,0.7356420647014271,,
4407,22.11,25,38.896453740000005,200,173,0.001,-16.115693352439187,4289,1.2571495094082572,,
4497,22.1,25,38.87915781000001,204,174,0.001,-16.39612579345703,4379,0.5832044983452017,,
4588,22.13,26,38.92870955,208,174,0.001,-16.54404592514038,4470,0.7417689639589061,,
4677,22.14,26,38.93843668,212,173,0.001,-16.959634607488457,4559,0.8014473707779594,,
4764,22.13,27,38.90766098,216,173,0.001,-17.14733297174627,4646,0.9476742716062636,,
4851,22.12,27,38.894130870000005,220,173,0.001,-17.20772899280895,4734,1.0528145947239615,,
4942,22.13,28,38.90642572,224,173,0.001,-17.731421383944426,4823,0.5512461765952732,,
5000,,,,,,0.001,-17.355669498443604,4890,0.8961896935234899,22.05,38.89948635697365
5031,22.14,29,38.929303770000004,228,169,0.001,-17.345061735673383,4913,0.5673049105250317,,
5122,22.16,30,38.9618727,232,169,0.001,-17.926164973865856,5003,0.8933306971321935,,
5210,22.17,30,38.99370543,236,169,0.001,-17.954525340687145,5092,1.2128376026045193,,
5299,22.17,31,38.99002109,240,168,0.001,-18.360924634066496,5182,0.4868925471197475,,
5388,22.17,31,38.991065369999994,244,168,0.001,-18.723228454589844,5270,0.725909482349049,,
5477,22.17,32,38.98056826,248,168,0.001,-19.199757315895774,5359,0.7909150692549619,,
5566,22.18,32,38.99861752,252,168,0.001,-19.096158981323242,5448,0.6180096769874747,,
5657,22.22,33,39.05290195,256,169,0.001,-19.268616242842242,5539,0.5577011639657228,,
5745,22.19,33,39.00981148,260,169,0.001,-19.224752946333453,5627,0.6990663517605175,,
