rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/loss,train/std,train/approx_kl,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/value_loss,eval/mean_ep_length,train/clip_range
18.25,2,815,1,14.665153249999998,2048,,,,,,,,,,,,,
,,,,,2500,-4.224006871879101,0.191650390625,10,0.03475314378738403,8.642020225524902,0.9799797534942627,0.015434429,74.26229257583618,-0.01931993768666871,0.0003,45.61998425722122,46.45,0.2
24.9,7,517,2,23.687827990000002,4096,,,,,,,,,,,,,
,,,,,5000,-4.189446337521076,0.134765625,20,0.310133695602417,50.493446350097656,0.9760270118713379,0.01374419,61.21701064109802,-0.019748970010550693,0.0003,123.83913805484772,37.9,0.2
33.09,12,501,3,42.01921135,6144,,,,,,,,,,,,,
,,,,,7500,-4.185639168322086,0.12412109375,30,0.2474651336669922,72.82308959960938,0.9779126644134521,0.012371838,56.166700083017346,-0.02035696742241271,0.0003,181.54200315475464,34.7,0.2
39.62,16,483,4,56.66554302,8192,,,,,,,,,,,,,
,,,,,10000,-4.180369080603123,0.106005859375,40,0.18751204013824463,111.79003143310547,0.9716671705245972,0.009318473,54.020819360017775,-0.015281141651212238,0.0003,223.89476189613342,33.35,0.2
45.88,21,482,5,71.15997499,10240,,,,,,,,,,,,,
51.2,25,488,6,86.68840640999998,12288,-4.16403681486845,0.082275390625,50,0.09657561779022217,113.13732147216797,0.9672688841819763,0.010003079,,-0.014678626388194971,0.0003,275.3799616336822,,0.2
,,,,,12500,-4.15149086266756,0.086083984375,60,0.010118305683135986,113.68754577636719,0.9644694328308105,0.0094981985,216.41734066009522,-0.011603898610337638,0.0003,306.7138226032257,95.95,0.2
60.54,30,467,7,108.88817278999998,14336,,,,,,,,,,,,,
,,,,,15000,-4.144763265550137,0.05703125,70,0.01239687204360962,163.7781982421875,0.9628163576126099,0.007075375,230.47525736689568,-0.009291633425164036,0.0003,415.61308922767637,102.7,0.2
68.65,36,449,8,130.34714551000002,16384,,,,,,,,,,,,,
,,,,,17500,-4.130332680046559,0.04873046875,80,0.017957627773284912,182.86180114746094,0.9549678564071655,0.006699431,223.93209527730943,-0.008033568426617422,0.0003,425.12252283096313,99.3,0.2
76.5,41,440,9,151.73570933,18432,,,,,,,,,,,,,
,,,,,20000,-4.117742051184178,0.05244140625,90,0.15241897106170654,133.82150268554688,0.9548557996749878,0.006660643,253.38478457927704,-0.009450688768993132,0.0003,423.8057057380676,109.5,0.2
83.52,47,429,10,170.72264163,20480,,,,,,,,,,,,,
