time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,time/fps,train/n_updates,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/critic_loss,eval/mean_ep_length,eval/mean_reward
117,32.5069065,0.001,96,83,-1.3242688179016113,1,29.25,4,0.12268096421446119,,
145,17.628395375,0.001,100,111,-1.2987579504648845,1,18.125,8,0.075209022632667,,
173,12.634988916666664,0.001,104,139,-1.1769681374231975,1,14.416666666666666,12,0.05725278811795371,,
201,10.115579499999999,0.001,106,167,-1.1659015417099,1,12.5625,16,0.05030754181955542,,
229,8.6082261,0.001,109,195,-1.1705812613169353,2,11.45,20,0.040662839476551325,,
257,7.601848166666667,0.001,111,223,-1.0572819511095684,2,10.708333333333334,24,0.03963150709335293,,
285,6.894558321428572,0.001,113,251,-1.1985540390014648,2,10.178571428571429,28,0.02744926618678229,,
313,6.37110390625,0.001,114,279,-1.0712443192799885,2,9.78125,32,0.031115494801529815,,
341,5.948030305555555,0.001,116,307,-1.083106795946757,2,9.472222222222221,36,0.031890842864023786,,
369,5.615186250000001,0.001,117,335,-0.9999371767044067,3,9.225,40,0.048642595032496114,,
397,5.343915045454547,0.001,117,363,-0.9401297370592753,3,9.022727272727273,44,0.03886752562331302,,
425,5.1031221874999995,0.001,117,391,-1.029981255531311,3,8.854166666666666,48,0.04466746787407568,,
453,4.903352115384616,0.001,118,419,-1.017079730828603,3,8.711538461538462,52,0.044631115560020716,,
481,4.732454732142857,0.001,118,447,-0.9454602003097534,4,8.589285714285714,56,0.035095203800925186,,
509,4.5876706333333335,0.001,118,475,-0.9300681749979655,4,8.483333333333333,60,0.018185208418539593,,
537,4.463110453125,0.001,119,503,-1.0509008367856343,4,8.390625,64,0.014941089919635228,,
567,4.353756911764705,0.001,120,531,-1.1802924275398254,4,8.338235294117647,68,0.018645582853683403,,
639,3.9791320694444448,0.001,121,594,-1.0633517172601488,5,8.875,72,0.04396938242846065,,
711,3.6476597500000003,0.001,121,666,-1.0887648397021823,5,9.355263157894736,76,0.05582360985378424,,
860,6.2496548125,0.001,123,811,-1.8084815382957458,6,10.75,80,0.22348270937800407,,
948,7.743835833333334,0.001,123,899,-2.1226086616516113,7,11.285714285714286,84,0.6480779173699293,,
1033,8.668661454545456,0.001,123,988,-2.8208823637528853,8,11.738636363636363,88,0.5620970433069901,,
1102,8.205407836956521,0.001,123,1058,-2.6346945762634277,8,11.978260869565217,92,0.6165459954904186,,
1174,7.759973666666666,0.001,124,1129,-2.852917618221707,9,12.229166666666666,96,0.803771436214447,,
1245,7.3583101499999986,0.001,123,1200,-2.480759686893887,10,12.45,100,0.5179994619554944,,
1317,5.956174,0.001,122,1272,-2.4510099622938366,10,12.0,104,0.5197575986385345,,
1388,5.7519193500000005,0.001,123,1343,-2.1170679181814194,11,12.43,108,0.4269888839300941,,
1460,5.54226445,0.001,123,1415,-2.3115808566411338,11,12.87,112,0.4389604810211394,,
1532,5.34391725,0.001,123,1487,-2.111467202504476,12,13.31,116,0.38275177859597737,,
1603,5.14580383,0.001,123,1559,-2.1435201168060303,12,13.74,120,0.37081681854195064,,
1675,4.94037937,0.001,123,1630,-1.8896476162804499,13,14.18,124,0.4734683318270577,,
1747,4.746993739999999,0.001,123,1702,-2.1089340845743814,14,14.62,128,0.39289964942468536,,
1819,4.5401972,0.001,124,1774,-1.9583127366171942,14,15.06,132,0.3647724870178435,,
1891,4.3438363099999995,0.001,124,1846,-1.776608493593004,15,15.5,136,0.31162601709365845,,
1963,4.141327519999999,0.001,124,1918,-1.456169307231903,15,15.94,140,0.31009062172638047,,
2035,3.9373456900000003,0.001,124,1990,-1.3428032729360793,16,16.38,144,0.36337262474828297,,
2107,3.7485859899999996,0.001,124,2062,-1.4655083881484137,16,16.82,148,0.3179381638765335,,
2179,3.54301964,0.001,124,2134,-1.5804300242000155,17,17.26,152,0.22454104986455706,,
2251,3.34084532,0.001,125,2206,-0.9405678245756361,17,17.7,156,0.2411530518697368,,
2322,3.14744662,0.001,125,2277,-1.2660018354654312,18,18.13,160,0.5160477941527086,,
2393,2.95217502,0.001,125,2348,-1.2981358501646254,19,18.56,164,0.26133019684089553,,
2464,2.7554662899999993,0.001,125,2420,-0.9340056048499213,19,18.97,168,0.2901839373840226,,
2500,,0.001,,2455,-1.003044264184104,,,,0.31678242629600895,17.85,-2.381144991889596
2536,2.7622183199999997,0.001,122,2491,-0.7620841397179497,20,18.97,172,0.2484715013868279,,
2606,2.769591229999999,0.001,122,2562,-1.0191326000624232,21,18.95,176,0.5885535039835506,,
2678,0.43730931999999995,0.001,122,2633,-0.2264228333822555,21,18.18,180,0.41259428093002903,,
2750,-1.16118088,0.001,123,2705,-0.5009943693876266,22,18.02,184,0.3246849233077632,,
2821,-2.3808713200000002,0.001,123,2776,-0.1458826321694586,22,17.88,188,0.38993040037651855,,
2893,-2.3957235,0.001,124,2848,-0.2886568945315149,23,17.91,192,0.2773351683798764,,
2964,-2.38740659,0.001,124,2920,-0.11820124338070552,23,17.9,196,0.3045990992751386,,
3036,-2.3975318800000003,0.001,124,2991,0.03557910770177841,24,17.91,200,0.2983696295155419,,
3108,-2.3884530199999996,0.001,124,3063,0.06620391706625621,24,17.91,204,0.2793651740584109,,
3180,-2.39491924,0.001,124,3135,0.1467464109365311,25,17.92,208,0.23499167006876734,,
3251,-2.3844459700000002,0.001,124,3207,0.39492789862884414,26,17.91,212,0.28666984165708226,,
3322,-2.3825207799999997,0.001,124,3277,0.574838800355792,26,17.9,216,0.34991738024879904,,
3394,-2.3902996999999995,0.001,124,3349,0.9217799968189664,27,17.91,220,0.19851964174045456,,
3465,-2.38069692,0.001,124,3421,0.6306150191360049,27,17.9,224,0.5550459971030554,,
3537,-2.39409864,0.001,124,3492,0.763711778447032,28,17.9,228,0.19670974380440182,,
3608,-2.3947063699999998,0.001,124,3563,0.938768059015274,28,17.89,232,0.29594286324249375,,
3680,-2.40038121,0.001,124,3635,0.6249044703112708,29,17.89,236,0.228539337300592,,
3752,-2.40495059,0.001,124,3707,0.7919613636202283,30,17.89,240,0.26150432601571083,,
3824,-2.40331974,0.001,124,3779,0.8592187795374129,30,17.89,244,0.12427080877953106,,
3896,-2.41551299,0.001,124,3851,1.1818753679593403,31,17.89,248,0.24436937355332905,,
3968,-2.39656074,0.001,125,3923,1.29418283700943,31,17.89,252,0.359171054015557,,
4038,-2.38075744,0.001,125,3994,1.3291980889108446,32,17.87,256,0.18611281277502284,,
4108,-2.37572356,0.001,125,4064,1.5547957354121738,32,17.86,260,0.17406479972932073,,
4180,-2.3790088000000003,0.001,125,4135,1.472239527437422,33,17.87,264,0.20035869628190994,,
4251,-2.3769622700000004,0.001,125,4206,1.5642606947157118,33,17.87,268,0.34892698158236113,,
4323,-2.3855127599999997,0.001,125,4278,1.7311048640145197,34,17.87,272,0.18102560523483488,,
4395,-2.3978710600000004,0.001,125,4350,1.6487932337654962,35,17.89,276,0.22718352182871765,,
