time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,13.0,52,10.245141,3027,4,,,,,,
1,32.875,263,30.643248125,216,8,0.001,119,-1.0544288976717804,0.0967707363810359,,
2,36.916666666666664,443,44.27395575,160,12,0.001,296,-2.021861433982849,0.0861976002342999,,
4,38.0625,609,49.76950818750001,142,16,0.001,468,-2.622532320022583,0.1876284352814158,,
5,39.2,784,53.69920930000001,133,20,0.001,646,-3.2882036229838496,0.2573156168063482,,
7,39.5,948,55.691201250000006,128,24,0.001,808,-3.8867830208369663,0.32519018995974747,,
8,39.392857142857146,1103,56.60114982142857,124,28,0.001,966,-4.42430313428243,0.5000674583017826,,
10,39.40625,1261,57.426885156249995,123,32,0.001,1123,-4.9415435791015625,0.48294589977438857,,
11,38.30555555555556,1379,56.371898972222226,121,36,0.001,1255,-5.364748096466064,0.4235780847168738,,
12,37.225,1489,55.26221595,118,40,0.001,1367,-5.760589689016342,0.44096923735924065,,
13,36.29545454545455,1597,54.31410959090909,117,44,0.001,1476,-6.038743662834167,0.6031565242088758,,
14,35.3125,1695,53.211804875000006,117,48,0.001,1569,-6.275564034779866,0.47528154075145723,,
15,34.75,1807,52.6680013076923,116,52,0.001,1686,-6.708835506439209,0.5591968231160065,,
16,34.267857142857146,1919,52.16544401785715,116,56,0.001,1790,-7.143689999213586,0.58228759765625,,
17,33.56666666666667,2014,51.34096063333334,115,60,0.001,1891,-7.510207772254944,0.6551201343536377,,
18,32.96875,2110,50.6459698125,115,64,0.001,1986,-7.658806757493452,0.7293731597336855,,
19,32.39705882352941,2203,49.99044082352942,115,68,0.001,2081,-7.8799427205866035,0.7527416660027071,,
19,31.819444444444443,2291,49.312716791666666,115,72,0.001,2170,-8.29518157785589,0.8893255415287885,,
20,31.30263157894737,2379,48.70214730263158,115,76,0.001,2258,-8.575081391768022,0.744881884618239,,
21,30.9125,2473,48.244907575,115,80,0.001,2352,-8.798508246739706,1.1367139064747354,,
,,2500,,,,0.001,2397,-9.189732898365367,0.8277501101079194,22.05,37.903825572133066
22,30.488095238095237,2561,47.74571539285714,112,84,0.001,2440,-9.271769697015936,0.90449772136552,,
23,30.113636363636363,2650,47.32300854545454,112,88,0.001,2529,-9.470036073164506,0.8664819844391035,,
24,29.77173913043478,2739,46.919085163043476,112,92,0.001,2617,-9.61589596488259,0.9762570532885465,,
25,29.458333333333332,2828,46.554322791666664,112,96,0.001,2706,-10.096797422929244,0.909564190290191,,
26,29.19,2919,46.23610317,112,100,0.001,2797,-10.178476507013494,1.0666086285010627,,
26,29.54,3006,47.31255999000001,111,104,0.001,2886,-10.449949437921697,1.0031867989084937,,
27,28.34,3097,46.83141493000001,111,108,0.001,2975,-10.633846456354314,0.8653464991113414,,
28,27.42,3185,45.47495165999999,110,112,0.001,3064,-11.03197904066606,0.8936098705638539,,
29,26.62,3271,44.298021719999994,110,116,0.001,3150,-11.065619902177291,0.8398499299179424,,
30,25.72,3356,42.97131095,110,120,0.001,3236,-11.46741988442161,0.9016751079332261,,
31,24.96,3444,41.85498793,110,124,0.001,3323,-11.783204945650967,0.9793956103650007,,
31,24.29,3532,40.87788791,111,128,0.001,3411,-12.067065412347967,0.9272248230197213,,
32,23.57,3618,39.82508251,111,132,0.001,3498,-12.054355881430887,1.1559559675780209,,
33,23.28,3707,39.42842295,111,136,0.001,3586,-12.245439529418945,0.946767655285922,,
33,23.03,3792,39.07231176,111,140,0.001,3672,-12.257418459111994,1.0437366167704265,,
34,22.81,3878,38.74465045,112,144,0.001,3757,-12.632879161834717,1.1211681053751992,,
35,22.75,3970,38.668538309999995,112,148,0.001,3848,-12.768072525660196,1.2488224817358928,,
35,22.5,4057,38.30028165999999,113,152,0.001,3936,-13.177814657037908,0.9777825285087932,,
36,22.25,4144,37.95513787,113,156,0.001,4024,-13.092263481833719,0.9646323567087,,
37,22.17,4231,37.83934212,113,160,0.001,4110,-13.240985696965998,1.1685666739940643,,
37,22.08,4318,37.70960229,114,164,0.001,4197,-13.893899137323553,1.4081952355124734,,
38,22.01,4404,37.58037164999999,114,168,0.001,4283,-13.54062609239058,1.1344012157483534,,
39,21.98,4489,37.51402725,114,172,0.001,4368,-13.741048726168545,1.441860216004508,,
39,21.99,4578,37.503279920000004,115,176,0.001,4457,-14.18493973125111,1.0478716233502263,,
40,21.91,4664,37.38600908,115,180,0.001,4544,-14.3400672565807,0.924637724052776,,
41,21.9,4751,37.35085895,115,184,0.001,4630,-14.165311986749822,1.0941618924791163,,
41,21.89,4839,37.30205401,115,188,0.001,4718,-14.805127837441184,0.9660517492077567,,
42,21.87,4926,37.25244041,116,192,0.001,4805,-15.088529326698996,1.074926880272952,,
,,5000,,,,0.001,4894,-14.975699598138982,0.9555620659481395,22.1,37.27641507983208
43,21.87,5015,37.22626768000001,114,196,,,,,,
44,21.88,5107,37.223944450000005,115,200,0.001,4985,-15.075456857681274,1.152802936732769,,
45,21.91,5197,37.24563606,115,204,0.001,5075,-15.165942452170633,0.9192324773125027,,
45,21.9,5287,37.20047453,115,208,0.001,5165,-15.311572768471457,1.3782161059586897,,
46,21.93,5378,37.22676111,115,212,0.001,5257,-15.678307723999023,1.274189639659155,,
47,21.99,5470,37.313843170000006,116,216,0.001,5348,-15.574858585993448,1.2888553479443425,,
47,22.03,5559,37.368419429999996,116,220,0.001,5438,-15.993561831387607,1.0974712480198254,,
48,22.06,5650,37.399377439999995,116,224,0.001,5528,-16.037561575571697,1.262996318547622,,
49,22.13,5745,37.47824456,116,228,0.001,5622,-16.103041995655406,1.03899378397248,,
50,22.17,5835,37.528934449999994,116,232,0.001,5713,-15.906763336875223,1.185154378414154,,
50,22.22,5929,37.59436572999999,116,236,0.001,5807,-16.23535219828288,0.8746410210927328,,
51,22.32,6024,37.74208201999999,116,240,0.001,5902,-16.64965303738912,0.9515174160832944,,
52,22.43,6121,37.903798869999996,117,244,0.001,5999,-16.580316983736477,0.8771015891322383,,
53,22.5,6220,37.990986469999996,117,248,0.001,6096,-16.65791078714224,1.0046597242355346,,
53,22.62,6319,38.16973649,117,252,0.001,6195,-16.95208740234375,1.5148698902130127,,
54,22.78,6422,38.39487465,117,256,0.001,6297,-17.385645646315353,1.2890368126905882,,
55,22.95,6526,38.643478470000005,117,260,0.001,6400,-17.164259837223934,0.9888965702056884,,
56,23.2,6638,39.00562076,117,264,0.001,6511,-17.503884829007664,1.0404009498082674,,
57,23.62,6766,39.64225266,118,268,0.001,6638,-17.222248204549153,0.9718463063240051,,
58,24.02,6891,40.23929996,118,272,0.001,6761,-17.56977707999093,0.7767797634005547,,
59,24.29,7007,40.642955199999996,118,276,0.001,6880,-17.471595082964217,1.006734596831458,,
59,24.58,7122,41.056741280000004,118,280,0.001,6991,-17.64821250098092,1.0008218309709005,,
60,24.89,7240,41.51348692,119,284,0.001,7107,-18.022157396589005,0.9291847923706318,,
61,25.12,7351,41.84592302,119,288,0.001,7225,-17.88799844469343,1.6801498660019465,,
62,25.37,7463,42.207228959999995,119,292,0.001,7337,-17.888152599334717,1.0559473974364144,,
,,7500,,,,0.001,7391,-18.214728575486404,0.9346131086349487,27.7,45.208277609944346
64,25.58,7573,42.50940157,118,296,0.001,7447,-18.11200863974435,1.4698848617928368,,
64,25.79,7686,42.816055160000005,118,300,0.001,7559,-18.274454389299667,1.0181389451026917,,
65,26.0,7797,43.11731115,118,304,0.001,7670,-17.709518273671467,1.510664090514183,,
66,26.21,7908,43.435771489999986,118,308,0.001,7781,-18.48951955942007,1.0417303266348663,,
67,26.42,8020,43.740503829999994,118,312,0.001,7893,-18.30224977220808,1.0347228646278381,,
68,26.64,8134,44.04462406,119,316,0.001,8007,-18.48605613708496,1.0941446503003438,,
69,26.85,8244,44.35630888,119,320,0.001,8117,-18.435002693763145,1.419836320258953,,
69,27.1,8360,44.72181122999999,119,324,0.001,8233,-19.023372377668107,1.3589226262910026,,
70,27.29,8474,44.99536352000001,119,328,0.001,8347,-18.666071483067103,0.9498342616217477,,
71,27.55,8590,45.367811520000004,119,332,0.001,8463,-19.16930917593149,0.9100015317952191,,
72,27.7,8699,45.57046728,119,336,0.001,8573,-18.962264427771935,0.9982340976043984,,
73,27.89,8813,45.83014711999999,120,340,0.001,8685,-19.4959933417184,0.8589207530021667,,
74,28.08,8929,46.10185707000001,120,344,0.001,8798,-19.010376930236816,0.974598269377436,,
75,28.26,9046,46.37025239,120,348,0.001,8919,-19.172548039754233,1.7394300160869476,,
76,28.4,9159,46.56139039999999,120,352,0.001,9030,-19.616249901907786,0.8599054451499667,,
77,28.55,9277,46.78279106,120,356,0.001,9146,-19.13671989440918,0.9906487385431926,,
77,28.69,9395,46.98547481,120,360,0.001,9267,-19.686062494913738,1.377377410729726,,
78,28.71,9509,47.00253662,120,364,0.001,9381,-19.56642941066197,0.9115497891245217,,
79,28.55,9621,46.74448901999999,120,368,0.001,9494,-19.298693111964635,1.4745930582284927,,
80,28.5,9741,46.65811691,120,372,0.001,9613,-19.674945422581263,0.9909561790268997,,
81,28.56,9863,46.741417889999994,120,376,0.001,9736,-19.989814162254333,0.9700819234694203,,
82,28.69,9991,46.94534734,121,380,0.001,9862,-19.903538703918457,1.278262089460324,,
,,10000,,,,0.001,9892,-20.40156669616699,1.2648619711399078,29.95,48.88139293193817
84,28.74,10114,47.00885275,120,384,0.001,9984,-19.898544311523438,0.934006641651022,,
85,28.91,10242,47.27248030999999,120,388,0.001,10114,-20.03317337036133,1.0005007221780975,,
86,29.0,10363,47.41750504000001,120,392,0.001,10232,-20.323924763997397,1.0667882952196845,,
87,29.75,10548,48.93128983,120,396,0.001,10421,-19.847418626149494,1.2393452574297326,,
88,29.83,10669,49.05999862999999,120,400,0.001,10540,-20.358032703399658,1.060355955554593,,
89,30.39,10836,50.05584066,120,404,0.001,10706,-19.91757571697235,1.6559534966945648,,
90,31.06,11014,51.41795867,121,408,0.001,10885,-19.59229825337728,1.1255756616592407,,
91,31.21,11141,51.6419702,121,412,0.001,11007,-19.73206329345703,1.500218920169338,,
92,31.26,11260,51.72715115000001,121,416,0.001,11131,-20.235927854265487,1.1679025436269825,,
93,31.39,11383,51.924484650000004,121,420,0.001,11253,-19.839846165974937,2.0051789129934003,,
94,31.49,11509,52.06660264999999,121,424,0.001,11379,-20.413156986236572,1.4123505426175667,,
95,32.34,11708,53.76591158,122,428,0.001,11501,-20.266689173380534,1.0377668261528015,,
97,33.1,11900,55.210942610000004,121,432,0.001,11770,-20.261773173014323,1.369741506377856,,
98,33.69,12068,56.31696911000002,122,436,0.001,11893,-20.152562379837036,1.3143569100648165,,
99,33.97,12210,56.7827257,122,440,0.001,12080,-20.135554275512696,1.5394681096076965,,
100,34.02,12331,56.85942383000001,122,444,0.001,12202,-20.252511739730835,1.650200484260436,,
101,34.07,12453,56.93383656000001,122,448,0.001,12322,-19.91898053487142,1.707950102871862,,
,,12500,,,,0.001,12354,-19.8245587348938,2.05568821169436,35.1,59.26459904909134
104,35.05,12664,58.90288324,121,452,0.001,12536,-20.27405161735339,1.4010704453889427,,
105,35.08,12785,58.959772439999995,121,456,0.001,12656,-20.50722885131836,1.5433302640914917,,
106,35.56,12951,59.92449124999999,121,460,0.001,12823,-20.149931054366263,1.56696276523565,,
107,36.1,13119,60.98130459,121,464,0.001,12990,-19.654115557670593,1.644057160423648,,
108,36.19,13240,61.13226052,121,468,0.001,13110,-20.32034403483073,1.4906418899009968,,
109,36.22,13363,61.18637543000002,121,472,0.001,13234,-20.13121521472931,1.865749434117348,,
111,36.69,13532,62.16909300000001,121,476,0.001,13402,-20.22175407409668,1.61185745228278,,
112,36.86,13677,62.45316842000001,121,480,0.001,13547,-19.608574040730794,1.411483880012266,,
113,36.88,13802,62.50377086999999,122,484,0.001,13673,-20.09211540222168,2.4115292469660443,,
114,37.05,13947,62.81983568999999,122,488,0.001,13817,-20.58427365620931,1.5093739154162231,,
115,37.29,14092,63.244679659999996,122,492,0.001,13963,-20.537956091073845,1.2993709647430565,,
116,36.69,14217,61.9715502,122,496,0.001,14087,-20.281140772501626,1.3270689095220258,,
,,15000,,,,0.001,14232,-20.820755004882812,1.2958871212697798,976.45,1000.4183826731053
143,46.29,15298,71.77833026,106,500,,,,,,
153,50.29,15865,75.72798955,103,504,0.001,15677,-22.22361691792806,2.584582079961462,,
155,52.22,16236,78.11449421,104,508,0.001,16034,-22.61875159164955,2.4868538564649123,,
158,54.19,16560,81.5591099,104,512,0.001,16386,-22.788632074991863,2.100516052313254,,
160,56.59,16919,86.21044584,105,516,0.001,16714,-23.19135175966749,2.356581252400238,,
164,59.52,17335,91.53175287,105,520,0.001,17132,-23.474149153782772,2.236540130619864,,
,,17500,,,,0.001,17361,-23.9048557589131,2.8215074491500856,112.4,213.0977586954832
170,62.64,17773,97.74097409999999,104,524,0.001,17569,-23.89934794108073,3.6588020579328813,,
173,64.36,18144,100.67072177999998,104,528,0.001,18003,-24.36662368774414,2.8792997460719967,,
176,67.53,18653,106.29073793999999,105,532,0.001,18411,-25.20874001844874,2.8358324440020435,,
181,71.59,19227,113.12489958999998,106,536,0.001,18965,-25.36708900663588,3.0467182737257748,,
185,76.01,19811,120.57445496999999,106,540,0.001,19578,-25.836117817805363,3.2695141705947046,,
,,20000,,,,0.001,19872,-26.219445037841798,3.6051746390759947,158.55,258.37078588306906
194,80.75,20406,128.56697088,104,544,0.001,20173,-26.490636881660013,3.5734618371420535,,
198,83.85,20838,134.66963886,105,548,0.001,20631,-27.197673139900996,4.408928018349868,,
201,86.01,21265,139.05746925000003,105,552,0.001,21061,-27.387287378311157,3.409566898431097,,
204,89.04,21689,145.35875391000002,105,556,0.001,21481,-27.6754021554623,4.215030072994952,,
207,91.65,22116,150.76308272999998,106,560,0.001,21912,-28.01793210011608,3.7397513502049,,
,,22500,,,,0.001,22346,-28.145184299402068,4.294088846814316,113.55,216.29789394140244
214,94.4,22559,156.32120537999998,105,564,,,,,,
217,97.7,23010,162.83233973,105,568,0.001,22796,-28.670860993234736,4.576280584377525,,
221,101.18,23481,169.34754684,106,572,0.001,23263,-29.741713947719997,5.420450431491257,,
224,103.52,23884,173.85364353,106,576,0.001,23710,-29.776875312511738,5.149255957741004,,
227,105.79,24256,178.43050036,106,580,0.001,24056,-30.198505679043855,5.2083798362574445,,
230,109.21,24723,185.00065048999997,107,584,0.001,24481,-30.453268911324294,6.009848763641802,,
,,25000,,,,0.001,24845,-30.930396684010823,5.406765631407746,109.3,206.4265886873007
236,112.19,25166,190.90820153,106,588,0.001,24951,-31.06779044529177,5.387666892330602,,
240,115.08,25600,196.69367446,106,592,0.001,25397,-31.722183368824147,6.55253930594943,,
243,118.29,26046,203.09391244,106,596,0.001,25837,-32.20243954658508,6.323732029020259,,
246,111.9,26488,199.67623764,107,600,0.001,26280,-32.50759700700348,6.563209476424198,,
250,110.5,26915,201.19871729000002,107,604,0.001,26708,-33.23012478010995,6.42885584444613,,
253,111.21,27357,203.95597204999999,107,608,0.001,27148,-33.71521422822597,6.71317034454669,,
,,27500,,,,0.001,27359,-33.803517227172854,6.252128530256819,113.5,210.82016362845897
259,112.14,27774,206.52776477999998,106,612,0.001,27570,-33.889925231933596,7.847412135865953,,
263,112.9,28209,208.18939440000003,107,616,0.001,28001,-34.222495506549706,8.613590242533848,,
266,113.14,28649,209.10846869,107,620,0.001,28433,-34.5227230919732,8.334234095494681,,
269,113.26,29099,209.23727685999998,107,624,0.001,28888,-34.6709568717263,7.681082790548151,,
273,113.99,29543,211.13064027000001,108,628,0.001,29332,-35.105158032111405,7.133009079492317,,
276,113.29,29982,210.54774905000002,108,632,0.001,29773,-35.47386571339199,6.8618308114154,,
,,30000,,,,0.001,29883,-35.95070544156161,9.045579733631827,107.05,205.04008506834506
283,111.95,30422,209.0961985,107,636,0.001,30210,-35.91900174371128,7.74064008049343,,
286,110.47,30858,207.61573197,107,640,0.001,30654,-36.513913699558806,9.465683838268658,,
289,108.67,31273,205.75132243999997,107,644,0.001,31066,-36.77456686631689,8.54881136417389,,
292,108.52,31690,205.77412748999996,108,648,0.001,31486,-36.67295026779175,7.653809174750615,,
296,108.45,32110,205.67258501000003,108,652,0.001,31906,-37.002417893843216,8.758031409814818,,
,,32500,,,,0.001,32356,-37.66429243416622,7.642841080139423,115.15,216.24696395397186
302,108.81,32570,206.05371351000005,107,656,,,,,,
305,108.98,33014,206.17432293000002,108,660,0.001,32806,-38.12328813787092,9.620951098308229,,
308,108.81,33440,205.93274976,108,664,0.001,33236,-38.359336559589096,9.424123218426338,,
311,108.5,33860,205.59228038999998,108,668,0.001,33650,-38.88509201049805,9.43190590540568,,
315,107.99,34280,205.25357967000002,108,672,0.001,34074,-38.48304344626034,8.40111191366233,,
318,108.36,34720,206.22695763,109,676,0.001,34512,-38.42687797546387,7.952869293866335,,
,,35000,,,,0.001,34830,-39.65111471105505,9.566225548585257,108.7,210.35526035428046
324,108.84,35140,207.52128031,108,680,0.001,34936,-38.83868904833524,10.615127819888997,,
327,108.5,35573,207.1661624,108,684,0.001,35373,-39.295367222206266,8.85567883843357,,
330,108.16,35982,206.86045415,108,688,0.001,35777,-39.50596530620869,11.402757426867119,,
334,109.23,36523,207.95353740999997,109,692,0.001,36247,-39.54539321899414,8.911934374184009,,
338,108.54,36900,205.11121004999998,109,696,0.001,36778,-40.092383575439456,8.256289434432983,,
339,106.4,37128,199.79014259999997,109,700,0.001,36859,-40.355584716796876,11.043433722995577,,
340,103.02,37217,192.06975246000002,109,704,0.001,37094,-40.20838260650635,7.010355552037557,,
,,37500,,,,0.001,37338,-40.1011328125,9.31521175846909,99.9,197.62409725785255
345,102.79,37636,191.72024596,108,708,0.001,37439,-40.07392486572266,8.298787298769053,,
348,102.7,38044,191.63626789999998,109,712,0.001,37838,-40.44075513353535,8.72199306393614,,
351,102.43,38452,191.35766073000002,109,716,0.001,38250,-40.94444559134689,8.64094856942054,,
354,102.22,38871,191.27750549,109,720,0.001,38668,-40.490335651472506,9.423558006099626,,
357,101.93,39292,191.00444872,109,724,0.001,39085,-41.119273466222424,9.111517542774237,,
361,101.67,39710,190.77843638,109,728,0.001,39507,-40.90285836014093,10.16776757146798,,
,,40000,,,,0.001,39823,-41.57800969537699,9.183045938329876,108.1,208.63215407133103
366,101.52,40134,190.63099143,109,732,0.001,39930,-41.55570122047707,9.347378463388603,,
369,101.19,40541,190.34396557999997,109,736,0.001,40343,-41.80545492733226,7.151381036814521,,
373,101.0,40958,190.23137875999998,109,740,0.001,40754,-41.90403915405273,7.6941309380531315,,
375,100.85,41358,190.05670615000002,110,744,0.001,41158,-42.32366317749023,8.001683394908905,,
379,101.14,41804,190.25070416,110,748,0.001,41605,-42.41400205172025,9.062122004372734,,
382,101.41,42251,190.52509956999995,110,752,0.001,42016,-42.71217889052171,8.188484836083193,,
,,42500,,,,0.001,42299,-42.062459083452616,7.666306046401562,123.45,221.4268458545208
389,102.13,42783,191.05722989999995,109,756,0.001,42552,-42.26813204326327,7.69199738426814,,
393,103.03,43317,191.83863358000002,110,760,0.001,43090,-42.55700554480919,8.120234326215892,,
396,102.9,43730,191.74144148999997,110,764,0.001,43528,-42.78394727353697,7.284654120418513,,
399,103.08,44168,191.85928706999997,110,768,0.001,43953,-43.09779926056557,7.741143323005514,,
403,103.11,44591,191.81281793,110,772,0.001,44387,-43.55456086701038,8.019742114871155,,
406,102.74,44994,191.28574339000002,110,776,0.001,44796,-43.1896473811223,9.243461599627745,,
