rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,37601.9638025,1,2048,3,651,,,,,,,,,,,,,
1000.0,38321.169047749994,2,4096,7,519,194956.859375,0.0003,0.2,-0.04615052330482285,0.9957864284515381,386145.78173828125,0.10107421875,10,-24.081099408864976,0.011370026,-0.0003160238265991211,,
,,,5000,,,212757.359375,0.0003,0.2,-0.03746851750474889,0.995174765586853,415385.0038085937,0.059326171875,20,-24.048477590084076,0.010035314,-0.0044863224029541016,38044.81565113067,1000.0
1000.0,40314.373986,3,6144,48,127,,,,,,,,,,,,,
1000.0,40612.680866375,4,8192,52,154,297605.375,0.0003,0.2,-0.03860604701621924,0.9934046268463135,552717.1002929688,0.06298828125,30,-24.023822486400604,0.009799097,-0.0040435791015625,,
,,,10000,,,213584.234375,0.0003,0.2,-0.05047325341729447,0.9916894435882568,453315.36396484374,0.11708984375,40,-23.995032238960267,0.012343513,-1.3470649719238281e-05,84815.84789848328,1000.0
1000.0,40896.2744801,5,10240,93,109,,,,,,,,,,,,,
1000.0,40480.59707525,6,12288,98,125,245657.34375,0.0003,0.2,-0.04747066558920778,0.9903454780578613,488020.10009765625,0.101953125,50,-23.964657425880432,0.011865639,-0.0019521713256835938,,
1000.0,40690.24443514286,7,14336,103,139,201694.09375,0.0003,0.2,-0.053109046898316595,0.9898339509963989,406501.156640625,0.132177734375,60,-23.955648916959763,0.013557394,0.0002734065055847168,,
,,,15000,,,259648.78125,0.0003,0.2,-0.055121659502037804,0.9870962500572205,504439.8779296875,0.126953125,70,-23.923556399345397,0.01309585,-0.0009529590606689453,81231.96749744416,1000.0
1000.0,40855.6141115,8,16384,141,115,,,,,,,,,,,,,
1000.0,41072.84756138889,9,18432,146,126,241831.84375,0.0003,0.2,-0.054877251360449006,0.9846563935279846,487874.9416015625,0.125048828125,80,-23.88129943013191,0.013576178,3.7610530853271484e-05,,
,,,20000,,,231984.34375,0.0003,0.2,-0.05657383404613938,0.9839572906494141,478586.4844726563,0.140283203125,90,-23.853106343746184,0.014815353,-0.0030982494354248047,74428.80095424652,1000.0
