time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1,2048,3,1000.0,37489.996043,616,,,,,,,,,,,,,
2,4096,7,1000.0,38903.63261274999,514,0.9993537664413452,0.2,0.0119802,0.10634765625,10,-0.04388389704108704,176392.25,0.0003,0.00030875205993652344,386819.4966796875,-24.119657242298125,,
,5000,,,,,0.9989131689071655,0.2,0.010704705,0.065380859375,20,-0.03690225076279603,221381.984375,0.0003,-0.007696628570556641,436027.3962890625,-24.11003108024597,1000.0,45986.07538337707
3,6144,45,1000.0,39576.924349333334,135,,,,,,,,,,,,,
4,8192,49,1000.0,39736.074984374995,164,0.9974992275238037,0.2,0.0116333645,0.09072265625,30,-0.04407882132800296,228443.21875,0.0003,-0.004287123680114746,466666.6623046875,-24.094133883714676,,
,10000,,,,,0.9954175353050232,0.2,0.01189208,0.095361328125,40,-0.04543746521230787,231363.390625,0.0003,-0.003204345703125,453372.95927734376,-24.06032728552818,1000.0,47373.466088676454
5,10240,86,1000.0,39590.68225479999,118,,,,,,,,,,,,,
6,12288,90,1000.0,39978.48806049999,135,0.9935489296913147,0.2,0.013388876,0.121142578125,50,-0.05024954265973065,196103.15625,0.0003,0.00029218196868896484,405985.5938476563,-24.025794929265977,,
7,14336,94,1000.0,40186.3987,151,0.9932498931884766,0.2,0.013470226,0.130419921875,60,-0.053522576158866284,241461.953125,0.0003,-0.0006271600723266602,493882.28779296874,-24.017884886264802,,
,15000,,,,,0.9918215274810791,0.2,0.013527336,0.123046875,70,-0.05247300915943924,245458.265625,0.0003,-0.0003305673599243164,456701.84912109375,-23.991421347856523,1000.0,45891.92119483948
8,16384,132,1000.0,40474.4750849375,123,,,,,,,,,,,,,
9,18432,137,1000.0,40628.25720438889,134,0.9924609065055847,0.2,0.012446196,0.11123046875,80,-0.0512648009986151,247555.234375,0.0003,-0.0010499954223632812,488132.4630859375,-23.986601090431215,,
