rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
36332.2187335,728,2048,2,1000.0,1,,,,,,,,,,,,,
39272.1036745,566,4096,7,1000.0,2,0.010913416,178417.1875,360096.0106445312,0.102294921875,0.9978495240211487,10,-0.04252218158944743,-24.10164295434952,0.0003,0.2,0.00040918588638305664,,
,,5000,,,,0.009422066,250769.28125,497216.5982421875,0.05283203125,0.9973258972167969,20,-0.035006238086498345,-24.085139214992523,0.0003,0.2,-0.004012584686279297,1000.0,38502.21252384186
40370.029362500005,136,6144,44,1000.0,3,,,,,,,,,,,,,
40487.371813125,166,8192,49,1000.0,4,0.011344567,251296.59375,497485.8513671875,0.086474609375,0.9970372319221497,30,-0.04244994250766467,-24.079236149787903,0.0003,0.2,-0.0027832984924316406,,
,,10000,,,,0.012765371,228335.59375,457787.27197265625,0.111279296875,0.996041476726532,40,-0.04897531777096446,-24.066925328969955,0.0003,0.2,0.00039768218994140625,1000.0,93751.93401279449
40325.4647582,121,10240,83,1000.0,5,,,,,,,,,,,,,
40595.43291116667,138,12288,88,1000.0,6,0.013564954,203027.578125,421041.9529296875,0.122216796875,0.9945012331008911,50,-0.051552313304273414,-24.047100031375884,0.0003,0.2,0.0006227493286132812,,
40318.33818264287,153,14336,93,1000.0,7,0.011750745,259333.890625,489474.2615234375,0.092138671875,0.9907751679420471,60,-0.0446064396033762,-23.995209097862244,0.0003,0.2,-0.002277851104736328,,
,,15000,,,,0.014714414,220066.765625,427469.0975585937,0.138134765625,0.9896029233932495,70,-0.055825995636405425,-23.958258694410326,0.0003,0.2,-0.00037920475006103516,1000.0,57901.82792024613
40436.1075593125,125,16384,130,1000.0,8,,,,,,,,,,,,,
40976.257869277775,136,18432,134,1000.0,9,0.014426995,210412.046875,444214.58037109376,0.137890625,0.9878710508346558,80,-0.058607626907178204,-23.92839937210083,0.0003,0.2,-0.0005682706832885742,,
,,20000,,,,0.014427756,272888.15625,567986.4983398437,0.128857421875,0.9852835536003113,90,-0.05637023338495055,-23.89106786251068,0.0003,0.2,-0.0007085800170898438,1000.0,45752.67409324646
41008.0057225,118,20480,173,1000.0,10,,,,,,,,,,,,,
41072.56697154546,126,22528,177,1000.0,11,0.014668213,219635.40625,462695.0181640625,0.152587890625,0.9853023290634155,100,-0.05827590620610863,-23.870907306671143,0.0003,0.2,0.0004780292510986328,,
41361.99901120833,134,24576,182,1000.0,12,0.014648845,247441.0625,484942.04169921874,0.141650390625,0.9828969240188599,110,-0.05812033173860982,-23.846009683609008,0.0003,0.2,0.0008710622787475586,,
,,25000,,,,0.014775693,268141.96875,538952.3544921875,0.144970703125,0.9806771874427795,120,-0.0574754238652531,-23.80492005944252,0.0003,0.2,8.428096771240234e-05,1000.0,64934.88278121948
41688.98732784615,120,26624,220,1000.0,13,,,,,,,,,,,,,
41921.03492671428,127,28672,225,1000.0,14,0.016424786,249476.78125,571086.1419921875,0.165966796875,0.979892373085022,130,-0.06380507545254659,-23.78245656490326,0.0003,0.2,-0.0009001493453979492,,
,,30000,,,,0.015476448,263343.96875,521688.47392578126,0.152880859375,0.9766004085540771,140,-0.05937157907756045,-23.74207345843315,0.0003,0.2,-0.0012898445129394531,1000.0,63953.53258171082
42113.23391549999,116,30720,263,1000.0,15,,,,,,,,,,,,,
42538.36437253125,122,32768,267,1000.0,16,0.015065823,293252.34375,617604.3412109375,0.149658203125,0.9717499017715454,150,-0.059070401309872976,-23.66329008936882,0.0003,0.2,-0.0010592937469482422,,
42972.917328764706,128,34816,271,1000.0,17,0.015864976,326758.34375,699569.31015625,0.146875,0.9692021608352661,160,-0.06100264143315144,-23.602018189430236,0.0003,0.2,-0.000508427619934082,,
,,35000,,,,0.01651277,297201.71875,570860.66875,0.17080078125,0.9677319526672363,170,-0.06406570657272823,-23.571858620643617,0.0003,0.2,-0.00010204315185546875,1000.0,69851.01509513854
43368.538719749995,119,36864,308,1000.0,18,,,,,,,,,,,,,
43735.00002644737,124,38912,312,1000.0,19,0.016783228,392431.6875,716043.849609375,0.17392578125,0.9647656679153442,180,-0.0653526483452879,-23.53049440383911,0.0003,0.2,-1.2516975402832031e-05,,
,,40000,,,,0.016489796,391444.40625,768146.9544921875,0.16962890625,0.9633351564407349,190,-0.06167546093929559,-23.49795189499855,0.0003,0.2,6.687641143798828e-05,1000.0,63202.434231567386
44221.556616,116,40960,350,1000.0,20,,,,,,,,,,,,,
44599.959682883724,121,43008,354,1000.0,21,0.016557418,415324.9375,779729.2140625,0.174951171875,0.9635508060455322,200,-0.06540527930192183,-23.486853700876235,0.0003,0.2,0.0009540319442749023,,
,,45000,,,,0.017407322,308516.21875,653257.263671875,0.1880859375,0.9630770087242126,210,-0.06801093093235977,-23.483978402614593,0.0003,0.2,-0.0003031492233276367,1000.0,79710.38059520721
44916.975872155555,116,45056,388,1000.0,22,,,,,,,,,,,,,
45367.55759376597,120,47104,392,1000.0,23,0.019645289,389465.65625,747419.1814453125,0.205517578125,0.9610772728919983,220,-0.07207317133725155,-23.459206211566926,0.0003,0.2,1.1920928955078125e-07,,
45653.24645438775,123,49152,397,1000.0,24,0.019207597,414723.40625,811232.087109375,0.196142578125,0.9614776372909546,230,-0.07031053745304235,-23.452375489473344,0.0003,0.2,-0.0015261173248291016,,
,,50000,,,,0.01879393,405461.96875,780472.4697265625,0.198046875,0.9608693718910217,240,-0.06649945701938123,-23.4460902094841,0.0003,0.2,0.0001245737075805664,1000.0,70609.66681346894
46012.84851829411,119,51200,429,1000.0,25,,,,,,,,,,,,,
46529.784651584894,122,53248,434,1000.0,26,0.018652936,411617.5625,806079.28671875,0.18984375,0.9589472413063049,250,-0.06642205709358677,-23.422142851352692,0.0003,0.2,0.00036728382110595703,,
,,55000,,,,0.021151464,526418.125,976160.59140625,0.215087890625,0.9569047093391418,260,-0.07445826562179718,-23.38629932999611,0.0003,0.2,-0.00016832351684570312,1000.0,74550.80780773163
46970.32670096363,118,55296,466,1000.0,27,,,,,,,,,,,,,
47339.20062922807,121,57344,471,1000.0,28,0.019243658,494965.53125,1010497.1697265625,0.196240234375,0.9546163082122803,270,-0.07026469640841242,-23.348798197507858,0.0003,0.2,0.0022533535957336426,,
47591.14351964407,124,59392,476,1000.0,29,0.0200539,391135.1875,844674.7248046875,0.211474609375,0.9522024989128113,280,-0.06925785063067451,-23.30165038704872,0.0003,0.2,-0.00041413307189941406,,
,,60000,,,,0.019007355,440764.5,923210.0359375,0.193603515625,0.9504255652427673,290,-0.06912486865767278,-23.26769331097603,0.0003,0.2,-0.00014317035675048828,1000.0,61677.89648513794
48315.670282442625,120,61440,510,1000.0,30,,,,,,,,,,,,,
48873.9706592381,123,63488,514,1000.0,31,0.019652773,627802.5625,1267369.624609375,0.196142578125,0.9497044682502747,300,-0.06804865536105353,-23.24329643845558,0.0003,0.2,-0.00011742115020751953,,
