time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
1,37393.803207499994,1000.0,3,580,2048,,,,,,,,,,,,,
2,39823.4979955,1000.0,8,467,4096,0.2,382993.47578125,1.0001055002212524,-0.04210243908455595,0.00023883581161499023,10,0.0115190195,0.0003,195052.40625,-24.12689400315285,0.099951171875,,
,,,,,5000,0.2,494930.15380859375,0.999071478843689,-0.04155704771692399,-0.00458371639251709,20,0.0113053145,0.0003,245950.609375,-24.118804210424422,0.08173828125,35231.865326118466,1000.0
3,39121.98726716667,1000.0,52,117,6144,,,,,,,,,,,,,
4,39387.66099175,1000.0,57,143,8192,0.2,383581.75029296876,0.9961941838264465,-0.046031462555401956,0.0023444294929504395,30,0.012015875,0.0003,188292.859375,-24.081375485658647,0.110205078125,,
,,,,,10000,0.2,440926.6592773438,0.9953761696815491,-0.044188901910092684,-0.006380915641784668,40,0.011158913,0.0003,221683.5,-24.053729158639907,0.08271484375,42782.02199497223,1000.0
5,39054.829524,1000.0,101,101,10240,,,,,,,,,,,,,
6,38989.05078741667,1000.0,106,115,12288,0.2,393664.5293945313,0.9948995113372803,-0.051785340809146874,0.00010210275650024414,50,0.013697,0.0003,203829.59375,-24.04392173886299,0.12578125,,
7,39305.90223371429,1000.0,111,129,14336,0.2,427716.0926757812,0.9924576878547668,-0.051830310808145444,-0.0016945600509643555,60,0.013227048,0.0003,224892.515625,-24.015190279483797,0.120263671875,,
,,,,,15000,0.2,457085.72919921874,0.9899861812591553,-0.05253173613600666,1.901388168334961e-05,70,0.013743382,0.0003,232969.125,-23.96884328722954,0.12802734375,81839.8136844635,1000.0
8,39851.050298375,1000.0,151,107,16384,,,,,,,,,,,,,
9,40152.349857222216,1000.0,156,117,18432,0.2,525211.18828125,0.9894882440567017,-0.049084576402674426,-8.225440979003906e-05,80,0.01235212,0.0003,272221.8125,-23.945545196533203,0.1056640625,,
,,,,,20000,0.2,518787.93310546875,0.9897921085357666,-0.050813306545023806,-0.0017839670181274414,90,0.013285318,0.0003,270657.09375,-23.94772136807442,0.105517578125,84608.8851928711,1000.0
10,40588.007825299996,1000.0,197,103,20480,,,,,,,,,,,,,
11,41064.88405190909,1000.0,202,111,22528,0.2,529259.6060546875,0.9880732297897339,-0.055650475155562165,0.0001747608184814453,100,0.013816962,0.0003,264076.46875,-23.93350590467453,0.132373046875,,
12,41469.18910495833,1000.0,207,118,24576,0.2,636137.2845703125,0.9869816899299622,-0.049864825277472845,0.0007164478302001953,110,0.011960696,0.0003,342764.6875,-23.902095663547517,0.107763671875,,
,,,,,25000,0.2,600543.073828125,0.9840767979621887,-0.053279028084944,-0.00010573863983154297,120,0.013313867,0.0003,305717.40625,-23.865544950962068,0.122998046875,81563.84509487152,1000.0
13,41880.335987692306,1000.0,251,105,26624,,,,,,,,,,,,,
14,42298.04241035714,1000.0,256,111,28672,0.2,542045.2775390625,0.9822937250137329,-0.05689537381404079,-0.002414107322692871,130,0.014448788,0.0003,285254.15625,-23.82798746228218,0.139208984375,,
,,,,,30000,0.2,582115.7782226562,0.982430636882782,-0.060128055984387176,0.0009244084358215332,140,0.015353119,0.0003,289353.25,-23.82220379114151,0.1580078125,66233.29544448853,1000.0
15,42684.57995546667,1000.0,296,103,30720,,,,,,,,,,,,,
16,43315.268988718744,1000.0,301,108,32768,0.2,708372.312109375,0.9797954559326172,-0.05394991225621197,0.00016826391220092773,150,0.013692267,0.0003,308159.0,-23.79645848274231,0.118115234375,,
17,43608.4725082647,1000.0,306,113,34816,0.2,772928.7951171875,0.9773983955383301,-0.05822476547909901,-0.00028514862060546875,160,0.015488865,0.0003,330607.3125,-23.754031121730804,0.150390625,,
,,,,,35000,0.2,638217.8752929687,0.9765066504478455,-0.0591659316472942,-0.0006968975067138672,170,0.015360396,0.0003,340106.25,-23.725203907489778,0.155810546875,74577.3433549881,1000.0
18,44148.21312613888,1000.0,348,105,36864,,,,,,,,,,,,,
19,44564.72887707894,1000.0,353,110,38912,0.2,775551.589453125,0.9744738340377808,-0.05683445092581678,0.0008122920989990234,180,0.014298347,0.0003,362140.15625,-23.69745707511902,0.13876953125,,
,,,,,40000,0.2,754190.829296875,0.9717517495155334,-0.05761541978572495,-5.1140785217285156e-05,190,0.015483508,0.0003,392309.71875,-23.649482250213623,0.155419921875,84876.6894296646,1000.0
20,44873.966253700004,1000.0,393,104,40960,,,,,,,,,,,,,
21,45288.35149695349,1000.0,398,108,43008,0.2,769746.094140625,0.9706971645355225,-0.06534445218567271,-0.0004121065139770508,200,0.017087016,0.0003,348707.84375,-23.620496636629106,0.1744140625,,
,,,,,45000,0.2,659973.75,0.9687095880508423,-0.0612953005998861,0.00035822391510009766,210,0.015960675,0.0003,345388.71875,-23.595196151733397,0.16650390625,84067.39522094726,1000.0
22,45742.04719017778,1000.0,438,102,45056,,,,,,,,,,,,,
23,46057.86311374468,1000.0,443,106,47104,0.2,830051.4515625,0.9668886661529541,-0.06276931262837024,0.00011783838272094727,220,0.015971106,0.0003,429055.15625,-23.560987865924837,0.1587890625,,
24,46247.45031261224,1000.0,448,109,49152,0.2,777953.2162109375,0.9642333984375,-0.06859327561687678,-0.0026092529296875,230,0.019096205,0.0003,419648.84375,-23.51725271344185,0.1904296875,,
,,,,,50000,0.2,699697.3703125,0.9639344811439514,-0.06677033479791135,4.178285598754883e-05,240,0.018297698,0.0003,331478.46875,-23.498195564746858,0.19345703125,80792.96277770997,1000.0
25,46622.93303580392,1000.0,490,104,51200,,,,,,,,,,,,,
