time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
2048,1000.0,827,1,2,36309.4633075,,,,,,,,,,,,,
4096,1000.0,627,2,6,36632.0778925,0.997414767742157,0.129052734375,189035.640625,-0.044814465878880584,0.0003,362981.722265625,10,0.012456889,-24.091129106283187,-0.0004087686538696289,0.2,,
5000,,,,,,0.9978384375572205,0.084521484375,176931.703125,-0.03938457398326136,0.0003,369831.873046875,20,0.011699281,-24.090642511844635,-0.006175518035888672,0.2,1000.0,84295.17289447784
6144,1000.0,157,3,39,36951.43632583333,,,,,,,,,,,,,
8192,1000.0,189,4,43,37165.05482212501,0.9945240020751953,0.08076171875,191706.84375,-0.04091599188977853,0.0003,392538.60517578124,30,0.011499706,-24.058066886663436,-0.0012276172637939453,0.2,,
10000,,,,,,0.9934881925582886,0.11875,204465.625,-0.04910444845445454,0.0003,391799.262109375,40,0.013398222,-24.0222281396389,-0.002291440963745117,0.2,1000.0,58899.672585296634
10240,1000.0,140,5,72,37378.8067758,,,,,,,,,,,,,
12288,1000.0,160,6,76,38061.42866425001,0.9935123324394226,0.08740234375,204228.953125,-0.04534982950717677,0.0003,407369.26328125,50,0.012474493,-24.01168984770775,-0.0029778480529785156,0.2,,
14336,1000.0,177,7,80,38159.564516357146,0.9914794564247131,0.1146484375,226036.8125,-0.0513852476986358,0.0003,443475.0040039063,60,0.0132575035,-23.991440224647523,-0.0015909671783447266,0.2,,
15000,,,,,,0.9901816248893738,0.1060546875,208679.328125,-0.04918544523534365,0.0003,408161.4180664063,70,0.012375741,-23.961886966228484,-0.0034890174865722656,0.2,1000.0,61645.452670669554
16384,1000.0,149,8,109,38351.3596785,,,,,,,,,,,,,
18432,1000.0,162,9,113,38982.860741722216,0.9890512824058533,0.130029296875,213108.078125,-0.05275598219595849,0.0003,431423.41259765625,80,0.013599165,-23.942318892478944,0.0004760622978210449,0.2,,
20000,,,,,,0.9882985353469849,0.11923828125,261729.671875,-0.053289768018294124,0.0003,524724.1944335938,90,0.013375111,-23.929111570119858,-0.00017178058624267578,0.2,1000.0,54391.646249198915
20480,1000.0,144,10,141,39252.77191049999,,,,,,,,,,,,,
22528,1000.0,154,11,145,39318.16553286363,0.9870564937591553,0.148876953125,229126.640625,-0.05785305665631313,0.0003,469249.42939453124,100,0.015117982,-23.909860628843308,-0.0033916234970092773,0.2,,
24576,1000.0,164,12,149,39944.6402385,0.9833274483680725,0.129150390625,246370.859375,-0.05591888078197371,0.0003,495824.805859375,110,0.013243336,-23.860252296924592,-0.0005322694778442383,0.2,,
25000,,,,,,0.9822055697441101,0.141259765625,273820.53125,-0.05580294230021536,0.0003,546864.5875976563,120,0.014043432,-23.829960644245148,0.00014930963516235352,0.2,1000.0,63447.67429561615
26624,1000.0,147,13,180,40281.8073855,,,,,,,,,,,,,
28672,1000.0,155,14,184,40687.869159571426,0.9812567234039307,0.161181640625,265022.34375,-0.05892305643064901,0.0003,509248.9864257813,130,0.015139017,-23.80789511799812,-0.00040662288665771484,0.2,,
30000,,,,,,0.9809672236442566,0.159765625,272720.71875,-0.06202295926923398,0.0003,592683.0560546875,140,0.01568791,-23.798479115962984,-0.00010848045349121094,0.2,1000.0,70196.046662426
30720,1000.0,144,15,212,40979.70115436667,,,,,,,,,,,,,
32768,1000.0,151,16,215,41449.4747815,0.980115532875061,0.152197265625,269618.0,-0.05668741624103859,0.0003,553169.2538085937,150,0.015728036,-23.78364719748497,-0.0006302595138549805,0.2,,
34816,1000.0,158,17,219,41903.62848867647,0.9786772131919861,0.1513671875,319381.15625,-0.05886438365560025,0.0003,660972.4408203125,160,0.015037106,-23.7609912276268,7.802248001098633e-05,0.2,,
35000,,,,,,0.9778444766998291,0.1611328125,341721.9375,-0.06248769101221115,0.0003,683322.1796875,170,0.016247403,-23.74831352233887,-0.0010367631912231445,0.2,1000.0,73066.91677742005
36864,1000.0,148,18,247,42597.61754041667,,,,,,,,,,,,,
38912,1000.0,154,19,251,43287.38788705263,0.9770023226737976,0.154541015625,460668.53125,-0.06314531233219896,0.0003,867264.7015625,180,0.015244983,-23.730758768320083,0.0007866621017456055,0.2,,
40000,,,,,,0.9740743041038513,0.1546875,424671.75,-0.06215638920548372,0.0003,830764.509765625,190,0.01579291,-23.695448678731918,-0.001867532730102539,0.2,1000.0,72598.06985607147
40960,1000.0,147,20,277,43782.94129265,,,,,,,,,,,,,
43008,1000.0,152,21,281,44480.928711744185,0.972133219242096,0.13818359375,340789.3125,-0.05407669570704456,0.0003,695863.9888671875,200,0.015020277,-23.65285438299179,0.0005356073379516602,0.2,,
45000,,,,,,0.9703081846237183,0.170166015625,508510.4375,-0.06736110301280859,0.0003,868776.0212890625,210,0.017517572,-23.62095251083374,-0.00044655799865722656,0.2,1000.0,73441.62504692077
45056,1000.0,145,22,309,44970.666560000005,,,,,,,,,,,,,
47104,1000.0,150,23,313,45280.258800404255,0.9673540592193604,0.173291015625,406792.5625,-0.06426944177073893,0.0003,841052.2671875,220,0.016755654,-23.574097335338593,6.973743438720703e-06,0.2,,
49152,1000.0,154,24,317,45472.69581771429,0.9655411839485168,0.153662109375,378319.71875,-0.05946483649604488,0.0003,741958.516796875,230,0.016199045,-23.53388906121254,-0.001896500587463379,0.2,,
50000,,,,,,0.9646397829055786,0.19287109375,324206.59375,-0.06360333434422501,0.0003,649697.5916015625,240,0.018582368,-23.510706961154938,-0.001520395278930664,0.2,1000.0,73235.15131130218
51200,1000.0,147,25,346,46041.613245843146,,,,,,,,,,,,,
