rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/std,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
38433.7592795,692,2048,1,2,1000.0,,,,,,,,,,,,,
39886.34405375,576,4096,2,7,1000.0,-0.0013356208801269531,0.998565673828125,0.099853515625,0.0003,193180.546875,10,407033.4111328125,0.2,-24.109066647291183,-0.04659475186781492,0.01149014,,
,,5000,,,,-0.005759119987487793,0.9978684782981873,0.059765625,0.0003,234709.5,20,467673.07861328125,0.2,-24.09151710867882,-0.03535771010210738,0.009956513,37978.35182237625,1000.0
39792.495763000006,125,6144,3,48,1000.0,,,,,,,,,,,,,
39423.091271875004,153,8192,4,53,1000.0,0.0017900466918945312,0.9979231357574463,0.086767578125,0.0003,212552.5,30,419598.34697265626,0.2,-24.094988268613815,-0.04064824476081412,0.011190704,,
,,10000,,,,-0.0007238388061523438,0.9957506656646729,0.109130859375,0.0003,199508.265625,40,396519.62841796875,0.2,-24.069981455802917,-0.04682418392476393,0.0133237485,38249.124393844606,1000.0
39407.8622216,116,10240,5,88,1000.0,,,,,,,,,,,,,
40119.031232416666,132,12288,6,92,1000.0,-0.0014075040817260742,0.995000958442688,0.106884765625,0.0003,203321.25,50,427280.18134765624,0.2,-24.04203577041626,-0.04942615379113704,0.012770164,,
40031.31970771429,148,14336,7,96,1000.0,-0.0014036893844604492,0.9937406182289124,0.1025390625,0.0003,254705.453125,60,516673.5552734375,0.2,-24.029471230506896,-0.050192865153076124,0.013056457,,
,,15000,,,,0.0004330277442932129,0.9925301671028137,0.120849609375,0.0003,209345.84375,70,430969.49462890625,0.2,-24.0055572450161,-0.05280446484102867,0.013037685,45381.82714328766,1000.0
39782.782975875,128,16384,8,127,1000.0,,,,,,,,,,,,,
39778.30574911111,140,18432,9,131,1000.0,0.002996087074279785,0.9898629784584045,0.151806640625,0.0003,190482.109375,80,381335.6318359375,0.2,-23.962603771686553,-0.059502844413509594,0.015131295,,
,,20000,,,,0.0022289156913757324,0.9890740513801575,0.151904296875,0.0003,228600.0625,90,447309.94306640624,0.2,-23.946631020307542,-0.05863980943104252,0.0153835695,46276.47619905472,1000.0
39974.2402791,122,20480,10,167,1000.0,,,,,,,,,,,,,
40183.53238736364,131,22528,11,171,1000.0,-0.001757979393005371,0.9864697456359863,0.138427734375,0.0003,231234.25,100,469236.3177734375,0.2,-23.9162776529789,-0.05652537644200493,0.014099648,,
40548.38355216667,139,24576,12,175,1000.0,-0.0015060901641845703,0.9852234125137329,0.124951171875,0.0003,237135.75,110,493266.4146484375,0.2,-23.874814182519913,-0.05469875642738771,0.013676446,,
,,25000,,,,-0.0021396875381469727,0.9848836064338684,0.1248046875,0.0003,267565.46875,120,537317.9499023438,0.2,-23.862827396392824,-0.055911783917690625,0.013461668,38027.981945800784,1000.0
40920.69920576923,124,26624,13,213,1000.0,,,,,,,,,,,,,
41131.229438892864,131,28672,14,217,1000.0,0.0003552436828613281,0.9835031032562256,0.131640625,0.0003,256606.984375,130,546911.2526367188,0.2,-23.84833139181137,-0.0560915274778381,0.013398586,,
,,30000,,,,0.0001691579818725586,0.9837476015090942,0.162158203125,0.0003,248980.453125,140,530898.942578125,0.2,-23.84133095741272,-0.062444264817168006,0.015396524,39644.75658454895,1000.0
41367.91441250001,120,30720,15,254,1000.0,,,,,,,,,,,,,
41753.082427625006,126,32768,16,258,1000.0,-0.00039708614349365234,0.979939877986908,0.158349609375,0.0003,276682.96875,150,526688.4069335938,0.2,-23.804249960184098,-0.05942325360083487,0.015338712,,
42150.9682837353,132,34816,17,263,1000.0,-3.325939178466797e-05,0.977501392364502,0.15498046875,0.0003,385654.90625,160,685811.1736328125,0.2,-23.750258427858352,-0.059558656057924965,0.015385159,,
,,35000,,,,-0.00019693374633789062,0.9744987487792969,0.15439453125,0.0003,288080.0,170,591589.7067382813,0.2,-23.696741795539857,-0.05769415901158936,0.015212888,43712.2196018219,1000.0
42550.87898502779,123,36864,18,299,1000.0,,,,,,,,,,,,,
43543.79328192106,128,38912,19,303,1000.0,-0.0012726783752441406,0.9737915992736816,0.166064453125,0.0003,444283.5625,180,934044.1392578125,0.2,-23.675437611341476,-0.06658797388663515,0.016659988,,
,,40000,,,,-0.00022721290588378906,0.9703472256660461,0.15361328125,0.0003,407627.875,190,782072.0265625,0.2,-23.630739372968673,-0.061892834474565464,0.015756365,47382.762380599976,1000.0
43863.100268675,121,40960,20,337,1000.0,,,,,,,,,,,,,
44300.32264220931,125,43008,21,341,1000.0,0.00011307001113891602,0.967051088809967,0.169482421875,0.0003,364660.53125,200,739471.619921875,0.2,-23.57395116686821,-0.06593745703576133,0.016969351,,
,,45000,,,,0.0010586977005004883,0.9655077457427979,0.18193359375,0.0003,300570.5,210,623998.7900390625,0.2,-23.531136029958724,-0.06285382157366257,0.017748676,54717.158025169374,1000.0
44582.41035513334,120,45056,22,375,1000.0,,,,,,,,,,,,,
44725.22081180851,124,47104,23,379,1000.0,0.0005121231079101562,0.9619884490966797,0.18173828125,0.0003,331597.5625,220,687208.4984375,0.2,-23.49052795767784,-0.06653930682514328,0.017276047,,
44982.682187795916,127,49152,24,384,1000.0,-0.001092672348022461,0.9584977626800537,0.205322265625,0.0003,280318.6875,230,587608.3935546875,0.2,-23.419348573684694,-0.07032548080314882,0.01976942,,
,,50000,,,,0.00031429529190063477,0.9566322565078735,0.196826171875,0.0003,382424.96875,240,729170.866796875,0.2,-23.37693710923195,-0.06585389673127792,0.018948419,66543.294414711,1000.0
45204.29564011764,123,51200,25,415,1000.0,,,,,,,,,,,,,
