time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1,636,3,2048,21.946236559139784,107.08743317204302,,,,,,,,,,,,,
2,558,7,4096,21.11,102.51002143999999,-24.09685692191124,0.200390625,0.00024878978729248047,0.2,0.018984614,397.3439636230469,10,-0.05839178632595576,1483.7878288269044,0.9970225095748901,0.0003,,
,,,5000,,,-24.089408868551253,0.268408203125,0.02789849042892456,0.2,0.024991903,436.7153625488281,20,-0.07168659862945788,1010.7656059265137,0.998479962348938,0.0003,34.75,181.0025043964386
3,495,12,6144,22.27,108.50477931000002,,,,,,,,,,,,,
4,495,16,8192,23.43,113.29555607,-24.069323348999024,0.297705078125,0.020030617713928223,0.2,0.026840605,449.30682373046875,30,-0.08083012457063887,976.5278314590454,0.9957031011581421,0.0003,,
,,,10000,,,-23.990744525194167,0.33955078125,0.014703035354614258,0.2,0.03186171,336.1954040527344,40,-0.08676134293491486,953.2529439926147,0.9909805059432983,0.0003,97.45,493.96572827100755
5,449,22,10240,23.08,112.64200788,,,,,,,,,,,,,
6,455,26,12288,23.78,115.42107518999997,-23.9461969435215,0.38251953125,0.020673930644989014,0.2,0.0360914,351.46710205078125,50,-0.08846551488677505,931.1528942108155,0.9884957671165466,0.0003,,
7,458,31,14336,24.84,120.94307489999997,-23.892833983898164,0.362158203125,0.04841738939285278,0.2,0.034392197,411.9229431152344,60,-0.08636447503813542,875.2124578475953,0.9860116243362427,0.0003,,
,,,15000,,,-23.882764852046968,0.342919921875,0.04668927192687988,0.2,0.03391952,450.2554626464844,70,-0.08837459819624201,940.29916305542,0.9853004217147827,0.0003,104.15,517.3642672538757
8,434,37,16384,25.49,124.00677003000001,,,,,,,,,,,,,
9,440,41,18432,24.67,120.12809037999999,-23.8456291615963,0.2716796875,0.08477848768234253,0.2,0.025391256,384.31463623046875,80,-0.07937320561613888,913.9157798767089,0.9833166599273682,0.0003,,
,,,20000,,,-23.80990951657295,0.22783203125,0.1300695538520813,0.2,0.021103295,326.7338562011719,90,-0.07319223961094394,784.7796169281006,0.9807050228118896,0.0003,75.35,357.78083208799364
10,429,47,20480,24.7,120.07873719999999,,,,,,,,,,,,,
11,434,51,22528,26.68,130.06670982999998,-23.784600496292114,0.215087890625,0.23176807165145874,0.2,0.021165721,374.2266540527344,100,-0.0713069685472874,818.3382179260254,0.9806482791900635,0.0003,,
12,438,56,24576,29.18,142.61793590999997,-23.763840359449386,0.207177734375,0.27097153663635254,0.2,0.02087285,462.5960998535156,110,-0.06874530082859565,975.6012784957886,0.9782825112342834,0.0003,,
,,,25000,,,-23.736077392101286,0.23701171875,0.28169190883636475,0.2,0.024422307,395.9875793457031,120,-0.07355388098221738,994.004860496521,0.977396547794342,0.0003,61.5,284.4670195937157
13,432,61,26624,29.01,141.43952744999999,,,,,,,,,,,,,
14,436,65,28672,29.94,145.34027271000002,-23.720256674289704,0.214013671875,0.3497539758682251,0.2,0.021209687,451.088134765625,130,-0.0706492371915374,933.2108182907104,0.9766486883163452,0.0003,,
,,,30000,,,-23.715591311454773,0.213330078125,0.3440665602684021,0.2,0.021214843,474.3202209472656,140,-0.06909244848648086,1001.8175985336304,0.9766868352890015,0.0003,86.25,393.4466160297394
15,428,71,30720,31.32,153.5659898,,,,,,,,,,,,,
16,431,75,32768,32.99,162.86404715,-23.702243614196778,0.211279296875,0.35097378492355347,0.2,0.021875123,463.70660400390625,150,-0.06774846012995113,1032.0684408187867,0.9751906991004944,0.0003,,
17,435,80,34816,33.27,164.06267346,-23.67622326016426,0.221728515625,0.35654622316360474,0.2,0.023325257,469.3905029296875,160,-0.07023708654451184,1085.583883857727,0.9734838008880615,0.0003,,
,,,35000,,,-23.65358704328537,0.1861328125,0.30189573764801025,0.2,0.020662677,596.8523559570312,170,-0.06396590518124867,1211.1838994979857,0.972872257232666,0.0003,94.15,498.16328076124194
18,428,86,36864,35.74,176.84894624,,,,,,,,,,,,,
19,432,90,38912,35.16,172.55904814000002,-23.634455621242523,0.194482421875,0.32100117206573486,0.2,0.019961052,485.3323059082031,180,-0.06301178891444578,1243.7454084396363,0.971575140953064,0.0003,,
,,,40000,,,-23.61224644780159,0.215673828125,0.35818034410476685,0.2,0.022743512,505.5674133300781,190,-0.06899371610779781,1109.1191093444825,0.970345675945282,0.0003,72.25,365.89445450305936
20,428,95,40960,37.45,183.88358997,,,,,,,,,,,,,
21,432,99,43008,39.26,193.71019826,-23.598980718851088,0.193603515625,0.3693719506263733,0.2,0.020681169,538.5150146484375,200,-0.0639354295359226,1186.3989875793457,0.9699578881263733,0.0003,,
,,,45000,,,-23.5870222389698,0.198828125,0.39567577838897705,0.2,0.02104652,650.0846557617188,210,-0.06575125602685147,1216.4103645324708,0.9690476655960083,0.0003,68.45,356.28972721099854
22,430,104,45056,38.27,188.82969186,,,,,,,,,,,,,
23,431,109,47104,39.63,195.57980757999997,-23.57560603618622,0.18466796875,0.41462111473083496,0.2,0.020597037,545.6764526367188,220,-0.05923079646890983,1143.8933221817017,0.9686934351921082,0.0003,,
24,430,114,49152,42.24,209.34266383000002,-23.56345205307007,0.18662109375,0.40726810693740845,0.2,0.021186158,591.983154296875,230,-0.06120320670306682,1233.5259525299073,0.9675405025482178,0.0003,,
,,,50000,,,-23.53250532746315,0.185595703125,0.4491487741470337,0.2,0.022136938,524.26904296875,240,-0.05974467102496419,1239.4482303619384,0.965470016002655,0.0003,75.0,379.01539716720583
25,427,119,51200,43.86,217.06475004000004,,,,,,,,,,,,,
26,429,123,53248,44.03,216.92708455000005,-23.50470097064972,0.22587890625,0.465587854385376,0.2,0.026149657,599.0244140625,250,-0.06857513304275926,1243.6923206329345,0.9646011590957642,0.0003,,
,,,55000,,,-23.489739185571672,0.202197265625,0.43403834104537964,0.2,0.021889508,563.264892578125,260,-0.061393680775654505,1187.7317735671998,0.9633804559707642,0.0003,68.5,343.83506054878234
27,427,129,55296,45.69,226.75725205999998,,,,,,,,,,,,,
28,429,133,57344,49.16,245.77329068,-23.47369239926338,0.215576171875,0.42840075492858887,0.2,0.02415675,584.06201171875,270,-0.06646785526245366,1396.235276222229,0.9630647301673889,0.0003,,
29,433,137,59392,49.27,244.24817406999998,-23.463977950811387,0.18115234375,0.3904992938041687,0.2,0.020795468,531.6163940429688,280,-0.060214252339210364,1377.550665473938,0.9625347256660461,0.0003,,
,,,60000,,,-23.455648267269133,0.216357421875,0.4954926371574402,0.2,0.024384486,493.9066162109375,290,-0.05929051676648669,1098.473091506958,0.9615339636802673,0.0003,59.55,303.92335255146025
30,430,142,61440,48.38,238.75255022000002,,,,,,,,,,,,,
31,431,147,63488,49.83,247.16289265,-23.44001974463463,0.184423828125,0.47380924224853516,0.2,0.020279951,467.12554931640625,300,-0.058628740123822354,1181.1525291442872,0.9608694911003113,0.0003,,
,,,65000,,,-23.419194990396498,0.208251953125,0.4837484359741211,0.2,0.023772987,670.3810424804688,310,-0.06373529491247609,1271.2973459243774,0.9595813751220703,0.0003,57.05,296.1101212978363
32,428,152,65536,51.51,255.69742333000002,,,,,,,,,,,,,
33,429,157,67584,55.47,279.01455911,-23.4069575548172,0.21025390625,0.48840928077697754,0.2,0.024689276,474.6739196777344,320,-0.061659379996126515,1312.213111305237,0.9592733979225159,0.0003,,
34,430,161,69632,57.42,288.28011476999995,-23.383372616767883,0.1953125,0.5550759136676788,0.2,0.022521604,629.4425048828125,330,-0.05884260953171179,1288.2062484741211,0.957070529460907,0.0003,,
