time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
2048,1,103.0890450967742,21.946236559139784,3,514,,,,,,,,,,,,,
4096,2,97.06147843999999,20.7,8,459,0.2,-24.097198832035065,0.9971515536308289,0.018856358,10,0.00016617774963378906,0.20166015625,1334.9925703048707,357.24273681640625,-0.05851009084726684,0.0003,,
5000,,,,,,0.2,-24.08141909837723,0.9974868893623352,0.025265954,20,0.021122515201568604,0.26728515625,878.0550121307373,392.6890869140625,-0.07110719163902104,0.0003,213.30758900344372,42.55
6144,3,103.24331166000002,22.02,15,409,,,,,,,,,,,,,
8192,4,112.01276774999998,23.84,19,412,0.2,-24.054285836219787,0.9951030611991882,0.02751269,30,0.017741501331329346,0.303466796875,878.158240699768,350.5152893066406,-0.08211406368063763,0.0003,,
10000,,,,,,0.2,-24.028488487005234,0.9942808747291565,0.032998063,40,0.012530148029327393,0.35390625,921.3774412155151,429.1068420410156,-0.08853276305017062,0.0003,303.8692346930504,67.3
10240,5,112.60075652000003,23.87,26,386,,,,,,,,,,,,,
12288,6,112.86058996,24.13,31,392,0.2,-23.99019149541855,0.9915325045585632,0.03682255,50,0.021231651306152344,0.376806640625,861.2873821258545,336.6908874511719,-0.08949570468394086,0.0003,,
14336,7,120.50717742000002,25.7,36,397,0.2,-23.929434645175935,0.9872879981994629,0.035396975,60,0.042431652545928955,0.3755859375,811.6191312789917,376.1404724121094,-0.08908823347301223,0.0003,,
15000,,,,,,0.2,-23.887258917093277,0.9854153990745544,0.033597454,70,0.06729871034622192,0.339453125,907.9356344223022,433.6671142578125,-0.0853540020645596,0.0003,394.95189591497183,75.65
16384,8,122.19180230000002,26.05,43,380,,,,,,,,,,,,,
18432,9,115.72356828999999,24.73,47,385,0.2,-23.865531677007674,0.9851012825965881,0.026406042,80,0.0805046558380127,0.298046875,867.1512651443481,324.3345031738281,-0.08141089542768895,0.0003,,
20000,,,,,,0.2,-23.839911007881163,0.9825609922409058,0.022727013,90,0.17587876319885254,0.24111328125,668.9604246139527,320.715087890625,-0.07354655665985774,0.0003,423.49309513270856,81.05
20480,10,119.91063516,25.58,55,369,,,,,,,,,,,,,
22528,11,126.91737562999997,27.14,59,375,0.2,-23.806641733646394,0.980938196182251,0.020671574,100,0.264876127243042,0.2115234375,740.0431266784668,305.3161315917969,-0.07075270785426255,0.0003,,
24576,12,138.96737274999998,29.53,64,379,0.2,-23.76376978158951,0.9779104590415955,0.020016218,110,0.29097580909729004,0.198193359375,848.534689617157,389.6241149902344,-0.0681198141654022,0.0003,,
25000,,,,,,0.2,-23.721095263957977,0.9758067727088928,0.020719469,120,0.3135232925415039,0.194775390625,985.3035768508911,434.70977783203125,-0.06678180753951893,0.0003,405.0965536981821,75.7
26624,13,136.19301765,28.88,71,371,,,,,,,,,,,,,
28672,14,144.57898163,30.69,75,377,0.2,-23.69885417819023,0.9751670956611633,0.023661546,130,0.36588120460510254,0.2294921875,841.0181852340698,391.7091979980469,-0.07212514576676768,0.0003,,
30000,,,,,,0.2,-23.683993411064147,0.974103569984436,0.023995655,140,0.37284308671951294,0.240966796875,897.4855234146119,300.6577453613281,-0.07422384840028826,0.0003,417.0372792363167,78.7
30720,15,160.52990826,34.26,82,371,,,,,,,,,,,,,
32768,16,166.37252464000002,35.55,87,375,0.2,-23.66652347445488,0.9730439782142639,0.021427587,150,0.34324735403060913,0.20947265625,1066.929953956604,531.8763427734375,-0.06777306910080369,0.0003,,
34816,17,173.55603468000004,37.08,92,377,0.2,-23.66017601490021,0.9735118746757507,0.023467954,160,0.36610978841781616,0.2193359375,1034.0487129211426,492.084228515625,-0.06921533983550035,0.0003,,
35000,,,,,,0.2,-23.658498799800874,0.9729236364364624,0.025801137,170,0.3499476909637451,0.240869140625,1175.2684396743775,427.63568115234375,-0.07392112971574534,0.0003,313.1345062226057,60.05
36864,18,181.96233312,38.56,98,372,,,,,,,,,,,,,
38912,19,189.92407318999997,40.01,103,375,0.2,-23.626747280359268,0.9701183438301086,0.022823472,180,0.37598395347595215,0.227490234375,1182.3594829559327,686.1256103515625,-0.06934827925288119,0.0003,,
40000,,,,,,0.2,-23.583184683322905,0.9680737853050232,0.019702699,190,0.3289813995361328,0.18603515625,1262.6276662826538,601.936279296875,-0.06313709903042763,0.0003,304.76869319081305,58.65
40960,20,195.17797457,41.47,110,371,,,,,,,,,,,,,
43008,21,202.04320701999998,42.91,115,371,0.2,-23.560042607784272,0.967112123966217,0.022087459,200,0.3867734670639038,0.21728515625,1148.7304578781127,580.6497192382812,-0.06794996024982539,0.0003,,
45000,,,,,,0.2,-23.547970008850097,0.9669265747070312,0.024073867,210,0.4080103039741516,0.21064453125,1130.5568866729736,536.93408203125,-0.06771582325454802,0.0003,284.607809253037,56.1
45056,22,185.90761793000001,39.5,122,366,,,,,,,,,,,,,
47104,23,203.55036583999993,43.04,128,367,0.2,-23.54783010482788,0.9672437310218811,0.020367697,220,0.4327033758163452,0.194873046875,926.3652751922607,445.351806640625,-0.06350159203866497,0.0003,,
49152,24,214.1696487300001,45.02,133,369,0.2,-23.539878499507903,0.9663034081459045,0.01998835,230,0.4883655309677124,0.178369140625,1230.2521169662475,533.5462036132812,-0.05898360357969068,0.0003,,
50000,,,,,,0.2,-23.51347729563713,0.964309573173523,0.023254778,240,0.4786607623100281,0.21015625,1115.779580116272,423.33721923828125,-0.06453044424415566,0.0003,303.7811924047768,60.2
51200,25,206.1344714,43.43,139,366,,,,,,,,,,,,,
53248,26,217.43852457,45.98,144,367,0.2,-23.485212922096252,0.962918221950531,0.018858228,250,0.42590397596359253,0.1583984375,1154.2901182174683,654.1328735351562,-0.056554769523791036,0.0003,,
55000,,,,,,0.2,-23.45480548739433,0.9608116149902344,0.02258209,260,0.4926329255104065,0.218505859375,1195.5626321792602,463.4915466308594,-0.06389517017814797,0.0003,300.4555520474911,59.0
55296,27,232.15090137999997,48.68,151,363,,,,,,,,,,,,,
57344,28,235.33012494999994,49.75,157,365,0.2,-23.438294696807862,0.9614219665527344,0.021524418,270,0.5126160681247711,0.203271484375,1097.124857711792,467.10711669921875,-0.06049344501807354,0.0003,,
59392,29,230.09553056999997,49.09,161,367,0.2,-23.442969167232512,0.9611807465553284,0.019469121,280,0.44189393520355225,0.17099609375,1190.3197919845582,585.5478515625,-0.05924188214121386,0.0003,,
60000,,,,,,0.2,-23.43890052437782,0.9610125422477722,0.018767197,290,0.45489615201950073,0.1607421875,1118.0523599624635,413.469482421875,-0.05666686028707772,0.0003,270.08460775613787,51.9
61440,30,237.45889785,50.63,167,366,,,,,,,,,,,,,
63488,31,249.40763500000006,53.03,172,367,0.2,-23.426719743013383,0.9598289728164673,0.019183885,300,0.41107720136642456,0.165625,1330.8990043640138,509.2553405761719,-0.05643042426963803,0.0003,,
65000,,,,,,0.2,-23.41871976852417,0.9604654908180237,0.018863877,310,0.5214288532733917,0.16240234375,1109.9722412109375,541.0897216796875,-0.055886536193429495,0.0003,291.24804670214655,56.5
65536,32,242.46369127999998,51.15,178,366,,,,,,,,,,,,,
67584,33,242.48093068999998,50.92,183,367,0.2,-23.413795351982117,0.959017813205719,0.021324381,320,0.536416232585907,0.167236328125,1000.3060110092163,460.8529357910156,-0.056746153757558204,0.0003,,
69632,34,256.24100199000003,53.74,188,368,0.2,-23.388203978538513,0.957850992679596,0.019086257,330,0.4656095504760742,0.155810546875,1216.8604711532594,443.1416320800781,-0.05247223747428507,0.0003,,
70000,,,,,,0.2,-23.370003831386565,0.9570249915122986,0.024056513,340,0.5687946677207947,0.216162109375,1074.193444442749,395.50872802734375,-0.060045416810316964,0.0003,274.54451140761375,54.4
71680,35,266.96055278000006,56.07,195,366,,,,,,,,,,,,,
73728,36,269.31758264,57.05,200,367,0.2,-23.342835026979447,0.9548831582069397,0.018887155,350,0.5509068071842194,0.161474609375,1010.5610250473022,451.2929992675781,-0.05435799138213042,0.0003,,
75000,,,,,,0.2,-23.30639825463295,0.9531626105308533,0.017517027,360,0.49302101135253906,0.15869140625,1117.0394832611084,473.6713562011719,-0.051756860496243465,0.0003,274.1520008206368,55.9
75776,37,273.39740341,57.59,206,366,,,,,,,,,,,,,
77824,38,272.41280569,57.87,211,367,0.2,-23.285370230674744,0.9522184729576111,0.020276625,370,0.5921977460384369,0.167333984375,1095.300386238098,370.49737548828125,-0.05331153570150491,0.0003,,
79872,39,262.15721580999997,55.31,216,368,0.2,-23.276819837093353,0.9522638916969299,0.017937973,380,0.5758507549762726,0.15439453125,940.6480726242065,427.3415832519531,-0.05244284641230479,0.0003,,
80000,,,,,,0.2,-23.268841475248337,0.9510631561279297,0.020781346,390,0.567745715379715,0.176220703125,993.9430713653564,399.89593505859375,-0.05397990319179371,0.0003,311.1324851632118,60.7
81920,40,262.84650001,55.31,223,366,,,,,,,,,,,,,
83968,41,269.93064697,56.53,228,367,0.2,-23.26016938686371,0.9511449337005615,0.022408012,400,0.6036056578159332,0.188916015625,998.3430805206299,443.71905517578125,-0.05735903198947199,0.0003,,
85000,,,,,,0.2,-23.255287456512452,0.9511725306510925,0.022210049,410,0.6685711145401001,0.1900390625,812.9076103210449,376.7137145996094,-0.05545255220204126,0.0003,306.8631379775703,60.1
86016,42,277.51325693,58.09,235,365,,,,,,,,,,,,,
88064,43,285.41064981,59.23,240,366,0.2,-23.25277705192566,0.9507255554199219,0.021696884,420,0.635544091463089,0.162158203125,960.2343355178833,332.1696472167969,-0.051781031311838886,0.0003,,
90000,,,,,,0.2,-23.24446596503258,0.9501652717590332,0.018826474,430,0.6572234332561493,0.149365234375,910.0048037528992,366.16302490234375,-0.04925596561806742,0.0003,279.61780234463515,55.25
90112,44,297.50039073,61.93,246,364,,,,,,,,,,,,,
92160,45,298.24598752,61.76,252,365,0.2,-23.229566121101378,0.9491081237792969,0.023814864,440,0.6062723100185394,0.17412109375,964.66386013031,373.87579345703125,-0.05208454623643775,0.0003,,
94208,46,297.59594443,61.79,257,366,0.2,-23.214576488733293,0.9485828280448914,0.021000173,450,0.6278911828994751,0.174755859375,886.4018986701965,394.016357421875,-0.0538691436231602,0.0003,,
95000,,,,,,0.2,-23.198993861675262,0.947378933429718,0.021036029,460,0.7151793837547302,0.168212890625,729.6157017707825,321.20416259765625,-0.05328148283297196,0.0003,300.591902744025,57.65
96256,47,284.88940717,59.21,263,364,,,,,,,,,,,,,
98304,48,288.72334006000006,60.13,269,365,0.2,-23.19147210121155,0.9478232264518738,0.015475578,470,0.6793393790721893,0.136669921875,749.0552121162415,315.37890625,-0.04654944019857794,0.0003,,
