time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,488,96.71565195744681,21.73404255319149,4,,,,,,,,,,,,,
4096,2,429,101.33904354,22.73,9,0.0003,0.019481618,10,0.9990965723991394,0.2,-24.112733125686646,403.55230712890625,0.229541015625,-0.007195472717285156,1212.8403591156007,-0.06029618731408846,,
5000,,,,,,0.0003,0.02457518,20,0.9948439002037048,0.2,-24.066079610586165,392.7304382324219,0.254736328125,0.017619669437408447,946.8466409683227,-0.069951382803265,61.8,291.1429038016242
6144,3,386,103.38791846,23.0,15,,,,,,,,,,,,,
8192,4,402,106.60883132999999,23.82,20,0.0003,0.029420037,30,0.9908053278923035,0.2,-23.98854489326477,420.7502746582031,0.31650390625,0.017393529415130615,901.7843172073365,-0.0803160566079896,,
10000,,,,,,0.0003,0.031728446,40,0.9882597327232361,0.2,-23.939548760652542,438.53424072265625,0.34052734375,0.016095995903015137,916.704891204834,-0.08559025708818808,72.6,361.88498884029684
10240,5,373,105.97086026999999,23.5,27,,,,,,,,,,,,,
12288,6,372,108.08700379999999,24.08,32,0.0003,0.032127097,50,0.9859262108802795,0.2,-23.892929875850676,306.0694580078125,0.35966796875,0.014967620372772217,855.457737159729,-0.08900744589627721,,
14336,7,373,110.92307279999997,24.86,38,0.0003,0.02672582,60,0.983551561832428,0.2,-23.859191620349883,378.65289306640625,0.29833984375,0.03354752063751221,845.3357704162597,-0.07943988966289908,,
15000,,,,,,0.0003,0.027193416,70,0.9813260436058044,0.2,-23.823296755552292,378.5633239746094,0.29765625,0.06547200679779053,810.6785293579102,-0.08201705430401489,65.8,343.9789082467556
16384,8,357,114.38360479000002,25.45,45,,,,,,,,,,,,,
18432,9,360,119.84445851999999,26.47,51,0.0003,0.02212799,80,0.9789128303527832,0.2,-23.774712246656417,386.4261474609375,0.229248046875,0.09028798341751099,906.4950254440307,-0.07066903712693602,,
20000,,,,,,0.0003,0.019389845,90,0.9769132137298584,0.2,-23.73907451033592,373.3634338378906,0.205712890625,0.197454035282135,802.2938739776612,-0.0686086589936167,62.55,333.1433719865978
20480,10,358,119.82515144000001,26.73,57,,,,,,,,,,,,,
22528,11,365,129.63246708,28.74,61,0.0003,0.020526905,100,0.9760885834693909,0.2,-23.716381669044495,444.8042297363281,0.206201171875,0.25125932693481445,885.0742290496826,-0.07015240349865053,,
24576,12,367,147.94980205,32.39,66,0.0003,0.022023022,110,0.9737087488174438,0.2,-23.68728533387184,453.2227783203125,0.23125,0.30985260009765625,949.0990213394165,-0.07306456018704921,,
25000,,,,,,0.0003,0.023233011,120,0.9712112545967102,0.2,-23.64256069660187,527.3302612304688,0.231689453125,0.3162001967430115,1134.404962348938,-0.07379762324562762,57.75,295.31822668910024
26624,13,362,137.88292749000001,30.18,73,,,,,,,,,,,,,
28672,14,364,140.88905175999997,31.37,78,0.0003,0.023805434,130,0.9692358374595642,0.2,-23.604751926660537,442.4709167480469,0.236865234375,0.3494355082511902,870.9164468765259,-0.07266077629756182,,
30000,,,,,,0.0003,0.019965842,140,0.9691405892372131,0.2,-23.588507801294327,381.7772216796875,0.20185546875,0.3499882221221924,936.9243558883667,-0.06625007193651981,56.05,291.4412909835577
30720,15,359,155.48487075,34.25,85,,,,,,,,,,,,,
32768,16,361,173.8723153,37.99,90,0.0003,0.015620345,150,0.9678317904472351,0.2,-23.572521752119066,559.3721923828125,0.1447265625,0.3590874671936035,1152.3149522781373,-0.054808959140791556,,
34816,17,365,183.73733669,40.37,95,0.0003,0.018623173,160,0.9674444794654846,0.2,-23.558367466926576,417.2242126464844,0.182470703125,0.34516769647598267,1135.6498769760133,-0.06241057090228423,,
35000,,,,,,0.0003,0.018096205,170,0.967709481716156,0.2,-23.55776858329773,432.3380126953125,0.167626953125,0.35672152042388916,1215.3712671279907,-0.05933911616448313,54.9,287.68596867322924
36864,18,360,193.99509008,42.55,102,,,,,,,,,,,,,
38912,19,361,189.76027656,41.67,107,0.0003,0.018432084,180,0.9660056829452515,0.2,-23.54234327673912,692.13330078125,0.186669921875,0.3065045475959778,1317.4224536895751,-0.061696457932703196,,
40000,,,,,,0.0003,0.017084556,190,0.9638988375663757,0.2,-23.509577733278274,471.3870849609375,0.152197265625,0.3722184896469116,1171.701668357849,-0.057601319279638116,55.05,288.2793796479702
40960,20,358,203.5023157,44.51,114,,,,,,,,,,,,,
43008,21,359,201.07810398,44.02,119,0.0003,0.016751837,200,0.9630008339881897,0.2,-23.48475261926651,545.9228515625,0.144970703125,0.39044344425201416,1285.927131843567,-0.05488755237893202,,
45000,,,,,,0.0003,0.019136138,210,0.9630180597305298,0.2,-23.47534129023552,544.0947875976562,0.171337890625,0.436191201210022,1127.2659133911134,-0.05946103380410932,65.3,336.6993153832853
45056,22,355,202.50657135,44.19,126,,,,,,,,,,,,,
47104,23,359,215.52955461999994,46.84,131,0.0003,0.017488647,220,0.9609978795051575,0.2,-23.454746478796004,587.0324096679688,0.149658203125,0.4148404598236084,1206.4200355529786,-0.056899247522233055,,
49152,24,361,230.83101432999996,49.98,135,0.0003,0.01733732,230,0.9598765969276428,0.2,-23.428209829330445,570.7566528320312,0.1564453125,0.4403306841850281,1333.9134683609009,-0.0561332248384133,,
50000,,,,,,0.0003,0.019413413,240,0.9582033753395081,0.2,-23.40017609000206,551.4692993164062,0.170556640625,0.45239925384521484,1340.9408739089965,-0.05507119125395547,58.55,307.96475526914
51200,25,358,244.18231144,52.87,142,,,,,,,,,,,,,
53248,26,359,245.39372568,52.73,148,0.0003,0.016359197,250,0.9567849636077881,0.2,-23.373355662822725,703.3172607421875,0.1416015625,0.4067234992980957,1440.6282224655151,-0.052248397533549,,
55000,,,,,,0.0003,0.018940758,260,0.9572291970252991,0.2,-23.363571256399155,653.8275756835938,0.173291015625,0.4046916365623474,1431.4142398834229,-0.05891252902511042,66.5,350.36536028273406
55296,27,356,238.07390222000006,51.43,155,,,,,,,,,,,,,
57344,28,357,242.17634741999998,52.44,160,0.0003,0.02006812,270,0.9568312168121338,0.2,-23.36294135451317,615.6641235351562,0.182958984375,0.41016650199890137,1278.9950012207032,-0.05909516986575909,,
59392,29,360,246.83464665,53.05,164,0.0003,0.019972272,280,0.9555220007896423,0.2,-23.347270327806473,622.5855712890625,0.168505859375,0.4743558168411255,1235.4666076660155,-0.056696916164946744,,
