rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
22.677777777777777,1,2,2048,106.78850128888888,692,,,,,,,,,,,,,
22.47,2,7,4096,105.35252949,557,0.9980049133300781,10,0.011052191257476807,0.0003,0.20205078125,0.018623913,0.2,-24.10423156619072,-0.05822131014720071,1431.2986944198608,478.6459655761719,,
,,,5000,,,0.9981130957603455,20,0.018012523651123047,0.0003,0.25380859375,0.023452902,0.2,-24.10090255141258,-0.06854402523022145,1059.2483850479125,450.71630859375,301.5718396186829,59.7
23.41,3,12,6144,110.8227865,474,,,,,,,,,,,,,
23.84,4,17,8192,111.50271627999999,475,0.9946812987327576,30,0.009719014167785645,0.0003,0.28408203125,0.025624407,0.2,-24.047568130493165,-0.07658063205308281,1042.3221525192262,463.3114929199219,,
,,,10000,,,0.9912091493606567,40,0.014133989810943604,0.0003,0.337548828125,0.031769067,0.2,-23.995236772298814,-0.08485235353291501,926.5710186004638,426.55389404296875,298.86066587008537,58.55
23.11,5,23,10240,108.34092934,443,,,,,,,,,,,,,
25.7,6,27,12288,120.46947340000001,440,0.990591287612915,50,0.01583266258239746,0.0003,0.37265625,0.03558235,0.2,-23.965681636333464,-0.08747499965829775,817.3914691925049,329.8335876464844,,
25.57,7,32,14336,119.87392507000003,441,0.9896275997161865,60,0.021364152431488037,0.0003,0.378173828125,0.03382241,0.2,-23.962770599126817,-0.08792660894687288,937.91550655365,446.81451416015625,,
,,,15000,,,0.9873547554016113,70,0.030764460563659668,0.0003,0.365380859375,0.034547523,0.2,-23.919358760118484,-0.08894346628076163,807.9184930801391,371.8611145019531,337.4699660629034,65.35
27.24,8,38,16384,127.83792427999998,428,,,,,,,,,,,,,
27.51,9,42,18432,129.50769445,430,0.9867020845413208,80,0.03769946098327637,0.0003,0.281591796875,0.027926961,0.2,-23.90250790119171,-0.07788492864929139,1073.0890962600708,364.6308288574219,,
,,,20000,,,0.9854058623313904,90,0.06397604942321777,0.0003,0.281494140625,0.024850156,0.2,-23.8848675429821,-0.0787446236849064,955.1704380035401,468.68853759765625,332.39549828125166,65.9
27.73,10,48,20480,130.61126987999998,419,,,,,,,,,,,,,
26.61,11,53,22528,124.32802468999998,421,0.9835804104804993,100,0.10016334056854248,0.0003,0.197998046875,0.01896298,0.2,-23.854807496070862,-0.0661588917078916,918.1630556106568,503.84112548828125,,
28.98,12,58,24576,136.4457243,422,0.9811998009681702,110,0.20905226469039917,0.0003,0.189599609375,0.0208398,0.2,-23.820657032728196,-0.06598668758524581,852.9223686218262,418.8330383300781,,
