time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
4,145.94618924999997,121,30.25,0,1497,,,,,,
8,105.2554585,178,22.25,0,366,4.683666075978961,74,-5.7032029288155695,0.001,,
12,91.29781083333334,234,19.5,0,289,1.1868279150554113,130,-6.666019984654018,0.001,,
16,84.17068599999999,290,18.125,1,254,0.5116797685623169,186,-7.326068605695452,0.001,,
20,79.94751744999999,346,17.3,1,235,0.4804744166987283,242,-7.857264518737793,0.001,,
24,77.18727695833333,402,16.75,1,224,0.8523547202348709,298,-8.578592572893415,0.001,,
28,75.20394171428572,458,16.357142857142858,2,218,0.48970834272248404,354,-9.01546015058245,0.001,,
32,73.7127693125,514,16.0625,2,215,0.5256480595895222,410,-9.524169376918248,0.001,,
36,72.55041952777779,570,15.833333333333334,2,215,0.2434300466307572,466,-10.07214709690639,0.001,,
40,71.602737,626,15.65,2,213,0.29673187328236444,522,-10.583218029567174,0.001,,
44,70.80736022727272,682,15.5,3,212,0.18598808241742,578,-11.149968555995397,0.001,,
48,70.13986795833334,738,15.375,3,211,0.5245569369622639,634,-11.720939227512904,0.001,,
52,69.57084348076924,794,15.26923076923077,3,211,0.26005849135773523,690,-11.988761356898717,0.001,,
56,69.12766732142856,850,15.178571428571429,4,210,0.3248933958155768,746,-12.610479082380023,0.001,,
60,68.72188813333332,906,15.1,4,209,0.2563579146351133,802,-12.893133299691337,0.001,,
64,68.36319748437501,962,15.03125,4,208,0.3137459212115833,858,-13.364038331168038,0.001,,
68,68.04206536764706,1018,14.970588235294118,4,206,0.6525178296225411,914,-13.727196284702845,0.001,,
72,67.75169251388888,1074,14.916666666666666,5,205,0.2888692691922188,970,-14.411088807242256,0.001,,
76,67.49897861842105,1130,14.868421052631579,5,205,0.378844898726259,1026,-14.60001277923584,0.001,,
80,67.271506625,1186,14.825,5,204,0.41678878026349203,1082,-15.168864931379046,0.001,,
84,67.0633309047619,1242,14.785714285714286,6,203,0.3560927946652685,1138,-15.634599821908134,0.001,,
88,66.8793617840909,1298,14.75,6,203,0.22775148334247725,1194,-16.104754311697825,0.001,,
92,66.70191607608695,1354,14.717391304347826,6,203,0.18350732965128763,1250,-16.42102118900844,0.001,,
96,66.54418470833333,1410,14.6875,6,202,0.20242795614259584,1306,-16.783211844308035,0.001,,
100,66.39654635,1466,14.66,7,201,0.6983741042869431,1362,-16.838563101632253,0.001,,
104,63.072750049999996,1522,14.01,7,201,0.5601880699396133,1418,-17.76453181675502,0.001,,
108,63.00841714999999,1578,14.0,7,201,1.0847665965557098,1474,-18.13339396885463,0.001,,
112,62.98363079000001,1634,14.0,8,201,0.46142624957220896,1530,-18.25128255571638,0.001,,
116,62.986344200000005,1690,14.0,8,200,0.271994590227093,1586,-18.608342034476145,0.001,,
120,62.97867507,1746,14.0,8,200,0.33360527189714567,1642,-19.107283728463308,0.001,,
124,62.95541199000001,1802,14.0,9,199,0.1381498064313616,1698,-19.607027871268137,0.001,,
128,62.93867881000001,1858,14.0,9,199,0.3673191783683641,1754,-20.126467841012136,0.001,,
132,62.926139039999995,1914,14.0,9,199,0.48249530366488863,1810,-20.062731334141322,0.001,,
136,62.91111636000001,1970,14.0,9,199,0.3710902439696448,1866,-21.036617824009486,0.001,,
140,62.90597808999999,2026,14.0,10,198,0.36359898320266176,1922,-21.149803706577845,0.001,,
144,62.90568349,2082,14.0,10,198,0.6509316542318889,1978,-21.359004701886857,0.001,,
148,62.91171158,2138,14.0,10,198,0.5937299047197614,2034,-21.467298235212052,0.001,,
152,62.92194709999999,2194,14.0,11,198,0.3614250719547272,2090,-22.403975622994558,0.001,,
156,62.904741869999995,2250,14.0,11,198,0.4435783699154854,2146,-22.06686728341239,0.001,,
160,62.898780710000004,2306,14.0,11,197,1.1002232443009103,2202,-22.28871509007045,0.001,,
164,62.892256579999994,2362,14.0,11,197,0.8937905185988971,2258,-22.854561397007533,0.001,,
168,62.894762359999994,2418,14.0,12,197,0.25785819281424793,2314,-22.89805003574916,0.001,,
172,62.895998,2474,14.0,12,197,0.20788224946175302,2370,-23.096928460257395,0.001,,
176,62.895111369999995,2530,14.0,12,196,0.15093851568443434,2426,-23.158078602382115,0.001,,
180,62.89348308,2586,14.0,13,197,0.17658402557883943,2482,-23.546452113560267,0.001,,
184,62.89581114,2642,14.0,13,197,0.22493512822049005,2538,-23.955209187098912,0.001,,
188,62.888292840000005,2698,14.0,13,197,0.21851121048842156,2594,-24.56882585797991,0.001,,
192,62.88678408999999,2754,14.0,13,197,0.16990044420318945,2650,-24.538764136178152,0.001,,
196,62.88096354000001,2810,14.0,14,197,0.40437299758195877,2706,-24.551471165248326,0.001,,
200,62.88447691000001,2866,14.0,14,196,0.20307506514447077,2762,-25.25774601527623,0.001,,
204,62.882837390000006,2922,14.0,14,196,0.3177864668624742,2818,-25.6066769191197,0.001,,
208,62.87568573000001,2978,14.0,15,196,0.4005865662225655,2874,-25.131971631731307,0.001,,
212,62.879706520000006,3034,14.0,15,196,0.3888692062880312,2930,-25.356327329363143,0.001,,
216,62.87616298000001,3090,14.0,15,196,0.48916172981262207,2986,-25.48630768912179,0.001,,
220,62.87703538000001,3146,14.0,16,196,1.5650314326797212,3042,-25.62503460475377,0.001,,
224,62.88457540000001,3202,14.0,16,195,1.168664310659681,3098,-26.675885336739675,0.001,,
228,62.88476648000001,3258,14.0,16,195,0.7142933500664574,3154,-27.193902151925222,0.001,,
232,62.87887256,3314,14.0,16,195,0.5953278073242733,3210,-26.6238340650286,0.001,,
236,62.88133885,3370,14.0,17,195,0.5068920595305306,3266,-27.164457866123744,0.001,,
240,62.87773018,3426,14.0,17,195,0.21457708467330253,3322,-27.64476830618722,0.001,,
244,62.87759948,3482,14.0,17,195,0.23668997628348215,3378,-26.951626096452987,0.001,,
248,62.87421076999999,3538,14.0,18,195,0.42753090603010996,3434,-27.206459045410156,0.001,,
252,62.868875419999995,3594,14.0,18,196,0.264077256832804,3490,-27.83006422860282,0.001,,
256,62.870879810000005,3650,14.0,18,195,0.1663972389485155,3546,-28.42456109183175,0.001,,
260,62.86715747999999,3706,14.0,18,195,0.32814703828522135,3602,-27.4176447732108,0.001,,
264,62.86880513999999,3762,14.0,19,195,0.33332277781197,3658,-28.38606752668108,0.001,,
268,62.86579157,3818,14.0,19,195,0.3092613624674933,3714,-28.68358884538923,0.001,,
272,62.864654149999986,3874,14.0,19,195,0.2826121768781117,3770,-27.361717769077845,0.001,,
276,62.86394996999999,3930,14.0,20,195,0.5936708535466876,3826,-28.457382474626815,0.001,,
280,62.862124869999995,3986,14.0,20,195,0.9122869670391083,3882,-28.425832203456334,0.001,,
284,62.85514569,4042,14.0,20,195,0.2994423620402813,3938,-28.195408957345144,0.001,,
288,62.858080199999996,4098,14.0,20,195,0.32669411493199213,3994,-29.45894650050572,0.001,,
292,62.867348480000004,4154,14.0,21,196,0.17728591763547488,4050,-28.68133408682687,0.001,,
296,62.87022671,4210,14.0,21,196,0.9832269139587879,4106,-29.17704255240304,0.001,,
300,62.86652430000001,4266,14.0,21,196,2.5385650311197554,4162,-29.327332632882253,0.001,,
304,62.86945218999998,4322,14.0,22,196,1.3897625740085329,4218,-30.007381711687362,0.001,,
308,62.87584180999999,4378,14.0,22,196,1.2860330460327012,4274,-29.883399145943777,0.001,,
312,62.87623366999999,4434,14.0,22,196,0.9871607976300376,4330,-30.42509160723005,0.001,,
316,62.878197149999984,4490,14.0,22,196,1.682385734149388,4386,-29.592166355678014,0.001,,
320,62.89654387999999,4546,14.0,23,196,0.7198004381997245,4442,-30.823238372802734,0.001,,
324,62.91165358,4602,14.0,23,196,0.45817557881985393,4498,-30.621636254446848,0.001,,
328,62.92974472,4658,14.0,23,196,0.3238404818943569,4554,-29.494461604527064,0.001,,
332,62.956213790000014,4714,14.0,23,196,0.3144939254437174,4610,-30.601666586739675,0.001,,
336,62.97497526,4770,14.0,24,196,0.7879756433623177,4666,-30.484406062534877,0.001,,
340,62.99537111000001,4826,14.0,24,196,0.23114997494433606,4722,-30.02094078063965,0.001,,
344,63.0203992,4882,14.0,24,196,0.44884322796549114,4778,-30.545623779296875,0.001,,
348,63.03878619,4938,14.0,25,196,0.4550636038184166,4834,-31.34704099382673,0.001,,
352,63.059949689999996,4994,14.0,25,196,0.29718281275459696,4890,-31.444338389805385,0.001,,
,,5000,,,,0.23145385033317975,4904,-30.205071313040598,0.001,14.0,63.394920110702515
356,63.072665519999994,5050,14.0,25,194,0.305756287915366,4946,-31.02796200343541,0.001,,
360,63.09587833,5106,14.0,26,194,0.3153879078371184,5002,-31.490747451782227,0.001,,
364,63.11449511000001,5162,14.0,26,194,3.0512986885649815,5058,-31.363694872174943,0.001,,
368,63.1348597,5218,14.0,26,194,5.841581291386059,5114,-30.648366928100586,0.001,,
372,63.158336950000006,5274,14.0,27,194,1.269103149750403,5170,-30.714400155203684,0.001,,
376,63.179949850000014,5330,14.0,27,194,2.7952484722648347,5226,-31.25802312578474,0.001,,
380,63.198504320000005,5386,14.0,27,194,0.8517553987247604,5282,-31.008515221732004,0.001,,
384,63.224149970000006,5442,14.0,27,194,0.46248254286391394,5338,-30.723461423601425,0.001,,
388,63.24445976,5498,14.0,28,194,0.22032035940459796,5394,-31.44269643511091,0.001,,
392,63.25959124,5554,14.0,28,194,0.28506741566317423,5450,-30.801143646240234,0.001,,
396,63.28310565999999,5610,14.0,28,194,0.2230338416993618,5506,-31.442545209612167,0.001,,
400,63.309426949999995,5666,14.0,29,194,0.5029121828930718,5562,-31.519887924194336,0.001,,
404,63.328702750000005,5722,14.0,29,194,0.3348890000155994,5618,-31.866425377982004,0.001,,
