rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
21.177083333333332,1,3,2048,99.93296097916668,681,,,,,,,,,,,,,
21.63,2,7,4096,101.44179568000003,537,0.9997652769088745,10,-0.00655364990234375,0.0003,0.19697265625,0.017919905,0.2,-24.12203091979027,-0.054905294309719466,1343.682117652893,436.64263916015625,,
,,,5000,,,1.0014067888259888,20,0.01914876699447632,0.0003,0.238623046875,0.023093857,0.2,-24.140772616863252,-0.06802945917588658,974.0443881988525,404.2598571777344,359.19815998077394,68.05
21.64,3,13,6144,101.31617809000001,444,,,,,,,,,,,,,
21.68,4,18,8192,102.56810845,442,1.004602074623108,30,0.0237886905670166,0.0003,0.310205078125,0.03080425,0.2,-24.188222920894624,-0.07850721348077058,823.7449485778809,279.08599853515625,,
,,,10000,,,1.0007354021072388,40,0.023753762245178223,0.0003,0.340869140625,0.031916764,0.2,-24.15954084992409,-0.08279592663457151,752.907131767273,266.7248229980469,334.9821833372116,66.9
22.98,5,24,10240,107.60211887999998,416,,,,,,,,,,,,,
23.68,6,29,12288,111.17321232999998,414,0.9985478520393372,50,0.014368593692779541,0.0003,0.377099609375,0.037379064,0.2,-24.114800107479095,-0.0868303893279517,763.0511098861695,269.2223205566406,,
23.72,7,34,14336,110.39556898000002,421,1.00003981590271,60,0.02951514720916748,0.0003,0.348193359375,0.033111475,0.2,-24.109228694438933,-0.08573548966669478,789.544358253479,411.8385009765625,,
,,,15000,,,0.9996686577796936,70,0.046760380268096924,0.0003,0.333056640625,0.031624544,0.2,-24.12429496049881,-0.08547501782886684,772.8755651473999,377.9935607910156,335.4253307640553,66.25
25.2,8,40,16384,117.78883365999998,409,,,,,,,,,,,,,
