time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
4,131.48534375,107,26.75,0,1083,,,,,,
8,94.152129125,161,20.125,0,268,14.524381637573242,58,-4.352334874016898,0.001,,
12,83.39820483333334,216,18.0,1,202,3.542857459613255,113,-5.715648651123047,0.001,,
16,77.191106625,268,16.75,1,172,1.6139379097865179,165,-6.3021918932596845,0.001,,
20,73.23655290000002,321,16.05,2,159,0.7941737037438613,217,-6.689813057581584,0.001,,
24,70.58531370833333,375,15.625,2,150,0.5738321095705032,272,-7.213368075234549,0.001,,
28,68.64937875,428,15.285714285714286,2,143,0.7612985189144428,325,-7.6453384558359785,0.001,,
32,67.341890625,482,15.0625,3,139,0.41564645724637167,379,-8.105031830923897,0.001,,
36,66.43722469444445,537,14.916666666666666,3,137,0.77849009845938,433,-8.608197484697614,0.001,,
40,65.315144175,590,14.75,4,134,0.73505188868596,487,-9.067769368489584,0.001,,
44,64.44846381818182,643,14.613636363636363,4,131,0.6544436468527868,540,-9.567056247166224,0.001,,
48,63.880565749999995,697,14.520833333333334,5,130,0.9588643587552584,594,-10.094184875488281,0.001,,
52,63.33775624999999,752,14.461538461538462,5,130,0.7481330548013959,648,-10.333880152021136,0.001,,
56,62.95501846428572,807,14.410714285714286,6,128,0.740418801350253,703,-10.729239463806152,0.001,,
60,62.47599825000001,860,14.333333333333334,6,127,0.9213125705718994,757,-11.242090633937291,0.001,,
64,62.01356182812499,913,14.265625,7,126,1.2663591458247259,810,-11.764333043779645,0.001,,
68,61.60962885294117,966,14.205882352941176,7,125,1.3305726902825492,863,-12.157810619899205,0.001,,
72,61.31726255555556,1020,14.166666666666666,8,124,0.9537171295710972,917,-12.524446351187569,0.001,,
76,61.299085355263145,1074,14.131578947368421,8,123,1.1450481627668654,971,-12.967508452279228,0.001,,
80,61.287032187499996,1128,14.1,9,122,1.1216275904859816,1025,-13.270757402692523,0.001,,
84,61.215876964285705,1182,14.071428571428571,9,121,1.2009665540286474,1079,-13.565481322152275,0.001,,
88,61.14775369318181,1236,14.045454545454545,10,121,1.0467681884765625,1132,-14.2314145224435,0.001,,
92,61.13789473913044,1290,14.021739130434783,10,121,1.2170986716563885,1186,-14.46922506604876,0.001,,
96,61.07520170833334,1344,14.0,11,120,1.1783854961395264,1240,-15.051514489310128,0.001,,
100,61.16550376,1400,14.0,11,119,1.0902702808380127,1296,-15.53347737448556,0.001,,
104,58.39555219000001,1455,13.48,12,118,1.2244430276063771,1351,-15.62129259109497,0.001,,
108,58.51232250000001,1509,13.48,12,117,1.0189259531242507,1406,-16.194110325404576,0.001,,
112,58.42684744000001,1563,13.47,13,116,1.0194958448410034,1459,-16.491619655064174,0.001,,
116,58.47074966,1617,13.49,13,116,1.2502799055406026,1513,-16.46893814631871,0.001,,
120,58.60779978000001,1672,13.51,14,116,2.57182149376188,1568,-16.90440341404506,0.001,,
124,58.78934082,1728,13.53,14,116,1.7521643808909826,1624,-17.11709295000349,0.001,,
128,58.85881636,1780,13.52,15,116,1.1907607408670278,1677,-18.0829979578654,0.001,,
132,59.06466920999999,1836,13.54,15,115,1.4061395611081804,1732,-18.146523066929408,0.001,,
136,59.18699692,1891,13.54,16,116,1.4550205383981978,1787,-18.402501787458146,0.001,,
140,59.32037090000001,1944,13.54,16,116,2.5080404740113478,1841,-18.999475479125977,0.001,,
144,59.57600971,1999,13.56,17,116,1.5670530540602547,1895,-19.238807133265905,0.001,,
148,59.65372393,2053,13.56,17,116,1.6220576848302568,1950,-19.344160897391184,0.001,,
152,59.91337607,2109,13.57,18,116,1.3734733632632665,2005,-19.602743693760463,0.001,,
156,59.988063110000006,2163,13.56,18,116,1.0465166313307626,2060,-19.951931272234237,0.001,,
160,60.246263830000004,2218,13.58,19,116,1.342305669417748,2114,-20.227000372750418,0.001,,
164,60.53686696000002,2273,13.6,19,116,1.722063524382455,2170,-20.4290281023298,0.001,,
168,60.77038204,2327,13.61,20,116,0.9933505287537208,2224,-20.66462734767369,0.001,,
172,60.86272901,2380,13.6,20,116,1.3140459473316486,2277,-20.78329372406006,0.001,,
