time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0,29,4,7.25,66.25283625,2502,,,,,,
0,53,8,6.625,60.39982325,2625,,,,,,
0,78,12,6.5,59.146412749999996,2761,,,,,,
0,104,16,6.5,59.146418,2836,,,,,,
0,120,20,6.0,54.45029485,550,-9.663851261138916,0.001,35.491230964660645,19,,
0,133,24,5.541666666666667,50.20880450000001,379,-7.662015438079834,0.001,14.699868202209473,33,,
0,147,28,5.25,47.4750715,313,-10.067157745361328,0.001,4.285134017467499,46,,
0,162,32,5.0625,45.68057421875,274,-10.306522846221924,0.001,1.2836435437202454,61,,
0,177,36,4.916666666666667,44.28306105555556,250,-10.364890575408936,0.001,0.8112898170948029,76,,
0,190,40,4.75,42.748012925,228,-10.19640302658081,0.001,0.5921879808108012,90,,
0,202,44,4.590909090909091,41.30321422727273,217,-10.24980354309082,0.001,0.6557746728261312,102,,
1,218,48,4.541666666666667,40.79847683333333,207,-10.517011642456055,0.001,0.6445783376693726,117,,
1,232,52,4.461538461538462,40.04908796153847,189,-10.781124591827393,0.001,0.7387112379074097,132,,
1,245,56,4.375,39.2561845,180,-10.565597534179688,0.001,0.8381042778491974,145,,
1,258,60,4.3,38.5708402,175,-11.019588947296143,0.001,0.9262493848800659,158,,
1,272,64,4.25,38.09937546875,173,-11.1448392868042,0.001,1.1751342018445332,171,,
1,286,68,4.205882352941177,37.68500276470588,169,-11.044686794281006,0.001,0.9469070235888163,186,,
1,300,72,4.166666666666667,37.31456691666667,166,-11.479113101959229,0.001,1.1551418900489807,200,,
1,314,76,4.131578947368421,36.98529332894737,163,-11.183188438415527,0.001,1.1986597180366516,214,,
2,329,80,4.1125,36.7935797875,161,-11.549434661865234,0.001,1.8637595474720001,229,,
2,342,84,4.071428571428571,36.42086575,158,-11.426982402801514,0.001,1.5026861031850178,242,,
2,356,88,4.045454545454546,36.179351284090906,155,-11.809071063995361,0.001,1.5032941102981567,256,,
2,370,92,4.021739130434782,35.95695591304348,153,-11.679285049438477,0.001,1.9484078884124756,270,,
2,384,96,4.0,35.75294782291667,153,-11.92672872543335,0.001,1.6180175244808197,283,,
2,398,100,3.98,35.56383694,151,-11.864648342132568,0.001,1.8615143299102783,298,,
2,412,104,3.83,34.15761597,149,-11.991991996765137,0.001,1.751511663198471,312,,
2,425,108,3.72,33.13652851,148,-12.332643508911133,0.001,1.911802351474762,325,,
2,438,112,3.6,32.02969727,147,-11.896403789520264,0.001,2.3659982681274414,338,,
3,450,116,3.46,30.74089462,146,-12.470807075500488,0.001,1.5510458946228027,350,,
3,463,120,3.43,30.471757220000004,144,-12.355126857757568,0.001,2.0827285051345825,363,,
3,478,124,3.45,30.637125249999993,143,-12.260334014892578,0.001,2.3782522281010947,377,,
3,492,128,3.45,30.636277849999995,142,-12.89705753326416,0.001,2.065584897994995,392,,
3,506,132,3.44,30.55671158,142,-12.727773189544678,0.001,2.572284519672394,405,,
3,520,136,3.43,30.475341439999998,141,-12.759172439575195,0.001,3.0879336992899575,419,,
3,533,140,3.43,30.47772214,140,-12.697993278503418,0.001,2.687163988749186,433,,
3,545,144,3.43,30.47916326,140,-13.379149436950684,0.001,2.3810712893803916,445,,
4,559,148,3.41,30.312635239999995,139,-12.81602144241333,0.001,2.914764881134033,459,,
4,572,152,3.4,30.22832585,139,-13.189550399780273,0.001,2.7413858572642007,471,,
4,586,156,3.41,30.31273550000001,138,-13.340992450714111,0.001,3.028942028681437,486,,
4,600,160,3.42,30.396727389999995,137,-13.63946533203125,0.001,2.9232927163441977,499,,
4,615,164,3.43,30.480403410000005,136,-13.467910289764404,0.001,2.7703986167907715,515,,
4,628,168,3.42,30.397544599999996,136,-13.295397281646729,0.001,3.2924580574035645,528,,
4,640,172,3.4,30.234484889999997,135,-13.909735679626465,0.001,2.8444087505340576,540,,
4,653,176,3.39,30.15096527,135,-13.592009544372559,0.001,2.6725165049235025,553,,
4,667,180,3.38,30.06790308,135,-13.57110071182251,0.001,3.1127840876579285,567,,
5,681,184,3.39,30.154044999999996,134,-13.96396255493164,0.001,2.5900694529215493,581,,
5,697,188,3.41,30.31912495,134,-14.625737190246582,0.001,3.4060259461402893,596,,
5,712,192,3.42,30.402570579999995,133,-14.00632381439209,0.001,2.693377375602722,611,,
5,726,196,3.42,30.402220989999996,133,-13.305289268493652,0.001,4.015842040379842,625,,
5,741,200,3.43,30.48753115,133,-14.208151817321777,0.001,2.5662599205970764,640,,
5,756,204,3.44,30.570375209999998,133,-14.806597232818604,0.001,2.7426001131534576,655,,
5,772,208,3.47,30.816847010000007,132,-15.047099590301514,0.001,2.909449517726898,671,,
5,786,212,3.48,30.90140959,132,-14.257454872131348,0.001,3.8448585867881775,685,,
6,801,216,3.51,31.14888521,131,-14.941223621368408,0.001,2.79914191365242,701,,
6,816,220,3.53,31.315521739999998,131,-14.30053997039795,0.001,2.7507056395212808,715,,
6,831,224,3.53,31.31647402,131,-14.600842952728271,0.001,2.7913933992385864,730,,
6,845,228,3.53,31.31535914,131,-15.425883769989014,0.001,3.5292075276374817,745,,
6,858,232,3.52,31.23080318,130,-15.829854011535645,0.001,3.5968313217163086,758,,
6,873,236,3.53,31.313691919999997,130,-15.429934024810791,0.001,2.84587961435318,773,,
6,886,240,3.53,31.31503406,131,-15.291984558105469,0.001,2.990720510482788,785,,
6,899,244,3.54,31.39954379,130,-15.671819686889648,0.001,3.711736043294271,799,,
