time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,0,20,5.0,35.17824475,1853,,,,,,
8,0,39,4.875,34.05085525,1949,,,,,,
12,0,68,5.666666666666667,41.45978975,1899,,,,,,
16,0,88,5.5,39.9309450625,1963,,,,,,
20,0,118,5.9,43.70714675000001,707,-2.879408150911331,0.001,94.55454593234592,9,,
24,0,147,6.125,45.776158124999995,264,-7.679778695106506,0.001,28.89864730834961,40,,
28,0,172,6.142857142857143,45.89474085714286,196,-8.488173166910807,0.001,16.05474313100179,66,,
32,1,200,6.25,46.85251878125,167,-8.508490800857544,0.001,15.590927004814148,93,,
36,1,229,6.361111111111111,47.88773894444444,157,-9.268385410308838,0.001,14.355261257716588,122,,
40,1,257,6.425,48.44978835,152,-9.110918680826822,0.001,12.053977693830218,151,,
44,1,282,6.409090909090909,48.3006355,144,-9.902971267700195,0.001,9.904807885487875,175,,
48,2,311,6.479166666666667,48.9452225625,140,-9.740371068318685,0.001,7.309710502624512,203,,
52,2,338,6.5,49.11704734615384,138,-9.822524706522623,0.001,11.563565799168178,231,,
56,2,367,6.553571428571429,49.59869239285714,136,-9.857048352559408,0.001,5.878011431012835,259,,
60,2,396,6.6,50.03439818333333,133,-10.083513259887695,0.001,7.301498889923096,289,,
64,3,425,6.640625,50.410969625,132,-10.811687231063843,0.001,6.653229296207428,318,,
68,3,454,6.676470588235294,50.738140720588234,131,-10.935749053955078,0.001,5.209725039345877,348,,
72,3,483,6.708333333333333,51.04484402777777,131,-11.167797803878784,0.001,5.143326010022845,376,,
76,3,519,6.828947368421052,52.16766834210525,129,-11.27244782447815,0.001,4.273743033409119,411,,
80,4,549,6.8625,52.47867950000001,127,-11.556144714355469,0.001,4.437643119267055,442,,
84,4,578,6.880952380952381,52.64868977380952,125,-12.030929374694825,0.001,4.83415608935886,472,,
88,4,601,6.829545454545454,52.165311840909105,122,-12.177992343902588,0.001,4.663905620574951,495,,
92,5,626,6.804347826086956,51.92403463043479,121,-12.860706647237143,0.001,3.52263871828715,519,,
96,5,653,6.802083333333333,51.89187360416667,121,-12.356136639912924,0.001,3.939875738961356,545,,
100,5,683,6.83,52.14832534,119,-13.340988636016846,0.001,3.7555449306964874,577,,
104,5,713,6.93,53.07078812999999,118,-13.898422479629517,0.001,3.520204037427902,605,,
108,6,748,7.09,54.54819815999999,119,-13.927032947540283,0.001,2.844623029232025,640,,
112,6,783,7.15,55.103624309999994,118,-13.872488403320313,0.001,3.8346969366073607,675,,
116,6,819,7.31,56.5884462,118,-14.068613370259603,0.001,3.1619156769343784,707,,
120,7,867,7.49,58.239256889999986,119,-15.265482902526855,0.001,3.3308061559995017,752,,
124,7,910,7.63,59.56061745999998,118,-16.249758529663087,0.001,3.500192713737488,799,,
128,8,958,7.86,61.724643609999994,116,-16.411928585597447,0.001,3.451771761689867,846,,
,,1000,,,,-17.226194381713867,0.001,3.4055273966355757,895,12.7,107.23253778219222
132,8,1008,8.08,63.80166676000001,113,,,,,,
136,9,1066,8.37,66.51509351,114,-17.44689072502984,0.001,3.565677565686843,948,,
140,9,1115,8.58,68.50043952,113,-17.9476416905721,0.001,4.581279256127098,1002,,
144,10,1160,8.78,70.37839268,112,-19.50938491821289,0.001,4.613198471069336,1046,,
148,10,1211,9.0,72.44911971999998,111,-20.027255739484513,0.001,5.658118073145548,1101,,
152,11,1268,9.3,75.26278471,112,-20.2263911320613,0.001,5.086649084091187,1156,,
156,11,1320,9.53,77.43346718000001,112,-21.173868497212727,0.001,4.329359869162242,1203,,
160,12,1367,9.71,79.12883413,110,-21.51949234008789,0.001,4.465895628929138,1257,,
164,12,1420,9.95,81.39116575000001,109,-22.440443311418807,0.001,3.3386327624320984,1307,,
168,13,1477,10.23,84.025437,109,-24.195894956588745,0.001,3.913757935166359,1364,,
172,13,1528,10.45,86.08840683,109,-23.602374649047853,0.001,4.935129695468479,1420,,
176,14,1578,10.59,87.41309684999999,110,-24.91947905222575,0.001,3.750767331856948,1465,,
180,14,1640,10.91,90.41605648000001,111,-25.35774176461356,0.001,4.324915902955191,1521,,
184,15,1697,11.19,93.04689706000003,111,-26.941784540812176,0.001,3.869614839553833,1584,,
188,15,1752,11.51,96.04707202000002,111,-27.74708429972331,0.001,5.124098235910589,1640,,
192,16,1840,12.14,101.94636951000003,111,-28.453705893622505,0.001,4.788778821627299,1718,,
196,17,1904,12.51,105.42441480999997,111,-29.44876003265381,0.001,5.545894622802734,1793,,
200,17,1979,12.96,109.63429256000003,112,-30.126386097499303,0.001,4.251272026697794,1859,,
,,2000,,,,-30.85059144761827,0.001,6.402491835986867,1896,21.3,187.26012653112411
204,18,2067,13.54,115.04907693000001,112,-32.43956305763938,0.001,5.752644062042236,1935,,
208,19,2159,14.11,120.35178874000002,111,-33.58102901165302,0.001,6.032850122451782,2046,,
212,19,2268,14.85,127.25022584,113,-34.225247621536255,0.001,10.712450965758293,2128,,
216,21,2388,15.69,135.10340301,113,-35.90897750854492,0.001,6.442468245824178,2259,,
220,21,2483,16.16,139.52640895,113,-38.120719485812714,0.001,6.021126646744578,2353,,
224,22,2578,16.68,144.35506408999998,113,-39.99417466383714,0.001,4.203936943641076,2457,,
228,23,2651,16.93,146.67106711999998,113,-40.37410799662272,0.001,5.169183327601506,2539,,
232,24,2752,17.44,151.43829676000001,113,-41.65826839870877,0.001,4.402788135740492,2631,,
236,25,2852,17.86,155.35283184000002,113,-43.048733931321365,0.001,4.207574473487006,2733,,
240,25,2930,18.15,158.05098031,113,-43.80497317843967,0.001,3.8081336286332874,2809,,
,,3000,,,,-44.94435647817758,0.001,4.519000346844013,2885,23.0,203.35736396312714
244,26,3017,18.57,161.97218674,113,,,,,,
248,27,3123,19.12,167.10111117,114,-47.10109492710659,0.001,3.957004112856729,2982,,
252,28,3209,19.41,169.81223024,113,-47.32208442687988,0.001,3.4238548843484176,3090,,
256,28,3302,19.82,173.62644571999996,114,-48.4610183022239,0.001,4.211350327446347,3172,,
260,29,3383,20.16,176.78506223000005,114,-49.01132837931315,0.001,5.5273691478528475,3259,,
264,30,3499,20.79,182.64494738000002,114,-49.46777839660645,0.001,4.3643090975912,3382,,
268,31,3636,21.59,190.09900031,114,-53.73618788946243,0.001,5.6166166794009325,3510,,
272,32,3733,22.05,194.36649387999998,114,-56.63162959705699,0.001,5.232526602952377,3607,,
276,33,3861,22.83,201.63147626000006,115,-55.868832451956614,0.001,6.393728075356319,3723,,
280,34,3981,23.41,207.01796574000002,114,-57.523024559020996,0.001,5.971978195011616,3844,,
