time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
4,3164,5.5,22,0,40.08528925,,,,,,
8,3609,6.5,52,0,49.3412755,,,,,,
12,3803,6.5,78,0,49.32787166666666,,,,,,
16,3807,6.4375,103,0,48.7138221875,,,,,,
20,917,5.95,119,0,44.100246500000004,19,59.87180042266846,0.001,-6.065860748291016,,
24,642,5.5,132,0,39.9230985,33,22.97746467590332,0.001,-7.125568866729736,,
28,522,5.178571428571429,145,0,36.92621989285714,46,16.205900192260742,0.001,-8.058796405792236,,
32,457,4.96875,159,0,34.942528906250004,59,14.698238849639893,0.001,-8.039062976837158,,
36,404,4.833333333333333,174,0,33.62910761111112,74,12.801738739013672,0.001,-8.446392059326172,,
40,372,4.7,188,0,32.369766549999994,88,12.79555892944336,0.001,-8.30438756942749,,
44,347,4.590909090909091,202,0,31.345552068181814,103,11.498640537261963,0.001,-8.821969032287598,,
48,327,4.520833333333333,217,0,30.661348083333333,118,9.350265741348267,0.001,-7.92598032951355,,
52,316,4.4423076923076925,231,0,29.92356623076923,131,9.235332171122232,0.001,-8.274107933044434,,
56,302,4.357142857142857,244,0,29.140983428571428,145,13.441311518351236,0.001,-9.054102897644043,,
60,292,4.283333333333333,257,0,28.4618627,158,13.354215621948242,0.001,-8.162069082260132,,
64,283,4.25,272,0,28.128995968749997,173,11.854575634002686,0.001,-9.28584909439087,,
68,273,4.205882352941177,286,1,27.712624029411764,187,11.967000484466553,0.001,-7.433575391769409,,
72,265,4.152777777777778,299,1,27.22861625,200,10.66784954071045,0.001,-9.473844051361084,,
76,259,4.105263157894737,312,1,26.791538157894735,213,13.47250779469808,0.001,-9.03406047821045,,
80,254,4.0875,327,1,26.6097662125,227,11.345990180969238,0.001,-8.519233226776123,,
84,248,4.071428571428571,342,1,26.447287738095238,243,10.514199495315552,0.001,-8.804685592651367,,
88,241,4.045454545454546,356,1,26.201204818181818,257,8.930353005727133,0.001,-8.221819877624512,,
92,234,4.043478260869565,372,1,26.160579173913042,272,10.157784223556519,0.001,-8.50918960571289,,
96,230,4.03125,387,1,26.033437177083332,287,9.174194097518921,0.001,-8.006924867630005,,
100,227,4.01,401,1,25.833185359999998,302,7.6695955991744995,0.001,-8.632567882537842,,
104,223,3.93,415,1,25.072365069999993,316,8.595020294189453,0.001,-9.033127307891846,,
108,221,3.78,430,1,23.656893049999997,330,7.472110867500305,0.001,-8.94465970993042,,
112,218,3.66,444,2,22.52744655,344,8.879331588745117,0.001,-7.684518575668335,,
116,217,3.54,457,2,21.41102743,357,10.417781829833984,0.001,-9.524282455444336,,
120,215,3.53,472,2,21.312032969999997,373,9.953680992126465,0.001,-9.227554559707642,,
124,214,3.55,487,2,21.47725807,387,8.060024738311768,0.001,-9.632094383239746,,
128,213,3.57,502,2,21.64507889,402,7.694427649180095,0.001,-8.611778259277344,,
132,212,3.57,516,2,21.644320119999996,417,6.398793935775757,0.001,-9.826404094696045,,
136,211,3.56,530,2,21.561277330000003,430,7.963958581288655,0.001,-9.327432632446289,,
140,210,3.56,544,2,21.56373777,444,6.556170463562012,0.001,-8.583750247955322,,
144,209,3.56,558,2,21.563453230000004,459,7.993985652923584,0.001,-8.576444149017334,,
148,209,3.53,570,2,21.312455109999995,471,9.091941197713217,0.001,-8.549851417541504,,
152,208,3.53,584,2,21.31283953,484,5.641165415445964,0.001,-9.238381385803223,,
156,207,3.54,598,2,21.39599101,498,7.090462327003479,0.001,-8.44339108467102,,
160,207,3.56,613,2,21.563408100000007,513,6.078755140304565,0.001,-8.74185848236084,,
164,205,3.55,627,3,21.479198690000004,528,7.82615339756012,0.001,-9.774959564208984,,
168,205,3.54,640,3,21.396831270000003,541,8.160555521647135,0.001,-8.947760581970215,,
172,204,3.54,653,3,21.395640049999997,554,7.660861968994141,0.001,-10.202779293060303,,
176,203,3.55,667,3,21.480561439999995,568,6.33220899105072,0.001,-9.740697860717773,,
180,203,3.55,682,3,21.4782008,583,6.862248659133911,0.001,-9.526302814483643,,
184,202,3.54,696,3,21.39209479,597,6.8730868101119995,0.001,-9.5008864402771,,
188,201,3.53,709,3,21.308457320000002,610,4.479234337806702,0.001,-9.6069974899292,,
192,201,3.51,723,3,21.138935240000002,624,6.146413445472717,0.001,-9.921630859375,,
196,201,3.5,737,3,21.059473550000003,637,5.669129133224487,0.001,-10.587478160858154,,
200,200,3.51,752,3,21.144944329999998,652,5.819291710853577,0.001,-10.043604373931885,,
204,200,3.51,766,3,21.146464990000005,667,5.932154893875122,0.001,-9.60906457901001,,
208,200,3.5,780,3,21.06284537,680,6.422537565231323,0.001,-9.619998455047607,,
212,199,3.52,796,3,21.22944364,696,5.17021644115448,0.001,-10.212756156921387,,
216,198,3.53,810,4,21.31477256,710,8.737722873687744,0.001,-9.87362813949585,,
220,198,3.52,824,4,21.23266081,725,6.536521911621094,0.001,-10.192203521728516,,
224,198,3.51,838,4,21.147233879999998,738,5.472105185190837,0.001,-9.830647468566895,,
228,197,3.49,851,4,20.98028068,751,6.141825993855794,0.001,-10.867724418640137,,
232,197,3.49,865,4,20.98034024,765,5.667039235432942,0.001,-8.25448226928711,,
236,197,3.51,881,4,21.14929469,781,5.980748176574707,0.001,-9.489675998687744,,
240,196,3.51,895,4,21.147324010000002,795,6.667340914408366,0.001,-8.881919860839844,,
244,196,3.5,908,4,21.063103780000002,809,5.130964279174805,0.001,-10.207157135009766,,
248,196,3.51,921,4,21.14882002,821,4.693610509236653,0.001,-10.012742042541504,,
252,195,3.49,933,4,20.98099723,834,5.193529764811198,0.001,-9.347891807556152,,
256,195,3.51,949,4,21.14759015,849,4.098894834518433,0.001,-11.691902160644531,,
260,195,3.5,963,4,21.06530293,864,5.713747501373291,0.001,-10.63178825378418,,
264,194,3.5,977,5,21.06931353,878,6.0670764446258545,0.001,-10.464662075042725,,
268,194,3.51,991,5,21.152056809999998,891,6.923669656117757,0.001,-10.082058906555176,,
,,,1000,,,901,5.0064873695373535,0.001,-10.460698127746582,3.5,21.106485509872435
