rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
10.5,4,0,10.5,42,4448,,,,,,
8.25,8,0,8.25,66,4290,,,,,,
6.75,12,0,6.75,81,4186,,,,,,
6.625,16,0,6.625,106,1508,-0.9798011481761932,0.001,0.7944631576538086,4,,
5.9,20,0,5.9,118,675,-0.9690058827400208,0.001,0.0987065980831782,17,,
5.416666666666667,24,0,5.416666666666667,130,510,-1.1461495161056519,0.001,0.0254341804732879,29,,
5.071428571428571,28,0,5.071428571428571,142,428,-1.1892658472061157,0.001,0.01545094201962153,41,,
4.8125,32,0,4.8125,154,329,-1.253693699836731,0.001,0.016792599732677143,53,,
4.611111111111111,36,0,4.611111111111111,166,291,-1.2913000583648682,0.001,0.013383385414878527,65,,
4.45,40,0,4.45,178,266,-1.3550761938095093,0.001,0.010611229265729586,77,,
4.318181818181818,44,0,4.318181818181818,190,246,-1.378568172454834,0.001,0.015900181761632364,89,,
4.208333333333333,48,0,4.208333333333333,202,232,-1.4095607995986938,0.001,0.01609195830921332,101,,
4.115384615384615,52,0,4.115384615384615,214,221,-1.3882273435592651,0.001,0.01800421780596177,113,,
4.035714285714286,56,1,4.035714285714286,226,209,-1.4508517980575562,0.001,0.016724493354558945,125,,
3.966666666666667,60,1,3.966666666666667,238,200,-1.4427804946899414,0.001,0.015250245730082193,137,,
3.90625,64,1,3.90625,250,194,-1.4538476467132568,0.001,0.024476688355207443,149,,
3.8529411764705883,68,1,3.8529411764705883,262,186,-1.430473804473877,0.001,0.01812595749894778,161,,
3.8055555555555554,72,1,3.8055555555555554,274,182,-1.5634881258010864,0.001,0.015753069582084816,173,,
3.763157894736842,76,1,3.763157894736842,286,175,-1.5520777702331543,0.001,0.013487100135535002,185,,
3.725,80,1,3.725,298,172,-1.485335111618042,0.001,0.016211955187221367,197,,
3.6904761904761907,84,1,3.6904761904761907,310,169,-1.5158815383911133,0.001,0.014540349443753561,209,,
3.659090909090909,88,1,3.659090909090909,322,165,-1.5702475309371948,0.001,0.01742737740278244,221,,
3.630434782608696,92,2,3.630434782608696,334,159,-1.6221377849578857,0.001,0.016753472698231537,233,,
3.6041666666666665,96,2,3.6041666666666665,346,158,-1.5618164539337158,0.001,0.015536137390881777,245,,
3.58,100,2,3.58,358,156,-1.5487421751022339,0.001,0.017505682694415253,257,,
3.28,104,2,3.28,370,155,-1.509393334388733,0.001,0.033519371102253594,269,,
3.16,108,2,3.16,382,154,-1.6069432497024536,0.001,0.025882036425173283,281,,
3.13,112,2,3.13,394,153,-1.5650211572647095,0.001,0.022821816615760326,293,,
3.0,116,2,3.0,406,152,-1.600132703781128,0.001,0.022701044256488483,305,,
3.0,120,2,3.0,418,152,-1.6673660278320312,0.001,0.029770335803429287,317,,
3.0,124,2,3.0,430,151,-1.6379379034042358,0.001,0.02010052651166916,329,,
3.0,128,2,3.0,442,150,-1.6482436656951904,0.001,0.01032093446701765,341,,
3.0,132,3,3.0,454,150,-1.6658363342285156,0.001,0.010830597796787819,353,,
3.0,136,3,3.0,466,149,-1.6121920347213745,0.001,0.020244745537638664,365,,
3.0,140,3,3.0,478,148,-1.6254769563674927,0.001,0.014179813830802837,377,,
3.0,144,3,3.0,490,147,-1.6836360692977905,0.001,0.014431819319725037,389,,
3.0,148,3,3.0,502,146,-1.6705601215362549,0.001,0.011984681865821281,401,,
3.0,152,3,3.0,514,146,-1.6500310897827148,0.001,0.01049610630919536,413,,
3.0,156,3,3.0,526,145,-1.6901917457580566,0.001,0.017053624149411917,425,,
3.0,160,3,3.0,538,145,-1.7162847518920898,0.001,0.0334919523447752,437,,
3.0,164,3,3.0,550,144,-1.846153974533081,0.001,0.020026109491785366,449,,
3.0,168,3,3.0,562,144,-1.7300716638565063,0.001,0.024742182965079944,461,,
3.0,172,3,3.0,574,144,-1.7945475578308105,0.001,0.023450543483098347,473,,
3.0,176,4,3.0,586,143,-1.769647240638733,0.001,0.031213099136948586,485,,
3.0,180,4,3.0,598,143,-1.7507210969924927,0.001,0.014934155158698559,497,,
3.0,184,4,3.0,610,142,-1.790346622467041,0.001,0.0259279062350591,509,,
3.0,188,4,3.0,622,142,-1.7432805299758911,0.001,0.01088462071493268,521,,
3.0,192,4,3.0,634,141,-1.6888750791549683,0.001,0.015279917667309443,533,,
3.0,196,4,3.0,646,141,-1.801866054534912,0.001,0.04019341369469961,545,,
3.0,200,4,3.0,658,141,-1.7699570655822754,0.001,0.025203751400113106,557,,
3.0,204,4,3.0,670,141,-1.7252849340438843,0.001,0.01076654934634765,569,,
3.0,208,4,3.0,682,141,-1.8315179347991943,0.001,0.011412888920555512,581,,
3.0,212,4,3.0,694,141,-1.712242841720581,0.001,0.004632963333278894,593,,
3.0,216,4,3.0,706,141,-1.7303478717803955,0.001,0.022214061580598354,605,,
3.0,220,5,3.0,718,141,-1.795975685119629,0.001,0.021046926112224657,617,,
3.0,224,5,3.0,730,142,-1.9200934171676636,0.001,0.0182530350672702,629,,
3.0,228,5,3.0,742,141,-1.8333247900009155,0.001,0.006001915006587903,641,,
3.0,232,5,3.0,754,141,-1.7961583137512207,0.001,0.023105811948577564,653,,
3.0,236,5,3.0,766,141,-1.8312400579452515,0.001,0.032845173651973404,665,,
3.0,240,5,3.0,778,141,-1.7762151956558228,0.001,0.009383734626074633,677,,
3.0,244,5,3.0,790,141,-1.7978620529174805,0.001,0.016685998688141506,689,,
3.0,248,5,3.0,802,141,-1.8132237195968628,0.001,0.006193935250242551,701,,
3.0,252,5,3.0,814,141,-1.8355549573898315,0.001,0.03210084637006124,713,,
3.0,256,5,3.0,826,142,-1.8416911363601685,0.001,0.02828410267829895,725,,
3.0,260,5,3.0,838,142,-1.8323856592178345,0.001,0.025758474444349606,737,,
3.0,264,5,3.0,850,142,-1.851279854774475,0.001,0.013987560756504536,749,,
3.0,268,6,3.0,862,142,-1.8412492275238037,0.001,0.016653873957693577,761,,
3.0,272,6,3.0,874,142,-1.8684784173965454,0.001,0.007470985719313224,773,,
3.0,276,6,3.0,886,142,-1.9288783073425293,0.001,0.012266894181569418,785,,
3.0,280,6,3.0,898,142,-1.77726411819458,0.001,0.006544678161541621,797,,
3.0,284,6,3.0,910,142,-1.9966986179351807,0.001,0.01456179345647494,809,,
3.0,288,6,3.0,922,143,-1.8689830303192139,0.001,0.019258638378232718,821,,
3.0,292,6,3.0,934,143,-1.9720836877822876,0.001,0.021066390598813694,833,,
3.0,296,6,3.0,946,143,-1.887953519821167,0.001,0.01665638790776332,845,,
3.0,300,6,3.0,958,143,-1.831476092338562,0.001,0.015481380124886831,857,,
3.0,304,6,3.0,970,143,-1.9609124660491943,0.001,0.03461833018809557,869,,
3.0,308,6,3.0,982,144,-1.8112939596176147,0.001,0.02493408042937517,881,,
3.0,312,6,3.0,994,144,-1.895472526550293,0.001,0.00847224130605658,893,,
,,,,1000,,-1.8865630626678467,0.001,0.005883344138662021,899,3.0,3.0
3.0,316,7,3.0,1006,143,-1.9770530462265015,0.001,0.02522800024598837,905,,
3.06,320,7,3.06,1024,143,-1.9801101088523865,0.001,0.014986376510933042,922,,
3.48,324,7,3.48,1078,146,-2.088183969259262,0.001,0.059662456748386224,956,,
4.13,328,7,4.13,1155,144,-2.3084375063578286,0.001,0.05470121651887894,1047,,
4.27,332,8,4.27,1181,144,-2.355950435002645,0.001,0.11623070016503334,1077,,
4.46,336,8,4.46,1212,145,-2.519405782222748,0.001,0.13313363399356604,1105,,
4.86,340,8,4.86,1264,144,-2.523383951187134,0.001,0.15588141977787018,1158,,
6.1,344,9,6.1,1400,149,-2.6552721758683524,0.001,0.16975422330359194,1250,,
7.58,348,10,7.58,1560,150,-2.99850827171689,0.001,0.1236551177882871,1421,,
9.11,352,11,9.11,1725,151,-3.3818960189819336,0.001,0.12383502312004566,1584,,
10.81,356,12,10.81,1907,153,-3.8897162874539695,0.001,0.12222798790861951,1762,,
,,,,2000,,-4.106559152188509,0.001,0.13935752107721308,1901,51.0,51.0
12.63,360,13,12.63,2101,152,-4.1820994248757,0.001,0.13950610168132127,1952,,
14.77,364,15,14.77,2327,152,-4.692490747996739,0.001,0.1352167935775859,2170,,
16.99,368,16,16.99,2561,152,-5.111414580509581,0.001,0.14379427891414046,2407,,
18.96,372,18,18.96,2770,149,-5.5359645719113555,0.001,0.15835483987694202,2620,,
20.78,376,20,20.78,2964,148,-5.9818688583374025,0.001,0.22279486745595933,2820,,
,,,,3000,,-5.9761638434036914,0.001,0.18022221415911033,2866,49.2,49.2
22.52,380,21,22.52,3150,145,-6.367016377656356,0.001,0.16223852502855848,3007,,
24.14,384,22,24.14,3324,144,-6.561946972556736,0.001,0.18700772491486176,3184,,
25.66,388,24,25.66,3488,145,-6.864255690574646,0.001,0.17070895647630097,3347,,
27.2,392,25,27.2,3654,144,-7.073627016761086,0.001,0.17535570809660955,3516,,
28.69,396,26,28.69,3815,144,-7.536915302276611,0.001,0.21740111309502805,3677,,
30.2,400,27,30.2,3978,144,-7.747835931323824,0.001,0.26521500218205335,3840,,
,,,,4000,,-7.837051796913147,0.001,0.17877726573497058,3880,43.2,43.2
31.77,404,29,31.77,4147,142,-8.060719421931676,0.001,0.20523170922838507,4007,,
33.41,408,30,33.41,4323,142,-8.295368324626576,0.001,0.19813462606696194,4180,,
35.13,412,31,35.13,4507,142,-8.48768849599929,0.001,0.17956163361668587,4358,,
37.03,416,33,37.03,4709,141,-8.913935574618252,0.001,0.2661292134699496,4563,,
38.75,420,34,38.75,4899,140,-9.22079873085022,0.001,0.23536914936742004,4753,,
,,,,5000,,-9.381836585998535,0.001,0.263025711029768,4851,52.3,52.3
40.34,424,36,40.34,5112,139,-9.43875947365394,0.001,0.27391796924595563,4959,,
41.74,428,37,41.74,5329,140,-9.8016129221235,0.001,0.2528613772509353,5177,,
43.69,432,39,43.69,5550,139,-10.147536489698622,0.001,0.27295693244647096,5404,,
45.36,436,41,45.36,5748,139,-10.458888173103333,0.001,0.2664023125742344,5602,,
46.87,440,42,46.87,5951,140,-10.667335014343262,0.001,0.37188913345336916,5797,,
,,,,6000,,-10.72781331198556,0.001,0.296736415608653,5853,52.6,52.6
47.75,444,44,47.75,6175,139,-11.05265705402081,0.001,0.32461112892290334,6019,,
48.24,448,45,48.24,6384,139,-11.283821220397948,0.001,0.2389819698006499,6237,,
48.63,452,47,48.63,6588,139,-11.52508186340332,0.001,0.3672435632815548,6437,,
49.34,456,49,49.34,6841,138,-11.945835730608772,0.001,0.3461104856053395,6680,,
,,,,7000,,-12.30904370546341,0.001,0.40737541823182255,6870,60.2,60.2
49.95,460,51,49.95,7096,137,-12.150534037885995,0.001,0.36936436934491335,6929,,
50.22,464,53,50.22,7349,137,-12.404334264643053,0.001,0.3270824002649854,7193,,
50.54,468,55,50.54,7615,137,-12.968553107125418,0.001,0.4700784380946841,7449,,
51.47,472,57,51.47,7917,137,-13.348161061604818,0.001,0.4057556442343272,7735,,
,,,,8000,,-13.347770493606042,0.001,0.4944858220887595,7877,69.0,69.0
52.14,476,59,52.14,8178,137,-13.74422313227798,0.001,0.4400936049042326,8010,,
53.26,480,61,53.26,8476,137,-13.765536683978457,0.001,0.4237730245177562,8304,,
54.25,484,63,54.25,8749,137,-14.194404125213623,0.001,0.6262019246816635,8577,,
,,,,9000,,-14.410190010070801,0.001,0.5481507164426148,8843,84.4,84.4
56.05,488,66,56.05,9093,136,-14.625039388967116,0.001,0.5828444720191114,8928,,
57.01,492,68,57.01,9355,136,-14.96611991073146,0.001,0.5041125207913645,9184,,
58.03,496,70,58.03,9618,136,-15.574579780166214,0.001,0.5898037077221152,9458,,
59.72,500,72,59.72,9950,137,-15.678893906729561,0.001,0.7072914417671121,9736,,
,,,,10000,,-15.617395433886298,0.001,0.6284447975199798,9852,85.4,85.4
61.11,504,75,61.11,10258,136,-15.963040533519926,0.001,0.655928008080948,10081,,
62.98,508,78,62.98,10621,135,-16.201496101561048,0.001,1.0082720897737003,10434,,
64.53,512,80,64.53,10960,136,-16.566616797447203,0.001,0.9291151409968734,10768,,
,,,,11000,,-16.67864407884314,0.001,0.7340519280826792,10862,90.1,90.1
65.51,516,83,65.51,11260,135,-16.583097294398716,0.001,0.8022913789035568,11089,,
66.81,520,85,66.81,11580,135,-17.182529938526642,0.001,0.8083291919185565,11417,,
67.85,524,87,67.85,11897,135,-17.384197739993823,0.001,0.8691707722404424,11702,,
,,,,12000,,-17.405758393116486,0.001,1.1192136989398436,11876,88.6,88.6
68.54,528,90,68.54,12183,135,-17.826251729329428,0.001,1.005464278039385,12007,,
69.85,532,92,69.85,12535,135,-17.71019035161928,0.001,0.9880006973599565,12351,,
70.69,536,94,70.69,12817,135,-17.893680695564516,0.001,1.1080653033559285,12647,,
,,,,13000,,-18.194717990027534,0.001,0.9980897893094354,12875,85.8,85.8
72.04,540,97,72.04,13155,134,-18.119002255526457,0.001,0.9366935230449799,12984,,
73.3,544,100,73.3,13505,134,-18.455176905581826,0.001,0.8763362108484695,13319,,
74.26,548,102,74.26,13810,134,-19.012970188685827,0.001,1.2153864615729877,13632,,
,,,,14000,,-18.85405050424429,0.001,1.0166445950476022,13842,78.4,78.4
75.89,552,105,75.89,14177,133,-18.98414034721179,0.001,0.8945753595385796,13999,,
77.13,556,108,77.13,14554,133,-19.394600774727614,0.001,1.0119808720899564,14378,,
78.08,560,111,78.08,14904,134,-19.8645473573266,0.001,0.9564839725087328,14721,,
,,,,15000,,-19.622190741605536,0.001,1.1721837657339433,14806,114.6,114.6
79.44,564,114,79.44,15293,133,-20.06624126434326,0.001,1.2660060285770594,15120,,
80.5,568,116,80.5,15665,133,-20.102591265802797,0.001,1.0877773713158525,15456,,
,,,,16000,,-20.374809513921324,0.001,0.9170083129859489,15832,114.8,114.8
81.08,572,120,81.08,16025,133,,,,,,
82.41,576,123,82.41,16419,133,-20.74827530270531,0.001,1.0043518126729023,16228,,
83.04,580,126,83.04,16780,133,-21.05597768511091,0.001,1.2283757511112425,16599,,
,,,,17000,,-21.066019707537713,0.001,0.9530933871865273,16865,101.3,101.3
84.0,584,129,84.0,17149,132,-21.331487288841835,0.001,0.912318855813406,16968,,
84.45,588,131,84.45,17538,132,-21.390878785331296,0.001,1.0284452989416302,17355,,
86.26,592,135,86.26,17981,133,-22.04842429690891,0.001,1.2389494637027383,17779,,
,,,,18000,,-21.82734074959388,0.001,1.0726297559359899,17883,196.0,196.0
88.18,596,138,88.18,18436,132,-22.09424285888672,0.001,1.170774999028402,18241,,
88.27,600,141,88.27,18777,132,-22.603839079538982,0.001,1.0611017384787196,18603,,
,,,,19000,,-22.39507959326919,0.001,1.1582733696820784,18862,106.5,106.5
88.96,604,144,88.96,19154,132,-22.80552941102248,0.001,1.4762050888368061,18967,,
88.98,608,147,88.98,19519,132,-23.120575798882378,0.001,1.477299136088954,19325,,
89.72,612,150,89.72,19932,132,-23.071018141143178,0.001,1.3066316411360024,19736,,
,,,,20000,,-23.200971486617107,0.001,1.5249289278777278,19834,96.3,96.3
90.7,616,153,90.7,20330,132,-23.076917787031693,0.001,1.2912736545811903,20133,,
92.78,620,156,92.78,20858,133,-23.547677813349544,0.001,1.2526042418391912,20599,,
,,,,21000,,-23.68192418416341,0.001,1.6200427195485334,20760,154.2,154.2
95.97,624,161,95.97,21494,133,-24.003640535715466,0.001,1.6646554568069893,21199,,
,,,,22000,,-24.112137842659997,0.001,1.5570645257452418,21396,1000.0,1000.0
,,,,23000,,-25.196846981048584,0.001,1.524755931392312,22396,1000.0,1000.0
,,,,24000,,-26.18487224960327,0.001,1.5446227420121432,23396,1000.0,1000.0
,,,,25000,,-27.34235876083374,0.001,1.315971630334854,24396,1000.0,1000.0
133.11,628,197,133.11,25494,129,,,,,,
,,,,26000,,-28.62704172515869,0.001,1.2914697263389825,25396,1000.0,1000.0
,,,,27000,,-29.900416328430175,0.001,1.1565389330238103,26396,1000.0,1000.0
,,,,28000,,-30.946811111450195,0.001,1.1148013842403888,27396,1000.0,1000.0
,,,,29000,,-31.93881497955322,0.001,1.1578483005315066,28396,1000.0,1000.0
169.59,632,238,169.59,29494,123,,,,,,
,,,,30000,,-32.97944075775146,0.001,1.3458958778902887,29396,1000.0,1000.0
,,,,31000,,-34.195788063049314,0.001,1.3099496196731926,30396,1000.0,1000.0
,,,,32000,,-35.132930572509764,0.001,1.1805924036428332,31396,1000.0,1000.0
,,,,33000,,-35.96011491012573,0.001,1.3331223310232163,32396,1000.0,1000.0
206.77,636,281,206.77,33494,118,,,,,,
,,,,34000,,-36.80238498687744,0.001,1.5082199908196927,33396,1000.0,1000.0
,,,,35000,,-37.60271558761597,0.001,1.7479790757000446,34396,1000.0,1000.0
,,,,36000,,-38.44015007781982,0.001,1.9953522890359163,35396,1000.0,1000.0
,,,,37000,,-39.24258102416992,0.001,2.1343539338558912,36396,1000.0,1000.0
243.39,640,323,243.39,37494,115,,,,,,
,,,,38000,,-40.01719184112549,0.001,2.0099174461215736,37396,1000.0,1000.0
,,,,39000,,-40.78290984344483,0.001,1.8630085110664367,38396,1000.0,1000.0
,,,,40000,,-41.46479637908936,0.001,2.636097786039114,39396,1000.0,1000.0
,,,,41000,,-42.113939483642575,0.001,3.258100255846977,40396,1000.0,1000.0
279.89,644,366,279.89,41494,113,,,,,,
,,,,42000,,-42.950610946655274,0.001,3.333355740278959,41396,1000.0,1000.0
,,,,43000,,-43.368798698425294,0.001,4.213766491353512,42396,1000.0,1000.0
,,,,44000,,-44.224603424072264,0.001,4.139259627431631,43396,1000.0,1000.0
,,,,45000,,-45.11570372772217,0.001,3.4712899136543274,44396,1000.0,1000.0
316.84,648,408,316.84,45494,111,,,,,,
,,,,46000,,-46.15923631286621,0.001,3.3223669264614584,45396,1000.0,1000.0
,,,,47000,,-46.91807604980469,0.001,4.473201863542199,46396,1000.0,1000.0
,,,,48000,,-47.82209694671631,0.001,4.104758397504687,47396,1000.0,1000.0
,,,,49000,,-48.645907218933104,0.001,4.164382589966059,48396,1000.0,1000.0
353.17,652,450,353.17,49494,109,,,,,,
,,,,50000,,-49.33821437072754,0.001,4.67700868524611,49396,1000.0,1000.0
,,,,51000,,-50.242173126220706,0.001,5.555806411057711,50396,1000.0,1000.0
,,,,52000,,-50.97401017761231,0.001,4.487166359126568,51396,1000.0,1000.0
,,,,53000,,-51.53186183166504,0.001,4.118599078595638,52396,1000.0,1000.0
389.4,656,493,389.4,53494,108,,,,,,
,,,,54000,,-52.33210926055908,0.001,4.726819213554263,53396,1000.0,1000.0
,,,,55000,,-53.09224977111816,0.001,5.155514258295297,54396,1000.0,1000.0
,,,,56000,,-54.07383116912842,0.001,9.884845308452844,55396,1000.0,1000.0
,,,,57000,,-54.80740781402588,0.001,15.108148149609566,56396,1000.0,1000.0
425.9,660,533,425.9,57494,107,,,,,,
,,,,58000,,-55.26935145568848,0.001,15.582199686169623,57396,1000.0,1000.0
,,,,59000,,-55.83500996398926,0.001,14.26186560499668,58396,1000.0,1000.0
,,,,60000,,-56.10234482574463,0.001,14.993615494847297,59396,1000.0,1000.0
,,,,61000,,-56.249127883911136,0.001,15.341605809926987,60396,1000.0,1000.0
462.01,664,578,462.01,61494,106,,,,,,
,,,,62000,,-56.65800540924072,0.001,12.35780997276306,61396,1000.0,1000.0
,,,,63000,,-56.403925590515136,0.001,15.199231179356575,62396,1000.0,1000.0
,,,,64000,,-56.75293966674805,0.001,15.953871253609657,63396,1000.0,1000.0
,,,,65000,,-57.10643726348877,0.001,18.88160389971733,64396,1000.0,1000.0
498.29,668,621,498.29,65494,105,,,,,,
,,,,66000,,-57.59632668304443,0.001,14.305101294100284,65396,1000.0,1000.0
,,,,67000,,-57.87152977752685,0.001,6.313171043217182,66396,1000.0,1000.0
,,,,68000,,-58.27866059112549,0.001,6.462349013805389,67396,1000.0,1000.0
,,,,69000,,-58.39375189971924,0.001,7.253464957028627,68396,1000.0,1000.0
534.69,672,665,534.69,69494,104,,,,,,
,,,,70000,,-59.099305221557614,0.001,6.078570935636759,69396,1000.0,1000.0
,,,,71000,,-59.28397554016113,0.001,6.79600864803791,70396,1000.0,1000.0
,,,,72000,,-59.70617387390137,0.001,7.212580452620983,71396,1000.0,1000.0
,,,,73000,,-59.95297198486328,0.001,7.770136677056551,72396,1000.0,1000.0
570.75,676,710,570.75,73494,103,,,,,,
,,,,74000,,-60.63934575653076,0.001,6.625304014921189,73396,1000.0,1000.0
,,,,75000,,-61.30370726776123,0.001,6.673777924537658,74396,1000.0,1000.0
,,,,76000,,-61.5968232421875,0.001,7.141328774869442,75396,1000.0,1000.0
,,,,77000,,-61.88195372772217,0.001,8.078933468818665,76396,1000.0,1000.0
607.14,680,758,607.14,77494,102,,,,,,
