rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
6.5,4,0,26,6.5,4639,,,,,,
5.75,8,0,46,5.75,4518,,,,,,
6.0,12,0,72,6.0,4598,,,,,,
6.1875,16,0,99,6.1875,4665,,,,,,
5.6,20,0,112,5.6,1162,0.001,10,0.12266694009304047,-0.8380229473114014,,
5.166666666666667,24,0,124,5.166666666666667,696,0.001,22,0.022380514691273373,-1.0598809719085693,,
4.857142857142857,28,0,136,4.857142857142857,524,0.001,34,0.011059660774966082,-1.0791872143745422,,
4.625,32,0,148,4.625,434,0.001,46,0.00917453287790219,-1.064092218875885,,
4.444444444444445,36,0,160,4.444444444444445,378,0.001,58,0.005089218883464734,-1.1015982627868652,,
4.3,40,0,172,4.3,340,0.001,70,0.004479595848048727,-1.1500869989395142,,
4.181818181818182,44,0,184,4.181818181818182,314,0.001,82,0.005787197034806013,-1.1894081830978394,,
4.083333333333333,48,0,196,4.083333333333333,293,0.001,94,0.00551469453300039,-1.1927518248558044,,
4.0,52,0,208,4.0,277,0.001,106,0.005287954583764076,-1.245084524154663,,
3.9285714285714284,56,0,220,3.9285714285714284,265,0.001,118,0.0052496759841839475,-1.2644060850143433,,
3.8666666666666667,60,0,232,3.8666666666666667,253,0.001,130,0.010098269364486137,-1.265746533870697,,
3.8125,64,0,244,3.8125,244,0.001,142,0.01170894472549359,-1.2911121249198914,,
3.764705882352941,68,1,256,3.764705882352941,237,0.001,154,0.009633623994886875,-1.3180712461471558,,
3.7222222222222223,72,1,268,3.7222222222222223,228,0.001,166,0.00801865616813302,-1.3382388353347778,,
3.6842105263157894,76,1,280,3.6842105263157894,223,0.001,178,0.009699669666588306,-1.3271190524101257,,
3.65,80,1,292,3.65,218,0.001,190,0.007035393423090379,-1.3460999727249146,,
3.619047619047619,84,1,304,3.619047619047619,214,0.001,202,0.010158396326005459,-1.3543124198913574,,
3.590909090909091,88,1,316,3.590909090909091,210,0.001,214,0.010903917873899141,-1.3767756223678589,,
3.5652173913043477,92,1,328,3.5652173913043477,206,0.001,226,0.012712348252534866,-1.3881269097328186,,
3.5416666666666665,96,1,340,3.5416666666666665,203,0.001,238,0.017687853425741196,-1.3764412999153137,,
3.52,100,1,352,3.52,200,0.001,250,0.019576096907258034,-1.3998143076896667,,
3.38,104,1,364,3.38,197,0.001,262,0.01457100105471909,-1.445485532283783,,
3.3,108,1,376,3.3,195,0.001,274,0.012198715625951687,-1.4425732493400574,,
3.16,112,2,388,3.16,192,0.001,286,0.01118560911466678,-1.4319847226142883,,
3.01,116,2,400,3.01,191,0.001,298,0.011608020402491093,-1.4661128520965576,,
3.0,120,2,412,3.0,190,0.001,310,0.012108469071487585,-1.4643956422805786,,
3.0,124,2,424,3.0,190,0.001,322,0.012441829778254032,-1.5034990310668945,,
3.0,128,2,436,3.0,189,0.001,334,0.019265127057830494,-1.511174738407135,,
3.0,132,2,448,3.0,189,0.001,346,0.014432705007493496,-1.489240050315857,,
3.0,136,2,460,3.0,188,0.001,358,0.011522331740707159,-1.5256675481796265,,
3.0,140,2,472,3.0,188,0.001,370,0.01188127308463057,-1.5540750622749329,,
3.0,144,2,484,3.0,188,0.001,382,0.01981339914103349,-1.5399718284606934,,
3.0,148,2,496,3.0,188,0.001,394,0.010115286024908224,-1.5470861196517944,,
3.0,152,2,508,3.0,187,0.001,406,0.014296730048954487,-1.6045687794685364,,
3.0,156,2,520,3.0,187,0.001,418,0.023403340950608253,-1.5641206502914429,,
3.0,160,2,532,3.0,187,0.001,430,0.008694378659129143,-1.6117541193962097,,
3.0,164,2,544,3.0,186,0.001,442,0.008713623198370138,-1.5824186205863953,,
3.0,168,2,556,3.0,186,0.001,454,0.014512224433322748,-1.536669671535492,,
3.0,172,3,568,3.0,185,0.001,466,0.012852479082842668,-1.6101796627044678,,
3.0,176,3,580,3.0,185,0.001,478,0.01504923931012551,-1.628286063671112,,
3.0,180,3,592,3.0,185,0.001,490,0.008590036537498236,-1.65090012550354,,
3.0,184,3,604,3.0,184,0.001,502,0.011394178494811058,-1.6798762679100037,,
3.0,188,3,616,3.0,184,0.001,514,0.028694142277042072,-1.6278524994850159,,
3.0,192,3,628,3.0,184,0.001,526,0.020940663293004036,-1.6472687721252441,,
3.0,196,3,640,3.0,184,0.001,538,0.01604695152491331,-1.6727225184440613,,
3.0,200,3,652,3.0,183,0.001,550,0.014369279456635317,-1.6257669925689697,,
3.0,204,3,664,3.0,183,0.001,562,0.022035214739541214,-1.649835228919983,,
3.0,208,3,676,3.0,183,0.001,574,0.016235489087800186,-1.6718501448631287,,
