rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
6.5,0,4,6490,6.5,26,,,,,,
5.75,0,8,6523,5.75,46,,,,,,
6.0,0,12,6539,6.0,72,,,,,,
6.1875,0,16,6626,6.1875,99,,,,,,
5.6,0,20,1436,5.6,112,0.001,10,-0.8367199599742889,0.12230376899242401,,
5.166666666666667,0,24,827,5.166666666666667,124,0.001,22,-1.0588324666023254,0.022336476172010105,,
4.857142857142857,0,28,597,4.857142857142857,136,0.001,34,-1.0791841745376587,0.011060839518904686,,
4.625,0,32,487,4.625,148,0.001,46,-1.0641567707061768,0.009147501240173975,,
4.444444444444445,0,36,425,4.444444444444445,160,0.001,58,-1.102267861366272,0.005155439488589764,,
4.3,0,40,384,4.3,172,0.001,70,-1.1512229442596436,0.004546827170997858,,
4.181818181818182,0,44,354,4.181818181818182,184,0.001,82,-1.1909282803535461,0.0058866236358881,,
4.083333333333333,0,48,329,4.083333333333333,196,0.001,94,-1.1946004629135132,0.005609308990339438,,
4.0,0,52,308,4.0,208,0.001,106,-1.247080385684967,0.005397795078655084,,
3.9285714285714284,0,56,292,3.9285714285714284,220,0.001,118,-1.26659095287323,0.005363964786132176,,
3.8666666666666667,0,60,281,3.8666666666666667,232,0.001,130,-1.268528699874878,0.010270150223126015,,
3.8125,0,64,269,3.8125,244,0.001,142,-1.2930996417999268,0.011938114340106646,,
3.764705882352941,0,68,258,3.764705882352941,256,0.001,154,-1.3209410905838013,0.009815648198127747,,
3.7222222222222223,1,72,251,3.7222222222222223,268,0.001,166,-1.34078449010849,0.008162298860649267,,
3.6842105263157894,1,76,245,3.6842105263157894,280,0.001,178,-1.3298830389976501,0.009864792538185915,,
3.65,1,80,239,3.65,292,0.001,190,-1.3487739562988281,0.0071664404434462385,,
3.619047619047619,1,84,234,3.619047619047619,304,0.001,202,-1.357057511806488,0.010337209018568197,,
3.590909090909091,1,88,231,3.590909090909091,316,0.001,214,-1.3800125122070312,0.011161332329114279,,
3.5652173913043477,1,92,228,3.5652173913043477,328,0.001,226,-1.3908430337905884,0.012922657964130243,,
3.5416666666666665,1,96,225,3.5416666666666665,340,0.001,238,-1.3798081874847412,0.01848492957651615,,
3.52,1,100,222,3.52,352,0.001,250,-1.4029855132102966,0.019703712935249012,,
3.38,1,104,220,3.38,364,0.001,262,-1.4483605027198792,0.014605882965649167,,
3.3,1,108,217,3.3,376,0.001,274,-1.4457948207855225,0.012397644886126121,,
3.16,1,112,214,3.16,388,0.001,286,-1.4352493286132812,0.01103455200791359,,
3.01,1,116,212,3.01,400,0.001,298,-1.4685897827148438,0.01210235059261322,,
