rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
3.75,4,19,4613,0,4.75,,,,,,
3.25,8,34,4636,0,4.25,,,,,,
3.5833333333333335,12,55,4997,0,4.583333333333333,,,,,,
3.625,16,74,5293,0,4.625,,,,,,
3.75,20,95,5497,0,4.75,,,,,,
4.166666666666667,24,124,1138,0,5.166666666666667,-0.714189276099205,13,0.3522006968657176,0.001,,
5.071428571428571,28,170,402,0,6.071428571428571,-0.9895979545333169,66,0.16817535053599963,0.001,,
4.9375,32,190,353,0,5.9375,-0.9776724775632223,86,0.2302928626537323,0.001,,
5.777777777777778,36,244,360,0,6.777777777777778,-1.0578340291976929,106,0.23183658421039582,0.001,,
6.775,40,311,252,1,7.775,-1.3687661051750184,193,0.15779566168785095,0.001,,
10.840909090909092,44,521,237,2,11.840909090909092,-1.8129481215809666,365,0.15693423665803055,0.001,,
16.229166666666668,48,827,203,4,17.229166666666668,-2.5151538760573775,664,0.1686219793726813,0.001,,
,,1000,,,,-2.9307449236512184,856,0.18722757033538073,0.001,64.0,65.0
19.76923076923077,52,1080,184,5,20.76923076923077,-3.0644304829259075,919,0.2119750055292296,0.001,,
24.160714285714285,56,1409,184,7,25.160714285714285,-3.762692858775457,1230,0.2658889126620795,0.001,,
27.283333333333335,60,1697,182,9,28.283333333333335,-4.508460290091378,1522,0.24637284561775732,0.001,,
,,2000,,,,-5.143540987154332,1835,0.2290877178311348,0.001,99.9,100.9
30.625,64,2024,177,11,31.625,,,,,,
34.588235294117645,68,2420,177,13,35.588235294117645,-5.89842596459896,2208,0.2501992536007717,0.001,,
36.486111111111114,72,2699,172,15,37.486111111111114,-6.619565155771044,2539,0.23132991501026684,0.001,,
37.60526315789474,76,2934,169,17,38.60526315789474,-7.165275750336824,2777,0.28689056621356446,0.001,,
,,3000,,,,-7.361316023201778,2893,0.23055128059510527,0.001,54.2,55.2
38.4375,80,3155,165,19,39.4375,-7.5534043822969705,3004,0.3312031406510089,0.001,,
38.416666666666664,84,3311,162,20,39.416666666666664,-7.980270938873291,3208,0.3330270904971629,0.001,,
38.81818181818182,88,3504,163,21,39.81818181818182,-8.21663029377277,3358,0.38270886110908847,0.001,,
39.141304347826086,92,3693,162,22,40.141304347826086,-8.555083990097046,3549,0.3771702229064338,0.001,,
39.229166666666664,96,3862,161,23,40.229166666666664,-8.843854858761741,3722,0.2840205253589721,0.001,,
,,4000,,,,-9.01051394144694,3886,0.3654638621501806,0.001,46.4,47.4
39.33,100,4033,159,25,40.33,,,,,,
40.96,104,4215,159,26,41.96,-9.398286476135254,4072,0.36774047502145474,0.001,,
42.76,108,4410,159,27,43.76,-9.761606174966563,4261,0.3877073236285372,0.001,,
44.55,112,4610,159,28,45.55,-10.029683669408163,4464,0.29678411147695904,0.001,,
46.17,116,4791,159,30,47.17,-10.41806758077521,4651,0.4474182700117429,0.001,,
47.83,120,4978,159,31,48.83,-10.692026183718728,4831,0.3817910304249719,0.001,,
,,5000,,,,-10.758936047554016,4879,0.33778475581978756,0.001,42.6,43.6
49.41,124,5165,158,32,50.41,-10.911672711372375,5020,0.4162238267190913,0.001,,
51.02,128,5372,158,33,52.02,-11.216976621876592,5221,0.4150392276809571,0.001,,
52.82,132,5572,158,35,53.82,-11.583412317129282,5422,0.33771804902775615,0.001,,
54.28,136,5772,158,36,55.28,-11.925267843099741,5630,0.4690762165074165,0.001,,
55.66,140,5977,158,37,56.66,-12.225762481689452,5827,0.2969484070688486,0.001,,
,,6000,,,,-12.299115914564867,5878,0.31153671107455794,0.001,49.7,50.7
55.48,144,6169,158,39,56.48,-12.44963988390836,6023,0.3975548522377556,0.001,,
54.31,148,6358,158,40,55.31,-12.66736192288606,6212,0.45078516238265565,0.001,,
53.72,152,6552,158,41,54.72,-12.972275552295503,6401,0.18453343351219975,0.001,,
52.41,156,6750,158,42,53.41,-13.187411971714186,6598,0.4894675474775874,0.001,,
51.82,160,6979,159,43,52.82,-13.501470382396992,6820,0.4791171454752867,0.001,,
,,7000,,,,-13.61160068511963,6880,0.2958986866598328,0.001,50.6,51.6
50.67,164,7191,158,45,51.67,-13.861157536506653,7046,0.44077844254206866,0.001,,
48.74,168,7394,158,46,49.74,-14.038064071110316,7247,0.41776815991391214,0.001,,
48.07,172,7606,158,47,49.07,-14.361624607673058,7455,0.41704640365563905,0.001,,
47.64,176,7798,158,49,48.64,-14.61115050315857,7654,0.4726468439524372,0.001,,
,,8000,,,,-15.030319175720216,7848,0.18967642924007105,0.001,52.6,53.6
47.45,180,8000,158,50,48.45,,,,,,
,,9000,,,,-15.166518419981003,7964,0.40247976939593044,0.001,1000.0,1000.0
57.66,184,9176,151,60,58.65,-15.78944393992424,9028,0.5279328948818147,0.001,,
58.18,188,9421,151,62,59.17,-16.24958007335663,9264,0.4558532922528684,0.001,,
59.33,192,9725,152,63,60.32,-16.443637964202136,9556,0.6098955985572603,0.001,,
,,10000,,,,-16.716783815500687,9848,0.6683817720904792,0.001,101.0,102.0
62.06,196,10167,152,66,63.05,-17.12759734135048,9951,0.8267698913667966,0.001,,
64.0,200,10532,152,68,64.99,-17.22887763110074,10350,0.596666339228208,0.001,,
65.95,204,10909,153,71,66.94,-17.58658084869385,10718,0.7055217859335243,0.001,,
,,11000,,,,-17.73784940139107,10810,0.6910178091215051,0.001,126.3,127.3
68.22,208,11331,152,74,69.21,-18.037826892941496,11116,0.61007669121027,0.001,,
70.17,212,11726,153,76,71.16,-18.554003501424983,11521,0.5194445027395932,0.001,,
,,12000,,,,-18.62546699277816,11861,1.0785964349508286,0.001,106.3,107.3
73.12,216,12202,153,79,74.11,-18.764179724234122,11968,0.67274212259277,0.001,,
75.14,220,12591,153,82,76.13,-19.17640781402588,12433,0.8233762463826811,0.001,,
76.96,224,12960,153,84,77.95,-19.927046390289956,12801,0.818390132581934,0.001,,
,,13000,,,,-19.71254685719808,12861,0.8408516136308511,0.001,73.0,74.0
77.86,228,13257,153,86,78.85,-19.99354293129661,13082,0.6931881012824865,0.001,,
78.98,232,13569,153,88,79.97,-20.250791850842926,13376,0.85713955839475,0.001,,
,,14000,,,,-20.622528879266035,13546,0.7699504871117441,0.001,971.1,971.2
89.39,236,14809,150,98,90.37,-21.59866018856273,14649,1.166041661090064,0.001,,
,,15000,,,,-21.555238477645382,14710,1.5318408075903283,0.001,1000.0,1000.0
,,16000,,,,-23.180268900735037,15896,0.8693917310452676,0.001,100.3,101.3
100.21,240,16095,146,110,101.18,,,,,,
102.49,244,16515,146,112,103.46,-23.48554627791695,16288,1.0280645512617552,0.001,,
105.29,248,16984,146,115,106.26,-23.699719331702408,16753,1.3300127225870988,0.001,,
,,17000,,,,-24.098437106970586,16885,1.0551186613738537,0.001,1000.0,1000.0
,,18000,,,,-24.940762550354005,17885,1.1090032253786921,0.001,212.5,213.5
117.98,252,18446,143,128,118.94,-25.677879655864878,18230,1.3417529495249332,0.001,,
,,19000,,,,-25.685226894560316,18514,1.0295840185916352,0.001,1000.0,1000.0
,,20000,,,,-27.36105561964583,19716,0.8227010442331286,0.001,1000.0,1000.0
139.71,256,20815,144,143,140.65,,,,,,
,,21000,,,,-28.313259868621827,20716,0.9059394536465406,0.001,1000.0,1000.0
