time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/critic_loss,time/fps,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
563,-15.755953788757324,0.0003,-1.855862021446228,1.127373456954956,105,4,0.8707773089408875,-66.36221975000001,462,140.75,5,,
746,-17.919172286987305,0.0003,-2.5607757568359375,2.493682622909546,100,8,0.8243443369865417,-38.0460125,645,93.25,7,,
1932,-27.803245544433594,0.0003,-6.860681533813477,2.8607664108276367,90,12,0.5810932517051697,-84.77534008333333,1831,161.0,21,,
3138,-34.227535247802734,0.0003,-10.630667686462402,2.4813013076782227,88,16,0.41023415327072144,-104.81114475000001,3037,196.125,35,,
4289,-35.422386169433594,0.0003,-13.201177597045898,2.5776655673980713,87,20,0.29560190439224243,-120.28873210000003,4188,214.45,49,,
4619,-36.79007339477539,0.0003,-14.3706636428833,4.92855167388916,86,24,0.26923027634620667,-109.68795420833335,4518,192.45833333333334,53,,
5000,-35.37190628051758,0.0003,-15.500659942626953,3.7238636016845703,,,0.2415231466293335,,4899,,,8.094349375012097,544.6
5829,-33.62794494628906,0.0003,-16.394123077392578,3.360532760620117,77,28,0.19107189774513245,-122.32955492857147,5728,208.17857142857142,75,,
7052,-30.715316772460938,0.0003,-18.233470916748047,3.1541483402252197,79,32,0.13593703508377075,-128.64485625,6951,220.375,88,,
7229,-30.168712615966797,0.0003,-18.12529945373535,3.0313920974731445,79,36,0.1294623166322708,-117.57320072222221,7128,200.80555555555554,90,,
7611,-30.03179359436035,0.0003,-18.302230834960938,2.8318986892700195,79,40,0.11655689775943756,-109.77028782500001,7510,190.275,95,,
8798,-26.460975646972656,0.0003,-17.93394660949707,2.7478628158569336,80,44,0.08448662608861923,-113.97489327272729,8697,199.95454545454547,109,,
9964,-22.46564483642578,0.0003,-19.06678009033203,2.997445583343506,80,48,0.06194727122783661,-114.75045979166669,9863,207.58333333333334,123,,
10000,-23.439315795898438,0.0003,-17.387622833251953,2.145662307739258,,,0.06135687232017517,,9899,,,-81.40863429898891,372.7
11309,-18.349971771240234,0.0003,-17.437969207763672,2.3315389156341553,78,52,0.04354887828230858,-115.62874226923078,11208,217.48076923076923,144,,
12762,-16.822071075439453,0.0003,-13.144177436828613,3.06783390045166,79,56,0.03038266859948635,-115.42139105357144,12661,227.89285714285714,161,,
14388,-14.107494354248047,0.0003,-9.393783569335938,2.001680374145508,63,60,0.021064287051558495,-113.28587436666668,14287,239.8,226,,
15000,-12.93610954284668,0.0003,-8.006688117980957,2.0994338989257812,,,0.018602311611175537,,14899,,,-1.0673039401630375,368.8
16569,-11.647663116455078,0.0003,-2.6220734119415283,1.9480153322219849,61,64,0.014518157579004765,-106.063870078125,16468,258.890625,269,,
18865,-11.335864067077637,0.0003,0.32542353868484497,1.9847052097320557,62,68,0.012705585919320583,-97.52820422058824,18764,277.4264705882353,300,,
20000,-11.148075103759766,0.0003,-1.5848493576049805,1.7382521629333496,,,0.012973199598491192,,19899,,,64.1239293568462,405.1
20159,-11.065963745117188,0.0003,0.30632123351097107,2.698476791381836,60,72,0.01290697418153286,-91.5947171388889,20058,279.9861111111111,332,,
21876,-11.668113708496094,0.0003,-0.5139508247375488,2.2626867294311523,60,76,0.013117889873683453,-79.17062711842107,21775,287.8421052631579,362,,
23587,-11.32805347442627,0.0003,-2.844442844390869,2.1019792556762695,60,80,0.0133246760815382,-70.7319206375,23486,294.8375,386,,
25000,-11.873027801513672,0.0003,-0.7188013195991516,1.7741186618804932,,,0.013227957300841808,,24899,,,211.04953227847582,775.8
25278,-11.64105224609375,0.0003,2.494022846221924,2.0889973640441895,60,84,0.013664227910339832,-62.61452233333334,25177,300.92857142857144,418,,
26556,-12.782604217529297,0.0003,-0.07614949345588684,2.361727237701416,61,88,0.013568220660090446,-57.235491329545454,26455,301.77272727272725,433,,
30000,-13.161751747131348,0.0003,-0.4975043535232544,2.2374343872070312,,,0.013565678149461746,,29899,,,154.730029485211,503.3
30113,-13.077475547790527,0.0003,0.672434389591217,1.6258420944213867,62,92,0.013493911363184452,-47.631770565217394,30012,327.3152173913044,481,,
31423,-14.068178176879883,0.0003,0.6823874711990356,2.0406782627105713,63,96,0.013761366717517376,-37.84819251041667,31322,327.3229166666667,497,,
33353,-14.110227584838867,0.0003,-0.2274266481399536,2.3087501525878906,63,100,0.013633775524795055,-30.97413342,33252,333.53,523,,
35000,-14.197920799255371,0.0003,0.005904063582420349,2.237015962600708,,,0.01394299603998661,,34899,,,282.8836797266864,532.5
35860,-14.36325740814209,0.0003,-1.2062323093414307,1.8038780689239502,63,104,0.014043355360627174,-20.452462990000008,35759,352.97,562,,
36864,-16.79104232788086,0.0003,0.4652020037174225,2.7647595405578613,64,108,0.013633022084832191,-14.791936450000003,36763,361.18,573,,
38819,-15.750436782836914,0.0003,-0.33096006512641907,2.305480718612671,64,112,0.013894075527787209,0.6652305599999971,38718,368.87,597,,
40000,-18.010391235351562,0.0003,0.37500303983688354,2.3792901039123535,,,0.013694911263883114,,39899,,,121.65163915801531,255.2
42640,-18.678062438964844,0.0003,-0.5474988222122192,2.291412830352783,65,116,0.01384895108640194,18.588981469999997,42539,395.02,651,,
45000,-19.34073257446289,0.0003,-0.23848547041416168,2.9559879302978516,,,0.013758735731244087,,44899,,,253.3760896387568,559.5
45733,-19.877174377441406,0.0003,0.4077790081501007,2.8229007720947266,66,120,0.013661080971360207,36.0059609,45632,414.44,692,,
48786,-19.742610931396484,0.0003,-1.6607666015625,2.3108534812927246,67,124,0.013675459660589695,50.84842504,48685,441.67,726,,
50000,-21.143939971923828,0.0003,0.08902494609355927,2.6709752082824707,,,0.014078172855079174,,49899,,,267.19384913990507,416.4
50747,-21.515466690063477,0.0003,0.32728496193885803,3.049100637435913,67,128,0.013477192260324955,71.07598940999999,50646,449.18,753,,
52780,-22.827598571777344,0.0003,0.431560218334198,3.5780904293060303,67,132,0.01371072418987751,89.83080194,52679,457.28,776,,
55000,-22.472862243652344,0.0003,-0.11651670932769775,2.107229471206665,,,0.013609631918370724,,54899,,,532.0565950116986,817.6
55106,-23.459915161132812,0.0003,-0.605988621711731,2.3029403686523438,67,136,0.013510947115719318,102.56932122000002,55005,478.77,813,,
