rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-1267.0346422500002,2000,0.11412748409993946,4,277,10,760.75,3043,-3.0924584337463603,0.001,,
,4000,0.09627305408753455,,,,,5000,4.480266733407975,0.001,-3002.8274756908418,1000.0
-2121.6744820000004,6000,0.09683907588198781,8,176,39,880.375,7043,5.548259239673614,0.001,,
,9000,0.2594273421317339,,,,,10000,20.56977433013916,0.001,-3004.5421961069105,1000.0
-2415.7000377500003,10000,0.3351060489118099,12,159,69,920.25,11043,26.747869506835936,0.001,,
,14000,0.49122302977740767,,,,,15000,48.33529684448242,0.001,-3005.1631635189055,1000.0
-2562.977164,,,16,154,97,940.1875,15043,,,,
-2651.4460615,18000,0.5795370870530605,20,162,117,952.15,19043,62.62274276733398,0.001,,
,19000,0.5777000168859958,,,,,20000,66.26376807403564,0.001,-3006.1745807886123,1000.0
-2710.6457709166666,22000,0.7271981902122497,24,158,145,960.125,23043,78.49681475830079,0.001,,
,24000,0.7901613922417163,,,,,25000,86.20460887145997,0.001,-3006.1745834589005,1000.0
-2752.9738494285716,26000,0.8774678806364536,28,155,173,965.8214285714286,27043,93.17105421447754,0.001,,
,29000,1.06412686419487,,,,,30000,102.38921800231934,0.001,-3006.174583888054,1000.0
-2784.74632753125,30000,1.0546145358979702,32,153,201,970.09375,31043,105.17400593566894,0.001,,
,34000,1.1733758933544158,,,,,35000,115.50075228881836,0.001,-3006.174583983421,1000.0
-2809.4697902777775,,,36,152,230,973.4166666666666,35043,,,,
-2829.1783217,38000,1.3144125751256943,40,156,250,976.075,39043,124.08675483703614,0.001,,
,39000,1.3629829721450806,,,,,40000,125.99813882446288,0.001,-3006.1745839595796,1000.0
-2845.221003545455,42000,1.4237166502475738,44,154,278,978.25,43043,131.13828384399415,0.001,,
,44000,1.5287265440225601,,,,,45000,134.1559039916992,0.001,-3006.174583888054,1000.0
-2858.6888676666663,46000,1.5387639513611793,48,153,306,980.0625,47043,136.80698937988282,0.001,,
,49798,1.955310687750578,,,,,50000,120.27725637817383,0.001,-3002.51795951128,1000.0
-2857.729816634615,,,52,152,334,977.7115384615385,50841,,,,
-2868.045305732143,53798,2.4437379160523416,56,154,353,979.3035714285714,54841,126.14275329589844,0.001,,
,54877,1.7641408903689324,,,,,55000,121.05417300493289,0.001,-2709.0415432929994,903.1
-2830.846291266667,56877,2.498738130748272,60,153,376,965.3333333333334,57920,116.05919918823243,0.001,,
,59877,1.7258156774640083,,,,,60000,113.00830456542968,0.001,-3053.50643536374,1000.0
-2794.535560515625,60877,3.4130006749629973,64,150,404,952.234375,60943,110.40383610534668,0.001,,
-2725.5095232941176,62946,3.691895068466663,68,152,414,926.9852941176471,63035,111.34746119689942,0.001,,
-2581.514573833333,63126,4.329419330945091,72,152,415,877.6805555555555,63193,112.15062260627747,0.001,,
-2492.7307613684206,64310,5.62129865225079,76,152,421,847.0526315789474,64376,114.35677411006047,0.001,,
-2377.494731825,64485,16.55467956130569,80,153,422,807.5625,64605,113.65821668836806,0.001,,
,64641,5.42741518550449,,,,,65000,113.81728490193684,0.001,-151.06987242102622,48.0
-2303.7515345833335,65641,8.097882265686989,84,153,428,782.2142857142857,65706,115.44079512023926,0.001,,
-2207.618229352273,65902,10.291739969542533,88,153,429,749.7272727272727,65976,115.69670419132008,0.001,,
-2115.8118320869567,66043,3.6030848026275635,92,153,430,718.4347826086956,66096,114.8100372314453,0.001,,
-2062.2804690416665,66196,12.395600742763943,96,155,431,700.40625,67239,117.27211323490849,0.001,,
,69196,9.706043098926544,,,,,70000,114.5105531463623,0.001,-2979.34449993372,1000.0
-2098.74683086,70196,10.726868219256401,100,155,458,712.39,71239,115.90334776306152,0.001,,
-2138.5018689799995,73214,14.476228766971165,104,156,473,712.14,74257,98.74096086290147,0.001,,
,74214,20.504758321762086,,,,,75000,101.79020048522949,0.001,-1129.4340361177922,383.1
-2084.07959101,76304,17.028594823122024,108,155,491,694.27,76470,92.40595141601563,0.001,,
-2003.5263172699997,77778,10.483715573946634,112,156,498,667.91,77834,77.57322438557942,0.001,,
-1886.5418009799998,77873,10.587120847268539,116,156,498,628.92,77935,77.97747664018111,0.001,,
,79892,8.988282676935196,,,,,80000,76.71470587158203,0.001,-795.4430337578058,260.5
-1864.6225421099998,80892,9.231794092297553,120,157,515,621.86,81229,73.73280690002441,0.001,,
-1748.1370364,81305,10.837484498177805,124,157,517,583.23,81366,68.03348134358724,0.001,,
-1645.75216635,81702,7.130981942017873,128,157,519,549.6,82003,67.27574984232585,0.001,,
-1584.9183190200001,83970,9.869646844983102,132,158,531,530.12,84055,64.21819428253174,0.001,,
-1467.6004249600003,84094,12.679465855870928,136,158,531,491.07,84150,66.15709849766323,0.001,,
-1349.03971573,84156,13.379081148367662,140,158,532,451.67,84210,64.48171380849985,0.001,,
-1231.78223379,84243,9.1603570925562,144,158,532,412.52,84295,63.42494502820467,0.001,,
-1113.95344195,84327,8.544403137230292,148,158,533,373.38,84381,63.22907657623291,0.001,,
-1002.1269551,84403,9.658787279594236,152,158,533,336.18,84459,64.59100723266602,0.001,,
,84428,10.347209413846334,,,,,85000,63.55038579305013,0.001,-71.99105685949326,21.9
-942.15072269,86428,10.962555154800414,156,158,544,316.76,86517,49.94577002716064,0.001,,
-884.12630999,87594,9.578523609373304,160,159,551,298.11,87731,46.288383211408345,0.001,,
