train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,3030,15,-2.378270025908947,757.5,-1064.3226809999999,190,3000,0.204183042421937,,
0.001,,5000,,-1.962962098568678,,,,4030,0.6040761891156435,-1597.579668726772,1000.0
0.001,8,5103,37,-2.330046534538269,637.875,-1054.17771975,137,5050,0.6676818668842316,,
0.001,12,8086,53,1.1383552227774636,673.8333333333334,-916.8479459166668,151,8060,0.9255270228385926,,
0.001,,10000,,1.613888237254694,,,,9086,0.9789018273949623,-24.080690161959865,687.4
0.001,16,12086,77,1.6306665569506587,755.375,-660.9546761875,155,11086,1.6160691061615944,,
0.001,20,14466,93,-0.11649900357254216,723.3,-547.82985975,154,14208,1.4232795272694259,,
0.001,,15000,,0.04594063013792038,,,,14620,1.3945930557591575,186.0887173724208,800.9
0.001,24,17181,111,-1.2202221861537546,715.875,-403.41476320833334,153,16181,1.8981928705573081,,
0.001,28,19299,127,-4.288268564462662,689.25,-319.43492725,151,19262,2.12491766166687,,
0.001,,20000,,-4.173527022202809,,,,19299,1.8210499544401426,339.83258511306576,892.1
0.001,32,21493,143,-4.995946531564417,671.65625,-259.80573821875,149,20609,1.6504686445623011,,
0.001,36,23827,155,-4.688827956914902,661.8611111111111,-199.98243113888884,152,22827,1.9173871203660966,,
0.001,,25000,,-6.999042395591736,,,,24827,1.7944489620923996,422.133135772865,828.1
0.001,40,27827,185,-9.1593959941864,695.675,-132.0876159,150,26827,1.5841814762949944,,
0.001,,30000,,-10.8881162109375,,,,29827,1.443957500576973,568.9062410585909,1000.0
0.001,44,31024,216,-11.753749478340149,705.0909090909091,-72.76227431818182,143,30827,1.4317020510435103,,
0.001,,35000,,-13.157998407363891,,,,34024,1.4545084421634673,403.02494704903364,892.6
,48,35024,243,,729.6666666666666,-21.626771958333325,143,,,,
0.001,52,39024,265,-14.882919759750367,750.4615384615385,33.337297807692316,146,38024,1.4139064341783523,,
0.001,,40000,,-15.587714302062988,,,,39024,1.3665311576128005,384.20898530048146,904.8
0.001,56,42209,291,-17.091518215511154,753.7321428571429,70.1452552857143,144,41209,1.479419591942349,,
0.001,,45000,,-18.536090118408204,,,,44209,1.3787518348693848,497.52083947949575,1000.0
0.001,60,45242,323,-19.225102336883545,754.0333333333333,102.20254898333336,139,45209,1.364934207558632,,
0.001,64,48285,335,-20.52574712753296,754.453125,133.634871734375,143,47285,1.4530296244621277,,
0.001,,50000,,-21.657224349975586,,,,49285,1.4834653235673905,578.8343983104453,806.2
0.001,68,51356,360,-22.04272503323025,755.2352941176471,140.14568254411765,142,50356,1.4465537163573252,,
0.001,,55000,,-23.817329906463623,,,,54356,1.4423406655192375,613.5192893933563,805.5
,72,55356,389,,768.8333333333334,175.3978751666667,142,,,,
0.001,76,59356,411,-25.582833198547362,781.0,203.59431164473688,144,58356,1.5119264103770256,,
0.001,,60000,,-25.927397380828857,,,,59356,1.4289094243645668,425.7011605570093,520.7
0.001,80,62366,436,-26.66608158874512,779.575,209.3906258,142,62356,1.548537993848324,,
0.001,84,63448,442,-27.14360902404785,755.3333333333334,210.9267972857143,143,63419,1.7166066899299621,,
0.001,,65000,,-26.8009521484375,,,,64479,1.522397352803138,571.6400058656116,712.9
0.001,88,65561,461,-27.360781703948973,745.0113636363636,201.99825859090907,142,65479,1.6590853929519653,,
0.001,92,68607,473,-27.567101619720457,745.7282608695652,211.0961819347826,144,67607,1.7813711510896684,,
0.001,,70000,,-28.507750675201414,,,,69607,1.6592484558224678,499.94876807273397,606.2
0.001,96,72607,501,-29.377346225738524,756.3229166666666,240.89076324999996,144,71607,1.6558396608829498,,
0.001,100,74644,512,-29.750758831317608,746.44,250.73529886999998,145,73644,1.9049310088157654,,
0.001,,75000,,-30.819584434509277,,,,74644,1.6624570360779762,928.8826055597165,1000.0
0.001,104,78644,543,-32.26627094268799,756.14,330.84728963999993,144,77644,1.672205744802952,,
0.001,,80000,,-33.035401363372806,,,,79644,1.643773977100849,647.5785016135894,709.5
0.001,108,81687,566,-33.507889883858816,765.84,395.94114817999997,144,80687,1.7919957582340684,,
0.001,112,82836,572,-34.15586635044643,747.5,433.45263620000003,144,81836,1.6693766117095947,,
0.001,,85000,,-34.75153604125977,,,,84836,1.693600617647171,919.7174179747119,804.7
0.001,116,86836,602,-35.35373592376709,747.5,455.9066740099999,144,85836,1.7333607736229897,,
0.001,,90000,,-37.01209358215332,,,,89836,1.836249843418598,782.4645347962156,902.6
,120,90836,633,,763.7,493.33579841000005,143,,,,
0.001,124,93863,649,-38.405945594787596,766.82,513.72293177,144,92863,1.9160627084970474,,
0.001,,95000,,-39.18583649855394,,,,94888,1.925868377685547,528.1584292373852,628.3
0.001,128,96888,671,-39.84079022979736,775.89,539.7732387299999,144,95888,1.961983960568905,,
0.001,,100000,,-40.76443953704834,,,,99888,2.035664355278015,749.7018016748247,766.5
,132,100888,699,,793.95,560.29986531,144,,,,
0.001,136,103976,716,-41.75312349700928,801.49,570.97505981,145,102976,2.1733762394189835,,
0.001,,105000,,-41.61579432678223,,,,104976,2.2610178273916244,861.058762201012,709.1
0.001,140,107976,744,-42.39105171203613,801.49,592.2921527,145,106976,2.240641731262207,,
0.001,,110000,,-43.56806996663411,,,,109127,2.4286885056274614,654.6819611127314,711.8
0.001,144,111127,767,-43.568299850463866,801.03,610.06024187,144,110127,2.4966770226955415,,
0.001,148,113193,778,-44.07884067037831,781.69,616.94005493,145,112193,2.375892459078038,,
0.001,,115000,,-45.32441200256348,,,,114193,2.454357578396797,1151.1030693293549,1000.0
0.001,152,117193,809,-45.617534324645995,781.69,631.71819445,144,116193,2.5684946219921114,,
