train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
3000,4,753.0,28,106,-3.625205882549286,0.001,3012,0.1842184067182243,-941.8214389999999,,
3086,8,390.625,28,108,-4.076958864927292,0.001,3125,0.4787899521179497,-501.47695925000005,,
4125,,,,,-2.9146060717105864,0.001,5000,0.3607092563658953,,-1296.7426458928269,910.6
6125,12,593.75,71,99,-1.6307464884449727,0.001,7125,0.36760282842814923,-523.7286174166667,,
8247,16,577.9375,89,102,-1.3752493659655254,0.001,9247,0.5489273101091385,-345.86224787500004,,
9247,,,,,-3.0846454771608114,0.001,10000,0.6150587502419949,,341.2376145530878,819.4
12247,20,662.35,137,96,-4.565768215179443,0.001,13247,1.0514062430858613,-176.06340099999997,,
14247,,,,,-7.029947379589081,0.001,15000,1.0032188242673874,,342.8736828395828,1000.0
16247,24,718.625,188,91,-8.382011679649352,0.001,17247,0.8288364197313786,-69.00776474999999,,
19806,,,,,-10.182592083930968,0.001,20000,0.6835781665742398,,538.5505430240185,1000.0
,28,743.0714285714286,237,87,,,20806,,4.150153464285716,,
23806,32,775.1875,272,91,-13.362760663986206,0.001,24806,0.8577114151418209,87.62926553124998,,
24806,,,,,-14.290888807296753,0.001,25000,0.7985073582231998,,546.6319895621389,1000.0
27806,36,776.6111111111111,323,86,-16.215083835601806,0.001,27958,0.757322580307722,136.56427880555555,,
29958,,,,,-17.769120164871214,0.001,30000,0.7814457159340381,,782.0688273174776,1000.0
30958,40,798.95,369,86,-18.53799568939209,0.001,31958,0.7940695590674877,185.8289299,,
34958,,,,,-21.13810552597046,0.001,35000,0.8432798370718956,,591.385624735523,902.7
,44,817.2272727272727,422,85,,,35958,,228.71925629545456,,
38503,48,822.9791666666666,456,86,-23.43589205932617,0.001,39503,0.9886221202611923,250.50381589583333,,
39503,,,,,-24.071505542755126,0.001,40000,0.983919779509306,,751.1542968767695,1000.0
42503,52,836.5961538461538,511,85,-25.6312639541626,0.001,43503,0.9737411252260209,271.2133969230769,,
44503,,,,,-27.354038024902344,0.001,45000,1.067519153892994,,360.3424383100355,901.5
45521,56,830.7321428571429,552,84,-28.443681504991318,0.001,46521,0.9878921906153361,284.5668358392857,,
49521,,,,,-31.398894046783447,0.001,50000,1.2954813657999038,,440.5839418189338,914.4
,60,842.0166666666667,601,84,,,50521,,294.31553381666674,,
53521,64,851.890625,636,85,-34.49378908920288,0.001,54521,1.3456881750822067,301.92301957812504,,
54845,,,,,-35.723641854745374,0.001,55000,2.4924281267104327,,439.26153480483333,1000.0
56845,68,850.6617647058823,684,84,-36.55430723571777,0.001,57845,1.332132244169712,310.1298015588236,,
59845,,,,,-37.003573497772216,0.001,60000,1.2786019171476364,,831.5307012288998,1000.0
60845,72,858.9583333333334,740,83,-37.055995330810546,0.001,61845,1.251585342735052,323.96599634722224,,
64845,,,,,-38.375612564086914,0.001,65000,1.3280083529353142,,357.5508872179074,1000.0
,76,866.3815789473684,796,82,,,65845,,328.2104252105263,,
67937,80,861.7125,824,83,-40.815858426301375,0.001,68937,1.6947266355804775,329.29205957500005,,
69937,,,,,-41.772665924072264,0.001,70000,1.4296515105068683,,320.2897629195155,826.8
71937,84,856.797619047619,874,82,-41.12587116241455,0.001,71971,1.2310745403468608,329.1009790238096,,
74971,,,,,-40.51173751831055,0.001,75000,1.0935337013304234,,432.0000734097324,1000.0
,88,863.3068181818181,921,82,,,75971,,343.89884561363635,,
78971,92,869.25,958,83,-40.115826904296874,0.001,79971,0.981765042155981,363.48161583695656,,
79971,,,,,-39.95175057220459,0.001,80000,0.9386027919948101,,680.4796690940857,1000.0
82971,96,874.6979166666666,1011,82,-39.96109775543213,0.001,83971,0.8553250568211078,384.93218644791665,,
84971,,,,,-40.08854949951172,0.001,85000,0.8538702916204929,,666.1448704535549,1000.0
86971,100,879.71,1065,82,-39.981414443969726,0.001,87971,0.7991030235588551,399.18328682,,
89971,,,,,-39.850327293396,0.001,90000,0.8094911604523659,,773.4520108714933,1000.0
90971,104,889.59,1117,82,-39.85113510131836,0.001,91971,0.753133328974247,469.46545120999997,,
94971,,,,,-40.06471625518799,0.001,95000,0.771865590840578,,527.4696835858107,1000.0
,108,928.46,1166,82,,,95971,,498.17795488999997,,
98971,112,928.46,1200,83,-40.97569348907471,0.001,99971,0.7278363118469715,535.697926,,
99971,,,,,-41.32426121520996,0.001,100000,0.7543296512961387,,574.042172775542,1000.0
102971,116,947.24,1250,83,-41.64202397155762,0.001,103971,0.7818092569708824,558.4496459100001,,
104971,,,,,-41.90612983703613,0.001,105000,0.7779322236478329,,736.3668969286257,1000.0
106971,120,947.24,1300,83,-42.34245865631104,0.001,107971,0.8481358730494976,568.27991196,,
109425,,,,,-42.88939528769635,0.001,110000,0.8652990200418107,,705.9336364054237,789.4
,124,931.78,1334,82,,,110425,,568.85739686,,
112987,128,931.81,1365,83,-43.17555805627137,0.001,113987,1.0356959693690635,586.24026719,,
114063,,,,,-43.3981799075478,0.001,115000,0.9737251306834974,,735.1603236250812,766.0
116063,132,922.57,1403,83,-43.90971407318115,0.001,117063,1.035012779980898,586.3628812300001,,
119063,,,,,-44.87584550476074,0.001,120000,1.0098959599137307,,971.6278661708814,902.4
120063,136,931.05,1451,83,-45.412114387512204,0.001,121063,1.049518128156662,599.04990428,,
124063,,,,,-46.853686668395994,0.001,125000,1.0791896290779113,,936.7062077374663,1000.0
,140,931.05,1501,83,,,125063,,601.56038143,,
128063,144,931.05,1534,84,-48.18072265625,0.001,129063,1.0916294726729392,620.7842182400001,,
129063,,,,,-48.603522895812986,0.001,130000,1.1446487187743186,,1036.8583794550784,1000.0
131361,148,928.58,1578,83,-49.93630602535785,0.001,132361,1.1748780724186225,644.1480954499999,,
134361,,,,,-51.1345333404541,0.001,135000,1.2559499599039554,,1055.6957272068598,764.0
135361,152,928.58,1626,83,-51.81212852478027,0.001,136361,1.2424848845005037,674.8894313699999,,
139361,,,,,-54.30432196044922,0.001,140000,1.4249560114741326,,888.7999857798917,687.0
,156,938.4,1671,83,,,140361,,715.2919787000001,,
141707,160,917.09,1690,84,-56.290316648261495,0.001,142230,1.8002812065357385,719.05823207,,
144262,,,,,-57.98936939239502,0.001,145000,1.6392007023096085,,716.578207336807,819.0
,164,907.41,1725,84,,,145262,,715.4496568,,
146767,168,896.17,1745,84,-59.13428379821777,0.001,147462,2.138727896988392,736.0607679399999,,
149483,,,,,-60.42468325042724,0.001,150000,2.8934239932894705,,1244.8027648244883,1000.0
,172,886.38,1783,84,,,150483,,743.4011827800001,,
153483,176,886.38,1816,85,-62.492772186279296,0.001,154483,2.8546394879817965,780.2592537700001,,
154483,,,,,-63.39293238830567,0.001,155000,2.7084630926847457,,1748.9806333490646,948.1
156555,180,886.18,1855,84,-64.64892244720458,0.001,157555,3.00166741335392,791.1693562000002,,
158939,184,879.68,1875,85,-65.34342891765091,0.001,159939,3.2724220614448236,805.5087229,,
159939,,,,,-65.89681572723389,0.001,160000,3.390107489705086,,1199.839300910337,789.9
162939,188,879.68,1921,85,-67.94662381744385,0.001,163939,4.1414009108543395,848.04036786,,
164939,,,,,-69.74123725891113,0.001,165000,3.694692650318146,,1527.4340471144067,925.2
166776,192,878.05,1973,85,-71.36551388549805,0.001,167776,4.187773132324219,887.2868176200001,,
169776,,,,,-73.7543564300537,0.001,170000,3.9653293875455855,,1615.3958794517443,1000.0
170776,196,869.15,2021,84,-74.67151861572266,0.001,170886,4.108240109205246,908.3365657600001,,
173886,200,869.15,2049,85,-77.05380316162109,0.001,174886,4.082045857429504,959.2358814,,
174886,,,,,-77.91645259094238,0.001,175000,4.4447843668460845,,1955.311034528818,1000.0
177886,204,869.15,2097,85,-79.94137048339844,0.001,178886,4.832033606648445,964.85398412,,
179886,,,,,-81.19536210632324,0.001,180000,4.9733301333189015,,1850.6820556108607,940.1
181886,208,869.15,2144,85,-82.40303520202637,0.001,182886,4.857319810509682,1025.86945749,,
184886,,,,,-84.59999044799805,0.001,185000,5.381046447277069,,2008.2132966315373,940.2
185027,212,860.56,2185,85,-84.65396510532923,0.001,186027,6.79043749714574,1081.7818863799998,,
186848,216,838.77,2200,85,-85.65409564971924,0.001,187848,6.882552972206702,1092.6654570800001,,
189848,,,,,-88.37133654785156,0.001,190000,6.0970883803367615,,2284.12878121892,986.8
190848,220,838.77,2250,85,-89.43652297973632,0.001,191848,6.185401518583298,1152.67203839,,
194225,,,,,-92.36826382446289,0.001,195000,7.13471937918663,,2116.7886441241717,944.1
,224,848.0,2295,85,,,195225,,1217.85343414,,
198225,228,852.38,2327,85,-95.90806095886231,0.001,199225,6.824140150547027,1289.17379525,,
199225,,,,,-96.80855328369141,0.001,200000,6.6579262752532955,,809.0998720092408,660.1
202225,232,861.62,2373,85,-98.74594998168945,0.001,203225,7.345725914716721,1335.93539882,,
204225,,,,,-100.55120324707032,0.001,205000,7.107541086912155,,2539.60719379175,935.4
206225,236,861.62,2424,85,-102.22519496154786,0.001,207225,6.921958216190339,1403.02643119,,
209225,,,,,-105.47477378845215,0.001,210000,7.423127217292786,,2851.8081591842697,1000.0
210225,240,861.62,2473,85,-105.97933834838867,0.001,211225,8.35528960442543,1487.4160660199998,,
214225,,,,,-109.39923658752441,0.001,215000,8.108296902894974,,3053.1332160557854,1000.0
,244,861.62,2521,85,,,215225,,1517.5924755400001,,
218225,248,868.64,2554,85,-112.89487882995606,0.001,219225,9.232494253635407,1590.8958992400003,,
219225,,,,,-113.2077250366211,0.001,220000,8.834662734746933,,2852.3878018789924,1000.0
222225,252,868.64,2603,85,-116.28679098510742,0.001,223225,9.5052563662529,1657.04688725,,
224225,,,,,-117.73757382202149,0.001,225000,9.525295070171357,,3113.702952053968,996.4
226225,256,868.64,2656,85,-119.91980195617676,0.001,227225,10.194721649169923,1726.9856515100003,,
229547,,,,,-122.04321548461914,0.001,230000,11.80021355676651,,3196.6799669348634,1000.0
,260,883.17,2701,85,,,230547,,1762.64074473,,
233547,264,892.85,2736,85,-125.68909861755371,0.001,234547,12.380751944541931,1874.99616739,,
234547,,,,,-126.8741790008545,0.001,235000,11.26724607181549,,3241.0669925173743,1000.0
237547,268,901.6,2786,85,-128.54749919128417,0.001,237622,12.305844864368439,1901.80000355,,
239622,,,,,-130.49852061462403,0.001,240000,13.079017726898194,,2553.046952792001,1000.0
240622,272,911.39,2833,85,-131.24859469604493,0.001,241622,12.87411148929596,2010.2521172099996,,
244622,,,,,-134.76537698364257,0.001,245000,13.815820192337036,,3157.576746694371,1000.0
