train/learning_rate,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
0.001,2059,1000,-287.18278499999997,171,4,12,0.026240148739307186,-2.3447964508235453,514.75,,
0.001,5000,4000,,,,,0.16614607381075622,12.49359567642212,,1000.0,-3004.1597014427184
0.001,6059,5000,-1608.8583791249998,91,8,66,0.2529732772111893,14.94030129623413,757.375,,
0.001,10000,9000,,,,,0.1463345213532448,5.650967089653015,,730.2,-1810.5353557787835
,10059,,-1832.0132293333334,85,12,117,,,838.25,,
0.001,11129,11035,-1557.1078981875,82,16,135,0.2625210239337041,4.737362623214722,695.5625,,
0.001,12327,11268,-1382.41053625,88,20,139,0.7699737558762233,4.843621921539307,616.35,,
0.001,13538,13354,-1124.1750687083334,86,24,157,0.6443773260563612,3.437714971065521,564.0833333333334,,
0.001,15000,14916,,,,,0.6567391634583474,2.532171764612198,,929.8,669.4151743958821
,15028,,-935.0746091071429,80,28,187,,,536.7142857142857,,
0.001,19028,17969,-721.0498949062501,87,32,218,0.6009328268766403,0.3879247815248091,594.625,,
0.001,20000,18969,,,,,0.5584832755029201,-0.3874031514187809,,1000.0,680.6798306776211
0.001,22103,21044,-613.1391803055556,83,36,263,0.8415142218271892,-1.0789413816834752,613.9722222222222,,
0.001,25000,24044,,,,,0.6717268638312817,-2.17387602186203,,1000.0,725.4662350648548
0.001,26103,25044,-504.08133584999996,81,40,318,0.6428372651040554,-2.602269210577011,652.575,,
0.001,30000,29044,,,,,0.5506941396147013,-4.4231925616264345,,1000.0,741.2613875613199
,30103,,-404.6547351363637,80,44,371,,,684.1590909090909,,
0.001,34103,33044,-309.7629976875,83,48,407,0.49501084932684897,-7.016225467681885,710.4791666666666,,
0.001,35000,34044,,,,,0.5149646673202515,-7.7353587293624875,,906.5,530.2818193487968
0.001,38103,37044,-244.62047442307687,83,52,457,0.5729252109229565,-9.672688985824585,732.75,,
0.001,40000,39044,,,,,0.6674110519289971,-10.7198932762146,,1000.0,590.0592261586804
0.001,42103,41044,-191.4172957857143,82,56,510,0.5816323344409465,-11.621389066696167,751.8392857142857,,
0.001,45000,44044,,,,,0.5487979297637939,-13.231229118347168,,1000.0,682.1513363955077
0.001,46103,45044,-127.16138628333331,81,60,563,0.573332661986351,-13.68096854019165,768.3833333333333,,
0.001,50000,49044,,,,,0.6264309890568256,-15.271450559616088,,1000.0,718.27756395787
,50103,,-75.069608640625,81,64,617,,,782.859375,,
0.001,54103,53044,-32.75732398529413,82,68,654,0.6225763187408447,-16.71309736442566,795.6323529411765,,
0.001,55000,54044,,,,,0.6134848571419715,-17.242225215911866,,1000.0,606.9637816444971
0.001,58103,57044,3.3592807222222234,81,72,709,0.5786835942566395,-18.76722435760498,806.9861111111111,,
0.001,60000,59044,,,,,0.578270688354969,-19.824673416137696,,1000.0,387.74452064188665
0.001,62103,61044,20.989351763157895,81,76,762,0.5832160676419735,-20.82686545562744,817.1447368421053,,
0.001,65000,64044,,,,,0.5811322738528252,-22.580141525268555,,1000.0,611.027678962471
0.001,66103,65044,54.168322275000016,81,80,815,0.5272918777167797,-23.23193881225586,826.2875,,
0.001,70000,69044,,,,,0.5509120987057686,-25.59219190597534,,1000.0,777.9906303128228
,70103,,89.38035652380954,80,84,868,,,834.5595238095239,,
0.001,74103,73044,119.64402668181819,81,88,904,0.6431380506455898,-27.241667060852052,842.0795454545455,,
0.001,75000,74044,,,,,0.6678714445233345,-27.52094190979004,,1000.0,726.5887766391504
0.001,78103,77044,146.01318794565216,81,92,957,0.5905307970643043,-28.507463104248046,848.945652173913,,
0.001,80000,79044,,,,,0.5452383716851473,-29.22257576751709,,901.4,673.6900528048166
0.001,82103,81044,173.54200470833334,81,96,1008,0.6097713114917278,-29.718015838623046,855.2395833333334,,
0.001,85000,84044,,,,,0.5181750716418028,-30.933904075622557,,1000.0,769.9401295374234
0.001,86103,85044,198.9621836,81,100,1061,0.5568513888120651,-31.29230101776123,861.03,,
0.001,90000,89044,,,,,0.6075534796118737,-32.81863049697876,,1000.0,879.9972541487775
,90103,,245.07160896000002,80,104,1113,,,880.44,,
0.001,94103,93044,394.09429718000007,82,108,1146,0.5861484045684338,-34.46715412139893,880.44,,
0.001,95000,94044,,,,,0.6485318492352963,-34.85537515258789,,1000.0,915.1563217782416
0.001,98103,97044,503.8882572499999,82,112,1196,0.6329623003900051,-35.461314010620114,880.44,,
0.001,100000,99044,,,,,0.6088827970325947,-36.3699836807251,,1000.0,865.9371454916429
0.001,102103,101044,568.7950507,82,116,1244,0.7449717045724392,-37.11126013946533,909.74,,
0.001,105000,104044,,,,,0.7549263750612736,-38.02171957397461,,1000.0,874.1666508487426
0.001,106103,105044,630.4499423100001,81,120,1294,0.801105156302452,-38.25127388763428,937.76,,
0.001,110000,109044,,,,,0.7585529570877552,-39.11349006652832,,1000.0,826.3355305028614
,110103,,657.4747638200001,81,124,1343,,,965.65,,
0.001,113114,112055,675.3035931300001,82,128,1368,0.6254634315317328,-39.85967102050781,980.86,,
0.001,115000,114055,,,,,0.7576011387705803,-40.33258692169189,,1000.0,916.4585854736739
0.001,117114,116055,669.88900393,82,132,1419,0.7760268515050411,-40.94618453979492,980.86,,
0.001,120000,119055,,,,,0.7932443704009056,-41.453026962280276,,1000.0,888.3072445988189
0.001,121114,120055,696.19060128,82,136,1469,0.7539458378255367,-41.78631610107422,990.11,,
0.001,125000,124055,,,,,0.707943077325821,-42.95734649658203,,1000.0,950.0410988273449
,125114,,713.91970756,82,140,1518,,,990.11,,
0.001,129114,128055,718.0673224500002,83,144,1552,0.7940251559317112,-43.62068817138672,990.11,,
0.001,130000,129055,,,,,0.7934781220257282,-43.81406255340576,,1000.0,904.6730083314702
0.001,133114,132055,721.3681772699998,83,148,1601,0.8948881065547466,-43.96004631042481,990.11,,
0.001,135000,134055,,,,,0.8474585438370704,-44.15139071655273,,1000.0,909.0453990035807
0.001,137114,136055,727.8203051500001,82,152,1656,0.8334863137006759,-44.272225715637205,990.11,,
0.001,140000,139055,,,,,0.8745434143841266,-44.776900550842285,,1000.0,817.119382713968
0.001,141114,140055,741.5511473099998,82,156,1712,0.8727451428472995,-44.98805346679688,990.11,,
0.001,145000,144055,,,,,0.8399328624010086,-45.54507679748535,,1000.0,882.4024391499813
,145114,,741.99772611,82,160,1767,,,990.11,,
0.001,149114,148055,739.0406944000001,82,164,1801,0.8218648688495159,-45.90465879058838,990.11,,
0.001,150000,149055,,,,,0.8241810256540776,-46.00960496520996,,1000.0,775.5696530764457
0.001,153114,152055,743.43686017,82,168,1850,0.8698388801813126,-46.35691427612305,990.11,,
0.001,155000,154055,,,,,0.8908038132190704,-46.701618698120114,,1000.0,878.8970722103492
0.001,157114,156055,754.93644223,82,172,1901,0.8513770080208778,-47.11025177764893,990.11,,
0.001,160000,159055,,,,,0.9787537318468094,-47.585853828430174,,1000.0,938.9661690741195
0.001,161114,160055,768.8991647400002,82,176,1956,1.0409559131860733,-47.713931640625,990.11,,
0.001,165000,164055,,,,,1.075585636496544,-48.38096599578857,,1000.0,833.7954547108151
,165114,,780.50627197,82,180,2010,,,990.11,,
0.001,169114,168055,785.6090203499999,82,184,2046,1.1747869721651076,-49.52315576171875,990.11,,
0.001,170000,169055,,,,,1.148833253145218,-49.83761602020264,,1000.0,1024.8325169607997
0.001,173114,172055,790.0769271600001,82,188,2100,1.1488366599082946,-50.656688331604,990.11,,
0.001,175000,174055,,,,,1.1829322140216827,-51.225508659362795,,1000.0,1062.0565619529011
0.001,177114,176055,802.1750161199999,82,192,2155,1.1507655975818634,-51.941098495483395,990.11,,
0.001,180000,179055,,,,,1.3266943384408951,-52.82578429412842,,1000.0,1068.2383151642978
0.001,181114,180055,817.8093985399998,82,196,2206,1.3412907044887543,-53.12298623657227,990.11,,
0.001,185000,184055,,,,,1.20229002982378,-54.08258596038819,,1000.0,1104.5317434614524
,185114,,818.7975911699999,82,200,2256,,,990.11,,
0.001,189114,188055,801.4930288400001,82,204,2289,1.136207434952259,-55.13219927215576,990.11,,
0.001,190000,189055,,,,,1.1849939410686492,-55.53306906890869,,1000.0,1471.056164355483
0.001,193114,192055,822.5221177399998,82,208,2337,1.2061492012441157,-56.49420527648926,990.11,,
0.001,195000,194055,,,,,1.211599688589573,-57.344759117126465,,1000.0,1450.4380831644871
0.001,197114,196055,845.9490061599998,82,212,2387,1.2786120210289955,-58.22975457763672,990.11,,
0.001,200000,199055,,,,,1.299571965098381,-59.401535926818845,,1000.0,1216.0872741761618
0.001,201114,200055,855.59553861,82,216,2434,1.394578716158867,-59.589406288146975,990.11,,
0.001,205000,204055,,,,,1.478949974179268,-61.28799333953857,,1000.0,1474.9784963149577
,205114,,875.8514284599999,82,220,2485,,,990.11,,
0.001,209114,208055,902.9075099,82,224,2520,1.4840823640823364,-63.23894627380371,990.11,,
0.001,210000,209055,,,,,1.5028449599146843,-63.29143531799316,,1000.0,1533.2571337928937
0.001,213114,212055,938.23938127,82,228,2571,1.5668114072680472,-63.82667833709717,1000.0,,
0.001,215000,214055,,,,,1.61910046595335,-64.72252267456055,,1000.0,1470.3324143479344
0.001,217114,216055,971.7262869999998,82,232,2621,1.687180937707424,-65.58886068725586,1000.0,,
0.001,220000,219055,,,,,1.7820386889576911,-66.34718562316894,,1000.0,1633.04275531373
0.001,221114,220055,999.18190999,82,236,2671,1.8559508726596832,-66.56684561157226,1000.0,,
0.001,225000,224055,,,,,1.7955613407492637,-67.72514178466797,,1000.0,1642.6756065304392
,225114,,1026.76769442,82,240,2720,,,1000.0,,
0.001,229114,228055,1065.1885635600001,83,244,2754,1.7031193982958794,-68.51791262817383,1000.0,,
0.001,230000,229055,,,,,1.683432746529579,-68.91932893371582,,1000.0,1629.2312239836901
0.001,233114,232055,1095.71160132,83,248,2803,1.7331876507401467,-69.75217483520508,1000.0,,
0.001,235000,234055,,,,,1.6540949941277503,-70.49967245483398,,1000.0,1623.8500278646127
0.001,237114,236055,1132.9145643,83,252,2852,1.6303748643994331,-71.27456120300293,1000.0,,
0.001,240000,239055,,,,,1.5832419490218164,-72.72577345275879,,1000.0,1563.380758972466
0.001,241114,240055,1163.7884261,83,256,2900,1.6065438683629036,-73.06130027770996,1000.0,,
0.001,245000,244055,,,,,1.7441519865989685,-74.0511417541504,,1000.0,1766.5851746521598
,245114,,1200.25169934,83,260,2949,,,1000.0,,
0.001,249114,248055,1243.86352606,83,264,2982,1.8610912542939186,-74.64634269714355,1000.0,,
0.001,250000,249055,,,,,1.8324737536311149,-74.93955911254884,,1000.0,1808.1077096189547
0.001,253114,252055,1285.03353147,83,268,3032,1.9414018447995185,-76.02835623168946,1000.0,,
0.001,255000,254055,,,,,1.9803607304096222,-76.82919171142578,,1000.0,1655.9784908271627
0.001,257114,256055,1319.1376761200002,83,272,3081,2.016444018542767,-77.58059042358398,1000.0,,
0.001,260000,259055,,,,,2.2574075969457628,-78.78188125610352,,1000.0,1872.2443819305859
0.001,261114,260055,1361.7996442,83,276,3131,2.2281544390916825,-79.22839846801757,1000.0,,
0.001,265000,264055,,,,,2.380615942001343,-80.84564303588867,,1000.0,1976.1357883391902
,265114,,1397.8024688799999,83,280,3180,,,1000.0,,
0.001,268398,267339,1421.7563018500002,83,284,3208,2.4939657995398616,-82.43962929953992,992.84,,
0.001,270000,269339,,,,,2.591701934814453,-83.133193069458,,1000.0,1865.8490634489106
0.001,272398,271339,1463.0491735,83,288,3258,2.7994067188501357,-84.0353536529541,992.84,,
0.001,275000,274339,,,,,2.8726190581321718,-85.28276622009277,,998.8,1961.6317386774347
0.001,276398,275339,1499.3145925699998,83,292,3307,2.6698876831531524,-85.99164808654785,992.84,,
0.001,280000,279288,,,,,2.8278696732978297,-87.95926926462273,,962.0,1754.99454052581
,280347,,1529.3167904100003,83,296,3355,,,992.33,,
0.001,284347,283288,1576.42878795,83,300,3389,2.996854586839676,-89.73946168518066,992.33,,
0.001,285000,284288,,,,,3.065432902932167,-90.21303279113769,,1000.0,2037.8517620489001
0.001,287647,287288,1616.6568569000003,83,304,3437,3.255553966641426,-91.80940397644044,985.33,,
0.001,290000,289018,,,,,3.4053036648173665,-92.71517873364826,,952.6,1751.3798606229946
0.001,291077,290018,1606.94692194,83,308,3477,3.3456429444551468,-92.79222218322754,979.63,,
0.001,295000,294018,,,,,3.795912415385246,-93.63189556884765,,1000.0,2025.1365312876412
,295077,,1607.560953,83,312,3527,,,979.63,,
0.001,299077,298018,1642.7095083999998,83,316,3562,3.884619823694229,-95.09141944885253,979.63,,
0.001,300000,299018,,,,,3.947168111205101,-95.59106986999512,,1000.0,2041.8874251303264
0.001,303077,302018,1667.3779078199996,83,320,3615,3.853670637965202,-96.78559226989746,979.63,,
0.001,305000,304018,,,,,4.008421354532242,-97.58274166870117,,1000.0,1983.749763805233
0.001,307077,306018,1675.2265842900001,83,324,3667,4.407696447849274,-97.93685841369629,979.63,,
0.001,310000,309018,,,,,4.430536446213722,-98.50274504089356,,1000.0,2110.9334655130747
0.001,311077,310018,1696.7103573699999,83,328,3723,4.305607095956803,-98.78240773010253,979.63,,
0.001,315000,314018,,,,,4.604509594440461,-100.95522842407226,,1000.0,2081.7579757903236
,315077,,1720.6878584700003,83,332,3779,,,979.63,,
0.001,319077,318018,1737.5955806700001,83,336,3817,4.463468178153038,-102.71275120544433,979.63,,
0.001,320000,319018,,,,,4.243232301354408,-103.7955622253418,,1000.0,2000.4837480255387
0.001,323077,322018,1757.8967918099995,83,340,3868,4.499821919798851,-104.362508102417,979.63,,
0.001,325000,324018,,,,,4.912116182804108,-105.21643757629394,,1000.0,2066.143271137576
0.001,327077,326018,1774.0326473999999,83,344,3918,4.94943051314354,-105.8806145477295,979.63,,
0.001,330000,329018,,,,,4.979066334247589,-107.0672794342041,,1000.0,2089.308286611643
0.001,331077,330018,1796.5713315,83,348,3967,5.080711771965027,-107.67934086608886,979.63,,
0.001,334890,333831,1812.5786974000002,83,352,4002,5.366747504949569,-108.5371957397461,977.76,,
0.001,335000,334831,,,,,5.2311210103034975,-108.57671170043945,,1000.0,2194.4200633843548
0.001,338890,337831,1835.5503507800001,83,356,4056,5.431455840587616,-109.59294552612305,977.76,,
0.001,340000,339831,,,,,5.389812896490097,-110.64486668395996,,1000.0,2107.7653774689416
0.001,342890,341831,1853.2931594200002,83,360,4108,5.50287682723999,-111.15144718933105,977.76,,
0.001,345000,344831,,,,,5.236324222326279,-111.81187966918945,,902.1,1773.3611155646854
0.001,346890,345831,1827.41236516,83,364,4158,4.939503628015518,-111.83959182739258,977.76,,
0.001,350000,349831,,,,,5.027722497463226,-112.81203611755372,,1000.0,1853.1422763600945
,350890,,1840.89630974,83,368,4211,,,977.76,,
