time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,time/total_timesteps,eval/mean_reward,eval/mean_ep_length
4,3000,1000.0,-1030.64096425,0.0783916885079816,234,17,0.001,-5.945406438350678,4000,,
,4000,,,0.08382479246333241,,,0.001,-7.175039353370667,5000,-1004.3096953779459,1000.0
8,7000,1000.0,-1382.442344,0.7729567583203316,175,45,0.001,-12.340201011657715,8000,,
,9000,,,2.469977307677269,,,0.001,-15.61294960784912,10000,-1251.6999850034845,726.1
12,11000,1000.0,-1253.7156944166668,1.184226714849472,164,72,0.001,-16.229710485458373,12000,,
,14000,,,0.9681933100819587,,,0.001,-15.902845512390137,15000,216.02317388668015,1000.0
16,15000,1000.0,-805.3164544374999,1.1496855231523513,156,102,0.001,-17.117321044921876,16000,,
,19000,,,0.8397547788918018,,,0.001,-16.92174136543274,20000,821.6102710197738,1000.0
20,,1000.0,-519.1649215,,151,131,,,20000,,
24,23000,1000.0,-299.2022547916667,0.7764909848570823,156,153,0.001,-16.988638536453248,24000,,
,24000,,,0.7317901223599911,,,0.001,-16.942581995010375,25000,466.309661460761,1000.0
28,27000,1000.0,-140.98504642857145,0.809503306478262,154,180,0.001,-16.835342937469484,28000,,
,29000,,,0.7565717329084873,,,0.001,-16.862216804504396,30000,613.3614576600579,996.5
32,30218,975.5625,-44.283714343750006,0.7744421008803429,151,205,0.001,-17.094326045535027,31218,,
,34218,,,0.6833710051178932,,,0.001,-17.308984086990357,35000,706.4779957589693,1000.0
36,,978.2777777777778,48.47440474999999,,150,234,,,35218,,
40,38218,980.45,131.848411525,0.6186907959580421,153,255,0.001,-18.252140279769897,39218,,
,39218,,,0.6571873959600926,,,0.001,-18.58635085296631,40000,883.2058282623999,1000.0
44,42218,982.2272727272727,198.04447079545454,0.6638827485442161,152,284,0.001,-19.206056953430174,43218,,
,44218,,,0.6007937539219856,,,0.001,-19.55670358657837,45000,804.8731452958658,1000.0
48,46218,983.7083333333334,248.3035838958333,0.5527067932188511,150,313,0.001,-20.36734150314331,47218,,
,49218,,,0.5895021033883094,,,0.001,-21.303644107818602,50000,791.6623117875308,1000.0
52,50218,984.9615384615385,289.90998309615384,0.5977291561067104,149,341,0.001,-21.56931471633911,51218,,
,54218,,,0.6643572915792465,,,0.001,-22.62920262145996,55000,822.9116607488133,1000.0
56,,986.0357142857143,322.68562337500003,,149,370,,,55218,,
60,58218,986.9666666666667,357.56398873333336,0.555150922447443,151,390,0.001,-24.1444222946167,59218,,
,59218,,,0.547164308577776,,,0.001,-24.622114185333253,60000,769.3892164690187,901.7
64,62218,987.78125,386.57959729687497,0.5178658799231053,150,418,0.001,-25.722391078948974,63218,,
,64218,,,0.4776592192351818,,,0.001,-26.4344520072937,65000,736.6432748132735,1000.0
