time/episodes,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_reward,eval/mean_ep_length
4,2000,0.13503150030085817,0.001,763.0,-1256.7867902500002,3052,10,-5.426726470203372,304,,
,4000,0.14451339350268244,0.001,,,5000,,-3.906581949234009,,-3001.6026829600332,1000.0
8,6000,0.10854833602160216,0.001,881.5,-2019.0356636249999,7052,37,-1.244609140479937,190,,
,9000,0.26763173009082675,0.001,,,10000,,9.039971145629883,,-2905.7631369948385,1000.0
12,10000,0.1282870447076857,0.001,921.0,-2255.1558433333335,11052,64,5.861579320907593,170,,
16,13042,0.7538846250027418,0.001,822.4375,-2011.8904741875,13159,78,7.443411985397339,168,,
20,14227,0.7264297053669438,0.001,715.0,-1614.1333058,14300,83,6.924348026514053,171,,
,14261,1.2067513397106757,0.001,,,15000,,6.991742928822835,,-188.87177627690835,338.4
24,16261,0.9115708805918693,0.001,721.375,-1375.5265237083333,17313,96,7.905629259109497,178,,
,19298,0.8407795415222645,0.001,,,20000,,6.053886990070343,,449.5998776481953,1000.0
28,,,,726.7857142857143,-1124.1406111428573,20350,120,,169,,
32,23298,0.7983216159045696,0.001,760.9375,-935.3165919999999,24350,138,5.075822043418884,175,,
,24298,0.7472520852386951,0.001,,,25000,,4.959594769001007,,332.7990893202601,1000.0
36,27298,0.6752533095479012,0.001,787.5,-763.6308674999999,28350,165,3.6987439527511596,171,,
,29298,0.613543104737997,0.001,,,30000,,2.5527343137264253,,646.1375815027626,1000.0
40,31298,0.5681203637123108,0.001,808.75,-623.740639575,32350,193,1.3065442650690675,167,,
,34298,0.5080981376767159,0.001,,,35000,,-0.23368599227094092,,546.3283854761627,1000.0
44,35298,0.5323723437190055,0.001,826.1363636363636,-517.1257455,36350,220,-0.734691770028323,164,,
,39298,0.48354606476426126,0.001,,,40000,,-2.5428999264240266,,607.7769734066787,1000.0
48,,,,840.625,-424.49943302083335,40350,246,,163,,
52,43298,0.49462824496626856,0.001,852.8846153846154,-347.4388085192308,44350,265,-4.874897866725922,167,,
,44298,0.5660026658773423,0.001,,,45000,,-5.513471088409424,,522.5215444869361,1000.0
56,47298,0.5661466115117073,0.001,863.3928571428571,-277.85928964285716,48350,291,-7.506650787353515,165,,
,49298,0.5589773732721806,0.001,,,50000,,-8.538510734558105,,660.9193514856045,1000.0
60,51298,0.5705374274253845,0.001,872.5,-217.86298855000004,52350,318,-9.645012071609496,164,,
,54298,0.5824933891296387,0.001,,,55000,,-11.41154542350769,,677.0710470529273,1000.0
64,55298,0.5976130174398422,0.001,880.46875,-165.03094243750002,56350,346,-12.096687757492065,162,,
,59298,0.6737458534538746,0.001,,,60000,,-14.725162872314453,,648.020224808756,1000.0
68,,,,887.5,-116.5406449264706,60350,377,,159,,
72,63298,0.6353192281126976,0.001,893.75,-81.76148393055557,64350,398,-16.80005817604065,161,,
,64298,0.6377425505816936,0.001,,,65000,,-17.423060829162598,,597.5642005159054,1000.0
76,67298,0.6736707007288932,0.001,899.3421052631579,-37.236803684210535,68350,426,-19.552709438323976,160,,
,69298,0.6969974559545516,0.001,,,70000,,-20.819643905639648,,549.9143166481517,1000.0
80,71298,0.8160728456974029,0.001,904.375,-9.345077862500009,72350,456,-21.934527507781983,158,,
,74298,0.8453718312382698,0.001,,,75000,,-22.912860054016114,,679.9129049344687,1000.0
84,75298,0.8646588464081287,0.001,908.9285714285714,22.419721690476184,76350,484,-23.3894204788208,157,,
,79298,0.8887883082032204,0.001,,,80000,,-25.352430438995363,,750.3915066649417,1000.0
