time/episodes,train/n_updates,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
4,2015,0.001,0.29445814092954,13,508.5,-3.7530724661690846,146,2034,-446.9450365,,
8,2247,0.001,0.5832392727024853,16,405.875,-2.4191740825772285,202,3247,-435.795505875,,
,4247,0.001,0.6870624732077122,,,-3.176441650390625,,5000,,-660.606156442035,901.8
12,5310,0.001,0.9858413887402367,43,525.8333333333334,-4.425096206367016,143,6310,-465.5187396666667,,
16,8360,0.001,0.6188819270730018,62,585.0,-4.865840542316437,149,9360,-320.343512,,
,9388,0.001,0.7024953844291824,,,-5.69982555934361,,10000,,184.81011375695525,730.8
20,11388,0.001,0.713452522546053,87,619.4,-5.12931840467453,140,12388,-183.85846669999995,,
,14462,0.001,0.7652040004730225,,,-5.543196956157685,,15000,,241.92728252338847,732.9
24,,,,114,644.25,,134,15462,-73.21455737499998,,
28,18462,0.001,0.8752786069214344,150,695.0714285714286,-6.75569154548645,129,19462,44.06357003571429,,
,19462,0.001,0.8351332972347736,,,-6.817285055160522,,20000,,602.934553747729,906.4
32,22462,0.001,0.61872702896595,200,733.1875,-8.748763542175293,117,23462,137.90433165625,,
,24462,0.001,0.6083743685483932,,,-10.848330154418946,,25000,,802.3219952352578,1000.0
36,26462,0.001,0.5484478135108948,251,762.8333333333334,-12.852626337051392,109,27462,210.51795997222223,,
,29462,0.001,0.524173025637865,,,-15.622600219726563,,30000,,832.2681147252151,1000.0
40,30462,0.001,0.5793373830616474,303,786.55,-16.41404676437378,103,31462,268.09400537499994,,
,34462,0.001,0.5441666223406791,,,-19.31012498855591,,35000,,786.1258664129185,1000.0
44,,,,357,805.9545454545455,,99,35462,321.0616224772727,,
48,38462,0.001,0.525739830031991,393,822.125,-22.099730278015137,100,39462,363.1854408541667,,
,39462,0.001,0.5503280049264431,,,-22.561514019012453,,40000,,630.9445539101085,1000.0
52,42462,0.001,0.5836251514554024,446,835.8076923076923,-24.34293098068237,97,43462,391.3900666538462,,
,44462,0.001,0.6199050653874875,,,-25.517955726623534,,45000,,812.4730486766427,1000.0
56,46462,0.001,0.63457262301445,501,847.5357142857143,-26.76293447113037,94,47462,420.81054032142856,,
,49462,0.001,0.6129435968697071,,,-28.983921520233153,,50000,,338.55663346409494,1000.0
60,50462,0.001,0.6715641354620456,553,857.7,-29.76714014816284,93,51462,451.359095,,
,54462,0.001,0.7060609466135502,,,-33.01840475845337,,55000,,909.2261621908285,1000.0
64,,,,605,866.59375,,91,55462,487.38292884375005,,
68,58462,0.001,0.8366188698709011,640,874.4411764705883,-35.793786308288574,92,59462,506.75443911764717,,
,59462,0.001,0.8304696986079216,,,-36.391584045410156,,60000,,647.8204735239226,860.4
72,61496,0.001,0.8665219685610603,682,868.0,-38.13944670733284,91,62496,502.2145833750001,,
76,63190,0.001,1.2097250602815461,697,844.6052631578947,-38.19235425202743,92,64190,496.81228661842107,,
,64190,0.001,1.4704216584563254,,,-38.61511448669434,,65000,,364.76475063613543,823.0
80,67190,0.001,1.5066805398464203,747,852.375,-39.37265803527832,91,68190,494.64420935,,
,69190,0.001,1.68710344517231,,,-40.17750915527344,,70000,,736.8128661470906,1000.0
84,71190,0.001,1.7313380272984504,797,859.4047619047619,-40.99150020599365,90,72190,509.2085916071429,,
,74190,0.001,1.832357732117176,,,-42.55575457000732,,75000,,1078.9188958068378,1000.0
88,75190,0.001,1.8420039840936662,849,865.7954545454545,-43.07006118774414,89,76190,539.0123525909091,,
,79190,0.001,1.994835837483406,,,-46.809112182617184,,80000,,565.6486150385929,772.9
92,,,,898,871.6304347826087,,89,80190,574.8532907717391,,
96,82040,0.001,2.285404007716151,924,865.0,-48.455753606258675,89,83040,559.6126092395833,,
,84040,0.001,2.604465850174427,,,-48.806375244140625,,85000,,838.7292059338419,929.4
100,86040,0.001,2.522303270816803,974,870.4,-49.62008246612549,89,87040,579.0410085799999,,
,89641,0.001,2.539038052082062,,,-51.68437496948242,,90000,,1674.4995990770199,1000.0
104,,,,1021,886.07,,88,90641,648.1796518799999,,
108,93641,0.001,2.694194035053253,1055,913.94,-53.97387679290772,89,94641,733.7827991099999,,
,94641,0.001,2.592488542675972,,,-54.75515615081787,,95000,,1412.053136565548,904.0
112,97641,0.001,2.9257304879426957,1105,923.31,-57.00812014770508,89,98641,820.8229208600001,,
,99641,0.001,3.1412651646137237,,,-58.263407379150394,,100000,,1484.7973479601205,973.8
116,101641,0.001,3.029672563791275,1154,932.81,-59.336454696655274,88,102641,852.45890926,,
,104313,0.001,3.2084068287611007,,,-61.11290860748291,,105000,,1245.203198111977,1000.0
120,105313,0.001,3.5287018963098524,1198,930.38,-61.71952449035645,87,105426,885.6841676500001,,
124,108426,0.001,4.094117023825645,1225,939.64,-64.25258784484863,89,109426,937.5666270099998,,
,109426,0.001,3.280117362380028,,,-64.74222159576416,,110000,,1778.330072590988,1000.0
128,112426,0.001,3.9899127314090728,1273,939.64,-66.90618003082275,89,113426,979.13613175,,
,114936,0.001,4.162857957363129,,,-68.84875299835205,,115000,,1639.6263806306756,921.5
132,115936,0.001,4.08740860593319,1317,934.74,-69.59834215545655,88,116936,1010.9556474699999,,
,119936,0.001,3.9628303183317186,,,-72.482662940979,,120000,,1578.9499907984166,861.4
136,,,,1364,934.74,,88,120936,1052.0000312799998,,
140,123936,0.001,4.294571820735931,1398,934.74,-75.53600703430176,89,124936,1101.6569138799998,,
,124936,0.001,4.4925051302909855,,,-76.36715245056152,,125000,,1330.8724413383752,774.8
144,127247,0.001,5.15917304627765,1438,927.85,-78.31310306672127,89,128247,1133.3876065400002,,
,129247,0.001,4.8895180217027665,,,-80.06947489929199,,130000,,2149.4390636451776,1000.0
148,131247,0.001,5.244586588144302,1489,927.85,-82.60982511901855,88,132247,1184.2317380200002,,
,134291,0.001,5.510369477033615,,,-85.5110751953125,,135000,,1723.4068637032992,912.5
152,,,,1531,918.29,,88,135291,1187.86128525,,
156,138291,0.001,5.285121119022369,1566,918.29,-88.90975141906738,88,139291,1242.20134623,,
,139291,0.001,5.930206521034241,,,-89.1924489440918,,140000,,1957.8126598233357,1000.0
160,142291,0.001,5.336328192949295,1618,918.29,-91.47231817626952,88,143291,1295.5052426299999,,
,144570,0.001,5.086295806378874,,,-93.48328432355608,,145000,,2315.9190058209,1000.0
164,145570,0.001,5.52651157450676,1662,911.08,-93.73161381530761,88,146570,1326.88528779,,
,149570,0.001,5.5269928576946254,,,-97.04558308410644,,150000,,2273.468835469894,1000.0
168,,,,1713,911.08,,87,150570,1385.3640605899998,,
172,153570,0.001,6.209022153377533,1749,920.74,-99.32601811218262,88,154570,1431.12952772,,
,154570,0.001,5.8474321789741515,,,-99.93368168640137,,155000,,1884.3118301663897,1000.0
176,157570,0.001,6.012215893983841,1799,943.8,-101.77030639648437,88,158570,1508.45408124,,
,159570,0.001,6.483810186624527,,,-103.0373673400879,,160000,,1532.8698649366154,792.6
180,161570,0.001,6.6040915901660915,1846,943.8,-103.93472482299805,88,162570,1574.6960303400003,,
,164570,0.001,7.016113859653473,,,-105.95175843811035,,165000,,1596.7859505607746,759.7
184,165570,0.001,6.734689116001129,1893,943.8,-106.46393408203124,87,166570,1640.7726466500003,,
188,168581,0.001,8.660197561437434,1920,933.91,-106.45108947753906,88,169581,1665.5428077500003,,
,169581,0.001,7.468518592357635,,,-108.81415095520019,,170000,,2416.228075851034,1000.0
192,172581,0.001,7.751003113269806,1971,933.91,-111.1710252380371,88,173581,1705.8844223400001,,
,174554,0.001,8.691905334821586,,,-113.00989604534799,,175000,,2173.3044302522203,979.2
196,176554,0.001,8.58071290397644,2022,942.55,-114.62156072998047,87,177295,1789.4468734,,
,179295,0.001,10.117378049850464,,,-117.5900030670166,,180000,,2348.648255859595,956.9
200,180295,0.001,9.44780290389061,2072,942.55,-118.68012153625489,87,181295,1843.7218261199998,,
,184295,0.001,12.827423503398895,,,-123.7487885131836,,185000,,-1189.2533501168714,1000.0
204,,,,2125,946.54,,87,185295,1762.48570799,,
208,188295,0.001,13.211837728500367,2162,946.54,-127.51348835754395,87,189295,1629.8237305400003,,
,189295,0.001,12.885282793283462,,,-128.65709790039062,,190000,,-651.6053951575188,562.6
212,191331,0.001,12.141573574807909,2197,928.15,-130.06662538316516,87,191456,1540.0924952799999,,
216,193040,0.001,15.347550336900225,2214,913.99,-129.98786255342876,87,194040,1474.1327694199997,,
,194492,0.001,16.433742297434176,,,-128.82395155239948,,195000,,56.423290703039676,829.3
220,196492,0.001,12.250629341125489,2259,920.66,-128.8392924041748,87,197492,1441.36941775,,
,199492,0.001,11.138506952762604,,,-128.5992425842285,,200000,,2329.957421793789,1000.0
224,200492,0.001,11.16129121685028,2309,920.66,-128.69940808105468,87,201492,1426.4546110900003,,
,204492,0.001,10.981035022258759,,,-128.7867395172119,,205000,,2329.7180629775976,967.2
228,,,,2361,920.66,,87,205492,1450.4421482,,
232,208492,0.001,9.61408628320694,2396,925.56,-129.33267118835448,87,209492,1487.3956406399998,,
,209492,0.001,9.751492156982422,,,-129.34568310546874,,210000,,2400.8120993507096,1000.0
236,212492,0.001,9.012228415966034,2447,925.56,-130.1224785308838,87,213492,1513.0456036599999,,
,214492,0.001,9.010862778186798,,,-130.97504165649414,,215000,,2579.784753804299,1000.0
240,216492,0.001,9.117945147037506,2497,925.56,-132.02755682373046,87,217492,1497.9807775600002,,
,219645,0.001,10.407186127955617,,,-132.5777433294999,,220000,,1028.5802935510408,922.4
244,,,,2540,923.98,,86,220645,1507.54122925,,
248,223482,0.001,10.194049695014954,2572,919.82,-133.4591628265381,87,224229,1511.359958,,
,224299,0.001,8.837476778030396,,,-134.38821803501673,,225000,,2427.1093443081713,918.3
252,226299,0.001,9.899750649929047,2609,917.75,-134.50389532470703,87,227066,1556.1718224999997,,
,229066,0.001,9.39733413052559,,,-135.62432997131347,,230000,,2050.283259751252,801.3
256,230066,0.001,10.388010596275329,2652,917.75,-135.949802154541,87,231066,1575.5282444500003,,
,234066,0.001,10.939920852661134,,,-137.76258087158203,,235000,,2622.927452311013,1000.0
260,,,,2704,917.75,,86,235066,1560.2230534000003,,
264,238066,0.001,10.249352216720581,2739,924.96,-138.75067515563964,87,239066,1591.9458104199998,,
,239066,0.001,10.951894481182098,,,-139.03207301330568,,240000,,2649.5056504040026,1000.0
268,242066,0.001,10.630380551576614,2789,922.48,-139.89814443969726,87,242818,1600.7819766100001,,
,244818,0.001,11.172321762800216,,,-140.880950881958,,245000,,2592.1917454794047,1000.0
272,245818,0.001,10.321960959911346,2838,922.48,-141.31154641723631,86,246818,1646.30086461,,
,249818,0.001,9.365621481180192,,,-142.43095106506348,,250000,,2451.4715781136183,908.0
276,,,,2888,922.48,,86,250818,1657.7780641500003,,
280,253818,0.001,10.604800432682037,2923,922.48,-143.22964981079102,87,254818,1679.76401577,,
,254818,0.001,10.783529713630676,,,-143.3306683807373,,255000,,2616.2480954858243,1000.0
284,257818,0.001,10.330163596868514,2975,922.48,-144.73336666870117,86,258818,1687.88236893,,
,259818,0.001,10.463350674390792,,,-145.60865328979492,,260000,,2479.269533874147,982.7
288,261818,0.001,10.534350796222686,3026,932.37,-145.26583291625977,86,262818,1720.2552544500004,,
,264785,0.001,12.849697817325593,,,-146.82567047119142,,265000,,2666.821063642553,1000.0
292,265785,0.001,9.826035468578338,3076,932.04,-147.0747027282715,86,266785,1730.81820032,,
,269785,0.001,11.813712947368622,,,-148.902833984375,,270000,,2486.1888446184807,959.9
296,,,,3127,934.9,,86,270785,1745.80631176,,
300,273785,0.001,10.980282444000244,3162,934.9,-149.46361447143553,86,274785,1733.9532847299997,,
,274785,0.001,11.61494619512558,,,-149.8746996154785,,275000,,2699.05262304364,1000.0
304,277785,0.001,11.985603796005249,3214,934.9,-150.46491412353515,86,278785,1843.6302073299998,,
,279785,0.001,10.898680054664611,,,-150.88407192993165,,280000,,2588.401188200619,954.1
308,281785,0.001,11.947831505298614,3265,934.9,-151.46005575561523,86,282785,2013.27999148,,
,284785,0.001,12.746232142925262,,,-151.80453341674806,,285000,,2368.323120813817,938.0
312,285785,0.001,11.76195603466034,3315,953.29,-151.57131396484374,86,286785,2143.2005860500003,,
,289785,0.001,12.301707387924194,,,-151.98585076904297,,290000,,2714.8989196099806,1000.0
316,,,,3367,967.45,,86,290785,2279.50059549,,
320,293785,0.001,12.455512784481048,3401,972.93,-153.42421890258788,86,294785,2376.06022452,,
,294785,0.001,12.557270074367523,,,-154.66881558227539,,295000,,2737.5382549541073,1000.0
324,297785,0.001,11.667117311239242,3452,972.93,-155.71164709472657,86,298785,2427.06127699,,
,299785,0.001,11.338095128059388,,,-155.8509434814453,,300000,,2434.531753363798,925.1
328,301444,0.001,11.395838965177536,3500,969.52,-156.43409246826172,86,302444,2429.47446117,,
,304444,0.001,11.445056951999664,,,-157.2989701538086,,305000,,2782.659591142499,1000.0
332,305444,0.001,11.179412773609162,3548,969.52,-157.47021667480467,86,306444,2437.0528790599997,,
,309444,0.001,10.921803253173827,,,-158.73247268676758,,310000,,2588.1027905787805,1000.0
336,,,,3598,969.52,,86,310444,2448.29615609,,
340,313444,0.001,11.564419331550598,3634,969.52,-159.336515625,86,314444,2493.92536869,,
,314444,0.001,12.445061010837556,,,-159.9745426940918,,315000,,2811.5451097216455,1000.0
344,317444,0.001,11.689515481472016,3684,977.99,-159.97592593383789,86,318444,2530.68501169,,
,319444,0.001,13.592467104434967,,,-160.3302708129883,,320000,,2525.2009179976826,951.9
348,321444,0.001,12.502195465564728,3733,982.15,-160.22715310668946,86,322444,2509.54026986,,
,324444,0.001,12.409812375068665,,,-160.8298984069824,,325000,,2856.498946773418,1000.0
352,325444,0.001,13.622430881023407,3780,993.78,-161.16115747070313,86,326444,2542.3699895799996,,
,329444,0.001,12.63263485479355,,,-162.1550062866211,,330000,,2832.6678994726026,1000.0
356,,,,3828,993.78,,86,330444,2550.5486801899997,,
360,333444,0.001,9.720087158203125,3861,993.78,-163.63441567993164,86,334444,2585.76308096,,
,334566,0.001,11.679817293511062,,,-163.68597437123782,,335000,,2336.6973439621565,871.0
364,336566,0.001,12.163159736394881,3900,985.0,-164.52739071655273,86,337566,2567.0950036599997,,
,339566,0.001,12.547534737110137,,,-165.7584671936035,,340000,,2655.4029344529845,941.4
368,340566,0.001,11.394571234703063,3948,987.48,-165.37415475463868,86,341566,2578.70379589,,
,344566,0.001,11.572476780891419,,,-166.96326440429686,,345000,,2858.153372084815,1000.0
372,,,,3997,987.48,,86,345566,2578.43210352,,
376,348566,0.001,12.661459849834442,4030,987.48,-167.85098223876952,86,349566,2582.30291591,,
,349566,0.001,10.663532047748566,,,-168.65162005615235,,350000,,2756.3974358994515,985.9
380,352566,0.001,11.723995480060577,4080,987.48,-169.00957934570312,86,353566,2586.2675303700003,,
,354566,0.001,10.479357383728027,,,-169.4486271057129,,355000,,2805.6677818302064,1000.0
