train/n_updates,time/iterations,train/learning_rate,train/std,train/entropy_loss,train/policy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/value_loss,time/fps,eval/mean_reward,eval/mean_ep_length
99,100,0.0007,1.0047461986541748,-11.391331672668457,-56.481658935546875,500,-47.219739,3,-0.921621561050415,30.0,26.495990753173828,147,,
199,200,0.0007,1.0049445629119873,-11.387972831726074,-15.956631660461426,1000,-47.219739,5,-2.7258756160736084,30.0,3.5258655548095703,174,,
299,300,0.0007,1.0054229497909546,-11.394164085388184,-7.084295749664307,1500,-163.2841539,8,-0.4300426244735718,135.3,0.9595615267753601,183,,
399,400,0.0007,1.007835030555725,-11.413549423217773,-42.963287353515625,2000,-163.2841539,10,-0.10230743885040283,135.3,15.085370063781738,190,,
499,500,0.0007,0.9956223964691162,-11.309494018554688,-9.247721672058105,2500,-192.86895446666668,13,-0.05052626132965088,163.8,1.6041796207427979,191,,
599,600,0.0007,0.9910919666290283,-11.280019760131836,-72.30699920654297,3000,-160.98968271428572,15,-0.015257000923156738,137.42857142857142,47.827457427978516,194,,
699,700,0.0007,0.9854962229728699,-11.231959342956543,-48.113590240478516,3500,-130.57331651612904,17,0.011431872844696045,112.83870967741936,26.14957046508789,195,,
799,800,0.0007,0.982684850692749,-11.204833984375,-7.836041450500488,4000,-129.860547,20,0.039605796337127686,111.71875,0.8876010775566101,197,,
899,900,0.0007,0.977241039276123,-11.168761253356934,-42.06028747558594,4500,-129.860547,22,0.0012719035148620605,111.71875,11.833056449890137,196,,
999,,0.0007,0.9719387292861938,-11.122737884521484,-13.666974067687988,5000,,,-0.0010342597961425781,,2.4276223182678223,,704.4984115231169,1000.0
,1000,,,,,5000,-143.17519484615383,48,,123.17948717948718,,103,,
1099,1100,0.0007,0.9600244760513306,-11.026423454284668,-78.32582092285156,5500,-143.17519484615383,51,0.00032913684844970703,123.17948717948718,42.89748001098633,107,,
1199,1200,0.0007,0.9498646855354309,-10.93774700164795,-44.75444793701172,6000,-162.47153916666667,54,0.00013577938079833984,141.57142857142858,19.7761287689209,110,,
1299,1300,0.0007,0.940441370010376,-10.859270095825195,3.871023654937744,6500,-162.47153916666667,56,0.017300963401794434,141.57142857142858,0.4244583547115326,115,,
1399,1400,0.0007,0.9341205358505249,-10.806793212890625,-49.648319244384766,7000,-182.16057279069767,59,1.7285346984863281e-06,161.53488372093022,21.38985252380371,118,,
1499,1500,0.0007,0.9231154918670654,-10.707903861999512,-4.594280242919922,7500,-177.98188797777777,62,-0.0006892681121826172,157.46666666666667,0.30358585715293884,120,,
1599,1600,0.0007,0.9136292934417725,-10.624490737915039,-8.549539566040039,8000,-177.98188797777777,64,0.005026042461395264,157.46666666666667,0.7668620347976685,123,,
1699,1700,0.0007,0.9061782956123352,-10.55883502960205,-41.161067962646484,8500,-185.4574618367347,66,-0.00011944770812988281,167.28571428571428,14.745834350585938,127,,
1799,1800,0.0007,0.8937477469444275,-10.44717788696289,-14.51904582977295,9000,-185.4574618367347,68,-0.00020587444305419922,167.28571428571428,2.1680023670196533,130,,
1899,1900,0.0007,0.8818846940994263,-10.341302871704102,10.563854217529297,9500,-178.382981,71,-0.0002753734588623047,163.55172413793105,1.9128624200820923,133,,
1999,,0.0007,0.8732371926307678,-10.262102127075195,2.9149246215820312,10000,,,0.006913483142852783,,0.5533513426780701,,502.118865193149,619.3
,2000,,,,,10000,-154.86139400000005,85,,146.6764705882353,,116,,
2099,2100,0.0007,0.8629802465438843,-10.168627738952637,-2.5871636867523193,10500,-150.1408404931507,88,0.013214588165283203,143.34246575342465,0.16681073606014252,119,,
2199,2200,0.0007,0.8530963063240051,-10.081377029418945,-7.871229648590088,11000,-145.41285323076926,90,0.0035817623138427734,139.85897435897436,0.4943552613258362,121,,
2299,2300,0.0007,0.8409931659698486,-9.962251663208008,-16.63679313659668,11500,-145.41285323076926,93,0.006733596324920654,139.85897435897436,2.7551229000091553,122,,
2399,2400,0.0007,0.8279029130935669,-9.834532737731934,-0.040758561342954636,12000,-152.0501303,96,0.018335700035095215,149.1875,0.08008620887994766,124,,
2499,2500,0.0007,0.8217878341674805,-9.777007102966309,7.126153469085693,12500,-135.83257632258065,98,0.03822833299636841,133.79569892473117,0.8570827841758728,126,,
2599,2600,0.0007,0.8129022121429443,-9.68722915649414,30.42258071899414,13000,-129.15068378,101,-0.006899833679199219,128.76,12.687761306762695,128,,
2699,2700,0.0007,0.8005915880203247,-9.567996978759766,23.222043991088867,13500,-129.15068378,104,-0.030160188674926758,128.76,9.619307518005371,129,,
2799,2800,0.0007,0.7863867282867432,-9.422792434692383,37.73265838623047,14000,-135.10796678000003,106,0.012346923351287842,138.27,22.198646545410156,131,,
2899,2900,0.0007,0.7738355398178101,-9.295955657958984,11.417304039001465,14500,-134.99305017000003,109,0.06339216232299805,138.8,3.288123846054077,132,,
2999,,0.0007,0.7620929479598999,-9.170805931091309,-11.634024620056152,15000,,,-0.010869383811950684,,1.7849897146224976,,922.4402824483811,1000.0
,3000,,,,,15000,-134.99305017000003,134,,138.8,,111,,
3099,3100,0.0007,0.7554824352264404,-9.103487968444824,-9.948663711547852,15500,-115.36828981999997,136,-0.400426983833313,127.38,1.1450151205062866,113,,
3199,3200,0.0007,0.743626594543457,-8.976271629333496,14.891031265258789,16000,-115.36828981999997,139,0.03779780864715576,127.38,4.794069766998291,115,,
3299,3300,0.0007,0.7311000823974609,-8.837570190429688,-22.57320213317871,16500,-122.15330441,141,0.37544286251068115,136.89,6.641683101654053,116,,
3399,3400,0.0007,0.7208470106124878,-8.728509902954102,-3.5886731147766113,17000,-121.38187985000002,144,0.4692392349243164,136.8,0.288478285074234,117,,
3499,3500,0.0007,0.7106472253799438,-8.612174987792969,-5.339944839477539,17500,-121.38187985000002,147,-0.8927544355392456,136.8,1.726209044456482,118,,
3599,3600,0.0007,0.6996117830276489,-8.48720932006836,-1.9083778858184814,18000,-125.22795531999998,150,0.05068492889404297,146.93,0.4135383665561676,119,,
3699,3700,0.0007,0.6935269236564636,-8.41574764251709,6.739073276519775,18500,-125.22795531999998,153,-0.2548363208770752,146.93,1.1678016185760498,120,,
