time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
7,-224.09240450000001,287,2048,1,203.5,,,,,,,,,,,,,
17,-194.09958209090902,233,4096,2,185.0,0.9824932217597961,0.012165939,-11.264960795640945,0.0003,203.83985044956208,0.2,0.119775390625,-0.022536158561706543,-0.025253353288280777,10,32.09855270385742,,
,,,5000,,,0.9730924367904663,0.013620989,-11.175843453407287,0.0003,136.3091943860054,0.2,0.124951171875,0.008750438690185547,-0.028350677283015102,20,49.40443801879883,1000.0,996.4900629296899
55,-118.97267637254902,110,6144,3,115.80392156862744,,,,,,,,,,,,,
66,-102.07333758749999,123,8192,4,100.925,0.970387876033783,0.013932886,-11.122552180290223,0.0003,101.78491823673248,0.2,0.16591796875,0.027870476245880127,-0.03496749482001178,30,44.145118713378906,,
,,,10000,,,0.9650918841362,0.011911409,-11.088424813747405,0.0003,116.19900546073913,0.2,0.13349609375,0.1160011887550354,-0.03296964316396043,40,46.58710479736328,1000.0,925.4432477901457
101,-101.04754655999999,101,10240,5,101.57,,,,,,,,,,,,,
111,-81.37453606,110,12288,6,82.01,0.9611988663673401,0.011975888,-11.04900453388691,0.0003,127.56251146793366,0.2,0.1302734375,0.12681740522384644,-0.03204583025653847,50,51.53758239746094,,
122,-90.51809223999999,116,14336,7,92.02,0.9558131694793701,0.012326449,-11.011719796061517,0.0003,173.1839891195297,0.2,0.1326171875,0.14690136909484863,-0.03298724574851804,60,104.953125,,
,,,15000,,,0.9433372616767883,0.011684699,-10.9292593896389,0.0003,92.1146579027176,0.2,0.1076171875,0.21244138479232788,-0.030717709523742087,70,29.557186126708984,1000.0,979.5636093749199
158,-88.62164857999998,103,16384,8,89.45,,,,,,,,,,,,,
168,-105.41869684,109,18432,9,106.56,0.9379905462265015,0.010525496,-10.856582552194595,0.0003,231.55414621829988,0.2,0.105322265625,0.13870888948440552,-0.028971890421235002,80,109.870361328125,,
,,,20000,,,0.9325503706932068,0.013893997,-10.813133174180985,0.0003,89.33752336502076,0.2,0.152197265625,0.2617342472076416,-0.03525365889945533,90,39.47886657714844,1000.0,884.2623751523904
206,-105.58818073,99,20480,10,106.3,,,,,,,,,,,,,
217,-123.23170331,103,22528,11,123.68,0.9244698286056519,0.009177005,-10.753375566005706,0.0003,193.08992278575897,0.2,0.094287109375,0.3109965920448303,-0.028742636417155153,100,103.7716064453125,,
226,-93.09551706000002,108,24576,12,95.21,0.9126012325286865,0.014235569,-10.66433301270008,0.0003,79.83498407304288,0.2,0.139111328125,0.19763487577438354,-0.03410417807754129,110,23.270219802856445,,
,,,25000,,,0.9088529348373413,0.009134421,-10.600644379854202,0.0003,329.4182608127594,0.2,0.075830078125,0.14651334285736084,-0.024016294343164192,120,158.06857299804688,1000.0,852.2046947603521
262,-81.57880361000001,101,26624,13,84.54,,,,,,,,,,,,,
272,-80.07801173,105,28672,14,83.52,0.9030091762542725,0.009376768,-10.55731243789196,0.0003,162.01211256980895,0.2,0.089501953125,0.4470784068107605,-0.02905868188245222,130,96.07151794433594,,
,,,30000,,,0.8943668603897095,0.012870131,-10.49275420308113,0.0003,103.69286196231842,0.2,0.146240234375,0.5800298452377319,-0.03342289761058055,140,34.20657730102539,1000.0,842.4770144059919
303,-66.25795359999998,101,30720,15,69.27,,,,,,,,,,,,,
312,-73.87995489,105,32768,16,79.89,0.8879673480987549,0.0096024275,-10.42528094947338,0.0003,133.62226371765138,0.2,0.093408203125,0.5775373578071594,-0.030583884948282503,150,60.9212532043457,,
320,-83.33212934000001,108,34816,17,89.99,0.8826817274093628,0.011487111,-10.373315608501434,0.0003,197.58949348926544,0.2,0.11025390625,0.2534336447715759,-0.031252759881317614,160,105.20927429199219,,
,,,35000,,,0.8724390268325806,0.024598379,-10.281885084509849,0.0003,25.21382079869509,0.2,0.262744140625,0.11403930187225342,-0.04645756027894095,170,24.03687858581543,748.7,708.0060496700113
341,-101.28948448,107,36864,18,109.81,,,,,,,,,,,,,
348,-102.84559793999999,111,38912,19,112.32,0.869385838508606,0.010608493,-10.240759280323982,0.0003,109.82889171838761,0.2,0.10517578125,0.5562092363834381,-0.028789242004859262,180,76.49293518066406,,
,,,40000,,,0.8623112440109253,0.010688688,-10.191193941235543,0.0003,90.87638655900955,0.2,0.11357421875,0.612470954656601,-0.03111826768727042,190,27.985633850097656,942.4,748.133238329638
373,-98.19088324,109,40960,20,109.2,,,,,,,,,,,,,
381,-94.31478837,112,43008,21,105.21,0.8593406677246094,0.010762314,-10.146891674399376,0.0003,253.51296830177307,0.2,0.0865234375,0.4059147834777832,-0.027224242250667885,200,102.6348876953125,,
,,,45000,,,0.8562300801277161,0.0103883725,-10.120678225159645,0.0003,172.99119231700897,0.2,0.098046875,0.6125208139419556,-0.031620461551938206,210,68.6790542602539,843.5,768.3067496687261
405,-68.14941681,111,45056,22,73.54,,,,,,,,,,,,,
412,-39.87660569,114,47104,23,44.13,0.8527393341064453,0.0093299225,-10.089307656884193,0.0003,177.44645051956178,0.2,0.089208984375,0.6095982789993286,-0.029915991279995068,220,70.5325698852539,,
420,-39.15359057,116,49152,24,46.05,0.8509512543678284,0.011182105,-10.06327210366726,0.0003,164.67016830444337,0.2,0.118017578125,0.1569286584854126,-0.03330334725324065,230,61.54158020019531,,
,,,50000,,,0.8500857949256897,0.013642471,-10.051193258166313,0.0003,85.3305519580841,0.2,0.148095703125,0.7830691486597061,-0.03892377297161147,240,38.21708297729492,478.9,401.4718883731577
437,-46.34167477999999,116,51200,25,56.3,,,,,,,,,,,,,
446,-53.75232992,119,53248,26,65.92,0.847698986530304,0.013890332,-10.038671225309372,0.0003,100.77083399295807,0.2,0.157763671875,0.8043448328971863,-0.039713131374446674,250,50.321998596191406,,
,,,55000,,,0.8423102498054504,0.0125330165,-9.999337947368621,0.0003,98.38753796815872,0.2,0.120263671875,0.7497769594192505,-0.03401871983951423,260,27.282367706298828,596.8,555.9472058300947
465,-70.15160168,118,55296,27,86.25,,,,,,,,,,,,,
473,-80.03429607999999,121,57344,28,98.79,0.8300628066062927,0.016853767,-9.905332669615746,0.0003,53.014193481206895,0.2,0.175146484375,0.8607748448848724,-0.04138080270495266,270,12.023990631103516,,
481,-94.6781798,123,59392,29,117.52,0.8205118179321289,0.0140848635,-9.809473526477813,0.0003,46.05512282848358,0.2,0.164697265625,0.884215958416462,-0.03739633674558718,280,24.611740112304688,,
,,,60000,,,0.8153712749481201,0.013173844,-9.739029383659362,0.0003,79.90156670212745,0.2,0.15625,0.8132344782352448,-0.03693288812064566,290,28.50090789794922,797.0,645.256434387232
503,-90.58917753999998,121,61440,30,116.03,,,,,,,,,,,,,
511,-82.92752286000001,124,63488,31,108.87,0.8068346977233887,0.014578065,-9.667171558737754,0.0003,75.89770067930222,0.2,0.17119140625,0.8742825537919998,-0.041518236670526676,300,45.07860565185547,,
,,,65000,,,0.8021851778030396,0.013250018,-9.604625850915909,0.0003,110.30442597866059,0.2,0.147119140625,0.7958446890115738,-0.039312495218473485,310,39.55824279785156,719.6,530.7653536090675
532,-51.07214340999999,123,65536,32,71.61,,,,,,,,,,,,,
540,-39.79140112,124,67584,33,55.27,0.7979021668434143,0.01309656,-9.560948884487152,0.0003,144.6720494031906,0.2,0.14921875,0.7682488560676575,-0.03830905664945021,320,52.13858413696289,,
547,-45.81190167999999,127,69632,34,64.15,0.797111451625824,0.0141958725,-9.537231129407882,0.0003,128.64618093967437,0.2,0.15576171875,0.6115266382694244,-0.04172474549413892,330,73.9405746459961,,
,,,70000,,,0.7907336950302124,0.015038131,-9.498254570364953,0.0003,118.24204033613205,0.2,0.17666015625,0.764536589384079,-0.04652790555846877,340,54.473140716552734,242.5,203.15871873165014
559,-47.00278992999999,128,71680,35,66.04,,,,,,,,,,,,,
568,-51.85402629,129,73728,36,73.52,0.7846719622612,0.014930215,-9.435570320487022,0.0003,110.32965672016144,0.2,0.176416015625,0.7711150199174881,-0.04297815619211178,350,74.84150695800781,,
,,,75000,,,0.7791624069213867,0.017251503,-9.377441874146461,0.0003,99.60538755655288,0.2,0.200390625,0.7978922873735428,-0.04354169805010315,360,46.53839111328125,360.5,367.92171683233755
583,-58.73363555,129,75776,37,85.81,,,,,,,,,,,,,
592,-58.0392827,131,77824,38,84.24,0.7736822962760925,0.017674139,-9.317214587330819,0.0003,63.67181640267372,0.2,0.216650390625,0.8497059196233749,-0.04944486901804339,370,16.917041778564453,,
599,-42.74554244,133,79872,39,67.72,0.7672173380851746,0.017613612,-9.25398770570755,0.0003,109.88131865262986,0.2,0.196044921875,0.7155846655368805,-0.049886060142307544,380,55.898902893066406,,
,,,80000,,,0.7645946741104126,0.013667241,-9.211887866258621,0.0003,134.39072992801667,0.2,0.161474609375,0.49527692794799805,-0.045282182403025215,390,64.28462982177734,97.8,113.67684380937717
608,-25.570418979999996,134,81920,40,47.94,,,,,,,,,,,,,
615,-25.7517961,136,83968,41,45.12,0.7580608129501343,0.014984556,-9.16371063888073,0.0003,134.87910118103028,0.2,0.1806640625,0.2875237464904785,-0.04892738838098012,400,57.38203048706055,,
,,,85000,,,0.7565562725067139,0.017641319,-9.126759144663811,0.0003,116.93453139066696,0.2,0.1955078125,0.3164389133453369,-0.05242745236610062,410,60.5218391418457,148.8,118.76707460177423
626,-32.814041329999995,137,86016,42,53.16,,,,,,,,,,,,,
635,-41.66444818,138,88064,43,65.38,0.7524336576461792,0.017625045,-9.091168531775475,0.0003,84.7547314941883,0.2,0.205615234375,0.646001011133194,-0.04831170471152291,420,18.793455123901367,,
,,,90000,,,0.7461929321289062,0.020039974,-9.032489800453186,0.0003,75.88688780069351,0.2,0.2208984375,0.7904955446720123,-0.05301409284584224,430,34.319305419921875,151.3,143.1395140421111
646,-46.56372865999999,139,90112,44,76.55,,,,,,,,,,,,,
653,-49.21800005,140,92160,45,79.23,0.74260413646698,0.01906022,-8.984560066461563,0.0003,65.00404890775681,0.2,0.2123046875,0.8397102355957031,-0.0519853021716699,440,18.199296951293945,,
661,-62.49496148,142,94208,46,96.05,0.7366056442260742,0.017798193,-8.930549538135528,0.0003,122.97234601974488,0.2,0.195751953125,0.28502875566482544,-0.051016224455088376,450,65.09516143798828,,
,,,95000,,,0.7262270450592041,0.028181406,-8.833602499961852,0.0003,36.4554927945137,0.2,0.2892578125,0.669316828250885,-0.05772362793213688,460,10.245880126953125,136.7,105.01707804752513
700,-37.18154542,137,96256,47,56.17,,,,,,,,,,,,,
708,-40.39377467,138,98304,48,64.11,0.723838210105896,0.017784167,-8.773248997330665,0.0003,117.3058235168457,0.2,0.202734375,0.12083297967910767,-0.05140077201649547,470,37.30124282836914,,
,,,100000,,,0.7162880897521973,0.023222148,-8.712152382731437,0.0003,56.60133074522018,0.2,0.252099609375,0.8086685389280319,-0.05975807899085339,480,23.49764060974121,55.5,34.878307724976914
717,-31.654176169999996,139,100352,49,55.04,,,,,,,,,,,,,
725,-37.92067441,141,102400,50,64.8,0.711280882358551,0.021024954,-8.64654499590397,0.0003,58.73078174591065,0.2,0.243603515625,0.8628622889518738,-0.057781545340549204,490,36.8445930480957,,
