train/critic_loss,rollout/ep_len_mean,train/ent_coef,train/actor_loss,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef_loss,time/fps,time/episodes,time/time_elapsed,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.8885700702667236,92.5,0.9227306246757507,-13.057626724243164,-41.5853765,370,-1.0761499404907227,114,4,3,0.0003,269,,
2.881134033203125,68.75,0.8743197917938232,-15.242654800415039,-29.786843125,550,-1.7946443557739258,105,8,5,0.0003,449,,
1.3435558080673218,59.833333333333336,0.8315401077270508,-17.63414764404297,-25.876489833333334,718,-2.4424543380737305,99,12,7,0.0003,617,,
1.5390520095825195,62.1875,0.7657493352890015,-20.775150299072266,-27.006073375,995,-3.502948760986328,96,16,10,0.0003,894,,
2.0103955268859863,116.15,0.5211611390113831,-31.116371154785156,-61.53377355,2323,-7.88376522064209,95,20,24,0.0003,2222,,
3.824179172515869,152.04166666666666,0.356643408536911,-33.25003433227539,-84.93313741666667,3649,-11.572912216186523,95,24,38,0.0003,3548,,
3.8613457679748535,145.0,0.3171161711215973,-34.64557647705078,-82.51338299999999,4060,-12.717897415161133,96,28,42,0.0003,3959,,
4.303073883056641,,0.2433985024690628,-34.457698822021484,,5000,-14.09372329711914,,,,0.0003,4899,284.1,-52.99418740806577
3.6345770359039307,162.5,0.23036733269691467,-34.84211349487305,-94.0909715,5200,-14.141339302062988,91,32,56,0.0003,5099,,
4.65692663192749,159.25,0.19872735440731049,-32.374393463134766,-92.46802741666666,5733,-15.512998580932617,92,36,62,0.0003,5632,,
6.472928524017334,153.75,0.1769472062587738,-31.7027530670166,-89.16598760000001,6150,-15.943918228149414,92,40,66,0.0003,6049,,
4.495879173278809,168.04545454545453,0.12574347853660583,-28.264678955078125,-96.27600379545456,7394,-17.038650512695312,94,44,78,0.0003,7293,,
3.8828392028808594,177.91666666666666,0.09240648150444031,-25.225337982177734,-100.9513225,8540,-16.121232986450195,94,48,90,0.0003,8439,,
3.5955262184143066,168.26923076923077,0.08740896731615067,-24.944053649902344,-94.51679746153847,8750,-17.54754638671875,94,52,92,0.0003,8649,,
3.8835229873657227,163.33928571428572,0.07882043719291687,-22.82654571533203,-90.90645898214287,9147,-15.699170112609863,94,56,96,0.0003,9046,,
3.9281954765319824,,0.06339766085147858,-22.009689331054688,,10000,-14.734705924987793,,,,0.0003,9899,280.5,-60.9146372722782
3.351806163787842,171.53333333333333,0.058911122381687164,-20.89556884765625,-94.67671455,10292,-15.654123306274414,92,60,111,0.0003,10191,,
4.144814491271973,179.234375,0.04414050281047821,-18.656673431396484,-95.76843428125,11471,-13.245651245117188,92,64,123,0.0003,11370,,
