time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
4,757.75,106,0.001,28,3031,-5.545227590799332,3000,-943.6914042500001,0.08689224461372942,,
,,,0.001,,5000,-5.892989941596985,4031,,0.17991568272188305,-2149.0311028318597,1000.0
8,756.25,74,0.001,80,6050,-5.8917327637672425,6031,-1342.75567025,0.25201400262117385,,
12,597.0,78,0.001,91,7164,-7.837173681992751,7118,-950.0124833333334,0.6298517034603999,,
16,512.4375,79,0.001,102,8199,-7.274658603668213,8185,-799.47752225,1.086398479729891,,
20,414.35,80,0.001,103,8287,-8.241219600041708,8259,-649.4924582,0.878524531920751,,
,,,0.001,,10000,-7.024946514129638,9330,,1.2043071615099907,-162.85446535326773,377.5
24,430.4166666666667,83,,124,10330,,,-583.1771220416666,,,
28,511.7857142857143,86,0.001,165,14330,-4.938254770278931,13330,-537.0717297142858,1.1256868611872197,,
,,,0.001,,15000,-4.833472212791443,14330,,1.4137627613544463,397.6620191831724,901.0
32,572.8125,82,0.001,222,18330,-5.516073627948761,17330,-405.86803121875,1.019253093957901,,
,,,0.001,,20000,-6.16600146818161,19330,,0.7581736611425877,650.8345980825194,1000.0
36,620.2777777777778,78,0.001,283,22330,-7.253262335777283,21330,-286.06201308333334,0.6559720198214054,,
,,,0.001,,25000,-8.947939922332763,24330,,0.5310825114250183,876.1419349767384,1000.0
40,658.25,75,0.001,346,26330,-9.560315588951111,25330,-178.3386903,0.5410706987082958,,
,,,0.001,,30000,-11.909325954437255,29330,,0.5002489212155342,774.3397639533505,1000.0
44,689.3181818181819,74,,407,30330,,,-94.76240315909094,,,
48,715.2083333333334,77,0.001,445,34330,-14.825967639923096,33330,-21.22886070833334,0.4210582883656025,,
,,,0.001,,35000,-15.668051563262939,34330,,0.4009008752256632,792.7527414086275,1000.0
52,737.1153846153846,75,0.001,507,38330,-17.893087718963624,37330,42.21029219230768,0.4017460197210312,,
,,,0.001,,40000,-19.38554299736023,39330,,0.3803809916228056,839.1178139872849,1000.0
56,755.8928571428571,74,0.001,570,42330,-20.880910205841065,41330,99.50326717857142,0.37997239562869073,,
,,,0.001,,45000,-23.08233978652954,44330,,0.3650009315162897,851.6606095131486,1000.0
60,772.1666666666666,73,0.001,628,46330,-23.722368476867675,45330,149.19990245,0.38280335272848603,,
,,,0.001,,50000,-26.149605850219725,49330,,0.34938511364161967,823.2816024441272,1000.0
64,786.40625,72,,689,50330,,,193.17657540624998,,,
68,798.9705882352941,74,0.001,728,54330,-28.460922702789308,53330,232.9363316470588,0.33498422004282474,,
,,,0.001,,55000,-29.06619910812378,54330,,0.3301231074631214,888.8761774093844,1000.0
72,810.1388888888889,74,0.001,788,58330,-30.889314807891846,57330,267.8506803611111,0.3101765142083168,,
,,,0.001,,60000,-32.08362007522583,59330,,0.3064739092588425,876.7977116008522,1000.0
76,820.1315789473684,73,0.001,847,62330,-33.07525937271118,61330,300.38597893421047,0.312168106213212,,
,,,0.001,,65000,-34.83220542144775,64330,,0.30317138791829346,885.7604197910638,1000.0
80,829.125,73,0.001,907,66330,-35.356527137756345,65330,330.40133775,0.2968567365780473,,
,,,0.001,,70000,-37.401801025390625,69330,,0.28881204957515,896.5352021463216,1000.0
84,837.2619047619048,74,,940,70330,,,357.0212652380952,,,
88,844.6590909090909,77,0.001,961,74330,-39.15441705322266,73330,381.9467050568182,0.30705740221589806,,
,,,0.001,,75000,-39.56764382171631,74330,,0.3069858736023307,905.6892122749239,1000.0
92,851.4130434782609,78,0.001,993,78330,-40.808650680541994,77330,405.06893613043474,0.2963755704760552,,
,,,0.001,,80000,-41.59363095855713,79330,,0.2859678356274962,864.9417583776637,1000.0
96,857.6041666666666,80,0.001,1024,82330,-42.243852020263674,81330,425.4237328020833,0.29397283531725404,,
,,,0.001,,85000,-43.33191292572022,84330,,0.28963453651219606,917.0588252097368,1000.0
100,863.3,81,0.001,1054,86330,-43.64601298522949,85330,445.33625559999996,0.27064087802171705,,
,,,0.001,,90000,-44.96871831512451,89330,,0.25908410938084125,928.3487747646868,1000.0
104,872.99,83,,1086,90330,,,519.71065285,,,
108,882.8,85,0.001,1107,94330,-46.183877517700196,93330,625.77830558,0.26434226185083387,,
,,,0.001,,95000,-46.58396295928955,94330,,0.2626803762614727,887.6572245012969,1000.0
112,911.66,86,0.001,1137,98330,-47.361683647155765,97330,668.9570041599999,0.2610248602479696,,
,,,0.001,,100000,-47.957547538757325,99330,,0.28084214095771315,883.0004582047462,1000.0
116,941.31,87,0.001,1167,102330,-48.47833027648926,101330,718.99113933,0.27208585614711045,,
,,,0.001,,105000,-49.19439436340332,104330,,0.258337129317224,917.0474017255008,1000.0
120,980.43,88,0.001,1197,106330,-49.46419770050049,105330,757.0119114200002,0.25019685719907286,,
,,,0.001,,110000,-50.314987869262694,109330,,0.24303731258958577,905.5829585749656,1000.0
124,1000.0,89,,1226,110330,,,803.2705384799999,,,
128,1000.0,91,0.001,1248,114330,-51.26702200317383,113330,850.9030888100002,0.23839897499978543,,
,,,0.001,,115000,-51.387491539001466,114330,,0.25389893689006565,950.6211638256907,1000.0
132,1000.0,92,0.001,1277,118330,-52.17225492858887,117330,867.8396466099999,0.2547412257194519,,
,,,0.001,,120000,-52.57616467285156,119330,,0.2347947114408016,834.1114775069058,1000.0
136,1000.0,93,0.001,1307,122330,-52.90357421875,121330,875.12979116,0.2250962923914194,,
,,,0.001,,125000,-53.48345478820801,124330,,0.2528627862036228,861.6256242219358,1000.0
140,1000.0,94,0.001,1337,126330,-53.640160552978514,125330,880.30691158,0.2305613871663809,,
,,,0.001,,130000,-54.28867715454101,129330,,0.226469741307199,838.9011034891009,1000.0
144,1000.0,95,,1367,130330,,,886.15918275,,,
148,1000.0,96,0.001,1389,134330,-55.001757690429685,133330,892.6142654,0.20240104749798773,,
,,,0.001,,135000,-55.180650596618655,134330,,0.21206701572984457,954.6388211369515,1000.0
152,1000.0,97,0.001,1418,138330,-55.61112260437012,137330,898.7327315900001,0.23460917047038674,,
,,,0.001,,140000,-55.92597746276856,139330,,0.21154446006566285,950.4519347153604,1000.0
156,1000.0,98,0.001,1449,142330,-56.23851216125488,141330,902.85912704,0.21882789869606495,,
,,,0.001,,145000,-56.53606053161621,144330,,0.21966803101450205,952.2825321659445,1000.0
160,1000.0,98,0.001,1479,146330,-56.61512281036377,145330,904.58397598,0.21898630089312793,,
,,,0.001,,150000,-57.02598265075684,149330,,0.22002115259319543,957.1124353252351,1000.0
164,1000.0,99,,1509,150330,,,907.0990443100001,,,
168,1000.0,100,0.001,1530,154330,-57.40968423461914,153330,910.19067041,0.22657411915808917,,
,,,0.001,,155000,-57.48749607849121,154330,,0.21483318766951562,956.9175927840173,1000.0
172,1000.0,101,0.001,1561,158330,-57.72375619506836,157330,914.1844662100001,0.2207906861230731,,
