rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
763.75,0.1350991978943348,4,0.001,-1274.9585865,13,3055,224,-2.3016749078072607,2000,,
,0.4165877372579416,,0.001,,,5000,,-2.139529386535287,4256,-1107.7415996365248,422.8
788.875,0.6929539621472359,8,0.001,-1681.880269875,39,6311,159,-1.3117244421131908,5256,,
781.5833333333334,1.048161058303188,12,0.001,-1464.4302962499999,58,9379,159,0.35500291009050083,8324,,
,1.6907085846382308,,0.001,,,10000,,0.553700316910246,9855,1.3332956256112083,653.6
692.4375,1.2455194398414258,16,0.001,-1109.950075625,78,11079,141,0.8540274200230014,10285,,
710.1,1.2129216666817666,20,0.001,-879.15374675,96,14202,147,-3.6866335183382035,13147,,
,1.1129534826278686,,0.001,,,15000,,-2.983740931212902,14147,71.86208378800366,728.0
737.2083333333334,1.0060827960669994,24,0.001,-727.6175562916666,129,17693,136,-4.928096154212952,17147,,
,1.1631017642617225,,0.001,,,20000,,-6.181092127799988,19663,416.7242260044935,1000.0
739.9285714285714,,28,,-587.3748434642856,158,20718,130,,,,
772.4375,0.9423935728073121,32,0.001,-448.04340090625,183,24718,134,-9.55556707572937,23663,,
,0.9755864885449409,,0.001,,,25000,,-10.296410643577575,24663,523.902785665334,1000.0
797.7222222222222,0.9447206023931504,36,0.001,-328.6223858611111,220,28718,130,-12.650593658447265,27663,,
,0.9124636955857277,,0.001,,,30000,,-14.124574167251588,29663,692.9460592506541,1000.0
817.95,0.9540846544802188,40,0.001,-228.681404225,256,32718,127,-15.397691097259521,31663,,
,1.032574623644352,,0.001,,,35000,,-17.021409212112427,34663,679.1701732581307,1000.0
834.5,1.0608624281883239,44,0.001,-153.64053909090907,294,36718,124,-17.09503347015381,35663,,
828.7083333333334,1.0933491114377976,48,0.001,-90.48261220833335,313,39778,126,-19.326393493652343,38723,,
,1.0339551852345468,,0.001,,,40000,,-19.978474229812623,39723,593.8718164030928,1000.0
841.8846153846154,1.0304593672156335,52,0.001,-44.93838411538463,352,43778,124,-21.801128364562988,42723,,
,1.0470429619550705,,0.001,,,45000,,-22.526194896697998,44723,702.9923484373954,1000.0
853.1785714285714,1.0640477920770646,56,0.001,12.923783821428556,389,47778,122,-23.605459842681885,46723,,
,1.1041871832609176,,0.001,,,50000,,-24.657344890594484,49723,567.4226455014898,908.0
862.9666666666667,1.1839844771027566,60,0.001,24.125920699999984,426,51778,121,-24.59975326156616,50723,,
856.21875,1.2108174062371253,64,0.001,42.411076015625,445,54798,122,-26.10786775970459,53743,,
,1.2963474264144899,,0.001,,,55000,,-25.71006103897095,54743,573.3571831043344,808.3
864.6764705882352,1.2201329417824744,68,0.001,89.94357698529411,480,58798,122,-27.256207332611083,57743,,
,1.2086456078429555,,0.001,,,60000,,-28.24182656753895,59841,520.2234881076031,901.3
845.7777777777778,,72,,107.82815188888888,504,60896,120,,,,
853.8947368421053,1.3571110153794288,76,0.001,124.30140867105263,529,64896,122,-28.779312198638916,63841,,
,1.3532031638622284,,0.001,,,65000,,-29.193585788726807,64841,887.6240050441935,1000.0
861.2,1.2962369520664214,80,0.001,163.6543852125,565,68896,121,-30.71608387374878,67841,,
,1.251023030102253,,0.001,,,70000,,-31.882383350372315,69841,891.6489284684416,1000.0
867.8095238095239,1.2375435889959336,84,0.001,196.1149818095238,601,72896,121,-32.336237979888914,71841,,
,1.2374823349118234,,0.001,,,75000,,-33.81337933731079,74841,900.8329412196297,1000.0
873.8181818181819,1.2818966837525367,88,0.001,231.64654493181817,636,76896,120,-34.37541202163696,75841,,
,1.3097708361148834,,0.001,,,80000,,-36.4854248046875,79841,960.4267330805709,903.7
879.304347826087,,92,,266.0927628260869,668,80896,120,,,,
874.1979166666666,1.3265134840607644,96,0.001,287.39222376041664,690,83923,121,-38.81143137359619,83841,,
,1.482793103635311,,0.001,,,85000,,-39.2332646484375,84868,1067.911721865309,1000.0
879.23,1.3828659115433692,100,0.001,308.48586823,718,87923,122,-39.4819444732666,86868,,
,1.45496807295084,,0.001,,,90000,,-40.9757604675293,89868,1074.2240805867768,1000.0
888.68,1.4442099841833114,104,0.001,404.00597488999995,753,91923,122,-41.76252944183349,90868,,
,1.471253919005394,,0.001,,,95000,,-43.9300164642334,94868,1240.791805345833,946.3
896.12,,108,,539.57430684,785,95923,122,,,,
892.28,1.5521521059093097,112,0.001,614.64966748,805,98607,122,-46.12334923396837,98472,,
,1.688075384914875,,0.001,,,100000,,-46.6741947555542,99571,743.125384010002,691.3
905.47,2.033990208506584,116,0.001,660.97697114,826,101626,122,-47.28150249481201,100571,,
,2.172879267334938,,0.001,,,105000,,-49.12009873199463,104571,1462.571324183425,1000.0
914.24,,120,,696.9072685599998,858,105626,123,,,,
919.33,2.3811693152189255,124,0.001,750.3420507100001,881,109626,124,-51.37886413574219,108571,,
,2.367382281422615,,0.001,,,110000,,-51.518668334960935,109571,891.8763370127475,794.7
929.08,2.7035256901979445,128,0.001,787.3021501300001,914,113626,124,-52.599813926696775,112571,,
,2.9435231453180313,,0.001,,,115000,,-53.59682730102539,114571,1043.7961435542063,924.6
929.08,3.0761699203252793,132,0.001,808.67633543,949,117626,123,-54.2438014831543,116571,,
,3.4848274276256563,,0.001,,,120000,,-55.666712341308596,119622,1448.8080467526568,907.8
919.59,,136,,821.7072799000001,977,120677,123,,,,
908.63,3.8102981444597246,140,0.001,837.35171166,999,123581,123,-58.01289334869385,123332,,
,3.730012143611908,,0.001,,,125000,,-58.59636262512207,124526,1678.645256643917,1000.0
908.63,4.13448088991642,144,0.001,878.4135263600001,1031,127581,123,-59.98975635528564,126526,,
,4.241043198823929,,0.001,,,130000,,-61.448939643859866,129213,1215.6602264351445,877.5
914.65,4.4253886109132035,148,0.001,923.2330555700001,1063,131243,123,-61.89189051018386,130188,,
,4.652768298625946,,0.001,,,135000,,-64.82056170654297,134188,605.8195080507314,901.9
914.65,,152,,970.9888225,1097,135243,123,,,,
914.65,4.855397008657455,156,0.001,1004.9533779900001,1121,139243,124,-66.5272170715332,138188,,
,4.92171125626564,,0.001,,,140000,,-67.24123034667969,139188,832.8786290412885,929.6
914.65,5.334842386245728,160,0.001,1067.2533163199998,1155,143243,123,-69.18029845428467,142188,,
,5.269178762360024,,0.001,,,145000,,-70.78793913252811,144565,1833.7597847758066,989.7
918.22,5.5239493856430055,164,0.001,1103.0213468499999,1188,146620,123,-70.96852947235108,145565,,
908.3,5.9570361199378965,168,0.001,1109.32257497,1206,149628,123,-72.35332347106933,148573,,
,6.0610967600345615,,0.001,,,150000,,-72.7716309967041,149573,1613.1780572039775,1000.0
