rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
46.5,85,1,169,4,0.975020170211792,0.0003,-26.0835685,2.8679311275482178,186,-0.33953338861465454,-10.642083168029785,,
188.875,1410,17,84,8,0.6564038395881653,0.0003,-78.01249462499999,1.114445447921753,1511,-5.476012706756592,-25.029041290283203,,
303.6666666666667,3543,45,79,12,0.3512440323829651,0.0003,-135.45568441666668,1.9530994892120361,3644,-12.727065086364746,-35.85908508300781,,
,4899,,,,0.2374180555343628,0.0003,,2.279254913330078,5000,-16.457763671875,-36.021644592285156,-160.0640074994182,714.8
363.0,5707,86,67,16,0.18821173906326294,0.0003,-165.46722275000002,2.1682486534118652,5808,-18.43633270263672,-36.245662689208984,,
396.1,7821,113,69,20,0.10322374105453491,0.0003,-182.0166584,1.7272858619689941,7922,-22.031280517578125,-30.667034149169922,,
,9899,,,,0.05795223265886307,0.0003,,1.6286567449569702,10000,-23.014720916748047,-24.776777267456055,-23.459715619543566,637.9
421.5833333333333,10017,153,65,24,0.05612071603536606,0.0003,-181.23741587499998,1.2771642208099365,10118,-24.203514099121094,-25.262306213378906,,
452.64285714285717,12573,186,67,28,0.028545986860990524,0.0003,-158.63824071428567,1.4959831237792969,12674,-19.442007064819336,-19.89175796508789,,
,14899,,,,0.016718968749046326,0.0003,,1.0790989398956299,15000,-11.084615707397461,-18.571861267089844,618.259914374596,1000.0
521.0625,16573,255,65,32,0.013139305636286736,0.0003,-77.85867365624999,0.8911265134811401,16674,-2.508364200592041,-19.106111526489258,,
,19899,,,,0.0159833375364542,0.0003,,0.7316334247589111,20000,-0.7807668447494507,-22.024799346923828,831.5029031085083,1000.0
574.2777777777778,20573,325,63,36,0.01704937219619751,0.0003,16.300372444444456,0.5654687881469727,20674,-0.025041252374649048,-23.339872360229492,,
616.85,24573,375,65,40,0.02062389999628067,0.0003,97.151483125,0.41473984718322754,24674,0.7755550146102905,-29.07195281982422,,
,24899,,,,0.02094956859946251,0.0003,,0.36081668734550476,25000,-1.1381163597106934,-30.040245056152344,887.7600660655647,1000.0
651.6818181818181,28573,445,64,44,0.02103336714208126,0.0003,140.71641095454544,0.6279969215393066,28674,0.8444187641143799,-34.74903106689453,,
,29899,,,,0.021713126450777054,0.0003,,0.5801593065261841,30000,-0.10157212615013123,-34.90514373779297,606.1110741427467,813.8
680.7083333333334,32573,512,63,48,0.02232603169977665,0.0003,199.4464641666667,0.5068027973175049,32674,1.5104081630706787,-38.61227035522461,,
,34899,,,,0.022910121828317642,0.0003,,0.3252806067466736,35000,0.4188040494918823,-40.461387634277344,719.7356683396276,901.8
705.2692307692307,36573,579,63,52,0.023585239425301552,0.0003,247.33597151923078,0.4539187252521515,36674,-0.35076987743377686,-42.117801666259766,,
709.0535714285714,39606,618,64,56,0.02444632537662983,0.0003,259.0665879107143,0.5704516768455505,39707,-0.29435083270072937,-44.382102966308594,,
,39899,,,,0.023830972611904144,0.0003,,0.6794356107711792,40000,-0.532892107963562,-43.73412322998047,244.1986132414764,456.8
707.7666666666667,42365,661,64,60,0.022498857229948044,0.0003,247.97411058333333,0.5578616857528687,42466,0.0005472302436828613,-44.386940002441406,,
,44899,,,,0.02231012098491192,0.0003,,0.734797477722168,45000,-0.6093600988388062,-44.245330810546875,882.3752025468508,1000.0
726.03125,46365,731,63,64,0.0215362049639225,0.0003,276.549413765625,0.5817081332206726,46466,-0.05267781764268875,-44.010963439941406,,
,49899,,,,0.02094106376171112,0.0003,,0.44723135232925415,50000,-0.22000515460968018,-47.28584289550781,903.7423842164687,1000.0
742.1470588235294,50365,799,63,68,0.0211739931255579,0.0003,311.2167718088235,0.5422044992446899,50466,0.4801729917526245,-46.89325714111328,,
756.4722222222222,54365,849,64,72,0.021082429215312004,0.0003,342.50892606944444,0.49364641308784485,54466,-0.8042304515838623,-49.82612991333008,,
,54899,,,,0.021315664052963257,0.0003,,0.48486268520355225,55000,0.4017312526702881,-47.871681213378906,913.747008857131,1000.0
769.2894736842105,58365,919,63,76,0.021242238581180573,0.0003,370.7457218552631,0.4202095568180084,58466,0.07499396800994873,-52.39291000366211,,
,59899,,,,0.02180570363998413,0.0003,,0.29440248012542725,60000,-1.008430004119873,-53.906455993652344,924.6793232759461,1000.0
780.825,62365,988,63,80,0.02192983590066433,0.0003,396.07390065,0.45190998911857605,62466,0.4134722948074341,-53.746307373046875,,
,64899,,,,0.022144082933664322,0.0003,,0.37556928396224976,65000,-0.471568763256073,-54.10466384887695,810.415757083107,907.7
791.2619047619048,66365,1057,62,84,0.022174207493662834,0.0003,417.94810100000007,0.2735644578933716,66466,-0.7490902543067932,-56.07697296142578,,
,69899,,,,0.02228563465178013,0.0003,,0.3419104218482971,70000,1.0924923419952393,-56.86805725097656,868.258932661917,1000.0
800.75,70365,1125,62,88,0.021754065528512,0.0003,435.91146446590915,0.2685166895389557,70466,0.6769667863845825,-59.42597961425781,,
809.4130434782609,74365,1176,63,92,0.02087763138115406,0.0003,429.97441706521744,0.40403634309768677,74466,1.0393731594085693,-59.212867736816406,,
,74899,,,,0.020451489835977554,0.0003,,0.5688715577125549,75000,-0.1263064444065094,-57.912750244140625,619.9609223390114,803.6
808.4791666666666,77513,1231,63,96,0.02065916545689106,0.0003,437.27839640625007,0.47990554571151733,77614,-0.16021177172660828,-58.746585845947266,,
,79899,,,,0.021674945950508118,0.0003,,0.5860031843185425,80000,0.12931960821151733,-58.107421875,918.9607733075042,1000.0
816.14,81513,1300,62,100,0.0210590697824955,0.0003,453.8368348200001,0.2661525309085846,81614,-0.1520964801311493,-60.12377166748047,,
,84899,,,,0.02173791080713272,0.0003,,0.5026736855506897,85000,-0.7847330570220947,-59.65684127807617,934.5474722065031,1000.0
854.28,85513,1370,62,104,0.021541500464081764,0.0003,489.84528673000005,0.37083959579467773,85614,-0.6093368530273438,-59.220481872558594,,
881.03,89513,1422,63,108,0.02171444147825241,0.0003,529.4174024,0.363336443901062,89614,-0.0463581383228302,-59.75623321533203,,
,89899,,,,0.021037163212895393,0.0003,,0.2515307068824768,90000,0.9730974435806274,-61.470306396484375,926.6675209876615,1000.0
899.7,93513,1544,60,112,0.021211644634604454,0.0003,574.65121056,0.4374033212661743,93614,0.35085320472717285,-60.30834197998047,,
,94899,,,,0.02062913589179516,0.0003,,0.3713088035583496,95000,-0.1792573183774948,-61.30392074584961,917.5258285413496,1000.0
918.06,97513,1656,58,116,0.0207815058529377,0.0003,619.92393943,0.23429365456104279,97614,-0.9229252934455872,-62.74549102783203,,
,99899,,,,0.020098211243748665,0.0003,,0.255900502204895,100000,-0.12428055703639984,-63.30586242675781,726.0075438682921,804.5
927.0,100521,1744,57,120,0.020355192944407463,0.0003,656.0239065000001,0.32669195532798767,100622,0.11367002129554749,-61.29627990722656,,
945.04,104521,1828,57,124,0.019882608205080032,0.0003,698.0800304100001,0.3125004172325134,104622,0.10520952939987183,-62.670631408691406,,
,104899,,,,0.019025893881917,0.0003,,0.48738911747932434,105000,-2.4859986305236816,-62.846580505371094,646.4273998602177,813.0
939.15,106488,1895,56,128,0.01945318840444088,0.0003,707.0165216599999,0.42332494258880615,106589,0.17755171656608582,-63.95123291015625,,
,109899,,,,0.01913795806467533,0.0003,,0.5158435106277466,110000,-0.0005426406860351562,-62.429725646972656,703.5996997119976,908.2
939.15,110488,2010,55,132,0.018637560307979584,0.0003,721.1334315500001,0.8169550895690918,110589,0.6611760258674622,-62.729373931884766,,
929.96,113569,2062,55,136,0.019270990043878555,0.0003,717.1450047199999,0.4681245684623718,113670,0.7737963199615479,-63.10189437866211,,
,114899,,,,0.019623108208179474,0.0003,,0.6409080028533936,115000,-0.28977644443511963,-63.63412857055664,927.9976040533744,1000.0
929.96,117569,2131,55,140,0.01932438462972641,0.0003,719.1644351900001,0.39094382524490356,117670,-0.06534141302108765,-64.42791748046875,,
,119899,,,,0.019129810854792595,0.0003,,0.33171650767326355,120000,-2.169281244277954,-64.38343811035156,917.2781980044674,1000.0
929.96,121569,2200,55,144,0.018968278542160988,0.0003,724.96094152,0.2223881334066391,121670,0.5000571012496948,-65.31785583496094,,
,124899,,,,0.01867496222257614,0.0003,,0.3499833643436432,125000,1.0647342205047607,-64.3553466796875,853.9642730033025,902.7
929.96,125569,2267,55,148,0.019406000152230263,0.0003,726.3054126699999,0.27087265253067017,125670,0.240756094455719,-65.37008666992188,,
920.74,128647,2306,55,152,0.01901060901582241,0.0003,713.0352102500001,0.3365846276283264,128748,0.5967786312103271,-65.36370086669922,,
,129899,,,,0.018950093537569046,0.0003,,0.24114757776260376,130000,1.688922643661499,-64.89297485351562,830.5567765098065,903.0
930.41,132647,2371,55,156,0.018783176317811012,0.0003,731.7090717300001,0.29286640882492065,132748,-0.2930554747581482,-65.86861419677734,,
,134899,,,,0.01836121827363968,0.0003,,0.36092305183410645,135000,0.8938394784927368,-65.60697937011719,941.8838007621234,1000.0
942.82,136647,2437,56,160,0.01834425888955593,0.0003,763.1620271400002,0.2893831133842468,136748,-0.5071184039115906,-65.52869415283203,,
,139899,,,,0.018438691273331642,0.0003,,0.3526669442653656,140000,0.5055224299430847,-66.66572570800781,945.4549024844542,1000.0
942.82,140647,2504,56,164,0.01777249574661255,0.0003,770.4860148399999,0.12450561672449112,140748,0.16229835152626038,-66.91153717041016,,
942.82,144647,2553,56,168,0.017949001863598824,0.0003,771.3617056299997,0.28738880157470703,144748,0.29361769556999207,-66.71682739257812,,
,144899,,,,0.018145475536584854,0.0003,,0.23426328599452972,145000,-1.6926565170288086,-66.58216857910156,877.1664394613763,1000.0
942.82,148647,2621,56,172,0.017693914473056793,0.0003,770.97970502,0.1940685659646988,148748,0.5538336038589478,-67.92813110351562,,
,149899,,,,0.017527177929878235,0.0003,,0.17274786531925201,150000,-1.0510039329528809,-67.94991302490234,813.8391932217404,901.3
933.49,151714,2675,56,176,0.017369043081998825,0.0003,756.2865807299999,0.14375241100788116,151815,-1.391944169998169,-67.5343017578125,,
,154899,,,,0.017757494002580643,0.0003,,0.2954562306404114,155000,-0.40917089581489563,-67.95455932617188,841.1640332002659,907.4
933.49,155714,2740,56,180,0.018242301419377327,0.0003,756.5427897,0.23240332305431366,155815,0.0923425555229187,-67.35608673095703,,
933.49,159714,2790,57,184,0.01889781467616558,0.0003,757.5298353799999,0.2377009391784668,159815,-0.17475013434886932,-68.32471466064453,,
,159899,,,,0.018617548048496246,0.0003,,0.2346087098121643,160000,-0.15741465985774994,-68.07280731201172,803.8935408345424,911.3
933.49,163714,2855,57,188,0.018451757729053497,0.0003,760.4239852300002,0.15032923221588135,163815,0.3959386646747589,-69.26839447021484,,
,164899,,,,0.018318695947527885,0.0003,,0.2734852433204651,165000,0.30064719915390015,-68.068359375,921.4539141842542,1000.0
933.49,167714,2923,57,192,0.017935261130332947,0.0003,783.93884767,0.45095399022102356,167815,0.18534144759178162,-68.53816986083984,,
,169899,,,,0.018406860530376434,0.0003,,0.3311923146247864,170000,1.100522518157959,-68.70679473876953,670.072647652861,805.6
942.01,171714,2987,57,196,0.018264252692461014,0.0003,795.43151539,0.1557295024394989,171815,-0.5123490691184998,-68.99820709228516,,
,174899,,,,0.01833164505660534,0.0003,,0.19798290729522705,175000,0.7090868949890137,-69.96546936035156,934.3737649740185,1000.0
942.01,175714,3054,57,200,0.017910145223140717,0.0003,796.40769247,0.20659559965133667,175815,-0.9824605584144592,-69.222412109375,,
942.01,179714,3105,57,204,0.017719676718115807,0.0003,796.2711195300002,0.18543678522109985,179815,-0.033852070569992065,-69.50447845458984,,
,179899,,,,0.018019674345850945,0.0003,,0.2432613968849182,180000,-0.42263537645339966,-68.645263671875,925.5889385647431,1000.0
