rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
784.0,4,28,0.11044930999539793,0.001,3000,-1339.6851100000001,-0.2561340645514429,109,3136,,
,,,0.25190361028352937,0.001,4227,,-1.4165358848041958,,5000,1000.0,-479.5891999155283
659.375,8,66,0.1688028734959662,0.001,5227,-1052.656967875,-1.252915938347578,78,5275,,
611.8333333333334,12,86,0.5674713669401227,0.001,7308,-1028.4648481666668,-4.266055107116699,84,7342,,
464.625,16,87,2.0480008790126214,0.001,7423,-782.44197875,-4.013826920435979,84,7434,,
375.2,20,88,0.9324571026696099,0.001,7474,-633.0060822,-4.355725950664944,84,7504,,
398.3333333333333,24,100,1.0584640193283559,0.001,8560,-595.2583127500001,-3.3438566411733626,94,9560,,
,,,0.6884741505682468,0.001,9560,,-4.8271268339157105,,10000,266.8,-69.90249561137753
484.2857142857143,28,142,0.7181937806904316,0.001,12560,-492.7736229285715,-4.557181673765182,95,13560,,
,,,0.6974133034646511,0.001,14560,,-5.9848726115226745,,15000,1000.0,200.97462259493767
548.75,32,188,0.7846170085370541,0.001,16560,-366.59089825,-7.044655018806457,93,17560,,
,,,0.8601946056485176,0.001,19587,,-7.691349577903748,,20000,1000.0,553.474733957625
571.8611111111111,36,226,,,,-275.7658293888889,,90,20587,,
614.675,40,263,0.9552715182304382,0.001,23587,-211.74478915000003,-9.906213870048523,93,24587,,
,,,0.9718318283557892,0.001,24587,,-11.073204648971558,,25000,1000.0,470.77310096392466
649.7045454545455,44,317,0.9563082554936408,0.001,27587,-147.0384454545455,-12.622614101409912,90,28587,,
,,,0.9379876255989075,0.001,29587,,-14.713440418243408,,30000,1000.0,863.32333489187
678.8958333333334,48,375,0.7931711612045765,0.001,31587,-79.16687629166668,-16.727004161834717,86,32587,,
,,,0.7173312149345875,0.001,34587,,-18.74066468811035,,35000,1000.0,715.9601712300675
703.5961538461538,52,434,0.7119360427558422,0.001,35587,-21.17075923076925,-18.90009945678711,84,36587,,
708.8035714285714,56,465,0.884797774374485,0.001,38693,15.294260660714283,-21.1374291305542,85,39693,,
,,,0.9613501895964146,0.001,39693,,-21.818995697021485,,40000,870.3,566.1217180800566
728.2166666666667,60,518,0.7988188700377941,0.001,42693,59.25785666666666,-24.144700508117676,84,43693,,
,,,0.7733349448144435,0.001,44693,,-25.51471957015991,,45000,1000.0,815.1033764347667
745.203125,64,568,0.7924423709213734,0.001,46693,97.14368814062499,-26.81797333908081,83,47693,,
,,,0.8366036838889122,0.001,49693,,-28.67250532531738,,50000,1000.0,739.5553581389598
760.1911764705883,68,620,0.863585661649704,0.001,50693,137.77967833823527,-29.170052207946778,83,51693,,
,,,0.8686065266728401,0.001,54693,,-31.8122781829834,,55000,1000.0,678.1675993967859
773.5138888888889,72,678,,,,172.79812895833334,,82,55693,,
785.4342105263158,76,715,0.8766026146411896,0.001,58693,203.7468762105263,-33.86708695602417,83,59693,,
,,,0.866895569562912,0.001,59693,,-34.40293796920776,,60000,1000.0,755.8898386411608
796.1625,80,767,0.9442702189385891,0.001,62693,231.2381203125,-36.06499028015137,83,63693,,
,,,0.97738784968853,0.001,64693,,-37.21280836105347,,65000,1000.0,450.85672046477555
805.8690476190476,84,814,0.9443124238848686,0.001,66693,252.9996489880952,-38.37540567016602,83,67693,,
,,,0.9161262001097202,0.001,69693,,-39.97797235107422,,70000,1000.0,533.0526097480208
814.6931818181819,88,863,0.926177920371294,0.001,70693,272.0916037840909,-40.594589279174805,83,71693,,
,,,0.9330966539978981,0.001,74693,,-42.465615493774415,,75000,1000.0,1057.9157744414174
822.75,92,912,,,,301.3153010217391,,82,75693,,
