time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
3,1,2048,97.23809523809524,-100.20086476190478,671,,,,,,,,,,,,,
7,2,4096,89.93333333333334,-89.82092126666664,519,191.60043067932128,0.2,0.0003,0.012359779,-0.005634307861328125,-0.025849618151551113,30.818645477294922,0.9879598021507263,0.122705078125,10,-11.289881154894829,,
,,5000,,,,107.74902367591858,0.2,0.0003,0.014695569,-0.022171616554260254,-0.02861624774086522,31.268821716308594,0.9725164771080017,0.126904296875,20,-11.194071093201638,1000.0,996.7511176135391
22,3,6144,93.70769230769231,-95.60336804615386,277,,,,,,,,,,,,,
26,4,8192,99.05128205128206,-99.15239165384617,311,117.62282100915908,0.2,0.0003,0.010798909,0.017993509769439697,-0.02598729971650755,39.41750717163086,0.9646939039230347,0.08818359375,30,-11.100416058301926,,
,,10000,,,,124.16202048063278,0.2,0.0003,0.011668695,0.039117515087127686,-0.02824849772732705,39.40399932861328,0.9492092132568359,0.10478515625,40,-10.994583362340927,1000.0,1001.0324034930672
40,5,10240,102.94444444444444,-102.89287504444448,252,,,,,,,,,,,,,
45,6,12288,114.66,-113.38208388999999,272,115.14753881692886,0.2,0.0003,0.011681266,0.07504040002822876,-0.0282608254958177,31.037076950073242,0.9421733617782593,0.104833984375,50,-10.905787986516952,,
49,7,14336,117.05,-114.98748537000002,290,102.34487520456314,0.2,0.0003,0.01198066,0.14511626958847046,-0.029733569713425823,27.480318069458008,0.9347829818725586,0.11337890625,60,-10.847221904993058,,
,,15000,,,,137.46323971748353,0.2,0.0003,0.010657646,0.15125465393066406,-0.03194396329054143,84.9471664428711,0.9298927783966064,0.127880859375,70,-10.792567974328994,1000.0,996.92318430515
63,8,16384,136.27,-133.19413314999997,256,,,,,,,,,,,,,
68,9,18432,127.1,-123.86010351000003,270,159.57474148273468,0.2,0.0003,0.010418138,0.15398186445236206,-0.032024963811272754,77.65198516845703,0.9264735579490662,0.116357421875,80,-10.756579881906509,,
,,20000,,,,195.8287311553955,0.2,0.0003,0.009769363,0.25129276514053345,-0.02885090234922245,109.58588409423828,0.9196979999542236,0.0890625,90,-10.707974737882614,1000.0,937.8209564047341
82,10,20480,139.92,-135.1427386,248,,,,,,,,,,,,,
