train/actor_loss,train/critic_loss,time/episodes,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-1.3352402933984995,0.16269365029037,4,220,0.001,1000.0,4000,-1921.6156580000002,3000,18,,
-1.431601541382926,0.7568971175093984,,,0.001,,5000,,4065,,412.0,-938.4262551940977
-1.8967240019412712,0.4389408227428794,8,178,0.001,758.125,6065,-1500.84232325,5065,34,,
-1.7305377475862014,1.3636746034763827,12,179,0.001,705.9166666666666,8471,-1436.5070394166669,7471,47,,
0.8301769363552368,1.5355630242357068,16,164,0.001,553.8125,8861,-1110.57593325,8797,53,,
1.3840641219842624,1.5557630891522403,20,164,0.001,461.85,9237,-918.9767413999998,9221,56,,
1.745873497178157,1.3672230291366576,24,166,0.001,395.2916666666667,9487,-782.890795125,9373,57,,
2.774159073829651,1.8042083263397217,,,0.001,,10000,,9557,,237.0,-42.43302823290723
,,28,173,,377.0357142857143,10557,-686.7326311428571,,60,,
1.6553057350895621,1.8078017490250724,32,163,0.001,364.21875,11655,-607.6994813125,11620,71,,
2.3325861535735966,3.065907417183713,36,164,0.001,333.6111111111111,12010,-551.0101283611111,11976,73,,
3.9225274511746,2.098020080182192,40,175,0.001,363.45,14538,-520.6825933,13538,82,,
4.881394998488887,2.1260272208721407,,,0.001,,15000,,14848,,938.6,-149.47811430790162
5.074344598794285,2.1241039712474032,44,161,0.001,386.52272727272725,17007,-482.3548113636363,16007,105,,
3.4431355002596975,2.2193221282958984,,,0.001,,20000,,19007,,1000.0,396.93374514448226
3.0523390256762504,2.1422718195915222,48,153,0.001,437.6458333333333,21007,-408.2614612083333,20007,137,,
1.4226709454802864,1.5913730223973592,52,156,0.001,464.84615384615387,24172,-351.4675348076923,23172,154,,
1.1920759372059255,1.618479502737522,,,0.001,,25000,,24172,,1000.0,580.084964497891
-0.4537784368463326,1.2248206125497818,56,150,0.001,503.07142857142856,28172,-290.8007577857143,27172,187,,
-0.8018779802615754,1.1777705778479577,,,0.001,,30000,,29172,,1000.0,625.0818091242342
-2.1820959716858344,1.0506261481642722,60,143,0.001,536.2,32172,-231.26998831666666,31172,223,,
-4.464121167182922,0.9066635139584541,,,0.001,,35000,,34172,,1000.0,759.5805848891323
-5.1463087232112885,0.9252965976595878,64,139,0.001,565.1875,36172,-169.36561584375002,35172,259,,
-7.682248601913452,0.8708302357494832,,,0.001,,40000,,39172,,1000.0,733.9586528669577
,,68,136,,590.7647058823529,40172,-119.59972272058825,,294,,
-10.534549015045165,0.826292399674654,72,138,0.001,613.5,44172,-67.95638668055557,43172,319,,
-11.31506488418579,0.8555447466671466,,,0.001,,45000,,44172,,901.9,720.3785137402767
-13.724161752700805,0.8481453585624695,76,135,0.001,633.8421052631579,48172,-21.229271184210546,47172,354,,
-14.956162439346313,0.8811600347757339,,,0.001,,50000,,49172,,1000.0,821.5371166250203
-16.431066701889037,0.8727022712826729,80,133,0.001,652.15,52172,15.933367374999978,51172,390,,
-18.469940814971924,0.8893022550642491,,,0.001,,55000,,54172,,1000.0,833.5354364440311
-19.142302722930907,0.8949834979176521,84,131,0.001,668.7142857142857,56172,42.51366246428569,55172,426,,
-21.391962089538573,1.0185363880693912,,,0.001,,60000,,59172,,1000.0,820.0988170315744
,,88,129,,683.7727272727273,60172,76.5339980909091,,464,,
-23.483566593170167,1.0408530381023884,92,131,0.001,697.5217391304348,64172,108.23101813043478,63172,488,,
-24.311534355163573,1.0128209480941295,,,0.001,,65000,,64172,,1000.0,703.463775798137
-25.741772357940675,1.0277411410212516,96,130,0.001,710.125,68172,139.13375432291664,67172,523,,
-26.502580825805666,1.0463197405040263,,,0.001,,70000,,69172,,802.3,562.1896846471936
-26.905033241271973,1.0685962719917297,100,129,0.001,721.72,72172,153.51387824,71172,557,,
-28.178649349212648,1.0917642636299134,,,0.001,,75000,,74172,,803.8,641.1569196883123
-28.80699422836304,1.042632268846035,104,128,0.001,721.72,76172,252.73022774,75172,590,,
-30.699527282714843,1.0276136038899422,,,0.001,,80000,,79172,,1000.0,791.127179235738
,,108,127,,741.07,80172,328.61053157000003,,626,,
-32.5433324546814,1.0172804189324378,112,129,0.001,757.01,84172,409.7072825100001,83172,651,,
-32.51451301574707,1.0989298232793807,,,0.001,,85000,,84172,,1000.0,817.3162609629013
-33.272432247161866,1.0797472313642502,116,128,0.001,793.11,88172,446.40003904,87172,685,,
-34.0357811050415,1.034782031685114,,,0.001,,90000,,89172,,804.1,626.0991243473603
-34.96235227966309,1.0369751554131508,120,128,0.001,829.35,92172,487.3466176,91172,719,,
-36.323249504089354,0.9900071046054363,,,0.001,,95000,,94172,,905.4,724.6973906671686
-36.75792185974121,0.9693914907276631,124,127,0.001,866.85,96172,526.6650337300001,95172,754,,
-37.90822367858887,0.9930327112078666,128,128,0.001,886.3,99187,557.6425958699999,98187,772,,
-39.04963302612305,0.9034153573653277,,,0.001,,100000,,99204,,903.7,765.8043229592498
-38.938255226135254,0.95536967420578,132,127,0.001,905.49,102204,585.82386101,101204,800,,
-39.96390587615967,0.8977401696741582,,,0.001,,105000,,104204,,1000.0,806.6879745105282
-40.199082679748535,0.9383156075775624,136,127,0.001,941.94,106204,622.55436167,105204,836,,
-41.559047706604005,0.9327884911894798,,,0.001,,110000,,109204,,1000.0,864.6376382928808
,,140,126,,956.66,110204,667.1840588700002,,871,,
-42.66542195129394,0.9126501729786396,144,127,0.001,971.97,114204,706.9974512400003,113204,896,,
-43.00971990966797,0.9275589596927166,,,0.001,,115000,,114204,,1000.0,870.1992735749111
-43.86366264343262,0.9051366251409054,148,126,0.001,971.97,118204,726.0359250699998,117204,932,,
-44.5019881439209,0.8447338647246361,,,0.001,,120000,,119204,,1000.0,913.8978748065128
-45.057761695861814,0.8847899875640869,152,126,0.001,980.32,122204,749.2045852,121204,969,,
