time/episodes,time/fps,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,eval/mean_ep_length,eval/mean_reward
4,182,2000,0.9610970710515976,760.75,0.14800012870877982,16,3043,-1915.2772127499998,0.001,,
,,4000,2.8449324855804443,,0.11616184761747718,,5000,,0.001,1000.0,-2969.9805815935133
8,110,6000,4.836754082202911,880.375,0.422684917293489,63,7043,-2646.2026084999998,0.001,,
12,112,7464,7.285343025041663,708.9166666666666,0.6841259270906448,75,8507,-2103.8515484166664,0.001,,
16,107,9535,9.622924151420593,599.9375,0.6845212405323983,89,9599,-1666.30601075,0.001,,
,,9814,10.7409823008946,,1.1057203221235343,,10000,,0.001,982.3,-304.18055106925567
20,101,,,542.85,,106,10857,-1418.6034808500003,,,
24,108,13629,16.17536736237622,611.3333333333334,1.2828886542583535,135,14672,-1331.879535,0.001,,
,,14629,17.219492149353027,,1.2114124613404273,,15000,,0.001,240.4,5.263995202752994
28,104,16283,19.732965352242452,586.0714285714286,1.7164357730693984,157,16410,-1189.7805216428571,0.001,,
32,109,16791,20.84700093124852,557.3125,1.9040425772016698,163,17834,-1075.7161704687499,0.001,,
36,107,19091,23.331243651253835,532.75,1.8811983176037275,178,19179,-981.2261162222221,0.001,,
,,19358,23.500304113734853,,2.146073188781738,,20000,,0.001,523.2,78.84726670522942
40,106,20358,24.21963268280029,522.225,2.2025596010684967,196,20889,-912.061100175,0.001,,
44,106,21771,26.39766702699901,499.47727272727275,3.0361794661636927,206,21977,-854.4649885227271,0.001,,
48,108,24036,29.24657200831993,503.875,2.7550086811477064,223,24186,-815.0202820625,0.001,,
,,24734,30.31279048919678,,3.0571898661161723,,25000,,0.001,302.7,40.83447471950203
52,110,25354,30.45447789469073,507.63461538461536,3.6261785880211863,239,26397,-781.9108025384614,0.001,,
56,111,27611,33.2214289750203,511.67857142857144,3.8449636072215467,256,28654,-754.5210398392857,0.001,,
60,109,29651,35.79054805210659,495.1666666666667,8.1561820824941,270,29710,-711.6474286,0.001,,
,,29812,35.80562711117872,,5.283509040946391,,30000,,0.001,485.2,90.51340500711521
64,107,30812,36.39239925384521,482.4375,4.114909823894501,286,30876,-682.42619025,0.001,,
68,110,31095,37.09069856916155,472.61764705882354,4.901443246432713,290,32138,-656.201096382353,0.001,,
72,109,32949,38.8128350575765,461.72222222222223,5.534342454987753,303,33244,-634.5755036111111,0.001,,
76,109,33346,39.35837122599284,439.63157894736844,5.302397934595744,305,33412,-603.1216473552633,0.001,,
80,109,33617,39.74732004801432,421.975,6.3391209099027845,307,33758,-576.4468789249999,0.001,,
,,34074,40.233830315726145,,6.701276946950842,,35000,,0.001,107.2,-17.74516034820117
84,111,,,418.0595238095238,,314,35117,-557.8148193095237,,,
88,109,35251,41.23410828908285,401.79545454545456,5.096229746937752,321,35358,-534.4225497386363,0.001,,
92,110,35536,41.47671461105347,387.7608695652174,6.212475523352623,323,35674,-514.4293855760868,0.001,,
96,110,35879,41.80696461118501,374.4791666666667,7.574921587417865,326,35950,-495.95713543749997,0.001,,
100,111,37051,42.58420570691427,373.11,6.35706111540397,334,37311,-483.79301766,0.001,,
104,111,37401,42.73408328785616,344.3,7.60960475136252,337,37473,-408.6078679599999,0.001,,
108,111,37584,42.96818096232864,306.17,8.583539930979411,338,37660,-275.28599813,0.001,,
112,111,37841,43.14601613961014,293.97,6.967509596093187,340,37904,-236.78611883000002,0.001,,
116,111,38929,43.51433877383961,293.98,6.453418381073895,349,38997,-230.55927791000002,0.001,,
120,111,39198,43.833127784729,285.08,7.61563012599945,351,39365,-216.54844860000006,0.001,,
124,112,39746,44.227632236480716,251.53,7.7169397971914995,355,39825,-185.06001191,0.001,,
,,39938,44.09601460970365,,8.271714054621183,,40000,,0.001,277.6,109.55939440103248
128,110,40045,44.35907872517904,237.07,7.139381202491554,362,40117,-173.96168218,0.001,,
132,110,40228,44.3695125579834,224.66,11.003695547580719,363,40300,-164.79756717,0.001,,
