time/total_timesteps,time/time_elapsed,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/iterations,train/n_updates,train/entropy_loss,train/std,eval/mean_ep_length,eval/mean_reward
500,3,5.372287750244141,25.1182339,24.85,144,0.0007,37.5937614440918,-0.07299983501434326,100,99,-16.89532470703125,0.9893938302993774,,
1000,6,1.5343987941741943,24.844749692307698,25.487179487179485,165,0.0007,-5.007299423217773,-0.3571608066558838,200,199,-16.867053985595703,0.9869710803031921,,
1500,8,16.261497497558594,24.2682233220339,24.983050847457626,179,0.0007,56.76998519897461,-0.7194842100143433,300,299,-16.839202880859375,0.9844688177108765,,
2000,10,6.45363187789917,24.716822025316453,25.21518987341772,185,0.0007,-27.560409545898438,-0.16304802894592285,400,399,-16.791837692260742,0.9806621074676514,,
2500,13,5.126708984375,23.92966406999999,24.38,190,0.0007,19.555438995361328,-0.25035083293914795,500,499,-16.79664421081543,0.9807369112968445,,
3000,15,7.751889228820801,24.510777970000003,25.42,194,0.0007,-15.247833251953125,0.633350670337677,600,599,-16.782825469970703,0.9798487424850464,,
3500,17,38.15185546875,24.603674049999995,25.0,198,0.0007,100.53189849853516,-4.1890788078308105,700,699,-16.805484771728516,0.9818848371505737,,
4000,19,21.68136215209961,25.4109349,25.7,200,0.0007,-63.64431381225586,-0.17950284481048584,800,799,-16.806751251220703,0.9822058081626892,,
4500,22,10.401330947875977,25.312437660000004,25.52,200,0.0007,50.5076789855957,-0.18917834758758545,900,899,-16.79010009765625,0.980663001537323,,
5000,,43.57106399536133,,,,0.0007,-60.15789794921875,0.2582794427871704,,999,-16.784225463867188,0.9796686172485352,24.25,29.2443946974352
5000,26,,26.402865650000003,26.04,191,,,,1000,,,,,
5500,28,54.032875061035156,25.79641861,24.66,193,0.0007,-125.9770278930664,0.7212181985378265,1100,1099,-16.77800750732422,0.9793553352355957,,
6000,31,7.2790846824646,25.5133335,24.19,193,0.0007,11.740397453308105,-2.5327799320220947,1200,1199,-16.749540328979492,0.9773351550102234,,
6500,33,26.03555679321289,25.13805613,23.36,192,0.0007,71.0006332397461,-4.322964668273926,1300,1299,-16.693729400634766,0.9727448225021362,,
7000,36,150.9384765625,23.736676619999997,21.86,191,0.0007,219.85618591308594,-19.888395309448242,1400,1399,-16.69058609008789,0.9727835655212402,,
7500,39,3.1753501892089844,23.39523135,21.92,191,0.0007,28.324987411499023,0.6443889737129211,1500,1499,-16.66828727722168,0.9708774089813232,,
8000,41,16.609561920166016,22.631225759999996,21.3,190,0.0007,65.06851959228516,-0.582464337348938,1600,1599,-16.609149932861328,0.9662175178527832,,
8500,44,152.42703247070312,21.199241949999998,20.06,190,0.0007,-39.89596939086914,-0.012246847152709961,1700,1699,-16.61261749267578,0.9669550657272339,,
9000,47,9.868450164794922,20.8819285,19.68,190,0.0007,50.3389778137207,-0.49308955669403076,1800,1799,-16.651151657104492,0.9696725606918335,,
9500,50,13.267436027526855,19.65183717,18.76,189,0.0007,59.20937728881836,0.1877008080482483,1900,1899,-16.6375732421875,0.9684895873069763,,
10000,,1.040360689163208,,,,0.0007,2.767585515975952,0.45269179344177246,,1999,-16.654701232910156,0.9699375033378601,21.85,24.689173695258795
10000,53,,19.76380294,19.31,185,,,,2000,,,,,
10500,56,111.745849609375,20.56784209,20.32,186,0.0007,-110.2693099975586,0.629816085100174,2100,2099,-16.6439208984375,0.9687761068344116,,
11000,58,15.891926765441895,21.741609019999995,21.48,187,0.0007,-67.1319351196289,-0.5749317407608032,2200,2199,-16.636505126953125,0.9680182337760925,,
11500,61,6.894721984863281,22.299762459999997,22.48,187,0.0007,-32.67356491088867,-0.12047123908996582,2300,2299,-16.631284713745117,0.9677700996398926,,
12000,63,15.763010025024414,22.4271024,22.12,189,0.0007,-64.53121185302734,0.8393975645303726,2400,2399,-16.650602340698242,0.9694180488586426,,
12500,65,62.277034759521484,22.704874620000002,21.87,190,0.0007,-114.59049224853516,0.8666042238473892,2500,2499,-16.69636344909668,0.9735472202301025,,
13000,67,10.69837474822998,20.791696460000004,20.12,191,0.0007,55.292694091796875,-0.5217363834381104,2600,2599,-16.66366958618164,0.9707951545715332,,
13500,70,8.752148628234863,20.50734679,19.09,192,0.0007,-40.0923957824707,0.829713836312294,2700,2699,-16.626487731933594,0.9678961634635925,,
14000,72,7.780957221984863,18.944591409999997,17.89,192,0.0007,-28.77125358581543,-4.946100234985352,2800,2799,-16.628223419189453,0.9678937196731567,,
14500,75,1.8777706623077393,17.11245417,16.2,192,0.0007,14.50652027130127,0.2512519955635071,2900,2899,-16.645593643188477,0.9698222875595093,,
15000,,18.72039794921875,,,,0.0007,-70.43636322021484,0.6406112909317017,,2999,-16.62995147705078,0.9681252241134644,12.1,11.006940269656479
15000,78,,14.931946950000002,15.01,191,,,,3000,,,,,
15500,80,17.666765213012695,14.90054934,15.13,191,0.0007,-44.733360290527344,0.7588692903518677,3100,3099,-16.60568618774414,0.9655358791351318,,
16000,83,4.697368144989014,14.60762573,15.72,191,0.0007,21.97579574584961,-0.7498258352279663,3200,3199,-16.613967895507812,0.966690719127655,,
16500,85,3.011446952819824,14.558744439999996,16.09,192,0.0007,-27.5538387298584,0.8939608708024025,3300,3299,-16.570676803588867,0.9633135199546814,,
17000,88,4.195472717285156,13.967522919999999,16.01,191,0.0007,-17.798023223876953,0.8483693301677704,3400,3399,-16.584796905517578,0.9642305374145508,,
17500,91,3.145594358444214,15.222335739999998,16.62,191,0.0007,-20.25254249572754,-0.8809905052185059,3500,3499,-16.577268600463867,0.9632205963134766,,
18000,94,4.5582451820373535,15.313436610000002,16.36,191,0.0007,-13.272513389587402,0.9455314874649048,3600,3599,-16.56434440612793,0.9630863070487976,,
18500,96,1.5502287149429321,16.20833516,17.46,191,0.0007,12.271538734436035,0.6803896725177765,3700,3699,-16.538414001464844,0.9605016708374023,,
19000,99,5.9457221031188965,16.26434364,17.33,191,0.0007,-23.51314353942871,0.9399479888379574,3800,3799,-16.56153678894043,0.9630197286605835,,
19500,102,2.2660701274871826,16.68926857,17.58,191,0.0007,-11.416006088256836,-0.8493527173995972,3900,3899,-16.58904266357422,0.9646649360656738,,
20000,,3.8599956035614014,,,,0.0007,23.795896530151367,0.3004745841026306,,3999,-16.588041305541992,0.9647154808044434,22.65,22.500979356141762
20000,105,,17.63646564,18.1,189,,,,4000,,,,,
20500,108,1.8215248584747314,18.30953026,18.11,189,0.0007,-14.993208885192871,0.9798589590936899,4100,4099,-16.592870712280273,0.9652628898620605,,
21000,110,12.970173835754395,18.505188899999997,18.66,189,0.0007,60.183650970458984,-0.10264968872070312,4200,4199,-16.6051082611084,0.9663161039352417,,
21500,113,4.953671455383301,18.322094080000003,18.97,189,0.0007,22.938169479370117,-1.7716608047485352,4300,4299,-16.59592056274414,0.9653000831604004,,
22000,116,0.6511797308921814,17.800478009999996,18.32,189,0.0007,11.420819282531738,0.9295229315757751,4400,4399,-16.571027755737305,0.9634617567062378,,
22500,118,2.536301851272583,18.50718682,18.99,190,0.0007,-21.559261322021484,0.8882565796375275,4500,4499,-16.544116973876953,0.9616361856460571,,
23000,120,1.9635803699493408,18.169842560000003,18.79,190,0.0007,-17.541946411132812,-0.5211760997772217,4600,4599,-16.573719024658203,0.9640001058578491,,
23500,122,3.8016083240509033,18.068296399999998,18.64,191,0.0007,-33.32387161254883,0.7516974210739136,4700,4699,-16.577560424804688,0.9639633893966675,,
24000,125,6.4835524559021,17.590631239999997,18.84,191,0.0007,-31.099103927612305,-0.46283650398254395,4800,4799,-16.57368278503418,0.9640144109725952,,
24500,127,2.61786150932312,16.46934642,17.87,192,0.0007,-23.4063663482666,0.9800179544836283,4900,4899,-16.571674346923828,0.96375572681427,,
25000,,4.259881496429443,,,,0.0007,27.121259689331055,0.24383878707885742,,4999,-16.575180053710938,0.9637617468833923,20.9,17.79071429502219
25000,130,,16.16536686,17.78,191,,,,5000,,,,,
25500,133,10.363313674926758,15.891185719999996,17.75,191,0.0007,-49.30213165283203,0.9381866231560707,5100,5099,-16.596576690673828,0.9654421210289001,,
