time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/std,eval/mean_reward,eval/mean_ep_length
7,2048,284,24.00618851851852,25.160493827160494,1,,,,,,,,,,,,,
15,4096,258,24.78853887999999,25.21,2,0.17138671875,-17.01166985630989,36.18673324584961,0.2,-0.044242899038363245,78.7811092376709,0.015724678,0.0003,10,-0.02941441535949707,0.9977720975875854,,
,5000,,,,,0.1267578125,-16.97619953751564,20.775388717651367,0.2,-0.0426342103688512,61.13806475400925,0.012615956,0.0003,20,0.03362751007080078,0.994234561920166,164.67304673301987,126.9
25,6144,241,25.10667885,25.55,3,,,,,,,,,,,,,
33,8192,244,24.910168240000008,25.04,4,0.1033203125,-16.95126958489418,13.130285263061523,0.2,-0.03807416037598159,39.362064397335054,0.011623591,0.0003,30,-0.001340031623840332,0.9931268692016602,,
,10000,,,,,0.106591796875,-16.919001412391662,11.719442367553711,0.2,-0.03902271175466012,35.390033304691315,0.01161271,0.0003,40,0.04453843832015991,0.9891273379325867,136.69344613552093,91.4
44,10240,229,25.19573897,25.34,5,,,,,,,,,,,,,
54,12288,226,25.126847339999998,24.99,6,0.126025390625,-16.88980523943901,10.634987831115723,0.2,-0.045955155888805166,33.86392688751221,0.01223223,0.0003,50,0.24935758113861084,0.9887539744377136,,
63,14336,224,25.2515386,25.41,7,0.130810546875,-16.879087859392165,9.948186874389648,0.2,-0.0459306589938933,25.351473423838616,0.012823224,0.0003,60,0.3964409828186035,0.9870260953903198,,
,15000,,,,,0.123974609375,-16.849592781066896,9.178059577941895,0.2,-0.0440237840579357,22.561855697631835,0.012387678,0.0003,70,0.5238904356956482,0.9842276573181152,56.70600898861885,42.7
72,16384,225,26.377907499999996,26.18,8,,,,,,,,,,,,,
80,18432,228,26.27570335,26.35,9,0.141455078125,-16.808508282899858,11.73086929321289,0.2,-0.046339868666836995,22.599899789690973,0.013552163,0.0003,80,0.5669662654399872,0.9806944727897644,,
,20000,,,,,0.135302734375,-16.783604860305786,6.990117073059082,0.2,-0.04518319492635783,18.535471364855766,0.014001543,0.0003,90,0.6450884342193604,0.9788023233413696,60.099239306151865,41.5
91,20480,225,26.289638410000002,25.63,10,,,,,,,,,,,,,
100,22528,223,24.37795839,24.34,11,0.161572265625,-16.773980301618575,10.68132495880127,0.2,-0.05026748048258014,21.658692049980164,0.015756639,0.0003,100,0.6272702813148499,0.9792999625205994,,
110,24576,222,24.424357269999994,24.34,12,0.179345703125,-16.74118858575821,5.570401668548584,0.2,-0.050843951606657355,16.07584993839264,0.016884618,0.0003,110,0.6751038730144501,0.9749301671981812,,
,25000,,,,,0.222900390625,-16.695417088270187,6.633098125457764,0.2,-0.060880265111336485,13.730669185519218,0.01944699,0.0003,120,0.714579164981842,0.971977710723877,40.39954122081399,32.5
120,26624,221,26.244075369999997,25.8,13,,,,,,,,,,,,,
129,28672,221,28.004686130000003,27.01,14,0.193115234375,-16.680067163705825,6.66818904876709,0.2,-0.055941986336256376,18.437316143512724,0.01710232,0.0003,130,0.6759803593158722,0.9722902178764343,,
,30000,,,,,0.203466796875,-16.6732925593853,9.296038627624512,0.2,-0.058223012878443114,18.5601754039526,0.019468691,0.0003,140,0.6974366903305054,0.9705675840377808,53.36770660020411,38.2
139,30720,220,26.85227966,25.99,15,,,,,,,,,,,,,
148,32768,220,28.427730250000003,27.26,16,0.222021484375,-16.63134987950325,10.982107162475586,0.2,-0.058091064740438014,20.36179304420948,0.020888353,0.0003,150,0.675906628370285,0.9662257432937622,,
157,34816,220,27.26953962,26.2,17,0.22734375,-16.57100538611412,5.794018745422363,0.2,-0.06005772617063485,18.268327394127844,0.020405103,0.0003,160,0.7161440551280975,0.9608463644981384,,
,35000,,,,,0.220751953125,-16.513836246728896,8.969766616821289,0.2,-0.061903763157897626,14.99690049290657,0.020627163,0.0003,170,0.7568824142217636,0.9568960070610046,43.58537230938673,33.3
167,36864,219,27.388896350000003,25.61,18,,,,,,,,,,,,,
177,38912,219,30.253260160000004,27.52,19,0.224169921875,-16.45723577737808,10.636635780334473,0.2,-0.05929952770820819,25.357758817076682,0.019991128,0.0003,180,0.617513507604599,0.9517273902893066,,
,40000,,,,,0.22802734375,-16.431516975164413,9.642352104187012,0.2,-0.059956892911577596,20.386063003540038,0.020501655,0.0003,190,0.7022607624530792,0.9520074725151062,39.85167438685894,29.9
185,40960,220,28.663136129999994,26.18,20,,,,,,,,,,,,,
193,43008,222,27.82658676,25.93,21,0.2271484375,-16.398175889253615,9.384443283081055,0.2,-0.06019010277232155,21.2213564902544,0.020944187,0.0003,200,0.6754818260669708,0.9471046924591064,,
,45000,,,,,0.282373046875,-16.333596920967103,7.402909755706787,0.2,-0.06492504798225127,14.35924860537052,0.026194606,0.0003,210,0.7726168036460876,0.9422891139984131,49.46073683686554,36.1
203,45056,221,28.6850207,27.1,22,,,,,,,,,,,,,
212,47104,221,28.47744972,26.51,23,0.2873046875,-16.272483456134797,3.8538267612457275,0.2,-0.06719080663460772,14.613369838893414,0.026099619,0.0003,220,0.7724478989839554,0.9376789927482605,,
221,49152,221,28.100820439999996,26.58,24,0.2619140625,-16.252893418073654,10.67532730102539,0.2,-0.06648875952814706,18.47825517356396,0.024214908,0.0003,230,0.7321854829788208,0.9374138712882996,,
,50000,,,,,0.25556640625,-16.222480678558348,10.235577583312988,0.2,-0.061317810587934216,20.1517385751009,0.024245623,0.0003,240,0.7238344252109528,0.9342621564865112,49.875516809336844,37.4
231,51200,220,29.113405560000004,26.63,25,,,,,,,,,,,,,
241,53248,220,29.613349439999997,26.63,26,0.245556640625,-16.206561559438704,12.358152389526367,0.2,-0.0625537429805263,20.29263323545456,0.023738435,0.0003,250,0.736994206905365,0.9339331388473511,,
,55000,,,,,0.2634765625,-16.189100509881975,6.721241474151611,0.2,-0.06417820882634259,19.7929087638855,0.024620827,0.0003,260,0.7334402203559875,0.9317914247512817,38.419882252067325,30.4
252,55296,219,30.471312190000003,27.77,27,,,,,,,,,,,,,
262,57344,218,32.14987204,28.62,28,0.243603515625,-16.14898865222931,12.088622093200684,0.2,-0.060394981439458206,21.44776315689087,0.023359358,0.0003,270,0.7341947853565216,0.9295283555984497,,
274,59392,216,30.51145451,27.14,29,0.274658203125,-16.145164906978607,8.83201789855957,0.2,-0.06531313032610342,22.692081436514854,0.023838788,0.0003,280,0.7125841081142426,0.9296836853027344,,
,60000,,,,,0.28974609375,-16.142653393745423,9.352437973022461,0.2,-0.06594635846849997,25.744478771090506,0.025618475,0.0003,290,0.6661323606967926,0.9275972247123718,41.421552031487224,31.2
285,61440,215,29.436993179999998,27.08,30,,,,,,,,,,,,,
294,63488,215,30.485859289999997,27.17,31,0.303466796875,-16.077977186441423,10.208551406860352,0.2,-0.06841938383295201,19.98283794224262,0.026326548,0.0003,300,0.7283163070678711,0.9225417971611023,,
,65000,,,,,0.288232421875,-16.032286101579665,21.873926162719727,0.2,-0.06548436710145325,21.43349936902523,0.026514351,0.0003,310,0.7290045022964478,0.919137179851532,42.95681790784001,31.4
307,65536,213,29.477875420000004,26.77,32,,,,,,,,,,,,,
318,67584,212,30.64556473,27.88,33,0.28671875,-16.01680322289467,7.827939987182617,0.2,-0.06526766255701659,19.15788282752037,0.026877925,0.0003,320,0.7244448959827423,0.9193918108940125,,
328,69632,212,29.66458805,26.43,34,0.302783203125,-15.983044850826264,10.655131340026855,0.2,-0.0677336179476697,15.64585754275322,0.030595846,0.0003,330,0.770372062921524,0.915337085723877,,
,70000,,,,,0.2875,-15.948356074094772,10.534209251403809,0.2,-0.06390269495313987,20.584021791815758,0.025383785,0.0003,340,0.7238425314426422,0.9138354063034058,39.29172344096005,29.0
338,71680,211,30.484620860000003,26.67,35,,,,,,,,,,,,,
348,73728,211,30.631936610000004,26.96,36,0.29052734375,-15.922627082467079,10.238261222839355,0.2,-0.06731420876458287,22.61043059527874,0.028001353,0.0003,350,0.7145459353923798,0.9112917184829712,,
,75000,,,,,0.285107421875,-15.885611653327942,5.1978759765625,0.2,-0.06758145522908307,25.175016868114472,0.025682382,0.0003,360,0.6700389981269836,0.9082632064819336,42.824451748095456,30.9
359,75776,210,29.680922,26.15,37,,,,,,,,,,,,,
368,77824,211,30.279725489999997,26.68,38,0.322900390625,-15.837195035815238,10.80923080444336,0.2,-0.06907814713194967,23.22400580048561,0.02961493,0.0003,370,0.7017199099063873,0.9042715430259705,,
378,79872,210,31.4528855,27.79,39,0.3177734375,-15.798546060919762,7.842167854309082,0.2,-0.06888655600196217,17.47689437419176,0.030778678,0.0003,380,0.7615641504526138,0.901940107345581,,
,80000,,,,,0.325732421875,-15.783244773745537,9.226452827453613,0.2,-0.06778441146889236,18.164677180349827,0.032270126,0.0003,390,0.766057014465332,0.9006812572479248,40.15119194686413,29.7
389,81920,210,32.00079562,28.34,40,,,,,,,,,,,,,
399,83968,210,33.49522687,28.75,41,0.3341796875,-15.728703582286835,10.628714561462402,0.2,-0.07094529215828516,19.08817974925041,0.030681005,0.0003,400,0.7713875025510788,0.8968098163604736,,
,85000,,,,,0.3521484375,-15.678767862915993,6.708509922027588,0.2,-0.07092663744115271,14.755164244771004,0.03328037,0.0003,410,0.821470707654953,0.8919016122817993,40.239060688018796,30.0
410,86016,209,33.01343603,27.69,42,,,,,,,,,,,,,
419,88064,209,34.73795128,29.27,43,0.3095703125,-15.631699910759925,19.973262786865234,0.2,-0.0684963169915136,25.73369642496109,0.029937778,0.0003,420,0.7174330055713654,0.8895324468612671,,
,90000,,,,,0.314013671875,-15.595181930065156,7.267707824707031,0.2,-0.0701669383328408,18.886431750655174,0.030880027,0.0003,430,0.7879365682601929,0.8870947360992432,44.873936225473884,32.4
430,90112,209,30.285170309999998,26.89,44,,,,,,,,,,,,,
441,92160,208,29.606883780000004,26.07,45,0.279638671875,-15.568008637428283,10.503043174743652,0.2,-0.06418630231928546,26.414216834306718,0.026880518,0.0003,440,0.6533002555370331,0.8846858739852905,,
450,94208,209,31.70717157,27.82,46,0.3197265625,-15.532869425415992,8.29102611541748,0.2,-0.06807694287854246,21.779455918073655,0.031236775,0.0003,450,0.7267173528671265,0.8821603655815125,,
,95000,,,,,0.309912109375,-15.505377423763274,8.57242488861084,0.2,-0.06854071094130632,24.946168515086175,0.030027043,0.0003,460,0.672707200050354,0.8801516890525818,39.638485378026964,28.3
461,96256,208,31.977473090000004,27.69,47,,,,,,,,,,,,,
470,98304,208,31.80970296,27.46,48,0.313720703125,-15.457969191670418,11.317115783691406,0.2,-0.06920236834557728,20.38289748430252,0.03133215,0.0003,470,0.7509551048278809,0.8764665126800537,,
,100000,,,,,0.333544921875,-15.419647255539894,13.920511245727539,0.2,-0.06572666700812987,30.646458566188812,0.030112512,0.0003,480,0.6382677555084229,0.8746703863143921,43.52084576785565,30.9
479,100352,209,31.643170740000002,27.29,49,,,,,,,,,,,,,
488,102400,209,34.11792,28.95,50,0.344677734375,-15.394882726669312,10.024293899536133,0.2,-0.07178901958395727,21.971902003884317,0.032513224,0.0003,490,0.7203476130962372,0.8717610239982605,,
