time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
109,4,0,27.25,162,28.8838235,,,,,,
194,8,1,24.25,158,22.4391825,-0.5016502759286335,87,0.12854268838619365,0.001,,
259,12,1,21.583333333333332,159,19.521112333333335,-0.789706364274025,157,0.07392773479223251,0.001,,
347,16,2,21.6875,159,19.53308225,-1.1313496261835099,247,0.0816427828153459,0.001,,
464,20,2,23.2,160,20.7601625,-1.6030738136985085,360,0.07504191402007233,0.001,,
538,24,3,22.416666666666668,159,19.941738541666666,-1.8608341455459594,433,0.09977688179129646,0.001,,
652,28,4,23.285714285714285,159,20.390311392857143,-2.099823007583618,544,0.11289643481373787,0.001,,
720,32,4,22.5,159,19.8041955625,-2.267748773097992,611,0.10602856493171524,0.001,,
853,36,5,23.694444444444443,160,20.9048215,-2.5303992609823904,739,0.11661054740750021,0.001,,
932,40,5,23.3,159,20.6077186,-2.7537649869918823,825,0.1297666096687317,0.001,,
1015,44,6,23.068181818181817,161,20.360079545454543,-3.006691482332018,894,0.14075120845261743,0.001,,
1117,48,6,23.270833333333332,160,20.80406485416667,-3.2134065363142224,1012,0.1333556552143658,0.001,,
1206,52,7,23.192307692307693,161,20.837079923076924,-3.3183415803042324,1103,0.1934123435481028,0.001,,
1304,56,8,23.285714285714285,161,20.912154464285713,-3.6258665919303894,1189,0.19970465758267572,0.001,,
1420,60,9,23.666666666666668,154,21.633595,-3.8885976718022275,1317,0.24291601383461142,0.001,,
1526,64,9,23.84375,154,22.071118078125,-4.0318757620724766,1398,0.2400935192902883,0.001,,
1609,68,10,23.66176470588235,151,22.149228852941178,-4.2808005809783936,1496,0.2729722222215251,0.001,,
1731,72,11,24.041666666666668,151,22.813993694444445,-4.56814661026001,1612,0.30692335806394877,0.001,,
1822,76,12,23.973684210526315,150,22.831189157894737,-4.677604246139526,1715,0.20460219532251359,0.001,,
1942,80,12,24.275,149,23.006006024999998,-4.8966680195020595,1836,0.32400863812021585,0.001,,
2058,84,13,24.5,151,23.289518059523807,-5.07405686378479,1921,0.2707756941135113,0.001,,
2109,88,14,23.96590909090909,150,22.826103681818182,-5.322739669254848,2011,0.5500033577283223,0.001,,
2325,92,14,25.27173913043478,156,24.502395467391302,-5.344092300959995,2104,0.42687851190567017,0.001,,
2393,96,15,24.927083333333332,149,24.14696930208333,-5.667123534462669,2292,0.38326517528011683,0.001,,
2463,100,16,24.63,150,23.991806099999998,-5.9535273143223355,2358,0.489872008562088,0.001,,
2559,104,17,24.5,149,24.020357479999998,-6.234987172213468,2450,0.5875056926594224,0.001,,
2643,108,17,24.49,150,24.206596769999997,-6.455268246786935,2525,0.5602729121843973,0.001,,
2738,112,18,24.79,149,24.74199001,-6.340947696140835,2628,0.6456749992711204,0.001,,
2800,116,18,24.53,149,24.780295859999995,-6.64508597056071,2696,0.7611233872525832,0.001,,
2900,120,19,24.36,149,24.738414759999998,-6.7698899904886884,2796,0.5899208053236916,0.001,,
2969,124,19,24.31,150,24.82162241,-6.933063447475433,2862,0.5572878758112589,0.001,,
3046,128,20,23.94,151,24.84256659,-7.071080790625678,2929,0.5317989538113276,0.001,,
3112,132,20,23.92,150,24.98496156,-7.247411939832899,3013,0.4738067024283939,0.001,,
3175,136,21,23.22,150,24.58641479,-7.371409824916294,3075,0.5992821667875562,0.001,,
3247,140,21,23.15,150,24.705556700000002,-7.333768308162689,3146,0.6904532425105572,0.001,,
3317,144,21,23.02,150,24.75507109,-7.618798308902317,3214,0.4592475365189945,0.001,,
3375,148,22,22.58,150,24.368577959999996,-7.730999565124511,3270,0.8015977025032044,0.001,,
3473,152,23,22.67,150,24.622930199999995,-7.550357520580292,3367,0.5686878106173348,0.001,,
3586,156,23,22.82,150,24.833958059999997,-7.859875784979926,3470,0.6566058660254759,0.001,,
3672,160,24,22.52,150,24.63853817,-7.940394639968872,3559,0.6454777511266562,0.001,,
3779,164,25,22.53,150,24.64571898,-8.116993215348986,3673,0.6247166410872811,0.001,,
3867,168,25,22.58,150,24.725208989999995,-8.15777375147893,3767,0.641688562101788,0.001,,
3962,172,26,22.31,151,24.52895465,-8.216325187683106,3856,0.7446729689836502,0.001,,
4050,176,26,22.28,151,24.52116795,-8.573901783336293,3946,0.5743774871031443,0.001,,
