time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
471,-394.54410434,1,2048,4,20.0,,,,,,,,,,,,,
424,-370.67409829,2,4096,9,18.72,-17.005789679288863,0.0003,0.2,0.9964010119438171,10,11888.0322265625,26110.17462158203,0.0002237558364868164,0.1455078125,-0.044418991083512084,0.015003477,,
,,,5000,,,-16.91596292257309,0.0003,0.2,0.9884322881698608,20,10650.521484375,21683.11862487793,0.019217193126678467,0.172216796875,-0.055852547849644905,0.016678553,336.8375620577484,68.9
358,-390.30165839000006,3,6144,17,19.8,,,,,,,,,,,,,
369,-364.10734754,4,8192,22,18.76,-16.8593932390213,0.0003,0.2,0.9840938448905945,30,11826.68359375,22492.148684692384,0.010990142822265625,0.17470703125,-0.060564122497453354,0.016870901,,
,,,10000,,,-16.781488758325576,0.0003,0.2,0.9767971038818359,40,10173.1103515625,19155.35204772949,0.005048513412475586,0.20068359375,-0.06441293897514697,0.018358856,127.23906685379333,28.15
364,-379.90605927,5,10240,28,19.29,,,,,,,,,,,,,
371,-372.5708473,6,12288,33,19.26,-16.681630647182466,0.0003,0.2,0.9686147570610046,50,12067.75,20527.53550415039,-0.0015715360641479492,0.237890625,-0.07279315172054339,0.021744031,,
378,-351.71097404000005,7,14336,37,18.35,-16.6007860660553,0.0003,0.2,0.9636186361312866,60,8578.236328125,18442.299325561522,0.004722476005554199,0.265185546875,-0.07943918580713216,0.022538634,,
,,,15000,,,-16.525862950086594,0.0003,0.2,0.9566678404808044,70,7254.30517578125,15281.954412841797,0.010232031345367432,0.281640625,-0.08253675732121338,0.024693642,71.33408420458436,18.7
379,-343.71708420999994,8,16384,43,17.94,,,,,,,,,,,,,
381,-355.7877135100001,9,18432,48,18.66,-16.46362375617027,0.0003,0.2,0.9528855681419373,80,5228.76318359375,14526.070721435546,0.0014178752899169922,0.325244140625,-0.08491504419944249,0.028876768,,
,,,20000,,,-16.400010019540787,0.0003,0.2,0.9471124410629272,90,4658.576171875,14463.549151611329,0.01139378547668457,0.335009765625,-0.08794495442998596,0.02933447,60.103340442478654,17.05
379,-350.04632534000007,10,20480,54,18.34,,,,,,,,,,,,,
383,-345.05493884000003,11,22528,58,18.28,-16.32264764904976,0.0003,0.2,0.9417476058006287,100,6906.0625,13663.639611816407,0.008219659328460693,0.338330078125,-0.08852625020081177,0.030667786,,
384,-333.57441032,12,24576,63,17.37,-16.279766649007797,0.0003,0.2,0.9387426376342773,110,6050.7236328125,12907.640396118164,0.003146231174468994,0.364111328125,-0.09151236285106279,0.031439196,,
,,,25000,,,-16.19983674287796,0.0003,0.2,0.9309350848197937,120,5769.212890625,11728.118124389648,0.010122716426849365,0.3869140625,-0.09163175930152648,0.036209106,42.446998444199565,15.35
385,-340.79970149,13,26624,69,18.12,,,,,,,,,,,,,
389,-338.35081433,14,28672,73,18.0,-16.12231457233429,0.0003,0.2,0.9259082674980164,130,5910.7900390625,11276.809370422363,0.00888073444366455,0.39345703125,-0.0930585236317711,0.03968387,,
,,,30000,,,-16.04618883728981,0.0003,0.2,0.9196053743362427,140,5295.8046875,10785.106460571289,0.0035634636878967285,0.409814453125,-0.09655947941064369,0.039541855,33.90277990452014,13.9
391,-327.30600192,15,30720,78,17.4,,,,,,,,,,,,,
395,-326.54977056,16,32768,82,17.5,-15.994079685211181,0.0003,0.2,0.915941596031189,150,4745.171875,9288.321028137207,0.004932999610900879,0.4154296875,-0.0942167226516176,0.043386303,,
399,-325.43845086,17,34816,87,17.49,-15.919317319989204,0.0003,0.2,0.9102804064750671,160,4711.505859375,9745.014556884766,0.007800281047821045,0.43291015625,-0.09462993698834907,0.044537257,,
,,,35000,,,-15.832346877455711,0.0003,0.2,0.9029275178909302,170,4520.6123046875,8672.543782043456,0.013747632503509521,0.436865234375,-0.0958327292551985,0.04498439,25.119377310574055,13.7
401,-312.40133549,18,36864,91,17.02,,,,,,,,,,,,,
