rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_reward,eval/mean_ep_length
344.49108413333335,4,2048,68.2,472,1,,,,,,,,,,,,,
350.0199905932204,9,4096,69.2542372881356,426,2,0.012171278,-14.188704410195351,0.0003,0.2,10,1901.0826416015625,4.780292510986328e-05,0.9991831183433533,-0.03661633329174947,0.125048828125,4266.88737411499,,
,,5000,,,,0.011401221,-14.18690700829029,0.0003,0.2,20,1958.2652587890625,0.07357239723205566,0.9998490214347839,-0.036557923961663616,0.09765625,3934.197322845459,438.8567125156522,85.5
357.632610321839,17,6144,70.62068965517241,353,3,,,,,,,,,,,,,
359.91148909,22,8192,71.07,364,4,0.019621704,-14.198376363515854,0.0003,0.2,30,1447.1014404296875,0.06022864580154419,1.0020288228988647,-0.04160614266584162,0.187255859375,3714.29465713501,,
,,10000,,,,0.023992062,-14.199477553367615,0.0003,0.2,40,1495.11474609375,0.01428133249282837,1.000946283340454,-0.04712478819710668,0.24326171875,3512.5171379089356,383.1171292051673,75.55
375.61890081000007,31,10240,73.89,328,5,,,,,,,,,,,,,
374.67786201999996,37,12288,73.71,331,6,0.02532084,-14.186482125520707,0.0003,0.2,50,1532.0465087890625,0.0036077499389648438,0.9990561604499817,-0.049011581190279686,0.250244140625,3481.9900230407716,,
390.36380578999996,42,14336,76.53,333,7,0.02686803,-14.171321839094162,0.0003,0.2,60,1443.0970458984375,0.010559916496276855,0.9973964095115662,-0.04948784837906715,0.275830078125,3331.970098876953,,
,,15000,,,,0.024429385,-14.161373570561409,0.0003,0.2,70,1870.8345947265625,0.038635849952697754,0.9972549676895142,-0.047555291192838925,0.2669921875,3525.9793800354005,610.3983410716057,114.65
401.91919986,52,16384,78.57,314,8,,,,,,,,,,,,,
409.41453116,57,18432,79.9,320,9,0.023330273,-14.174070087075233,0.0003,0.2,80,1363.3157958984375,0.026576340198516846,0.9992240071296692,-0.047529951721662654,0.24609375,3472.3837173461916,,
,,20000,,,,0.027889475,-14.177222844958305,0.0003,0.2,90,1737.4412841796875,0.005597949028015137,0.9986603856086731,-0.042094030091539024,0.25986328125,3287.7312355041504,749.0425939828158,137.05
424.09223862,66,20480,82.43,305,10,,,,,,,,,,,,,
424.04644563999994,72,22528,82.4,310,11,0.02127527,-14.184084850549699,0.0003,0.2,100,1693.1463623046875,0.03843754529953003,1.0002468824386597,-0.041474960639607164,0.224267578125,3422.680886077881,,
438.64374394,78,24576,84.9,311,12,0.023798874,-14.18655409514904,0.0003,0.2,110,1453.46826171875,0.05537581443786621,0.9990906119346619,-0.0399439342378173,0.2177734375,3325.336326599121,,
,,25000,,,,0.035266124,-14.199861916899682,0.0003,0.2,120,1507.0382080078125,0.035320818424224854,1.002908706665039,-0.038946600872441194,0.303955078125,3449.7129791259767,846.5422240495682,152.45
442.15848798,89,26624,85.62,298,13,,,,,,,,,,,,,
452.60023075,94,28672,87.47,303,14,0.027165346,-14.20179474055767,0.0003,0.2,130,1497.3052978515625,0.08291727304458618,1.000680923461914,-0.03545578157354612,0.255419921875,3169.3147819519045,,
,,30000,,,,0.02969428,-14.20858247578144,0.0003,0.2,140,1459.206787109375,0.05208665132522583,1.0036524534225464,-0.03480581074254587,0.26357421875,3375.855037689209,995.8168401539326,176.25
448.81117837,105,30720,86.89,291,15,,,,,,,,,,,,,
435.89785940999997,110,32768,84.6,297,16,0.021654287,-14.237417033314705,0.0003,0.2,150,1552.7408447265625,0.053799569606781006,1.0063087940216064,-0.03097649408446159,0.2140625,3037.1503768920898,,
444.45260249,115,34816,86.04,302,17,0.02800657,-14.237557092308998,0.0003,0.2,160,1505.0467529296875,0.09083563089370728,1.0030800104141235,-0.037948785416665486,0.251171875,3010.69321975708,,
,,35000,,,,0.022619188,-14.211108392477035,0.0003,0.2,170,1335.0150146484375,0.16552454233169556,1.001919150352478,-0.035036410015891306,0.210205078125,3109.1478218078614,923.1111249148846,165.0
438.65537688000006,124,36864,85.08,296,18,,,,,,,,,,,,,
459.83578343,129,38912,88.69,299,19,0.02476361,-14.210456719994545,0.0003,0.2,180,1693.6868896484375,0.08098834753036499,1.0027769804000854,-0.03791762657929212,0.220361328125,3104.5066078186037,,
,,40000,,,,0.02432026,-14.211172553896905,0.0003,0.2,190,1492.8597412109375,0.08837234973907471,1.0025595426559448,-0.038016790174879134,0.21787109375,3404.0680015563967,1053.5371129244566,187.35
484.5395583100001,138,40960,92.91,294,20,,,,,,,,,,,,,
498.59502531,144,43008,95.27,296,21,0.035932314,-14.202330845594407,0.0003,0.2,200,1573.8662109375,0.10639399290084839,1.0003728866577148,-0.03102318900055252,0.2806640625,3342.009973144531,,
,,45000,,,,0.02757075,-14.193411880731583,0.0003,0.2,210,1499.544921875,0.10852402448654175,1.0003576278686523,-0.03726173322065733,0.23310546875,3132.454946899414,1031.5929659846006,184.5
503.95383931,156,45056,96.13,288,22,,,,,,,,,,,,,
503.11855527,161,47104,95.96,290,23,0.02888168,-14.181063371896744,0.0003,0.2,220,1459.3433837890625,0.12427115440368652,0.9991475939750671,-0.03565871389291715,0.223876953125,3156.450518798828,,
499.8940851,167,49152,95.47,293,24,0.033924527,-14.17697894871235,0.0003,0.2,230,1683.5999755859375,0.07250875234603882,0.9989673495292664,-0.03151989258476533,0.29619140625,3140.1412673950194,,
,,50000,,,,0.020145586,-14.175254708528518,0.0003,0.2,240,1394.3238525390625,0.16839945316314697,0.999024510383606,-0.0386172160768183,0.16904296875,2990.7188148498535,914.585086247325,163.65
498.93419384000003,178,51200,95.32,286,25,,,,,,,,,,,,,
508.0296940999999,184,53248,96.96,288,26,0.028814128,-14.180461657047271,0.0003,0.2,250,1410.191162109375,0.13915717601776123,0.9996687173843384,-0.033852665417362,0.226953125,3104.7597511291506,,
,,55000,,,,0.028617356,-14.179127603769302,0.0003,0.2,260,1461.4290771484375,0.12817925214767456,0.9993658065795898,-0.03501862811972387,0.247509765625,3190.650141906738,943.2979627251625,168.85
515.53844842,194,55296,98.26,284,27,,,,,,,,,,,,,
510.07831414,199,57344,97.37,287,28,0.024821877,-14.1739747017622,0.0003,0.2,270,1501.6114501953125,0.16240155696868896,0.9989773035049438,-0.0340844069927698,0.239599609375,2994.611296081543,,
520.1729963099999,205,59392,99.06,289,29,0.024822326,-14.16439546942711,0.0003,0.2,280,1213.8975830078125,0.24746137857437134,0.9973783493041992,-0.03712916387594305,0.171337890625,2724.7724575042726,,
,,60000,,,,0.02616563,-14.165788915753364,0.0003,0.2,290,1253.9571533203125,0.2299918532371521,0.9993305206298828,-0.03637937319290359,0.20869140625,2962.904377746582,1190.037952002883,214.0
514.7101379999999,216,61440,98.15,283,30,,,,,,,,,,,,,
507.72203019000005,222,63488,96.96,285,31,0.022787973,-14.168558514118194,0.0003,0.2,300,1223.0811767578125,0.2863987684249878,0.9975555539131165,-0.03077720931614749,0.160205078125,2752.2776420593264,,
,,65000,,,,0.024954474,-14.147959539294243,0.0003,0.2,310,1269.568603515625,0.2552209496498108,0.9958937764167786,-0.033967670853598975,0.16826171875,2725.906069946289,882.2472161620856,158.95
519.45415355,233,65536,98.94,280,32,,,,,,,,,,,,,
532.69944562,239,67584,101.08,282,33,0.023042832,-14.137793555855751,0.0003,0.2,320,1272.4947509765625,0.24988847970962524,0.9952835440635681,-0.03336129414965398,0.174853515625,2847.166785430908,,
532.25093062,244,69632,101.01,284,34,0.03130655,-14.129305043816567,0.0003,0.2,330,1149.1328125,0.31289976835250854,0.9946913719177246,-0.028602265528752467,0.213232421875,2812.0534423828126,,
,,70000,,,,0.020429777,-14.128994926810265,0.0003,0.2,340,1432.889892578125,0.29635089635849,0.9948881268501282,-0.03808249221474398,0.181982421875,2722.718511581421,1013.2631854571403,181.8
527.48801053,256,71680,100.25,279,35,,,,,,,,,,,,,
534.70216402,261,73728,101.43,281,36,0.031089889,-14.121887305378914,0.0003,0.2,350,1122.8172607421875,0.294466495513916,0.9933021664619446,-0.03469780415180139,0.23173828125,2548.26974067688,,
,,75000,,,,0.027581371,-14.118197110295295,0.0003,0.2,360,1083.2181396484375,0.25595855712890625,0.994874894618988,-0.03804056897060946,0.203857421875,2788.164678955078,966.4855094917118,175.15
545.12664588,272,75776,103.21,278,37,,,,,,,,,,,,,
542.90842191,277,77824,102.95,279,38,0.027497314,-14.124116805195808,0.0003,0.2,370,1503.6102294921875,0.20718258619308472,0.9946656227111816,-0.02961800139164552,0.198095703125,2970.0656341552735,,
543.75847593,283,79872,103.16,281,39,0.022774152,-14.132222735881806,0.0003,0.2,380,1506.941650390625,0.39237964153289795,0.9960501790046692,-0.03752924573491327,0.18798828125,2558.863551330566,,
