rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
63.8125,4,1,2048,239.2307353125,505,,,,,,,,,,,,,
64.0952380952381,8,2,4096,240.4490844126984,455,0.2,1903.3546417236328,-14.191072082519531,772.5097045898438,0.122412109375,0.0003,-0.035159929993096736,0.9997352957725525,-0.0022110939025878906,10,0.01203925,,
,,,5000,,,0.2,1791.5104370117188,-14.153200536966324,695.6630859375,0.183642578125,0.0003,-0.04510206110426225,0.9952101111412048,0.013219714164733887,20,0.015931375,64.85,322.66527557373047
64.11578947368422,15,3,6144,240.8351921789474,400,,,,,,,,,,,,,
64.23,19,4,8192,241.53431023000002,412,0.2,1666.8710170745849,-14.120483839511872,772.898681640625,0.241162109375,0.0003,-0.04988319687836338,0.9927389025688171,0.005048573017120361,30,0.020306442,,
,,,10000,,,0.2,1559.4839813232422,-14.106203189492225,711.5126953125,0.237548828125,0.0003,-0.05232740093488246,0.9916383624076843,0.00021064281463623047,40,0.021391422,64.95,322.84615592956544
64.3,26,5,10240,241.87455407999997,391,,,,,,,,,,,,,
64.2,30,6,12288,241.33600353000003,398,0.2,1473.6654598236084,-14.094213476777076,659.5062866210938,0.26943359375,0.0003,-0.05149353032466024,0.9903846979141235,0.0018596649169921875,50,0.022529699,,
64.62,35,7,14336,243.49918252000003,404,0.2,1386.4757822036743,-14.069113519787788,577.294921875,0.29462890625,0.0003,-0.05010271313949488,0.9869764447212219,0.011832356452941895,60,0.025307182,,
,,,15000,,,0.2,1393.9690700531005,-14.035648992657661,618.5191040039062,0.2630859375,0.0003,-0.0491733584087342,0.9837755560874939,0.04015219211578369,70,0.024041232,65.5,325.1474585294724
64.75,41,8,16384,244.34304004,395,,,,,,,,,,,,,
64.59,46,9,18432,243.11128577999997,399,0.2,1341.8172073364258,-14.036054527759552,642.22021484375,0.26279296875,0.0003,-0.048937785232556055,0.9862492680549622,0.040106773376464844,80,0.024250703,,
,,,20000,,,0.2,1249.8994819641114,-14.032706558704376,653.2484130859375,0.2208984375,0.0003,-0.04694114298908971,0.9836708903312683,0.10628151893615723,90,0.01973954,65.75,326.1207896947861
64.52,52,10,20480,243.30280854,389,,,,,,,,,,,,,
64.74,57,11,22528,245.49992282999995,394,0.2,1286.9525157928467,-14.014206656813622,625.9264526367188,0.20634765625,0.0003,-0.04584495241288096,0.9817579388618469,0.14936411380767822,100,0.019439043,,
64.97,61,12,24576,246.90993813,398,0.2,1245.243348121643,-13.994229298830032,554.5708618164062,0.186083984375,0.0003,-0.044320403703022745,0.9801338315010071,0.24230754375457764,110,0.01783073,,
,,,25000,,,0.2,1152.134041404724,-13.989819967746735,574.7985229492188,0.170947265625,0.0003,-0.041662295602145606,0.9808794260025024,0.2831006646156311,120,0.017522896,65.8,326.41462581157685
64.8,67,13,26624,247.07610218999997,392,,,,,,,,,,,,,
64.94,72,14,28672,247.28131365000002,395,0.2,1168.899388885498,-13.986220139265061,528.5877685546875,0.131201171875,0.0003,-0.037987854826496914,0.97950279712677,0.2991516590118408,130,0.014858794,,
,,,30000,,,0.2,1082.4562185287475,-13.966832438111306,522.3194580078125,0.13212890625,0.0003,-0.03896691475529224,0.9775682687759399,0.41421616077423096,140,0.014905015,65.6,325.060283946991
64.52,78,15,30720,245.68500973000002,390,,,,,,,,,,,,,
64.63,83,16,32768,246.83309230000003,391,0.2,977.2175273895264,-13.959512156248092,443.3048400878906,0.173095703125,0.0003,-0.03858094462193549,0.9777426719665527,0.47961580753326416,150,0.01710999,,
64.52,88,17,34816,246.64870086,393,0.2,976.7600383758545,-13.96146889925003,436.52398681640625,0.20771484375,0.0003,-0.040909625505446454,0.9777019619941711,0.5478575527667999,160,0.021368895,,
