time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
683,4,0,-4.3064165,18,4.5,,,,,,,,
671,8,0,-5.22895675,41,5.125,,,,,,,,
662,12,0,-5.711502416666668,64,5.333333333333333,,,,,,,,
632,16,0,-6.4177186875,93,5.8125,,,,,,,,
302,20,0,-6.264148649999999,115,5.75,16.90373420715332,-0.07758276164531708,0.0003,14,-11.916513442993164,0.9960917830467224,,
202,24,0,-6.290450166666666,134,5.583333333333333,20.168842315673828,-0.1936296820640564,0.0003,33,-12.412389755249023,0.9903854131698608,,
168,28,0,-6.24760107142857,150,5.357142857142857,21.513853073120117,-0.2911970019340515,0.0003,49,-12.701616287231445,0.9856059551239014,,
134,32,1,-6.351588874999999,179,5.59375,19.540630340576172,-0.4665907621383667,0.0003,78,-13.18975830078125,0.9770126342773438,,
118,36,1,-6.376925388888889,205,5.694444444444445,18.959300994873047,-0.6264050602912903,0.0003,104,-13.508167266845703,0.9693785309791565,,
110,40,2,-6.512369124999999,229,5.725,16.265605926513672,-0.7717310786247253,0.0003,128,-13.256124496459961,0.9623899459838867,,
104,44,2,-6.4249304999999985,252,5.7272727272727275,13.513792991638184,-0.9079711437225342,0.0003,151,-14.450794219970703,0.9557507634162903,,
100,48,2,-6.284360062499999,274,5.708333333333333,8.61038589477539,-1.0357074737548828,0.0003,173,-14.891088485717773,0.9494524598121643,,
97,52,3,-6.492027173076922,302,5.8076923076923075,3.9932949542999268,-1.2026910781860352,0.0003,201,-15.19126033782959,0.9415136575698853,,
94,56,3,-6.441884660714286,326,5.821428571428571,2.6992626190185547,-1.3500099182128906,0.0003,225,-16.098466873168945,0.9347667098045349,,
91,60,3,-6.423401166666666,356,5.933333333333334,1.6469693183898926,-1.5335407257080078,0.0003,255,-16.810884475708008,0.9263990521430969,,
88,64,4,-6.506677734375,386,6.03125,1.3586311340332031,-1.703693151473999,0.0003,285,-16.463407516479492,0.9181007742881775,,
87,68,4,-6.396441044117648,405,5.955882352941177,1.370015025138855,-1.8310582637786865,0.0003,304,-17.087093353271484,0.9128831028938293,,
86,72,4,-6.291758319444444,425,5.902777777777778,1.7623578310012817,-1.948732614517212,0.0003,324,-17.49241065979004,0.9074276685714722,,
