time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
0,5.75,4,-5.9134235,493,23,,,,,,,,
0,5.375,8,-5.811745500000001,516,43,,,,,,,,
0,5.5,12,-5.601183833333334,543,66,,,,,,,,
0,5.5,16,-5.9207646875,571,88,,,,,,,,
0,5.55,20,-6.0357977499999995,123,111,21.329795837402344,-10.084809303283691,0.9972948431968689,0.0003,-0.053166963160037994,10,,
1,5.541666666666667,24,-6.205215666666667,115,133,18.35892677307129,-12.406457901000977,0.9906801581382751,0.0003,-0.1875038892030716,32,,
1,5.392857142857143,28,-6.190418892857143,110,151,19.053512573242188,-12.960798263549805,0.985298216342926,0.0003,-0.2971394658088684,50,,
1,5.65625,32,-6.264011375,105,181,15.18317985534668,-13.370552062988281,0.9764057397842407,0.0003,-0.4786297678947449,80,,
1,5.527777777777778,36,-6.237745861111112,103,199,17.01154327392578,-13.187372207641602,0.9711158275604248,0.0003,-0.5903753042221069,98,,
2,5.6,40,-6.274167375,101,224,15.579411506652832,-13.092756271362305,0.9638245701789856,0.0003,-0.7376431226730347,123,,
2,5.613636363636363,44,-6.287900000000001,100,247,12.786182403564453,-14.31797981262207,0.9571786522865295,0.0003,-0.8752439022064209,146,,
2,5.770833333333333,48,-6.384855062500001,98,277,8.077713012695312,-14.113826751708984,0.9486061930656433,0.0003,-1.0504343509674072,176,,
3,5.865384615384615,52,-6.458593403846155,96,305,4.4977312088012695,-15.043466567993164,0.9407188296318054,0.0003,-1.2099347114562988,204,,
3,5.892857142857143,56,-6.459054571428571,95,330,2.9293150901794434,-16.781644821166992,0.9337478876113892,0.0003,-1.3494421243667603,229,,
3,5.85,60,-6.460575683333333,94,351,5.911777496337891,-16.168453216552734,0.9279385209083557,0.0003,-1.4824774265289307,250,,
4,5.984375,64,-6.649244390625,93,383,3.4387569427490234,-16.379436492919922,0.9191511273384094,0.0003,-1.6699633598327637,282,,
4,5.926470588235294,68,-6.6168855,93,403,2.767979145050049,-16.96504783630371,0.9136854410171509,0.0003,-1.7912393808364868,302,,
4,5.958333333333333,72,-6.714424388888888,93,429,2.673069477081299,-16.891284942626953,0.9066175222396851,0.0003,-1.9530153274536133,328,,
