time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
23,4,5.75,0,654,2.71153475,,,,,,,,
41,8,5.125,0,723,2.227203875,,,,,,,,
65,12,5.416666666666667,0,757,2.4855886666666667,,,,,,,,
88,16,5.5,0,765,2.5767085,,,,,,,,
117,20,5.85,0,356,2.9403121000000003,21.666156768798828,-0.08833838999271393,16,0.9954628348350525,-13.16299057006836,0.0003,,
138,24,5.75,0,227,2.8843764999999997,20.499679565429688,-0.21861732006072998,37,0.9890549778938293,-13.572795867919922,0.0003,,
158,28,5.642857142857143,0,188,2.7346691785714285,22.91973876953125,-0.3423054814338684,57,0.98298579454422,-14.044258117675781,0.0003,,
179,32,5.59375,1,165,2.6943259062499996,23.685100555419922,-0.47239869832992554,78,0.9766814708709717,-14.49181079864502,0.0003,,
203,36,5.638888888888889,1,148,2.758456694444444,26.627849578857422,-0.6190901398658752,102,0.9695522785186768,-14.773677825927734,0.0003,,
226,40,5.65,1,137,2.7388678,21.361543655395508,-0.7582113742828369,125,0.9627885222434998,-15.235493659973145,0.0003,,
243,44,5.5227272727272725,1,130,2.631388204545454,18.355384826660156,-0.8626019954681396,142,0.9578316807746887,-15.52672004699707,0.0003,,
262,48,5.458333333333333,2,124,2.600335166666667,17.263986587524414,-0.9798923134803772,161,0.9523351192474365,-16.322664260864258,0.0003,,
282,52,5.423076923076923,2,119,2.5077802500000006,11.45413589477539,-1.0893452167510986,181,0.946604311466217,-15.749528884887695,0.0003,,
305,56,5.446428571428571,2,115,2.5178672142857144,8.304380416870117,-1.226434350013733,204,0.9400853514671326,-16.71941566467285,0.0003,,
328,60,5.466666666666667,2,111,2.5729926,6.108884334564209,-1.3641239404678345,227,0.9336262345314026,-17.072139739990234,0.0003,,
361,64,5.640625,3,108,2.6661589062499997,5.079176425933838,-1.5542333126068115,260,0.9244225025177002,-19.30991554260254,0.0003,,
379,68,5.573529411764706,3,106,2.5884229117647055,2.686288356781006,-1.678157091140747,278,0.9194271564483643,-19.609912872314453,0.0003,,
395,72,5.486111111111111,3,104,2.5092544027777777,3.655240774154663,-1.7716376781463623,294,0.91500324010849,-19.409076690673828,0.0003,,
425,76,5.592105263157895,4,102,2.607130144736842,4.012607574462891,-1.9524438381195068,324,0.9067603945732117,-19.95629119873047,0.0003,,
442,80,5.525,4,101,2.5736641624999996,5.131757736206055,-2.049813747406006,341,0.9021259546279907,-19.64128303527832,0.0003,,
462,84,5.5,4,100,2.534369809523809,3.460174083709717,-2.1718931198120117,361,0.8967064619064331,-20.69369125366211,0.0003,,
484,88,5.5,4,99,2.4687587727272726,3.7346103191375732,-2.3126206398010254,383,0.8907852172851562,-20.425392150878906,0.0003,,
502,92,5.456521739130435,5,98,2.439594902173913,4.011836051940918,-2.4185168743133545,401,0.8859676122665405,-20.47100830078125,0.0003,,
527,96,5.489583333333333,5,98,2.4570316770833336,4.421778678894043,-2.5703094005584717,426,0.8793249726295471,-20.00592041015625,0.0003,,
553,100,5.53,5,97,2.50765713,4.452672004699707,-2.7195098400115967,452,0.8724778294563293,-20.59774398803711,0.0003,,
581,104,5.58,6,95,2.53387814,4.339559555053711,-2.876677989959717,480,0.8651719689369202,-21.038185119628906,0.0003,,
602,108,5.61,6,95,2.5277384999999994,5.039390563964844,-2.9963600635528564,501,0.8597436547279358,-21.210311889648438,0.0003,,
623,112,5.58,6,94,2.50283417,3.644660472869873,-3.134418487548828,522,0.8543521165847778,-20.23208999633789,0.0003,,
643,116,5.55,6,93,2.47923013,4.58131742477417,-3.2310056686401367,542,0.8492568135261536,-21.040863037109375,0.0003,,
665,120,5.48,7,93,2.38353357,3.4834158420562744,-3.3598179817199707,564,0.8436959385871887,-21.66094207763672,0.0003,,
695,124,5.57,7,92,2.41148994,3.770059108734131,-3.5577006340026855,594,0.8361639976501465,-22.19051170349121,0.0003,,
718,128,5.6,7,91,2.42825405,4.276769638061523,-3.6629059314727783,617,0.8304305076599121,-21.43839454650879,0.0003,,
