time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
30,7.5,0,4,-7.7509967500000005,772,,,,,,,,
52,6.5,0,8,-7.274989,790,,,,,,,,
70,5.833333333333333,0,12,-6.742473750000001,836,,,,,,,,
91,5.6875,0,16,-6.5052884375,824,,,,,,,,
119,5.95,0,20,-6.996256650000001,128,-0.10009148716926575,18,0.0003,15.01016616821289,-11.981361389160156,0.9948372840881348,,
139,5.791666666666667,1,24,-7.0608247916666675,121,-0.2253996580839157,38,0.0003,17.757732391357422,-11.8021240234375,0.9887001514434814,,
164,5.857142857142857,1,28,-7.102437428571429,116,-0.3819142282009125,63,0.0003,17.430631637573242,-12.834922790527344,0.9810922741889954,,
184,5.75,1,32,-6.9618878437500005,114,-0.503751277923584,83,0.0003,18.16873550415039,-12.750869750976562,0.975078284740448,,
216,6.0,1,36,-7.122095944444445,111,-0.7004597187042236,115,0.0003,12.9503755569458,-13.699947357177734,0.9655815362930298,,
235,5.875,2,40,-7.0581680250000005,110,-0.8157392740249634,134,0.0003,16.583873748779297,-13.286457061767578,0.9600072503089905,,
256,5.818181818181818,2,44,-7.03312275,109,-0.9469664692878723,155,0.0003,12.320860862731934,-14.45715618133545,0.9539017677307129,,
280,5.833333333333333,2,48,-6.998577083333334,107,-1.081174612045288,179,0.0003,10.22321891784668,-14.634126663208008,0.9469920992851257,,
304,5.846153846153846,2,52,-7.035147326923076,105,-1.2207918167114258,203,0.0003,5.306682109832764,-14.982040405273438,0.9401600956916809,,
325,5.803571428571429,3,56,-6.924663214285715,104,-1.3527969121932983,224,0.0003,4.967634677886963,-15.600080490112305,0.9342413544654846,,
355,5.916666666666667,3,60,-7.016467016666667,103,-1.539255976676941,254,0.0003,3.2339587211608887,-15.665724754333496,0.9258607029914856,,
384,6.0,3,64,-6.996050234375,102,-1.7142341136932373,283,0.0003,3.5633833408355713,-16.032079696655273,0.9178271889686584,,
405,5.955882352941177,3,68,-6.915729279411764,101,-1.8357782363891602,304,0.0003,3.302809715270996,-16.047527313232422,0.9120481610298157,,
429,5.958333333333333,4,72,-6.960759263888889,101,-1.9690947532653809,328,0.0003,2.3000991344451904,-16.392620086669922,0.9054926633834839,,
449,5.907894736842105,4,76,-6.868601684210526,101,-2.079580068588257,348,0.0003,1.9604434967041016,-16.404781341552734,0.90007084608078,,
473,5.9125,4,80,-6.757357475000001,100,-2.227125883102417,372,0.0003,2.8008556365966797,-16.880741119384766,0.8936222791671753,,
493,5.869047619047619,4,84,-6.609173166666667,100,-2.3388757705688477,392,0.0003,3.7161355018615723,-16.617656707763672,0.8882885575294495,,
516,5.863636363636363,5,88,-6.551815613636364,100,-2.4630117416381836,415,0.0003,2.996306896209717,-16.955307006835938,0.8821935057640076,,
548,5.956521739130435,5,92,-6.592538043478261,100,-2.6758551597595215,447,0.0003,2.3163912296295166,-16.414018630981445,0.873786211013794,,
568,5.916666666666667,5,96,-6.539271187500002,100,-2.7894906997680664,467,0.0003,2.484302520751953,-17.66086196899414,0.8685735464096069,,
586,5.86,5,100,-6.40922177,99,-2.9044389724731445,485,0.0003,3.363943099975586,-17.22772216796875,0.8639150261878967,,
611,5.81,6,104,-6.282488010000001,99,-3.030459403991699,510,0.0003,2.7900776863098145,-17.889095306396484,0.8574877977371216,,
641,5.89,6,108,-6.1981015600000005,98,-3.1901352405548096,540,0.0003,2.3501522541046143,-16.92976951599121,0.8498319387435913,,
673,6.03,6,112,-6.19817528,98,-3.3617193698883057,572,0.0003,2.7659873962402344,-17.7559814453125,0.8417584896087646,,
691,6.0,7,116,-6.074289589999999,98,-3.4937901496887207,590,0.0003,3.37520694732666,-17.92827606201172,0.8372625708580017,,
717,5.98,7,120,-5.919955329999999,98,-3.6416096687316895,616,0.0003,3.682312488555908,-17.485729217529297,0.8308019638061523,,
736,5.97,7,124,-5.795015500000001,97,-3.7467398643493652,635,0.0003,3.0077805519104004,-17.43230438232422,0.8261033296585083,,
757,5.93,7,128,-5.650052209999999,97,-3.8551058769226074,656,0.0003,3.1687397956848145,-18.03791046142578,0.8209459781646729,,
782,5.98,8,132,-5.584703379999999,97,-4.0267863273620605,681,0.0003,2.817232608795166,-17.216617584228516,0.8148525953292847,,
808,5.92,8,136,-5.45033287,97,-4.123181343078613,707,0.0003,3.9475793838500977,-18.07536506652832,0.8085588216781616,,
828,5.93,8,140,-5.37088115,96,-4.306908130645752,727,0.0003,2.3683624267578125,-17.67253875732422,0.8037476539611816,,
849,5.93,8,144,-5.2530715599999995,96,-4.434634208679199,748,0.0003,2.345900297164917,-17.8381290435791,0.7987202405929565,,
871,5.91,9,148,-5.19816869,96,-4.506184101104736,770,0.0003,3.073998212814331,-16.37751579284668,0.7934882640838623,,
910,6.06,9,152,-5.18204084,96,-4.706946849822998,809,0.0003,2.808553695678711,-16.752662658691406,0.7843061089515686,,
941,6.16,9,156,-5.28537214,95,-4.948143005371094,840,0.0003,2.708096504211426,-17.892375946044922,0.7770966291427612,,
969,6.14,10,160,-5.202241930000001,95,-5.115750312805176,868,0.0003,3.1997265815734863,-17.907669067382812,0.7706489562988281,,
993,6.09,10,164,-5.09432267,95,-5.220850944519043,892,0.0003,3.085721254348755,-18.112316131591797,0.7651843428611755,,
1016,6.11,10,168,-5.09949377,95,-5.328986167907715,915,0.0003,3.997303009033203,-18.432188034057617,0.759983479976654,,
1042,6.13,10,172,-5.0171286,95,-5.476799011230469,941,0.0003,3.444145679473877,-17.458030700683594,0.7541466355323792,,
1072,6.23,11,176,-4.99512696,95,-5.659804344177246,971,0.0003,3.388392448425293,-18.4744873046875,0.747464656829834,,
1098,6.25,11,180,-5.00440263,95,-5.785756587982178,997,0.0003,3.7909748554229736,-18.3177490234375,0.74172043800354,,
1119,6.26,11,184,-5.00098591,95,-5.9072699546813965,1018,0.0003,3.6984143257141113,-17.522968292236328,0.7371199131011963,,
1142,6.26,12,188,-5.0064645500000005,94,-6.040940284729004,1041,0.0003,3.8102850914001465,-17.026369094848633,0.7321155667304993,,
1166,6.18,12,192,-4.903502849999999,94,-6.182878494262695,1065,0.0003,3.8662655353546143,-16.565793991088867,0.7269309163093567,,
1199,6.31,12,196,-4.84389598,95,-6.362879276275635,1098,0.0003,3.508026123046875,-16.72336196899414,0.7198802828788757,,
1221,6.35,12,200,-4.8642575,95,-6.507494926452637,1120,0.0003,5.034559726715088,-17.44556427001953,0.7152137160301208,,
1237,6.26,13,204,-4.78084827,95,-6.558354377746582,1136,0.0003,4.261955261230469,-17.979270935058594,0.7118346691131592,,
1260,6.19,13,208,-4.78305062,95,-6.650457382202148,1159,0.0003,4.029460906982422,-17.404315948486328,0.7070077657699585,,
1278,6.05,13,212,-4.7043387899999995,95,-6.771232604980469,1177,0.0003,4.265047073364258,-17.615108489990234,0.7032586932182312,,
