rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
5.75,0,-5.90134225,4,23,650,,,,,,,,
4.875,0,-5.532215375,8,39,680,,,,,,,,
5.083333333333333,0,-5.697180083333333,12,61,706,,,,,,,,
5.25,0,-5.89254225,16,84,697,,,,,,,,
5.6,0,-5.944053800000001,20,112,321,0.0003,-10.549176216125488,14.93402099609375,11,0.9969820976257324,-0.05712646245956421,,
5.458333333333333,0,-5.958910833333334,24,131,194,0.0003,-11.852717399597168,14.639514923095703,30,0.9911931753158569,-0.1755182147026062,,
5.321428571428571,0,-5.712894107142858,28,149,152,0.0003,-12.390233039855957,18.4366455078125,48,0.9857149124145508,-0.28845077753067017,,
5.3125,1,-5.84060228125,32,170,128,0.0003,-12.679840087890625,15.066164016723633,69,0.9793851375579834,-0.4188741445541382,,
5.277777777777778,1,-5.834424027777779,36,190,115,0.0003,-12.681243896484375,16.701011657714844,89,0.9734212160110474,-0.5402920842170715,,
5.225,1,-5.761455775,40,209,105,0.0003,-13.109233856201172,14.272271156311035,108,0.9678027033805847,-0.6563966274261475,,
5.113636363636363,2,-5.733059113636364,44,225,100,0.0003,-12.94869613647461,12.537534713745117,124,0.9631039500236511,-0.7516415119171143,,
5.083333333333333,2,-5.735927041666667,48,244,95,0.0003,-13.229031562805176,9.617569923400879,143,0.9575633406639099,-0.8680721521377563,,
5.096153846153846,2,-5.692030596153846,52,265,90,0.0003,-14.162110328674316,5.298004627227783,164,0.9514907598495483,-0.9936745762825012,,
5.107142857142857,3,-5.756600214285713,56,286,86,0.0003,-14.64824104309082,4.223268508911133,185,0.945473313331604,-1.121781349182129,,
5.133333333333334,3,-5.734385183333332,60,308,84,0.0003,-14.780838012695312,2.932220935821533,207,0.9392232298851013,-1.2519893646240234,,
5.296875,4,-5.76179740625,64,339,80,0.0003,-14.800846099853516,2.2883121967315674,238,0.9304912686347961,-1.443652868270874,,
5.25,4,-5.732997602941177,68,357,79,0.0003,-16.04368019104004,1.8000696897506714,256,0.9254545569419861,-1.548985242843628,,
5.180555555555555,4,-5.644641208333334,72,373,78,0.0003,-15.756567001342773,3.0962390899658203,272,0.92099928855896,-1.6472389698028564,,
5.2894736842105265,5,-5.708257921052632,76,402,76,0.0003,-16.32605743408203,2.8441009521484375,301,0.9129829406738281,-1.8120415210723877,,
5.2375,5,-5.64219595,80,419,75,0.0003,-16.70938491821289,2.942229747772217,318,0.9083169102668762,-1.9237878322601318,,
5.226190476190476,5,-5.614290761904762,84,439,74,0.0003,-16.54608726501465,2.107433319091797,338,0.9028608202934265,-2.0382800102233887,,
5.25,6,-5.748691818181817,88,462,73,0.0003,-15.710681915283203,3.7390432357788086,361,0.8966343402862549,-2.180955410003662,,
5.25,6,-5.773352119565216,92,483,72,0.0003,-16.12385368347168,2.996753692626953,382,0.8909885287284851,-2.305602788925171,,
5.270833333333333,7,-5.79167178125,96,506,71,0.0003,-16.587486267089844,2.622469902038574,405,0.8848432898521423,-2.4400076866149902,,
5.3,7,-5.75612697,100,530,70,0.0003,-17.559951782226562,1.978060007095337,429,0.8784828782081604,-2.5803723335266113,,
5.34,7,-5.850373599999998,104,557,69,0.0003,-17.260250091552734,2.283207893371582,456,0.8713883757591248,-2.7531216144561768,,
5.41,8,-5.83890434,108,580,69,0.0003,-16.295921325683594,2.6037750244140625,479,0.8653891086578369,-2.8726816177368164,,
5.39,8,-5.8225548400000005,112,600,68,0.0003,-16.739288330078125,1.8682210445404053,499,0.8602094650268555,-3.011986494064331,,
5.36,9,-5.729498530000001,116,620,68,0.0003,-17.247825622558594,2.9529829025268555,519,0.8550636172294617,-3.112917184829712,,
5.29,9,-5.761146089999999,120,641,68,0.0003,-16.840787887573242,2.4962291717529297,540,0.8496943712234497,-3.247917652130127,,
5.35,9,-5.76014658,124,666,67,0.0003,-17.38828468322754,4.047297954559326,565,0.8433427810668945,-3.4025633335113525,,
5.36,10,-5.7731790499999995,128,685,67,0.0003,-16.999549865722656,3.0006966590881348,584,0.8385492563247681,-3.5012640953063965,,
5.35,10,-5.666224659999999,132,705,67,0.0003,-16.367271423339844,2.559171438217163,604,0.8335378170013428,-3.6372017860412598,,
5.36,10,-5.681194249999999,136,726,67,0.0003,-18.236347198486328,2.2499139308929443,625,0.828307569026947,-3.746206521987915,,
5.36,11,-5.6682138,140,745,66,0.0003,-17.21879768371582,2.897672653198242,644,0.8236043453216553,-3.8628106117248535,,
5.46,11,-5.66565372,144,771,66,0.0003,-16.345905303955078,4.160382270812988,670,0.817223846912384,-4.0164594650268555,,
5.48,11,-5.622309779999999,148,792,66,0.0003,-17.480697631835938,4.069448471069336,691,0.8121134638786316,-4.12460994720459,,
5.43,12,-5.5552326,152,808,66,0.0003,-16.718603134155273,3.0547919273376465,707,0.8082460761070251,-4.209307670593262,,
5.43,12,-5.530813899999999,156,829,66,0.0003,-17.462970733642578,3.174204111099243,728,0.8032047152519226,-4.319116115570068,,
