time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
4,7.5,30,0,7.94542725,591,,,,,,,,
8,6.5,52,0,6.250316375,616,,,,,,,,
12,5.833333333333333,70,0,5.419473249999999,659,,,,,,,,
16,5.6875,91,0,5.1188748749999995,667,,,,,,,,
20,5.95,119,1,5.134344099999999,113,0.9948372840881348,18,-13.992559432983398,19.83710289001465,-0.10009043663740158,0.0003,,
24,5.791666666666667,139,1,5.0313558333333335,104,0.9887002110481262,38,-13.730100631713867,24.641143798828125,-0.22539493441581726,0.0003,,
28,5.857142857142857,164,1,4.943984785714287,98,0.9810924530029297,63,-14.795560836791992,26.20815658569336,-0.3818044066429138,0.0003,,
32,5.75,184,1,4.857651875,94,0.9750786423683167,83,-14.861988067626953,28.493663787841797,-0.503696084022522,0.0003,,
36,6.0,216,2,5.232064527777777,90,0.9655829071998596,115,-16.170433044433594,20.377952575683594,-0.700027346611023,0.0003,,
40,5.875,235,2,5.102048275,88,0.9600105881690979,134,-15.813518524169922,26.18191146850586,-0.8150655031204224,0.0003,,
44,5.818181818181818,256,2,4.977582931818182,86,0.9539101719856262,155,-17.05645751953125,20.05662727355957,-0.9447823762893677,0.0003,,
48,5.833333333333333,280,3,4.984459041666667,85,0.947015643119812,179,-17.28183364868164,16.344768524169922,-1.0745164155960083,0.0003,,
52,5.846153846153846,304,3,4.937244192307692,84,0.9402140378952026,203,-18.26544952392578,9.064141273498535,-1.2092512845993042,0.0003,,
56,5.803571428571429,325,3,4.909552285714286,83,0.9343271255493164,224,-18.865041732788086,7.440128326416016,-1.3369977474212646,0.0003,,
60,5.916666666666667,355,4,5.034307933333333,81,0.9259809851646423,254,-19.274070739746094,5.819974899291992,-1.526731014251709,0.0003,,
64,5.984375,383,4,5.093620734375,81,0.9182385206222534,282,-19.998781204223633,3.888855218887329,-1.6964664459228516,0.0003,,
68,5.9411764705882355,404,5,5.086440661764706,80,0.9124589562416077,303,-20.09183120727539,4.615388870239258,-1.8211241960525513,0.0003,,
72,5.916666666666667,426,5,5.034116125000001,79,0.9064391851425171,325,-20.191162109375,3.011260986328125,-1.9557949304580688,0.0003,,
76,5.842105263157895,444,5,4.945468815789474,79,0.901540219783783,343,-20.750293731689453,3.6529858112335205,-2.049952983856201,0.0003,,
80,5.8375,467,5,4.928484737500001,79,0.8953239321708679,366,-20.813215255737305,3.2718424797058105,-2.179905891418457,0.0003,,
84,5.785714285714286,486,6,4.8977993571428575,78,0.890229344367981,385,-21.083293914794922,3.3120903968811035,-2.30973219871521,0.0003,,
88,5.75,506,6,4.8672207954545454,78,0.8848979473114014,405,-22.34020233154297,4.150871276855469,-2.4114952087402344,0.0003,,
92,5.836956521739131,537,6,4.97220877173913,77,0.8767073750495911,436,-22.217731475830078,3.578010082244873,-2.612360954284668,0.0003,,
96,5.791666666666667,556,7,4.920097197916667,77,0.8717256188392639,455,-21.622800827026367,3.709230661392212,-2.711486339569092,0.0003,,
100,5.73,573,7,4.86309946,77,0.867294430732727,472,-22.440296173095703,3.633514642715454,-2.8263890743255615,0.0003,,
104,5.7,600,7,4.77813784,77,0.8603059649467468,499,-21.824453353881836,4.478201866149902,-2.967240333557129,0.0003,,
108,5.72,624,8,4.790454790000001,77,0.8541424870491028,523,-22.444473266601562,3.971280813217163,-3.1279807090759277,0.0003,,
112,5.83,653,8,4.8816926899999995,76,0.8467631936073303,552,-23.251266479492188,3.6914515495300293,-3.272101879119873,0.0003,,
116,5.82,673,8,4.913778570000001,76,0.8417172431945801,572,-22.98047637939453,4.522915363311768,-3.3769309520721436,0.0003,,
120,5.8,699,9,4.93951115,76,0.8352082967758179,598,-22.36498260498047,6.130221366882324,-3.5293354988098145,0.0003,,
124,5.79,718,9,4.904733609999999,75,0.8304834961891174,617,-23.734636306762695,3.976175308227539,-3.6753921508789062,0.0003,,
128,5.76,740,9,4.903409760000001,75,0.8250400424003601,639,-23.61471176147461,5.022612571716309,-3.762608051300049,0.0003,,
132,5.77,761,10,4.89706955,75,0.8198798894882202,660,-22.383743286132812,3.6433238983154297,-3.9042162895202637,0.0003,,
136,5.66,782,10,4.74807865,75,0.8147497773170471,681,-23.592227935791016,3.61334490776062,-4.030037879943848,0.0003,,
140,5.67,802,10,4.7495802099999995,75,0.8098891377449036,701,-22.082008361816406,6.639351844787598,-4.175901412963867,0.0003,,
144,5.67,823,10,4.79744376,75,0.8048109412193298,722,-22.982620239257812,5.672143459320068,-4.264631271362305,0.0003,,
148,5.65,845,11,4.7801953,75,0.7995204329490662,744,-22.79886245727539,4.572885513305664,-4.413664817810059,0.0003,,
152,5.79,883,11,4.95251783,75,0.7904702425003052,782,-22.629669189453125,4.94953727722168,-4.625668048858643,0.0003,,
156,5.86,911,12,4.99834507,75,0.7838780879974365,810,-22.123638153076172,5.57613468170166,-4.781807899475098,0.0003,,
160,5.85,940,12,4.988018,75,0.7771206498146057,839,-23.58123016357422,4.932106018066406,-4.960829734802246,0.0003,,
164,5.8,963,12,4.93100371,75,0.7718084454536438,862,-22.979368209838867,5.546939373016357,-5.069780349731445,0.0003,,
168,5.81,985,13,4.91896053,75,0.7667641043663025,884,-21.779460906982422,5.2609052658081055,-5.165613174438477,0.0003,,
172,5.85,1011,13,4.98569539,75,0.7608492374420166,910,-22.1491756439209,5.339048385620117,-5.328774929046631,0.0003,,
176,5.96,1040,13,5.1509491800000005,75,0.7543056607246399,939,-23.272186279296875,5.9031782150268555,-5.494012832641602,0.0003,,
180,5.99,1066,14,5.20147379,75,0.7484872937202454,965,-23.353290557861328,5.260021209716797,-5.651993751525879,0.0003,,
184,6.01,1087,14,5.21322721,75,0.7438147664070129,986,-23.246450424194336,6.4551262855529785,-5.822256088256836,0.0003,,
188,6.01,1107,14,5.225097120000002,75,0.7393969297409058,1006,-24.123960494995117,6.041056156158447,-5.889944076538086,0.0003,,
192,5.93,1130,15,5.1144298,74,0.7343567609786987,1029,-22.584026336669922,5.714954376220703,-5.996328830718994,0.0003,,
196,6.02,1158,15,5.229875860000001,74,0.7282681465148926,1057,-22.788314819335938,6.441594123840332,-6.154697418212891,0.0003,,
200,6.06,1179,15,5.28502337,74,0.7237401008605957,1078,-22.79613494873047,8.254571914672852,-6.294259071350098,0.0003,,
204,5.96,1196,15,5.189215760000001,74,0.7200965881347656,1095,-23.617355346679688,7.481180191040039,-6.375622272491455,0.0003,,
208,5.93,1217,16,5.17451947,74,0.7156291604042053,1116,-23.687644958496094,6.702315330505371,-6.535275936126709,0.0003,,
212,5.83,1236,16,5.075061389999999,74,0.7116013169288635,1135,-22.470932006835938,7.859183311462402,-6.583992004394531,0.0003,,
216,5.85,1258,16,5.05571633,74,0.7069720029830933,1157,-22.87421417236328,6.403525352478027,-6.705474376678467,0.0003,,
220,5.82,1281,17,5.0373962500000005,74,0.7021681666374207,1180,-21.227996826171875,7.974206447601318,-6.876965522766113,0.0003,,
224,5.82,1300,17,5.03765865,74,0.698220431804657,1199,-20.826738357543945,5.819048881530762,-6.971966743469238,0.0003,,
228,5.82,1322,17,5.04880425,74,0.6936792135238647,1221,-23.483592987060547,9.271434783935547,-7.121669292449951,0.0003,,
232,5.82,1343,18,5.062288580000001,74,0.6893587112426758,1242,-23.537296295166016,8.442710876464844,-7.250471115112305,0.0003,,
236,5.86,1368,18,5.08641992,74,0.684238076210022,1267,-23.445722579956055,8.92609977722168,-7.429256916046143,0.0003,,
240,5.96,1398,18,5.16251006,74,0.6781541705131531,1297,-21.497207641601562,7.907315254211426,-7.563867092132568,0.0003,,
244,5.93,1416,19,5.110538249999999,74,0.6745287775993347,1315,-21.493988037109375,7.1682891845703125,-7.576489448547363,0.0003,,
