time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
27,0,4,834,6.75,6.45040425,,,,,,,,
45,0,8,863,5.625,4.983121875,,,,,,,,
60,0,12,895,5.0,4.342419083333334,,,,,,,,
76,0,16,878,4.75,4.0298046875,,,,,,,,
101,0,20,159,5.05,4.23948225,,,,,,,,
118,0,24,142,4.916666666666667,4.0788502499999995,0.0003,-0.09424960613250732,17,23.188861846923828,-12.971588134765625,0.995145857334137,,
140,1,28,127,5.0,4.049511571428571,0.0003,-0.23177683353424072,39,29.73056411743164,-13.12873649597168,0.9883963465690613,,
160,1,32,118,5.0,4.046106468750001,0.0003,-0.3561629056930542,59,25.8612060546875,-14.228853225708008,0.9823017716407776,,
191,1,36,110,5.305555555555555,4.406388861111111,0.0003,-0.5485371351242065,90,28.008033752441406,-14.634742736816406,0.9729884266853333,,
208,1,40,104,5.2,4.317774325,0.0003,-0.6524810791015625,107,21.498245239257812,-15.439759254455566,0.9679437279701233,,
226,2,44,100,5.136363636363637,4.2543363409090915,0.0003,-0.7620117664337158,125,21.042449951171875,-15.744361877441406,0.9626423120498657,,
248,2,48,99,5.166666666666667,4.312427104166667,0.0003,-0.897485613822937,147,16.414161682128906,-16.006772994995117,0.9562234878540039,,
270,2,52,98,5.1923076923076925,4.318971423076923,0.0003,-1.0211341381072998,169,11.779767036437988,-16.695911407470703,0.9498672485351562,,
289,2,56,96,5.160714285714286,4.356916160714286,0.0003,-1.13784921169281,188,9.028451919555664,-17.678077697753906,0.9444355368614197,,
315,3,60,96,5.25,4.4591696333333335,0.0003,-1.2912476062774658,214,5.574965953826904,-17.897064208984375,0.9370774030685425,,
337,3,64,95,5.265625,4.4475038125,0.0003,-1.4183197021484375,236,3.839232921600342,-19.55401039123535,0.9308968782424927,,
358,3,68,95,5.264705882352941,4.467969838235295,0.0003,-1.5524988174438477,257,4.403383255004883,-18.73516082763672,0.9250321388244629,,
377,3,72,94,5.236111111111111,4.424205930555555,0.0003,-1.667967438697815,276,3.928945541381836,-19.074724197387695,0.9197531342506409,,
394,4,76,94,5.184210526315789,4.35592622368421,0.0003,-1.7686083316802979,293,3.1563804149627686,-19.793811798095703,0.9150579571723938,,
416,4,80,93,5.2,4.3416567375,0.0003,-1.9001848697662354,315,3.306931972503662,-19.944978713989258,0.9090201258659363,,
431,4,84,92,5.130952380952381,4.276200488095237,0.0003,-1.9885337352752686,330,2.691537380218506,-20.71938133239746,0.9049271941184998,,
454,4,88,92,5.159090909090909,4.321823284090909,0.0003,-2.119337558746338,353,4.349931716918945,-20.31845474243164,0.8986935615539551,,
482,5,92,91,5.239130434782608,4.417704282608696,0.0003,-2.2751708030700684,381,6.119852066040039,-20.67365264892578,0.89117032289505,,
500,5,96,90,5.208333333333333,4.366746260416666,0.0003,-2.377955913543701,399,4.81334114074707,-20.133882522583008,0.8863714933395386,,
516,5,100,90,5.16,4.313630249999999,0.0003,-2.477344036102295,415,4.619297027587891,-21.305753707885742,0.8821327090263367,,
540,5,104,90,5.13,4.287500400000001,0.0003,-2.6173079013824463,439,3.487870216369629,-20.770620346069336,0.8758226633071899,,
562,6,108,90,5.17,4.32793577,0.0003,-2.76312255859375,461,5.47998046875,-22.096435546875,0.8700819611549377,,
590,6,112,89,5.3,4.45206543,0.0003,-2.9116151332855225,489,4.894736289978027,-21.208824157714844,0.8628249168395996,,
604,6,116,89,5.28,4.449739439999999,0.0003,-2.990635633468628,503,3.6217641830444336,-22.245777130126953,0.8592265844345093,,
626,6,120,89,5.25,4.42551443,0.0003,-3.124429225921631,525,3.467733383178711,-21.885009765625,0.8535971641540527,,
643,7,124,89,5.25,4.42016373,0.0003,-3.224757671356201,542,4.506587505340576,-21.22144317626953,0.8492704629898071,,
662,7,128,89,5.22,4.4177065,0.0003,-3.3495171070098877,561,6.248574733734131,-22.024459838867188,0.8444639444351196,,
679,7,132,89,5.19,4.3776265599999995,0.0003,-3.421562910079956,578,3.2972168922424316,-22.971519470214844,0.840188205242157,,
699,7,136,88,5.08,4.24357687,0.0003,-3.551121473312378,598,5.284857273101807,-21.584033966064453,0.8351821899414062,,
716,8,140,88,5.08,4.2381723099999995,0.0003,-3.6527462005615234,615,3.7464497089385986,-23.113107681274414,0.8309547901153564,,
734,8,144,88,5.08,4.25878128,0.0003,-3.7571654319763184,633,5.537867546081543,-21.324064254760742,0.8264952301979065,,
752,8,148,87,5.04,4.2030734999999995,0.0003,-3.8677186965942383,651,4.9154486656188965,-21.508041381835938,0.8220582604408264,,
784,8,152,87,5.14,4.291990360000001,0.0003,-4.062018394470215,683,6.0952863693237305,-20.736095428466797,0.8142279386520386,,
808,9,156,87,5.19,4.27569348,0.0003,-4.181422233581543,707,5.240932464599609,-21.449888229370117,0.8084031939506531,,
834,9,160,87,5.19,4.282544059999999,0.0003,-4.377244472503662,733,6.046487808227539,-21.524747848510742,0.8021348714828491,,
855,9,164,87,5.18,4.286551950000001,0.0003,-4.4564409255981445,754,4.270977973937988,-21.136667251586914,0.79710453748703,,
874,9,168,87,5.16,4.24932716,0.0003,-4.5728864669799805,773,4.800480365753174,-21.50533676147461,0.7925809025764465,,
899,10,172,87,5.22,4.30624668,0.0003,-4.731078624725342,798,4.916836261749268,-20.56711196899414,0.7866712808609009,,
928,10,176,87,5.34,4.437807100000001,0.0003,-4.898248195648193,827,6.163767337799072,-23.230945587158203,0.7798731327056885,,
952,10,180,87,5.36,4.4794277099999995,0.0003,-5.068533897399902,851,6.621920585632324,-21.53664779663086,0.7742952108383179,,
971,11,184,87,5.4,4.50889526,0.0003,-5.151667594909668,870,5.967013359069824,-21.78091049194336,0.769910991191864,,
988,11,188,87,5.34,4.448611529999999,0.0003,-5.265375137329102,887,6.3397536277771,-22.48134994506836,0.766011655330658,,
1007,11,192,87,5.25,4.32663186,0.0003,-5.336776256561279,906,6.417719841003418,-21.237899780273438,0.7616847157478333,,
1035,11,196,86,5.35,4.49754907,0.0003,-5.523714065551758,934,5.747644901275635,-21.888671875,0.7553601861000061,,
1054,12,200,86,5.38,4.54388104,0.0003,-5.628631114959717,953,6.474419593811035,-21.69060707092285,0.7510885000228882,,
1069,12,204,86,5.29,4.43057911,0.0003,-5.685373306274414,968,6.87247371673584,-21.579517364501953,0.7477375268936157,,
1088,12,208,86,5.26,4.4144397600000005,0.0003,-5.793734550476074,987,6.891218185424805,-20.800670623779297,0.7435162663459778,,
1106,12,212,86,5.16,4.3019333699999995,0.0003,-5.877367973327637,1005,6.248723983764648,-20.58461570739746,0.7395429611206055,,
1126,13,216,86,5.22,4.33353297,0.0003,-6.029890537261963,1025,8.224384307861328,-21.252830505371094,0.7351478934288025,,
1150,13,220,86,5.24,4.35592057,0.0003,-6.128915786743164,1049,7.982905387878418,-21.347505569458008,0.7299046516418457,,
1166,13,224,86,5.23,4.34976122,0.0003,-6.254426002502441,1065,8.662046432495117,-21.20783233642578,0.7264342904090881,,
1185,13,228,85,5.23,4.34187904,0.0003,-6.380022048950195,1084,8.757423400878906,-20.653064727783203,0.7223320603370667,,
1205,14,232,85,5.26,4.39289132,0.0003,-6.5052876472473145,1104,9.393645286560059,-21.991683959960938,0.7180371880531311,,
