time/total_timesteps,train/std,train/entropy_loss,rollout/ep_len_mean,time/fps,train/explained_variance,train/policy_loss,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,time/iterations,train/value_loss,eval/mean_ep_length,eval/mean_reward
500,0.9933048486709595,-28.235055923461914,48.6,171,0.26443004608154297,477.14404296875,0.0007,239.00062470000003,2,99,100,277.52838134765625,,
1000,0.991335391998291,-28.204999923706055,45.19047619047619,199,0.515923023223877,299.4252624511719,0.0007,219.32500342857142,5,199,200,152.18142700195312,,
1500,0.9910581707954407,-28.197973251342773,44.15151515151515,213,0.025833070278167725,362.3035583496094,0.0007,213.93342075757576,7,299,300,234.5751495361328,,
2000,0.9873704314231873,-28.120691299438477,45.69767441860465,219,-0.10593557357788086,362.14825439453125,0.0007,221.63231779069773,9,399,400,212.25816345214844,,
2500,0.989515483379364,-28.168045043945312,44.96363636363636,221,-0.06429398059844971,374.00836181640625,0.0007,218.80876258181823,11,499,500,243.8096466064453,,
3000,0.9882403612136841,-28.136075973510742,45.56923076923077,222,0.0014119744300842285,421.99884033203125,0.0007,221.09891486153845,13,599,600,256.7248229980469,,
3500,0.9883835911750793,-28.144729614257812,46.41891891891892,220,0.040523529052734375,315.7322692871094,0.0007,225.09702706756758,15,699,700,178.77691650390625,,
4000,0.9856181144714355,-28.087207794189453,47.493975903614455,218,0.0059819817543029785,371.3503723144531,0.0007,230.09644363855415,18,799,800,231.75877380371094,,
4500,0.9814409613609314,-27.998579025268555,48.64835164835165,214,0.0016017556190490723,396.5353698730469,0.0007,235.81456205494504,20,899,900,231.30442810058594,,
5000,0.9804975390434265,-27.978464126586914,,,0.00029754638671875,360.6917419433594,0.0007,,,999,,188.29818725585938,28.8,141.0031956318766
5000,,,49.56,199,,,,240.03373954000003,25,,1000,,,
5500,0.981224000453949,-27.992633819580078,50.67,199,0.00020945072174072266,396.7024841308594,0.0007,244.82798031000002,27,1099,1100,223.85984802246094,,
6000,0.976500928401947,-27.898300170898438,50.28,199,0.00013309717178344727,370.9391784667969,0.0007,243.34593472999993,30,1199,1200,227.28062438964844,,
6500,0.9749824404716492,-27.86433219909668,51.15,200,0.0003967881202697754,353.5114440917969,0.0007,248.01436194,32,1299,1300,185.54234313964844,,
7000,0.9749528169631958,-27.861988067626953,51.94,200,-0.0005518198013305664,392.2720642089844,0.0007,252.68025049,34,1399,1400,217.48631286621094,,
7500,0.973392128944397,-27.828052520751953,52.86,203,0.003109753131866455,417.6134338378906,0.0007,257.45492176,36,1499,1500,229.655517578125,,
8000,0.9741086363792419,-27.84120750427246,52.0,204,-7.37905502319336e-05,400.8379821777344,0.0007,253.65098207,39,1599,1600,215.31089782714844,,
8500,0.9762961268424988,-27.88831901550293,52.64,205,-9.5367431640625e-07,337.2802429199219,0.0007,257.97459666000003,41,1699,1700,172.1307830810547,,
9000,0.9746912121772766,-27.861310958862305,52.01,206,6.020069122314453e-06,-812.5892333984375,0.0007,255.56506086,43,1799,1800,2369.117919921875,,
9500,0.9725594520568848,-27.805883407592773,50.61,206,4.0531158447265625e-06,385.1643981933594,0.0007,249.43256032000002,45,1899,1900,180.93507385253906,,
10000,0.9695085883140564,-27.744449615478516,,,-3.552436828613281e-05,370.1224670410156,0.0007,,,1999,,180.50474548339844,42.7,219.50833438932895
10000,,,50.84,197,,,,251.07510573000002,50,,2000,,,
10500,0.9650888442993164,-27.6561336517334,49.75,199,7.87973403930664e-05,322.1562194824219,0.0007,246.99590285,52,2099,2100,159.1579132080078,,
11000,0.965916097164154,-27.672489166259766,50.98,199,2.187490463256836e-05,325.2553405761719,0.0007,253.81174624000002,55,2199,2200,148.6964874267578,,
11500,0.9638208746910095,-27.632307052612305,52.4,199,-5.841255187988281e-06,318.9057312011719,0.0007,260.80994056,57,2299,2300,167.01805114746094,,
12000,0.9575170874595642,-27.50251579284668,53.36,199,-7.510185241699219e-06,301.6378479003906,0.0007,265.41807109000007,60,2399,2400,150.6697235107422,,
12500,0.9562749266624451,-27.478437423706055,53.64,199,3.814697265625e-06,319.8734436035156,0.0007,266.34997391,62,2499,2500,184.2977752685547,,
13000,0.9546872973442078,-27.439563751220703,54.28,200,4.470348358154297e-06,329.4750671386719,0.0007,269.27337408,64,2599,2600,162.5997772216797,,
13500,0.9536744952201843,-27.42213249206543,53.97,200,-1.4781951904296875e-05,317.4306335449219,0.0007,267.07682112,67,2699,2700,170.4227752685547,,
14000,0.9555927515029907,-27.461400985717773,53.29,200,-4.76837158203125e-07,313.6609802246094,0.0007,262.90998863,69,2799,2800,159.15237426757812,,
14500,0.9536296725273132,-27.41615104675293,54.13,200,9.5367431640625e-07,-1660.5103759765625,0.0007,266.80812425,72,2899,2900,7990.34521484375,,
15000,0.9498966336250305,-27.341699600219727,,,-5.602836608886719e-06,286.6691589355469,0.0007,,,2999,,132.01278686523438,22.95,111.26528344795224
15000,,,55.26,197,,,,271.89203358,75,,3000,,,
15500,0.9464344382286072,-27.26812171936035,55.42,197,-7.152557373046875e-06,291.3653869628906,0.0007,271.75167928999997,78,3099,3100,130.11024475097656,,
16000,0.9471405148506165,-27.286706924438477,56.63,198,-3.147125244140625e-05,270.6080017089844,0.0007,277.38379066,80,3199,3200,138.6240692138672,,
16500,0.9498332142829895,-27.338775634765625,56.71,198,1.7881393432617188e-06,286.1802978515625,0.0007,277.29025205,82,3299,3300,141.90005493164062,,
17000,0.9485368728637695,-27.311731338500977,55.28,199,2.86102294921875e-06,-3734.34228515625,0.0007,269.83383171,85,3399,3400,17002.69140625,,
17500,0.948078453540802,-27.294519424438477,54.68,199,2.0265579223632812e-06,284.9916076660156,0.0007,266.9060721,87,3499,3500,118.03492736816406,,
18000,0.9454728364944458,-27.241504669189453,53.74,199,3.2782554626464844e-06,-1436.8336181640625,0.0007,262.95681241,90,3599,3600,8386.541015625,,
18500,0.946140468120575,-27.252328872680664,53.5,199,6.4373016357421875e-06,286.25811767578125,0.0007,262.80168215,92,3699,3700,116.34044647216797,,
19000,0.9466564059257507,-27.274377822875977,54.24,199,2.8014183044433594e-06,284.5868225097656,0.0007,267.04403866000007,95,3799,3800,160.5499267578125,,
19500,0.9470582008361816,-27.28037452697754,53.75,199,1.6689300537109375e-06,275.6595153808594,0.0007,265.1819573,97,3899,3900,130.42623901367188,,
20000,0.9476186633110046,-27.292150497436523,,,2.682209014892578e-06,279.97314453125,0.0007,,,3999,,133.4271240234375,28.0,137.78402400589547
20000,,,53.29,196,,,,263.29335228,101,,4000,,,
20500,0.948077380657196,-27.29597282409668,53.6,196,7.212162017822266e-06,298.1548156738281,0.0007,265.83276574,104,4099,4100,131.20120239257812,,
21000,0.9471532106399536,-27.27317237854004,54.48,196,-3.6954879760742188e-06,291.7226257324219,0.0007,270.4399539,106,4199,4200,120.4949722290039,,
21500,0.9435878992080688,-27.197668075561523,54.16,196,3.993511199951172e-06,281.814453125,0.0007,269.61081549,109,4299,4300,112.53862762451172,,
22000,0.9436129927635193,-27.20406150817871,54.93,197,9.5367431640625e-07,246.750244140625,0.0007,273.27655104,111,4399,4400,109.0728988647461,,
22500,0.9420500993728638,-27.169097900390625,53.09,197,5.662441253662109e-06,254.35057067871094,0.0007,264.53645099,113,4499,4500,113.9690933227539,,
23000,0.9440836310386658,-27.207733154296875,52.23,197,3.933906555175781e-06,259.78662109375,0.0007,259.57717696,116,4599,4600,112.4595947265625,,
23500,0.9428921937942505,-27.181821823120117,50.08,197,-1.0728836059570312e-06,260.82574462890625,0.0007,247.50248239999996,118,4699,4700,107.48665618896484,,
24000,0.9426445364952087,-27.180017471313477,48.93,197,1.8656253814697266e-05,232.44883728027344,0.0007,240.95767345000002,121,4799,4800,97.12806701660156,,
24500,0.9434496164321899,-27.1888370513916,45.79,197,-2.0265579223632812e-06,252.0953369140625,0.0007,224.79757878,123,4899,4900,94.20726776123047,,
25000,0.9429950714111328,-27.18570327758789,,,0.0,249.5575714111328,0.0007,,,4999,,125.49138641357422,29.0,147.1208476871252
25000,,,39.69,195,,,,194.25190311999992,127,,5000,,,
25500,0.9431161284446716,-27.18232536315918,33.99,196,5.960464477539063e-08,-4334.171875,0.0007,165.26041804,129,5099,5100,30282.9375,,
26000,0.9421135783195496,-27.16229820251465,31.8,196,2.9206275939941406e-06,255.58433532714844,0.0007,154.68757683,132,5199,5200,119.3486328125,,
26500,0.9423632025718689,-27.166051864624023,31.0,197,0.0,236.19493103027344,0.0007,151.09126292000002,134,5299,5300,92.85250091552734,,
